date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,15.50,15.50,15.00,15.20,,48800,0,15.20,0.30 (2.01 %),738000000,0,
01/04/2022,,,15.10,15.10,14.55,14.90,,53700,0,14.90,-0.30 (-1.97 %),795000000,0,
31/03/2022,,,15.6,15.7,14.7,15.15,,78000,0,15.15,-0.45 (-2.88 %),1192000000,0,
30/03/2022,,,15.95,16.25,15.45,15.55,,66300,0,15.55,-0.75 (-4.60 %),1044000000,0,
29/03/2022,,,16.7,16.7,16.0,16.25,,116600,0,16.25,0.45 (2.85 %),1907000000,0,
28/03/2022,,,15.05,16.1,15.0,15.8,,342900,0,15.8,0.70 (4.64 %),5368000000,0,
25/03/2022,,,15.35,15.35,14.4,15.05,,63500,0,15.05,-0.35 (-2.27 %),955000000,0,
24/03/2022,,,15.2,15.4,15.1,15.35,,64300,0,15.35,0.15 (0.99 %),981000000,0,
23/03/2022,,,15.1,15.6,15.1,15.2,,92400,0,15.2,0.10 (0.66 %),1414000000,0,
22/03/2022,,,15.3,15.3,14.9,15.1,,39700,0,15.1,-0.10 (-0.66 %),602000000,0,
21/03/2022,,,15.0,15.5,14.8,15.2,,120500,0,15.2,-0.20 (-1.30 %),1816000000,0,
18/03/2022,,,14.75,16.1,14.75,15.4,,87400,0,15.4,-0.40 (-2.53 %),1326000000,0,
17/03/2022,,,16.5,16.5,15.45,15.75,,48700,0,15.75,-0.85 (-5.12 %),783000000,0,
16/03/2022,,,15.0,17.2,15.0,16.6,,193700,0,16.6,0.50 (3.11 %),2975000000,0,
15/03/2022,,,16.4,16.75,16.1,16.1,,34700,0,16.1,-1.20 (-6.94 %),563000000,0,
14/03/2022,,,19.15,19.15,16.7,17.3,,168900,0,17.3,-0.60 (-3.35 %),2950000000,0,
11/03/2022,,,17.7,17.9,17.7,17.9,,147100,0,17.9,1.10 (6.55 %),2629000000,0,
10/03/2022,,,16.75,16.75,16.7,16.75,,148800,0,16.75,1.05 (6.69 %),2492000000,0,
09/03/2022,,,14.7,15.7,13.8,15.7,,131000,0,15.7,1.00 (6.80 %),2028000000,0,
08/03/2022,,,15.1,15.1,14.7,14.7,,182700,0,14.7,0.50 (3.52 %),2757000000,0,
07/03/2022,,,13.25,14.15,13.25,14.15,,115100,0,14.15,0.85 (6.39 %),1610000000,0,
04/03/2022,,,13.15,13.25,12.7,13.25,,58000,0,13.25,0.05 (0.38 %),754000000,0,
03/03/2022,,,12.6,13.45,12.45,13.15,,49000,0,13.15,0.55 (4.37 %),629000000,0,
02/03/2022,,,12.6,12.6,12.25,12.6,,24600,0,12.6,0.20 (1.61 %),308000000,0,
01/03/2022,,,12.3,12.5,12.2,12.4,,8900,0,12.4,-0.20 (-1.59 %),109000000,0,
28/02/2022,,,12.6,12.6,12.05,12.55,,6200,0,12.55,-0.05 (-0.40 %),76000000,0,
25/02/2022,,,11.7,12.6,11.7,12.6,,5800,0,12.6,0.20 (1.61 %),71000000,0,
24/02/2022,,,12.6,12.6,12.25,12.35,,5300,0,12.35,-0.25 (-1.98 %),66000000,0,
23/02/2022,,,12.4,12.6,12.05,12.6,,15200,0,12.6,0.00 (0.00 %),189000000,0,
22/02/2022,,,12.5,12.6,12.0,12.55,,19600,0,12.55,0.15 (1.21 %),242000000,0,
21/02/2022,,,12.45,12.55,12.4,12.4,,6000,0,12.4,-0.10 (-0.80 %),74000000,0,
18/02/2022,,,12.4,12.6,12.4,12.45,,42700,0,12.45,0.25 (2.05 %),530000000,0,
17/02/2022,,,12.5,12.6,12.2,12.2,,13900,0,12.2,-0.30 (-2.40 %),173000000,0,
16/02/2022,,,12.4,12.5,12.2,12.5,,21200,0,12.5,0.10 (0.81 %),262000000,0,
15/02/2022,,,11.85,12.5,11.85,12.4,,1100,0,12.4,-0.10 (-0.80 %),13000000,0,
14/02/2022,,,12.6,12.6,12.1,12.5,,7300,0,12.5,0.00 (0.00 %),91000000,0,
11/02/2022,,,12.05,12.6,12.0,12.5,,9300,0,12.5,-0.20 (-1.57 %),116000000,0,
10/02/2022,,,12.8,12.8,12.3,12.7,,2000,0,12.7,-0.10 (-0.78 %),25000000,0,
09/02/2022,,,12.55,12.85,12.3,12.75,,8900,0,12.75,0.15 (1.19 %),111000000,0,
08/02/2022,,,12.45,12.55,12.3,12.55,,6700,0,12.55,0.05 (0.40 %),83000000,0,
07/02/2022,,,12.4,12.5,12.4,12.45,,3700,0,12.45,0.05 (0.40 %),46000000,0,
28/01/2022,,,12.4,12.95,12.25,12.4,,2200,0,12.4,0.00 (0.00 %),27000000,0,
27/01/2022,,,12.4,12.4,12.4,12.4,,3300,0,12.4,0.00 (0.00 %),40000000,0,
26/01/2022,,,12.0,12.7,12.0,12.4,,13200,0,12.4,0.50 (4.20 %),164000000,0,
25/01/2022,,,12.4,12.6,11.7,11.9,,2500,0,11.9,-0.60 (-4.80 %),30000000,0,
24/01/2022,,,12.0,12.5,12.0,12.45,,7100,0,12.45,-0.15 (-1.19 %),87000000,0,
21/01/2022,,,12.05,12.6,12.05,12.55,,2900,0,12.55,0.45 (3.72 %),35000000,0,
20/01/2022,,,11.65,12.6,11.65,12.0,,7900,0,12.0,-0.50 (-4.00 %),95000000,0,
19/01/2022,,,11.6,13.0,11.6,12.55,,6800,0,12.55,0.15 (1.21 %),83000000,0,
18/01/2022,,,12.9,12.9,12.0,12.4,,14200,0,12.4,-0.10 (-0.80 %),178000000,0,
17/01/2022,,,12.5,13.0,12.5,12.5,,17800,0,12.5,0.05 (0.40 %),225000000,0,
14/01/2022,,,12.2,12.5,12.2,12.45,,4900,0,12.45,0.05 (0.40 %),60000000,0,
13/01/2022,,,12.3,12.9,11.8,12.4,,8700,0,12.4,-0.20 (-1.59 %),107000000,0,
12/01/2022,,,12.6,12.6,12.4,12.6,,9900,0,12.6,0.00 (0.00 %),124000000,0,
11/01/2022,,,12.65,12.7,12.6,12.6,,17100,0,12.6,-0.40 (-3.08 %),216000000,0,
10/01/2022,,,13.45,13.45,12.7,13.0,,34800,0,13.0,0.30 (2.36 %),448000000,0,
07/01/2022,,,12.5,12.7,12.5,12.65,,40300,0,12.65,0.05 (0.40 %),507000000,0,
06/01/2022,,,12.4,12.6,12.4,12.55,,26100,0,12.55,0.15 (1.21 %),327000000,0,
05/01/2022,,,12.55,12.7,12.4,12.4,,24700,0,12.4,-0.10 (-0.80 %),308000000,0,
04/01/2022,,,12.6,12.8,12.5,12.5,,12700,0,12.5,-0.10 (-0.79 %),160000000,0,
30/12/2021,,,12.5,12.8,12.3,12.55,,8700,0,12.55,0.15 (1.21 %),109000000,0,3.0
29/12/2021,,,11.7,12.6,11.7,12.35,,22300,0,12.35,-0.05 (-0.40 %),276000000,0,4.0
28/12/2021,,,12.6,12.7,12.4,12.4,,34300,0,12.4,-0.20 (-1.59 %),428000000,0,5.0
27/12/2021,,,12.5,12.6,12.5,12.6,,12300,0,12.6,0.10 (0.80 %),154000000,0,6.0
24/12/2021,,,12.25,12.6,12.2,12.5,,10400,0,12.5,0.20 (1.63 %),129000000,0,7.0
23/12/2021,,,12.8,13.0,12.2,12.25,,12900,0,12.25,-0.55 (-4.30 %),164000000,0,8.0
22/12/2021,,,12.9,12.9,12.6,12.8,,6900,0,12.8,-0.10 (-0.78 %),87000000,0,9.0
21/12/2021,,,13.2,13.2,12.6,12.9,,17300,0,12.9,0.40 (3.20 %),221000000,0,10.0
20/12/2021,,,12.35,12.6,12.3,12.5,,23500,0,12.5,0.20 (1.63 %),293000000,0,11.0
17/12/2021,,,12.5,12.5,12.3,12.3,,29000,0,12.3,-0.20 (-1.60 %),359000000,0,12.0
16/12/2021,,,12.8,12.8,12.4,12.5,,8600,0,12.5,0.10 (0.81 %),107000000,0,13.0
15/12/2021,,,12.5,12.5,12.35,12.4,,11500,0,12.4,-0.10 (-0.80 %),142000000,0,14.0
14/12/2021,,,12.6,12.6,12.25,12.5,,11200,0,12.5,-0.10 (-0.79 %),139000000,0,15.0
13/12/2021,,,12.65,12.7,12.55,12.6,,24100,0,12.6,-0.05 (-0.40 %),303000000,0,16.0
10/12/2021,,,12.6,12.9,12.6,12.65,,18800,0,12.65,0.05 (0.40 %),237000000,0,17.0
09/12/2021,,,12.4,12.8,12.4,12.6,,13800,0,12.6,0.20 (1.61 %),173000000,0,18.0
08/12/2021,,,12.3,12.8,12.3,12.4,,26800,0,12.4,0.20 (1.64 %),333000000,0,19.0
07/12/2021,,,12.4,12.8,12.0,12.2,,57900,0,12.2,-0.20 (-1.61 %),715000000,0,20.0
06/12/2021,,,12.4,13.0,12.4,12.4,,19000,0,12.4,0.00 (0.00 %),240000000,0,21.0
03/12/2021,,,12.6,12.8,12.3,12.4,,24600,0,12.4,-0.40 (-3.13 %),306000000,0,2.0
02/12/2021,,,13.3,13.3,12.8,12.8,,11200,0,12.8,0.15 (1.19 %),145000000,0,3.0
01/12/2021,,,12.4,12.9,12.4,12.65,,13600,0,12.65,-0.35 (-2.69 %),173000000,0,4.0
30/11/2021,,,13.2,13.4,12.75,13.0,,15600,0,13.0,-0.45 (-3.35 %),208000000,0,5.0
29/11/2021,,,13.5,13.5,12.65,13.45,,12900,0,13.45,-0.05 (-0.37 %),166000000,0,6.0
26/11/2021,,,12.8,13.6,12.8,13.5,,52100,0,13.5,0.70 (5.47 %),691000000,0,7.0
25/11/2021,,,13.2,13.2,12.6,12.8,,14100,0,12.8,-0.30 (-2.29 %),181000000,0,8.0
24/11/2021,,,13.0,13.1,12.8,13.1,,32400,0,13.1,0.10 (0.77 %),419000000,0,9.0
