date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,2.90,2.90,2.90,2.90,,0,0,2.90,0.00 (0.00 %),0,0,
01/04/2022,,,3.1,3.0,3.1,2.9,,3122343,0,2.9,-0.20 (-6.45 %),9026796000,0,
31/03/2022,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,
30/03/2022,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,
29/03/2022,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,
28/03/2022,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,
25/03/2022,,,3.2,3.2,3.3,3.1,,2496937,0,3.1,-0.10 (-3.13 %),7773220500,0,
24/03/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,
23/03/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,
22/03/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,
21/03/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,
18/03/2022,,,3.3,3.4,3.4,3.2,,3361749,0,3.2,-0.10 (-3.03 %),10612905800,0,
17/03/2022,,,3.3,3.3,3.3,3.3,,0,0,3.3,0.00 (0.00 %),0,0,
16/03/2022,,,3.3,3.3,3.3,3.3,,0,0,3.3,0.00 (0.00 %),0,0,
15/03/2022,,,3.3,3.3,3.3,3.3,,0,0,3.3,0.00 (0.00 %),0,0,
14/03/2022,,,3.3,3.3,3.3,3.3,,0,0,3.3,0.00 (0.00 %),0,0,
11/03/2022,,,3.0,3.0,3.3,3.3,,6194489,2,3.3,0.30 (10.00 %),20363313700,5400,
10/03/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
09/03/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
08/03/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
07/03/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
04/03/2022,,,3.0,3.0,3.2,3.0,,1913576,0,3.0,0.00 (0.00 %),5806896700,0,
03/03/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
02/03/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
01/03/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
28/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,
25/02/2022,,,3.0,3.0,3.1,3.0,,3546337,0,3.0,0.00 (0.00 %),10509413300,0,3.0
24/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,4.0
23/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,5.0
22/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,6.0
21/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,7.0
18/02/2022,,,3.0,3.0,3.2,3.0,,1661191,0,3.0,0.00 (0.00 %),5140135100,0,8.0
17/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,9.0
16/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,10.0
15/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,11.0
14/02/2022,,,3.0,3.0,3.0,3.0,,0,0,3.0,0.00 (0.00 %),0,0,12.0
11/02/2022,,,2.9,2.9,3.1,3.0,,1152026,0,3.0,0.10 (3.45 %),3513930100,0,13.0
10/02/2022,,,2.9,2.9,2.9,2.9,,0,0,2.9,0.00 (0.00 %),0,0,14.0
09/02/2022,,,2.9,2.9,2.9,2.9,,0,0,2.9,0.00 (0.00 %),0,0,15.0
08/02/2022,,,2.9,2.9,2.9,2.9,,0,0,2.9,0.00 (0.00 %),0,0,16.0
07/02/2022,,,2.9,2.9,2.9,2.9,,0,0,2.9,0.00 (0.00 %),0,0,17.0
28/01/2022,,,3.2,3.2,3.2,2.9,,2894395,0,2.9,-0.30 (-9.38 %),8493440200,0,18.0
27/01/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,19.0
26/01/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,20.0
25/01/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,21.0
24/01/2022,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,2.0
21/01/2022,,,3.4,3.4,3.5,3.2,,2733416,0,3.2,-0.20 (-5.88 %),8931536800,0,3.0
20/01/2022,,,3.4,3.4,3.4,3.4,,0,0,3.4,0.00 (0.00 %),0,0,4.0
19/01/2022,,,3.4,3.4,3.4,3.4,,0,0,3.4,0.00 (0.00 %),0,0,5.0
18/01/2022,,,3.4,3.4,3.4,3.4,,0,0,3.4,0.00 (0.00 %),0,0,6.0
17/01/2022,,,3.4,3.4,3.4,3.4,,0,0,3.4,0.00 (0.00 %),0,0,7.0
14/01/2022,,,3.7,3.7,3.8,3.4,,5580598,0,3.4,-0.30 (-8.11 %),19098130600,0,8.0
13/01/2022,,,3.7,3.7,3.7,3.7,,0,0,3.7,0.00 (0.00 %),0,0,9.0
12/01/2022,,,3.7,3.7,3.7,3.7,,0,0,3.7,0.00 (0.00 %),0,0,10.0
11/01/2022,,,3.7,3.7,3.7,3.7,,0,0,3.7,0.00 (0.00 %),0,0,11.0
10/01/2022,,,3.7,3.7,3.7,3.7,,0,0,3.7,0.00 (0.00 %),0,0,12.0
07/01/2022,,,3.4,3.5,3.7,3.7,,2745203,0,3.7,0.30 (8.82 %),10151081100,0,13.0
06/01/2022,,,3.4,3.4,3.4,3.4,,0,0,3.4,0.00 (0.00 %),0,0,14.0
05/01/2022,,,3.4,3.4,3.4,3.4,,0,0,3.4,0.00 (0.00 %),0,0,15.0
04/01/2022,,,3.4,3.4,3.4,3.4,,0,0,3.4,0.00 (0.00 %),0,0,16.0
31/12/2021,,,3.1,3.1,3.4,3.4,,7400483,0,3.4,0.30 (9.68 %),24820243600,0,17.0
30/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,18.0
29/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,19.0
28/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,20.0
27/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,21.0
24/12/2021,,,3.2,3.2,3.4,3.1,,3144402,0,3.1,-0.10 (-3.13 %),10081084200,0,2.0
23/12/2021,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,3.0
22/12/2021,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,4.0
21/12/2021,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,5.0
20/12/2021,,,3.2,3.2,3.2,3.2,,0,0,3.2,0.00 (0.00 %),0,0,6.0
17/12/2021,,,3.1,3.1,3.3,3.2,,3759076,50,3.2,0.10 (3.23 %),12059902100,140000,7.0
16/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,8.0
15/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,9.0
14/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,10.0
13/12/2021,,,3.1,3.1,3.1,3.1,,0,0,3.1,0.00 (0.00 %),0,0,11.0
10/12/2021,,,3.3,3.3,3.4,3.1,,4772497,0,3.1,-0.20 (-6.06 %),15154303100,0,12.0
