date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,92.20,93.00,93.90,1.70 (1.84 %),,4528784300,93.90,93.90,48522,0,
01/04/2022,,,0,92.90,91.5,92.80,-0.10 (-0.11 %),,2905200000,92.80,92.80,31500,0,
31/03/2022,,,0,91.70,93.40,92.70,1.00 (1.09 %),,4124710000,92.70,92.70,44400,0,
30/03/2022,,,0,90.0,90.0,92.0,2.00 (2.22 %),,10330425500,92.0,92.0,112676,0,
29/03/2022,,,0,89.7,89.0,90.8,1.10 (1.23 %),,7703260000,90.8,90.8,85600,0,
28/03/2022,,,0,90.1,89.8,89.6,-0.50 (-0.55 %),,4380068000,89.6,89.6,48820,0,
25/03/2022,,,0,89.7,89.9,89.7,0.00 (0.00 %),,7674910000,89.7,89.7,85200,0,
24/03/2022,,,0,89.7,89.7,89.7,0.00 (0.00 %),,2241580000,89.7,89.7,25001,0,
23/03/2022,,,0,89.6,89.6,89.6,0.00 (0.00 %),,7313690000,89.6,89.6,81500,0,
22/03/2022,,,0,89.7,89.9,89.5,-0.20 (-0.22 %),,6691238900,89.5,89.5,74720,0,
21/03/2022,,,0,89.0,89.0,89.8,0.80 (0.90 %),,8379800000,89.8,89.8,93401,0,
18/03/2022,,,0,89.6,89.6,88.6,-1.00 (-1.12 %),,1477570000,88.6,88.6,16602,0,
17/03/2022,,,0,89.9,89.9,89.3,-0.60 (-0.67 %),,3513404500,89.3,89.3,39215,0,
16/03/2022,,,0,89.2,91.0,89.6,0.40 (0.45 %),,1815450000,89.6,89.6,20200,0,
15/03/2022,,,0,90.1,90.0,89.0,-1.10 (-1.22 %),,5097911600,89.0,89.0,57122,0,
14/03/2022,,,0,90.7,91.4,89.5,-1.20 (-1.32 %),,6165195300,89.5,89.5,68409,0,
11/03/2022,,,0,88.7,88.7,91.4,2.70 (3.04 %),,10768842500,91.4,91.4,118744,0,
10/03/2022,,,0,89.0,89.5,88.0,-1.00 (-1.12 %),,9264970000,88.0,88.0,104500,0,
09/03/2022,,,0,89.6,89.6,89.2,-0.40 (-0.45 %),,4405180000,89.2,89.2,49500,0,
08/03/2022,,,13500000000,90.4,90.0,90.0,-0.40 (-0.44 %),,9404844400,90.0,90.0,105019,150000,
07/03/2022,,,0,93.3,93.4,89.3,-4.00 (-4.29 %),,17631293000,89.3,89.3,194934,0,
04/03/2022,,,48000000000,93.4,93.0,93.4,0.00 (0.00 %),,9235399000,93.4,93.4,99018,500000,
03/03/2022,,,0,94.6,94.3,93.3,-1.30 (-1.37 %),,4879262100,93.3,93.3,52234,0,
02/03/2022,,,0,94.8,94.5,94.3,-0.50 (-0.53 %),,2979660000,94.3,94.3,31500,0,
01/03/2022,,,0,95.3,95.4,95.3,0.00 (0.00 %),,3029868800,95.3,95.3,31953,0,
28/02/2022,,,4510000000,96.4,96.4,95.9,-0.50 (-0.52 %),,2703309000,95.9,95.9,28371,55000,
25/02/2022,,,0,94.1,94.1,97.0,2.90 (3.08 %),,10490718400,97.0,97.0,108809,0,
24/02/2022,,,0,94.6,94.5,94.0,-0.60 (-0.63 %),,14494172900,94.0,94.0,154007,0,
23/02/2022,,,0,95.2,95.0,94.5,-0.70 (-0.74 %),,7966272100,94.5,94.5,84212,0,
22/02/2022,,,0,96.5,96.4,95.0,-1.50 (-1.55 %),,5763839700,95.0,95.0,60516,0,
21/02/2022,,,0,96.5,96.4,96.4,-0.10 (-0.10 %),,7333964000,96.4,96.4,75971,0,
18/02/2022,,,0,95.5,95.9,96.4,0.90 (0.94 %),,16555914900,96.4,96.4,171598,0,
17/02/2022,,,0,95.9,95.0,95.9,0.00 (0.00 %),,10133047400,95.9,95.9,106076,0,
