date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,51.80,51.80,51.00,51.60,,170500,0,51.60,0.20 (0.39 %),8778000000,0,
01/04/2022,,,51.10,51.60,50.50,51.40,,179500,0,51.40,0.50 (0.98 %),9167000000,0,
31/03/2022,,,51.3,51.7,50.8,50.9,,128600,0,50.9,-0.30 (-0.59 %),6578000000,0,
30/03/2022,,,51.0,51.7,50.9,51.2,,154000,0,51.2,-0.20 (-0.39 %),7900000000,0,
29/03/2022,,,51.1,51.6,50.7,51.4,,170500,0,51.4,0.30 (0.59 %),8737000000,0,
28/03/2022,,,50.5,51.1,50.1,51.1,,147700,0,51.1,0.40 (0.79 %),7470000000,0,
25/03/2022,,,50.5,51.0,50.1,50.7,,151200,0,50.7,0.20 (0.40 %),7640000000,0,
24/03/2022,,,50.3,50.8,49.85,50.5,,149900,0,50.5,0.10 (0.20 %),7544000000,0,
23/03/2022,,,51.1,51.2,50.3,50.4,,134500,0,50.4,-0.70 (-1.37 %),6818000000,0,
22/03/2022,,,51.4,51.9,50.9,51.1,,151400,0,51.1,-0.10 (-0.20 %),7778000000,0,
21/03/2022,,,51.0,51.5,50.8,51.2,,155300,0,51.2,0.20 (0.39 %),7946000000,0,
18/03/2022,,,50.2,51.1,50.2,51.0,,120600,0,51.0,0.70 (1.39 %),6117000000,0,
17/03/2022,,,49.7,50.4,49.7,50.3,,103400,0,50.3,0.50 (1.00 %),5172000000,0,
16/03/2022,,,50.0,50.4,49.65,49.75,,132100,0,49.75,-0.35 (-0.70 %),6591000000,0,
15/03/2022,,,50.4,51.0,49.7,50.1,,149600,0,50.1,-0.60 (-1.18 %),7503000000,0,
14/03/2022,,,50.6,50.8,49.75,50.7,,161400,0,50.7,0.10 (0.20 %),8107000000,0,
11/03/2022,,,51.5,51.7,50.5,50.6,,176200,0,50.6,-1.60 (-3.07 %),9015000000,0,
10/03/2022,,,51.5,52.5,51.5,52.2,,178700,0,52.2,0.50 (0.97 %),9311000000,0,
09/03/2022,,,52.0,52.6,51.5,51.7,,186900,0,51.7,-0.20 (-0.39 %),9729000000,0,
08/03/2022,,,51.7,53.1,51.4,51.9,,254100,0,51.9,0.10 (0.19 %),13295000000,0,
07/03/2022,,,51.3,51.8,50.9,51.8,,157400,0,51.8,0.50 (0.97 %),8074000000,0,
04/03/2022,,,50.3,51.5,50.1,51.3,,209900,0,51.3,0.70 (1.38 %),10667000000,0,
03/03/2022,,,50.7,51.2,50.4,50.6,,123000,0,50.6,-0.20 (-0.39 %),6236000000,0,
02/03/2022,,,51.3,51.5,50.6,50.8,,140500,0,50.8,-0.30 (-0.59 %),7167000000,0,
01/03/2022,,,51.3,51.8,51.0,51.1,,153700,0,51.1,-0.20 (-0.39 %),7904000000,0,
28/02/2022,,,51.2,51.7,50.5,51.3,,171100,0,51.3,0.20 (0.39 %),8740000000,0,
25/02/2022,,,51.2,51.8,51.0,51.1,,168100,0,51.1,-0.10 (-0.20 %),8635000000,0,
24/02/2022,,,50.5,51.9,50.5,51.2,,184300,0,51.2,-0.20 (-0.39 %),9440000000,0,
23/02/2022,,,50.3,51.7,50.2,51.4,,181000,0,51.4,1.10 (2.19 %),9231000000,0,
22/02/2022,,,50.2,50.5,49.9,50.3,,167400,23100,50.3,-0.50 (-0.98 %),8390000000,1091475000,
21/02/2022,,,51.1,51.1,50.3,50.8,,150500,0,50.8,-0.30 (-0.59 %),7633000000,0,
18/02/2022,,,51.3,51.6,50.8,51.1,,158900,0,51.1,-0.30 (-0.58 %),8138000000,0,
17/02/2022,,,51.8,52.3,51.2,51.4,,147300,0,51.4,-0.40 (-0.77 %),7628000000,0,
16/02/2022,,,51.4,52.1,51.2,51.8,,147100,0,51.8,0.40 (0.78 %),7594000000,0,
15/02/2022,,,51.1,51.6,50.7,51.4,,146200,0,51.4,0.20 (0.39 %),7486000000,0,
14/02/2022,,,51.3,51.5,50.6,51.2,,118500,0,51.2,-0.20 (-0.39 %),6047000000,0,
11/02/2022,,,51.1,51.9,50.9,51.4,,145000,0,51.4,0.10 (0.19 %),7462000000,0,
10/02/2022,,,50.8,51.8,50.8,51.3,,162100,0,51.3,0.50 (0.98 %),8318000000,0,
09/02/2022,,,50.1,50.9,50.0,50.8,,138200,0,50.8,0.60 (1.20 %),6976000000,0,
08/02/2022,,,51.4,51.4,49.7,50.2,,188000,0,50.2,-1.30 (-2.52 %),9471000000,0,
07/02/2022,,,52.0,52.7,51.4,51.5,,181300,0,51.5,-0.50 (-0.96 %),9466000000,0,
28/01/2022,,,51.2,52.0,51.1,52.0,,129800,0,52.0,0.70 (1.36 %),6690000000,0,
27/01/2022,,,51.5,51.7,51.0,51.3,,124800,0,51.3,0.10 (0.20 %),6406000000,0,
