date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/06/2013,,,5.70,5.70,6.20,6.20,,27900,0,6.20,0.50 (8.77 %),166820000,0,
03/06/2013,,,5.5,5.4,5.7,5.7,,61000,0,5.7,0.20 (3.64 %),341260000,0,3.0
31/05/2013,,,5.5,5.5,5.6,5.5,,11700,0,5.5,0.00 (0.00 %),64590000,0,4.0
30/05/2013,,,5.5,5.5,5.5,5.5,,200,0,5.5,0.00 (0.00 %),1100000,0,5.0
29/05/2013,,,5.5,5.5,5.5,5.5,,1300,0,5.5,0.00 (0.00 %),7150000,0,6.0
28/05/2013,,,5.5,5.5,5.5,5.5,,1100,0,5.5,0.00 (0.00 %),6050000,0,7.0
27/05/2013,,,5.5,5.5,5.6,5.5,,10000,0,5.5,0.00 (0.00 %),55200000,0,8.0
24/05/2013,,,5.7,5.5,5.5,5.5,,1600,0,5.5,-0.20 (-3.51 %),8800000,0,9.0
23/05/2013,,,5.7,5.5,5.7,5.7,,5600,0,5.7,0.00 (0.00 %),31800000,0,10.0
22/05/2013,,,5.4,5.3,5.7,5.7,,23500,0,5.7,0.30 (5.56 %),131350000,0,11.0
21/05/2013,,,5.4,5.4,5.4,5.4,,0,0,5.4,0.00 (0.00 %),0,0,12.0
20/05/2013,,,5.7,5.4,5.4,5.4,,3000,0,5.4,-0.30 (-5.26 %),16200000,0,13.0
17/05/2013,,,5.6,5.7,5.7,5.7,,200,0,5.7,0.10 (1.79 %),1140000,0,14.0
16/05/2013,,,5.3,5.6,5.6,5.6,,4800,0,5.6,0.30 (5.66 %),26640000,0,15.0
15/05/2013,,,5.4,5.5,5.6,5.3,,23800,0,5.3,-0.10 (-1.85 %),131880000,0,16.0
14/05/2013,,,5.3,5.3,5.4,5.4,,7200,0,5.4,0.10 (1.89 %),38780000,0,17.0
13/05/2013,,,5.3,5.3,5.3,5.3,,2800,0,5.3,0.00 (0.00 %),14840000,0,18.0
10/05/2013,,,5.6,5.3,5.3,5.3,,2000,0,5.3,-0.30 (-5.36 %),10600000,0,19.0
09/05/2013,,,5.6,5.6,5.6,5.6,,0,0,5.6,0.00 (0.00 %),0,0,20.0
08/05/2013,,,5.4,5.2,5.7,5.6,,17300,0,5.6,0.20 (3.70 %),94360000,0,21.0
07/05/2013,,,5.3,5.4,5.4,5.4,,3900,0,5.4,0.10 (1.89 %),21060000,0,2.0
06/05/2013,,,5.4,5.4,5.4,5.3,,4600,0,5.3,-0.10 (-1.85 %),24830000,0,3.0
03/05/2013,,,5.4,5.3,5.4,5.4,,11800,0,5.4,0.00 (0.00 %),63520000,0,4.0
02/05/2013,,,5.4,5.4,5.5,5.4,,62400,0,5.4,0.00 (0.00 %),342430000,0,5.0
26/04/2013,,,5.4,5.4,5.4,5.4,,7000,0,5.4,0.00 (0.00 %),37800000,0,6.0
25/04/2013,,,5.4,5.2,5.4,5.4,,2000,0,5.4,0.00 (0.00 %),10580000,0,7.0
24/04/2013,,,5.1,5.3,5.4,5.4,,7500,0,5.4,0.30 (5.88 %),40380000,0,8.0
23/04/2013,,,5.3,5.1,5.1,5.1,,1100,0,5.1,-0.20 (-3.77 %),5610000,0,9.0
22/04/2013,,,5.1,5.2,5.3,5.3,,15100,0,5.3,0.20 (3.92 %),79840000,0,10.0
18/04/2013,,,5.0,5.1,5.1,5.1,,1000,0,5.1,0.10 (2.00 %),5100000,0,11.0
17/04/2013,,,5.3,5.2,5.4,5.0,,111700,0,5.0,-0.30 (-5.66 %),592760000,0,12.0
16/04/2013,,,5.3,5.3,5.3,5.3,,0,0,5.3,0.00 (0.00 %),0,0,13.0
15/04/2013,,,4.9,5.0,5.3,5.3,,32400,0,5.3,0.40 (8.16 %),169150000,0,14.0
12/04/2013,,,4.9,4.9,4.9,4.9,,5200,0,4.9,0.00 (0.00 %),25480000,0,15.0
11/04/2013,,,5.0,4.9,4.9,4.9,,1300,0,4.9,-0.10 (-2.00 %),6370000,0,16.0
10/04/2013,,,5.0,5.0,5.0,5.0,,9800,0,5.0,0.00 (0.00 %),49000000,0,17.0
09/04/2013,,,4.9,5.0,5.0,5.0,,37400,0,5.0,0.10 (2.04 %),187000000,0,18.0
08/04/2013,,,4.9,4.9,4.9,4.9,,1500,0,4.9,0.00 (0.00 %),7350000,0,19.0
05/04/2013,,,5.0,4.9,4.9,4.9,,100,0,4.9,-0.10 (-2.00 %),490000,0,20.0
04/04/2013,,,4.9,4.8,5.1,5.0,,99700,0,5.0,0.10 (2.04 %),497590000,0,21.0
03/04/2013,,,4.8,4.9,4.9,4.9,,9800,0,4.9,0.10 (2.08 %),48020000,0,2.0
02/04/2013,,,4.9,4.8,4.9,4.8,,61300,0,4.8,-0.10 (-2.04 %),298940000,0,3.0
01/04/2013,,,4.8,4.8,4.9,4.9,,33400,0,4.9,0.10 (2.08 %),162320000,0,4.0
29/03/2013,,,4.8,4.8,4.9,4.8,,21100,0,4.8,0.00 (0.00 %),103280000,0,5.0
28/03/2013,,,4.9,4.9,4.9,4.8,,15400,0,4.8,-0.10 (-2.04 %),75430000,0,6.0
27/03/2013,,,4.9,4.9,5.0,4.9,,185000,0,4.9,0.00 (0.00 %),906980000,0,7.0
26/03/2013,,,4.7,4.8,4.9,4.9,,96800,0,4.9,0.20 (4.26 %),472990000,0,8.0
25/03/2013,,,4.9,4.9,4.9,4.7,,21100,0,4.7,-0.20 (-4.08 %),103370000,0,9.0
22/03/2013,,,4.7,4.8,4.9,4.9,,233200,0,4.9,0.20 (4.26 %),1135250000,0,10.0
21/03/2013,,,5.0,4.6,4.8,4.7,,132500,0,4.7,-0.30 (-6.00 %),626670000,0,11.0
20/03/2013,,,4.6,4.2,5.0,5.0,,186300,0,5.0,0.40 (8.70 %),878040000,0,12.0
19/03/2013,,,4.7,4.7,4.7,4.6,,74300,0,4.6,-0.10 (-2.13 %),342580000,0,13.0
18/03/2013,,,4.8,4.7,4.7,4.7,,197500,0,4.7,-0.10 (-2.08 %),928250000,0,14.0
15/03/2013,,,4.7,4.7,4.9,4.8,,34900,0,4.8,0.10 (2.13 %),168560000,0,15.0
14/03/2013,,,4.7,4.7,4.8,4.7,,20100,0,4.7,0.00 (0.00 %),95770000,0,16.0
13/03/2013,,,4.7,4.7,4.8,4.7,,8700,0,4.7,0.00 (0.00 %),41390000,0,17.0
12/03/2013,,,4.7,4.7,4.8,4.7,,11500,0,4.7,0.00 (0.00 %),54550000,0,18.0
11/03/2013,,,4.8,4.7,4.7,4.7,,34300,0,4.7,-0.10 (-2.08 %),161210000,0,19.0
08/03/2013,,,4.8,4.7,4.8,4.8,,9800,0,4.8,0.00 (0.00 %),46550000,0,20.0
07/03/2013,,,4.7,4.7,4.8,4.8,,3700,0,4.8,0.10 (2.13 %),17400000,0,21.0
06/03/2013,,,4.7,4.8,4.8,4.7,,18400,0,4.7,0.00 (0.00 %),87480000,0,2.0
