date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,46.40,46.40,43.20,43.20,,1402300,0,43.20,-3.20 (-6.90 %),61433000000,0,
01/04/2022,,,44.40,46.45,44.00,46.40,,715700,0,46.40,1.90 (4.27 %),32756000000,0,
31/03/2022,,,45.0,45.3,43.6,44.5,,743700,0,44.5,0.20 (0.45 %),33093000000,0,
30/03/2022,,,47.6,47.6,44.3,44.3,,1650800,0,44.3,-3.30 (-6.93 %),74668000000,0,
29/03/2022,,,47.4,48.6,46.1,47.6,,1032300,0,47.6,0.20 (0.42 %),48987000000,0,
28/03/2022,,,43.55,47.8,43.55,47.4,,1642800,0,47.4,2.40 (5.33 %),76257000000,0,
25/03/2022,,,42.0,45.5,41.8,45.0,,1733700,0,45.0,2.20 (5.14 %),76066000000,0,
24/03/2022,,,43.5,43.65,42.1,42.8,,1175800,0,42.8,1.10 (2.64 %),50409000000,0,
23/03/2022,,,39.3,41.7,39.3,41.7,,2072600,0,41.7,2.70 (6.92 %),84397000000,0,
22/03/2022,,,38.4,39.8,37.35,39.0,,969700,0,39.0,1.00 (2.63 %),37413000000,0,
21/03/2022,,,39.0,39.3,36.0,38.0,,428000,0,38.0,-0.50 (-1.30 %),16315000000,0,
18/03/2022,,,37.15,38.5,36.2,38.5,,755500,0,38.5,1.50 (4.05 %),28230000000,0,
17/03/2022,,,39.8,40.0,36.95,37.0,,1653200,0,37.0,-2.70 (-6.80 %),62594000000,0,
16/03/2022,,,40.1,41.9,39.6,39.7,,728600,0,39.7,0.10 (0.25 %),29693000000,0,
15/03/2022,,,39.0,39.9,38.0,39.6,,841600,0,39.6,0.60 (1.54 %),32882000000,0,
14/03/2022,,,41.9,44.0,39.0,39.0,,1503600,0,39.0,-2.90 (-6.92 %),63908000000,0,
11/03/2022,,,40.4,42.0,40.0,41.9,,1972500,0,41.9,2.60 (6.62 %),81748000000,0,
10/03/2022,,,38.5,40.2,37.3,39.3,,926000,0,39.3,0.20 (0.51 %),36141000000,0,
09/03/2022,,,37.35,39.05,36.85,39.05,,1247000,0,39.05,2.55 (6.99 %),47693000000,0,
08/03/2022,,,38.6,39.5,36.5,36.5,,942300,0,36.5,-1.10 (-2.93 %),35961000000,0,
07/03/2022,,,36.5,37.55,35.95,37.55,,1506500,0,37.55,2.45 (6.98 %),56164000000,0,
04/03/2022,,,35.1,35.65,34.2,35.1,,563300,0,35.1,-0.10 (-0.28 %),19687000000,0,
03/03/2022,,,34.55,35.5,34.55,35.2,,678600,0,35.2,0.70 (2.03 %),23882000000,0,
02/03/2022,,,33.7,34.9,33.65,34.5,,513500,0,34.5,1.00 (2.99 %),17585000000,0,
01/03/2022,,,35.4,35.45,33.5,33.5,,655000,0,33.5,-1.30 (-3.74 %),22359000000,0,
28/02/2022,,,33.6,35.5,33.6,34.8,,903500,0,34.8,1.10 (3.26 %),31424000000,0,
25/02/2022,,,33.5,34.2,33.2,33.65,,441500,0,33.65,0.85 (2.59 %),14887000000,0,
24/02/2022,,,31.45,33.0,31.0,32.8,,941700,0,32.8,1.70 (5.47 %),30363000000,0,
23/02/2022,,,30.35,31.15,30.35,31.1,,342400,0,31.1,0.70 (2.30 %),10552000000,0,
22/02/2022,,,30.9,30.9,30.25,30.4,,116900,0,30.4,-0.50 (-1.62 %),3568000000,0,
21/02/2022,,,30.9,31.0,30.65,30.9,,169300,0,30.9,0.00 (0.00 %),5210000000,0,
18/02/2022,,,30.3,31.1,30.3,30.9,,152700,0,30.9,-0.10 (-0.32 %),4727000000,0,
17/02/2022,,,30.5,31.2,30.25,31.0,,116500,0,31.0,-0.10 (-0.32 %),3600000000,0,
16/02/2022,,,30.75,31.2,30.35,31.05,,130300,0,31.05,0.25 (0.81 %),4020000000,0,
15/02/2022,,,30.4,31.5,29.6,30.75,,136400,0,30.75,0.25 (0.82 %),4125000000,0,
14/02/2022,,,29.6,30.65,29.6,30.45,,144600,0,30.45,-0.35 (-1.14 %),4396000000,0,
11/02/2022,,,30.4,31.15,30.4,30.8,,310000,0,30.8,0.40 (1.32 %),9530000000,0,
10/02/2022,,,29.8,30.6,29.5,30.4,,276800,0,30.4,0.60 (2.01 %),8306000000,0,
09/02/2022,,,29.5,30.0,29.2,29.75,,151300,0,29.75,0.55 (1.88 %),4486000000,0,
08/02/2022,,,28.4,29.45,28.3,29.15,,204200,0,29.15,0.75 (2.64 %),5896000000,0,
07/02/2022,,,28.0,28.5,27.85,28.4,,167200,0,28.4,1.30 (4.80 %),4697000000,0,
28/01/2022,,,27.7,27.8,27.05,27.05,,74200,0,27.05,-0.65 (-2.35 %),2038000000,0,
27/01/2022,,,27.3,27.8,26.95,27.65,,140400,0,27.65,0.85 (3.17 %),3877000000,0,
26/01/2022,,,26.1,27.15,26.1,26.8,,253700,0,26.8,0.70 (2.68 %),6782000000,0,
25/01/2022,,,25.75,26.3,25.0,26.1,,131900,0,26.1,0.40 (1.56 %),3384000000,0,
24/01/2022,,,27.4,27.4,25.55,25.7,,130700,0,25.7,-1.70 (-6.20 %),3433000000,0,
21/01/2022,,,28.1,28.1,27.3,27.4,,92000,0,27.4,-0.70 (-2.49 %),2533000000,0,
20/01/2022,,,27.55,28.0,27.0,27.9,,60000,0,27.9,0.40 (1.45 %),1665000000,0,
19/01/2022,,,28.45,28.45,27.1,27.15,,165200,0,27.15,0.45 (1.69 %),4595000000,0,
18/01/2022,,,26.9,26.9,25.15,26.7,,351100,0,26.7,-0.30 (-1.11 %),9080000000,0,
17/01/2022,,,29.0,29.05,27.0,27.0,,349600,0,27.0,-2.00 (-6.90 %),9708000000,0,
14/01/2022,,,29.5,29.7,29.0,29.0,,156600,0,29.0,-0.80 (-2.68 %),4576000000,0,
13/01/2022,,,30.8,30.8,29.7,29.8,,168500,0,29.8,-0.70 (-2.30 %),5071000000,0,
12/01/2022,,,29.2,31.0,29.0,30.5,,219900,0,30.5,0.40 (1.33 %),6570000000,0,
11/01/2022,,,30.6,30.9,30.0,30.05,,261700,0,30.05,-0.65 (-2.12 %),7963000000,0,
10/01/2022,,,32.1,32.15,30.2,30.7,,635000,0,30.7,-1.40 (-4.36 %),19724000000,0,
