date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
28/03/2017,,,0.92,0.92,0.92,0.92,,73780,0,0.92,-0.06 (-6.12 %),68000000,0,
27/03/2017,,,0.98,0.98,0.98,0.98,,569090,0,0.98,-0.07 (-6.67 %),558000000,0,3.0
24/03/2017,,,1.05,1.05,1.05,1.05,,171210,0,1.05,-0.07 (-6.25 %),180000000,0,4.0
23/03/2017,,,1.11,1.14,1.1,1.12,,88910,0,1.12,0.00 (0.00 %),99000000,0,5.0
22/03/2017,,,1.13,1.14,1.1,1.12,,217060,0,1.12,-0.03 (-2.61 %),242000000,0,6.0
21/03/2017,,,1.14,1.15,1.13,1.15,,118330,0,1.15,0.01 (0.88 %),135000000,0,7.0
20/03/2017,,,1.12,1.16,1.12,1.14,,132040,0,1.14,0.02 (1.79 %),148000000,0,8.0
17/03/2017,,,1.18,1.18,1.12,1.12,,127380,0,1.12,-0.02 (-1.75 %),144000000,0,9.0
16/03/2017,,,1.19,1.19,1.13,1.14,,61130,0,1.14,0.00 (0.00 %),69000000,0,10.0
15/03/2017,,,1.15,1.16,1.13,1.14,,120440,0,1.14,-0.03 (-2.56 %),138000000,0,11.0
14/03/2017,,,1.18,1.19,1.14,1.17,,112500,0,1.17,-0.02 (-1.68 %),131000000,0,12.0
13/03/2017,,,1.14,1.19,1.11,1.19,,66670,0,1.19,0.00 (0.00 %),78000000,0,13.0
10/03/2017,,,1.19,1.2,1.15,1.19,,187150,0,1.19,0.01 (0.85 %),223000000,0,14.0
09/03/2017,,,1.18,1.19,1.15,1.18,,49770,0,1.18,0.00 (0.00 %),58000000,0,15.0
08/03/2017,,,1.13,1.19,1.13,1.18,,97250,0,1.18,0.05 (4.42 %),112000000,0,16.0
07/03/2017,,,1.2,1.2,1.13,1.13,,107850,0,1.13,-0.06 (-5.04 %),127000000,0,17.0
06/03/2017,,,1.15,1.2,1.15,1.19,,106660,0,1.19,0.04 (3.48 %),124000000,0,18.0
03/03/2017,,,1.17,1.2,1.15,1.15,,77060,0,1.15,-0.02 (-1.71 %),89000000,0,19.0
02/03/2017,,,1.18,1.22,1.17,1.17,,151170,0,1.17,0.00 (0.00 %),179000000,0,20.0
01/03/2017,,,1.19,1.19,1.13,1.17,,91470,0,1.17,0.00 (0.00 %),105000000,0,21.0
28/02/2017,,,1.23,1.23,1.16,1.17,,60670,0,1.17,-0.06 (-4.88 %),72000000,0,2.0
27/02/2017,,,1.23,1.24,1.19,1.23,,181940,0,1.23,-0.04 (-3.15 %),218000000,0,3.0
24/02/2017,,,1.29,1.29,1.19,1.27,,123110,0,1.27,0.03 (2.42 %),153000000,0,4.0
23/02/2017,,,1.22,1.26,1.21,1.24,,487880,0,1.24,-0.06 (-4.62 %),592000000,0,5.0
22/02/2017,,,1.31,1.4,1.23,1.3,,180640,0,1.3,-0.01 (-0.76 %),238000000,0,6.0
21/02/2017,,,1.31,1.31,1.31,1.31,,35560,0,1.31,0.08 (6.50 %),47000000,0,7.0
20/02/2017,,,1.18,1.23,1.18,1.23,,361310,0,1.23,0.08 (6.96 %),444000000,0,8.0
17/02/2017,,,1.19,1.19,1.14,1.15,,37930,0,1.15,-0.05 (-4.17 %),44000000,0,9.0
