date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,13.00,13.00,13.00,13.00,,400,0,13.00,0.00 (0.00 %),5200000,0,
01/04/2022,,,13.0,13.0,13.0,13.0,,70,0,13.0,0.00 (0.00 %),819000,0,
31/03/2022,,,13.0,13.0,13.0,13.0,,0,0,13.0,0.00 (0.00 %),0,0,
30/03/2022,,,12.0,13.0,13.1,13.0,,5115,0,13.0,1.00 (8.33 %),66596000,0,
29/03/2022,,,12.9,12.7,12.7,12.0,,380,0,12.0,-0.90 (-6.98 %),4676000,0,
28/03/2022,,,12.9,12.9,12.9,12.9,,21,0,12.9,0.00 (0.00 %),252000,0,
25/03/2022,,,13.4,12.9,12.9,12.9,,100,0,12.9,-0.50 (-3.73 %),1290000,0,
24/03/2022,,,13.4,13.4,13.4,13.4,,2610,0,13.4,0.00 (0.00 %),34977000,0,
23/03/2022,,,13.4,13.3,13.4,13.4,,15000,0,13.4,0.00 (0.00 %),200830000,0,
22/03/2022,,,13.4,13.4,13.4,13.4,,0,0,13.4,0.00 (0.00 %),0,0,
21/03/2022,,,13.4,13.4,13.4,13.4,,0,0,13.4,0.00 (0.00 %),0,0,
18/03/2022,,,13.7,13.5,13.5,13.4,,800,0,13.4,-0.30 (-2.19 %),10760000,0,
17/03/2022,,,13.7,13.0,13.7,13.7,,2600,0,13.7,0.00 (0.00 %),35500000,0,
16/03/2022,,,13.5,13.7,13.7,13.7,,3900,0,13.7,0.20 (1.48 %),51560000,0,
15/03/2022,,,13.7,12.8,13.5,13.5,,15200,0,13.5,-0.20 (-1.46 %),194700000,0,
14/03/2022,,,13.7,13.7,13.7,13.7,,16300,0,13.7,0.00 (0.00 %),209710000,0,
11/03/2022,,,13.8,13.0,13.7,13.7,,20819,0,13.7,-0.10 (-0.72 %),270147500,0,
10/03/2022,,,13.1,13.0,13.8,13.8,,6000,0,13.8,0.70 (5.34 %),80740000,0,
09/03/2022,,,13.4,13.7,13.7,13.1,,604,0,13.1,-0.30 (-2.24 %),7974800,0,
08/03/2022,,,13.0,13.5,13.8,13.4,,21364,0,13.4,0.40 (3.08 %),290542000,0,
07/03/2022,,,13.0,13.7,13.8,13.0,,3600,0,13.0,0.00 (0.00 %),47890000,0,
04/03/2022,,,12.6,13.1,13.2,13.0,,9609,0,13.0,0.40 (3.17 %),125355400,0,
03/03/2022,,,12.6,12.6,12.6,12.6,,0,0,12.6,0.00 (0.00 %),0,0,
02/03/2022,,,12.6,12.6,12.6,12.6,,0,0,12.6,0.00 (0.00 %),0,0,
01/03/2022,,,12.1,12.6,12.6,12.6,,917,0,12.6,0.50 (4.13 %),11545700,0,
28/02/2022,,,12.0,12.1,12.1,12.1,,104,0,12.1,0.10 (0.83 %),1259400,0,
25/02/2022,,,13.1,12.0,12.0,12.0,,110,0,12.0,-1.10 (-8.40 %),1320000,0,3.0
24/02/2022,,,13.2,13.1,13.1,13.1,,100,0,13.1,-0.10 (-0.76 %),1310000,0,4.0
23/02/2022,,,12.0,13.2,13.2,13.2,,100,0,13.2,1.20 (10.00 %),1320000,0,5.0
22/02/2022,,,12.5,12.0,12.0,12.0,,100,0,12.0,-0.50 (-4.00 %),1200000,0,6.0
21/02/2022,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,7.0
18/02/2022,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,8.0
17/02/2022,,,12.5,12.5,12.5,12.5,,0,0,12.5,0.00 (0.00 %),0,0,9.0
16/02/2022,,,12.0,13.1,13.1,12.5,,927,0,12.5,0.50 (4.17 %),12009000,0,10.0
15/02/2022,,,12.5,12.0,12.0,12.0,,200,0,12.0,-0.50 (-4.00 %),2400000,0,11.0
14/02/2022,,,12.6,13.4,13.4,12.5,,13900,0,12.5,-0.10 (-0.79 %),184890000,0,12.0
11/02/2022,,,12.5,13.1,13.1,12.6,,5405,0,12.6,0.10 (0.80 %),70752500,0,13.0
10/02/2022,,,12.0,12.8,13.2,12.5,,9400,0,12.5,0.50 (4.17 %),122950000,0,14.0
09/02/2022,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,15.0
08/02/2022,,,12.0,12.0,12.0,12.0,,100,0,12.0,0.00 (0.00 %),1200000,0,16.0
07/02/2022,,,11.4,12.5,12.5,12.0,,300,0,12.0,0.60 (5.26 %),3700000,0,17.0
28/01/2022,,,12.3,11.2,11.4,11.4,,200,0,11.4,-0.90 (-7.32 %),2260000,0,18.0
27/01/2022,,,12.3,12.3,12.3,12.3,,0,0,12.3,0.00 (0.00 %),0,0,19.0
26/01/2022,,,11.4,12.2,12.3,12.3,,310,0,12.3,0.90 (7.89 %),3785000,0,20.0
25/01/2022,,,12.0,11.4,11.4,11.4,,100,0,11.4,-0.60 (-5.00 %),1140000,0,21.0
24/01/2022,,,12.9,12.1,12.1,12.0,,10800,0,12.0,-0.90 (-6.98 %),129680000,0,2.0
21/01/2022,,,12.9,12.9,12.9,12.9,,310,0,12.9,0.00 (0.00 %),3991800,0,3.0
20/01/2022,,,12.9,12.9,12.9,12.9,,0,0,12.9,0.00 (0.00 %),0,0,4.0
19/01/2022,,,12.9,12.9,12.9,12.9,,100,0,12.9,0.00 (0.00 %),1290000,0,5.0
18/01/2022,,,12.1,12.2,13.0,12.9,,7210,0,12.9,0.80 (6.61 %),93072000,0,6.0
17/01/2022,,,12.0,13.1,13.1,12.1,,2110,0,12.1,0.10 (0.83 %),27541000,0,7.0
14/01/2022,,,13.2,11.9,12.0,12.0,,1100,0,12.0,-1.20 (-9.09 %),13140000,0,8.0
13/01/2022,,,13.2,13.2,13.2,13.2,,100,0,13.2,0.00 (0.00 %),1320000,0,9.0
12/01/2022,,,13.2,13.2,13.2,13.2,,0,0,13.2,0.00 (0.00 %),0,0,10.0
11/01/2022,,,13.3,13.2,13.2,13.2,,100,0,13.2,-0.10 (-0.75 %),1320000,0,11.0
10/01/2022,,,13.5,13.3,13.3,13.3,,300,0,13.3,-0.20 (-1.48 %),3990000,0,12.0
07/01/2022,,,13.5,13.5,13.5,13.5,,700,0,13.5,0.00 (0.00 %),9450000,0,13.0
06/01/2022,,,12.7,12.8,13.5,13.5,,1100,0,13.5,0.80 (6.30 %),14780000,0,14.0
05/01/2022,,,12.7,12.7,12.7,12.7,,200,0,12.7,0.00 (0.00 %),2540000,0,15.0
04/01/2022,,,13.5,12.7,12.7,12.7,,500,0,12.7,-0.80 (-5.93 %),6350000,0,16.0
31/12/2021,,,12.9,12.9,13.7,13.5,,410,0,13.5,0.60 (4.65 %),5497000,0,17.0
30/12/2021,,,12.6,13.8,13.8,12.9,,14207,0,12.9,0.30 (2.38 %),182664300,0,18.0
29/12/2021,,,12.9,14.1,14.1,12.6,,1900,0,12.6,-0.30 (-2.33 %),25570000,0,19.0
28/12/2021,,,13.3,14.2,14.2,12.9,,5150,0,12.9,-0.40 (-3.01 %),68650000,0,20.0
27/12/2021,,,13.2,14.2,14.2,13.3,,3105,0,13.3,0.10 (0.76 %),41401000,0,21.0
24/12/2021,,,13.2,14.2,14.2,13.2,,200,0,13.2,0.00 (0.00 %),2740000,0,2.0
23/12/2021,,,14.3,13.5,14.2,13.2,,3600,0,13.2,-1.10 (-7.69 %),48810000,0,3.0
22/12/2021,,,13.8,14.3,14.3,14.3,,102,0,14.3,0.50 (3.62 %),1458600,0,4.0
21/12/2021,,,13.6,13.6,13.8,13.8,,2200,0,13.8,0.20 (1.47 %),29940000,0,5.0
20/12/2021,,,14.7,14.6,14.6,13.6,,13100,0,13.6,-1.10 (-7.48 %),178260000,0,6.0
17/12/2021,,,14.7,14.7,14.7,14.7,,0,0,14.7,0.00 (0.00 %),0,0,7.0
16/12/2021,,,14.9,13.6,14.7,14.7,,932,0,14.7,-0.20 (-1.34 %),13142800,0,8.0
15/12/2021,,,14.9,13.6,14.9,14.9,,1260,0,14.9,0.00 (0.00 %),17400000,0,9.0
14/12/2021,,,14.9,14.0,14.9,14.9,,5750,0,14.9,0.00 (0.00 %),80365000,0,10.0
13/12/2021,,,15.3,13.9,14.9,14.9,,600,0,14.9,-0.40 (-2.61 %),8440000,0,11.0
10/12/2021,,,14.7,13.3,15.3,15.3,,790,0,15.3,0.60 (4.08 %),11097000,0,12.0
09/12/2021,,,13.5,13.1,14.7,14.7,,2570,0,14.7,1.20 (8.89 %),37310000,0,13.0
08/12/2021,,,14.3,12.9,15.7,13.5,,6600,0,13.5,-0.80 (-5.59 %),93670000,0,14.0
07/12/2021,,,13.3,14.4,14.4,14.3,,2405,113000,14.3,1.00 (7.52 %),34212000,1491600000,15.0
