date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,17.10,17.20,17.20,0.10 (0.58 %),,389050000,17.20,17.20,22600,0,
01/04/2022,,,0,17.00,16.9,17.30,0.30 (1.76 %),,409460000,17.30,17.30,24000,0,
31/03/2022,,,0,16.70,17.00,17.00,0.30 (1.80 %),,98852000,17.00,17.00,5815,0,
30/03/2022,,,0,16.8,16.9,16.9,0.10 (0.60 %),,1051700000,16.9,16.9,62800,0,
29/03/2022,,,0,16.8,16.8,16.9,0.10 (0.60 %),,514140000,16.9,16.9,30600,0,
28/03/2022,,,0,16.9,16.8,17.0,0.10 (0.59 %),,771080000,17.0,17.0,45900,0,
25/03/2022,,,0,16.7,16.9,16.9,0.20 (1.20 %),,18742100,16.9,16.9,1109,0,
24/03/2022,,,0,17.0,17.2,16.6,-0.40 (-2.35 %),,270670000,16.6,16.6,16210,0,
23/03/2022,,,0,17.0,17.0,17.0,0.00 (0.00 %),,251600000,17.0,17.0,14800,0,
22/03/2022,,,0,16.8,17.0,17.0,0.20 (1.19 %),,85000000,17.0,17.0,5000,0,
21/03/2022,,,0,16.8,16.8,16.8,0.00 (0.00 %),,1663000,16.8,16.8,100,0,
18/03/2022,,,0,16.7,16.8,16.8,0.10 (0.60 %),,8400000,16.8,16.8,500,0,
17/03/2022,,,0,16.7,16.7,16.7,0.00 (0.00 %),,110220000,16.7,16.7,6600,0,
16/03/2022,,,0,16.7,16.7,16.7,0.00 (0.00 %),,110220000,16.7,16.7,6600,0,
15/03/2022,,,0,16.6,16.8,16.7,0.10 (0.60 %),,30050000,16.7,16.7,1800,0,
14/03/2022,,,0,17.0,16.7,16.6,-0.40 (-2.35 %),,154730000,16.6,16.6,9300,0,
11/03/2022,,,0,16.7,16.9,16.9,0.20 (1.20 %),,52800000,16.9,16.9,3110,0,
10/03/2022,,,0,16.8,16.8,16.5,-0.30 (-1.79 %),,619849500,16.5,16.5,37137,0,
09/03/2022,,,0,16.8,16.8,16.8,0.00 (0.00 %),,6720000,16.8,16.8,400,0,
08/03/2022,,,0,16.9,16.6,16.6,-0.30 (-1.78 %),,62071000,16.6,16.6,3703,0,
07/03/2022,,,0,16.6,16.9,16.9,0.30 (1.81 %),,50700000,16.9,16.9,3000,0,
04/03/2022,,,0,16.8,16.5,16.6,-0.20 (-1.19 %),,501860000,16.6,16.6,30300,0,
03/03/2022,,,0,16.8,16.8,16.8,0.00 (0.00 %),,324240000,16.8,16.8,19300,0,
02/03/2022,,,0,16.8,16.7,16.8,0.00 (0.00 %),,149400000,16.8,16.8,8900,0,
01/03/2022,,,0,16.8,16.8,16.8,0.00 (0.00 %),,0,16.8,16.8,0,0,
