date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
22/11/2021,,,0,7.60,7.80,6.60,-1.00 (-13.16 %),,52670000,6.60,6.60,7600,0,
19/11/2021,,,0,7.8,7.7,7.8,0.00 (0.00 %),,140670000,7.8,7.8,18500,0,3.0
18/11/2021,,,0,8.6,8.6,8.2,-0.40 (-4.65 %),,173848000,8.2,8.2,22221,0,4.0
17/11/2021,,,0,8.6,8.6,8.5,-0.10 (-1.16 %),,42060000,8.5,8.5,4900,0,5.0
16/11/2021,,,0,7.9,8.3,8.2,0.30 (3.80 %),,189760000,8.2,8.2,22060,0,6.0
15/11/2021,,,0,7.3,7.6,8.3,1.00 (13.70 %),,601216600,8.3,8.3,76508,0,7.0
12/11/2021,,,0,6.8,6.9,7.6,0.80 (11.76 %),,195290000,7.6,7.6,26600,0,8.0
11/11/2021,,,0,6.7,7.0,6.9,0.20 (2.99 %),,66380000,6.9,6.9,9700,0,9.0
10/11/2021,,,0,6.6,6.8,7.0,0.40 (6.06 %),,95910000,7.0,7.0,14262,0,10.0
09/11/2021,,,0,6.7,6.7,6.6,-0.10 (-1.49 %),,71940100,6.6,6.6,10903,0,11.0
08/11/2021,,,0,6.5,6.6,6.9,0.40 (6.15 %),,144665000,6.9,6.9,21554,0,12.0
05/11/2021,,,0,6.5,6.5,6.6,0.10 (1.54 %),,71520000,6.6,6.6,11000,0,13.0
04/11/2021,,,0,6.7,6.7,6.4,-0.30 (-4.48 %),,205457000,6.4,6.4,31610,0,14.0
03/11/2021,,,0,7.0,6.9,6.7,-0.30 (-4.29 %),,150686000,6.7,6.7,22560,0,15.0
02/11/2021,,,0,6.9,7.1,6.8,-0.10 (-1.45 %),,57354000,6.8,6.8,8260,0,16.0
01/11/2021,,,0,6.7,6.7,7.3,0.60 (8.96 %),,246052200,7.3,7.3,35409,0,17.0
29/10/2021,,,0,6.4,6.5,6.8,0.40 (6.25 %),,196920000,6.8,6.8,29500,0,18.0
28/10/2021,,,0,6.3,6.5,6.5,0.20 (3.17 %),,64270000,6.5,6.5,10100,0,19.0
27/10/2021,,,0,6.3,6.3,6.3,0.00 (0.00 %),,47920000,6.3,6.3,7600,0,20.0
26/10/2021,,,0,6.5,6.2,6.6,0.10 (1.54 %),,2886000,6.6,6.6,461,0,21.0
25/10/2021,,,0,6.5,6.5,6.5,0.00 (0.00 %),,18969700,6.5,6.5,2919,0,2.0
22/10/2021,,,0,6.4,6.4,6.5,0.10 (1.56 %),,119540000,6.5,6.5,18400,0,3.0
21/10/2021,,,0,6.4,6.4,6.5,0.10 (1.56 %),,26281000,6.5,6.5,4105,0,4.0
20/10/2021,,,0,6.1,6.5,6.2,0.10 (1.64 %),,23745800,6.2,6.2,3709,0,5.0
19/10/2021,,,0,6.2,6.2,6.0,-0.20 (-3.23 %),,159570000,6.0,6.0,26200,0,6.0
18/10/2021,,,0,6.3,6.2,6.2,-0.10 (-1.59 %),,25420000,6.2,6.2,4100,0,7.0
15/10/2021,,,0,6.1,6.2,6.2,0.10 (1.64 %),,3233700,6.2,6.2,517,0,8.0
14/10/2021,,,0,6.1,6.1,6.1,0.00 (0.00 %),,7320000,6.1,6.1,1200,0,9.0
13/10/2021,,,0,6.4,6.0,6.2,-0.20 (-3.13 %),,7360000,6.2,6.2,1200,0,10.0
12/10/2021,,,0,6.1,6.1,6.4,0.30 (4.92 %),,40160000,6.4,6.4,6300,0,11.0
