date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,94.90,95.00,95.90,95.80,,3800,0,95.80,0.90 (0.95 %),362610000,0,
01/04/2022,,,94.0,92.3,94.9,94.9,,6000,0,94.9,0.90 (0.96 %),565010000,0,
31/03/2022,,,94.0,94.0,94.0,94.0,,0,0,94.0,0.00 (0.00 %),0,0,
30/03/2022,,,94.0,94.0,94.0,94.0,,800,0,94.0,0.00 (0.00 %),75200000,0,
29/03/2022,,,94.0,94.0,94.0,94.0,,0,0,94.0,0.00 (0.00 %),0,0,
28/03/2022,,,94.9,94.0,94.0,94.0,,2200,0,94.0,-0.90 (-0.95 %),206800000,0,
25/03/2022,,,94.7,94.7,95.6,94.9,,1610,0,94.9,0.20 (0.21 %),153405000,0,
24/03/2022,,,94.0,94.0,94.7,94.7,,3803,0,94.7,0.70 (0.74 %),358762000,0,
23/03/2022,,,93.0,91.2,94.0,94.0,,1703,0,94.0,1.00 (1.08 %),156986000,0,
22/03/2022,,,92.0,91.7,93.1,93.0,,24700,0,93.0,1.00 (1.09 %),2272750000,0,
21/03/2022,,,92.2,91.0,92.0,92.0,,1600,0,92.0,-0.20 (-0.22 %),146690000,0,
18/03/2022,,,91.2,91.8,92.3,92.2,,7200,0,92.2,1.00 (1.10 %),662680000,0,
17/03/2022,,,90.8,90.8,91.2,91.2,,1805,0,91.2,0.40 (0.44 %),164270000,0,
16/03/2022,,,90.4,90.4,90.8,90.8,,1725,0,90.8,0.40 (0.44 %),155980000,0,
15/03/2022,,,90.4,90.5,90.5,90.4,,1000,0,90.4,0.00 (0.00 %),90030000,0,
14/03/2022,,,90.0,90.2,90.5,90.4,,4410,0,90.4,0.40 (0.44 %),393880000,0,
11/03/2022,,,90.1,89.0,90.2,90.0,,4830,0,90.0,-0.10 (-0.11 %),432005000,0,
10/03/2022,,,90.4,90.4,90.4,90.1,,2730,0,90.1,-0.30 (-0.33 %),244045600,0,
09/03/2022,,,90.0,89.5,90.4,90.4,,2610,0,90.4,0.40 (0.44 %),233020000,0,
08/03/2022,,,90.0,90.0,90.0,90.0,,9000,0,90.0,0.00 (0.00 %),808690000,0,
07/03/2022,,,90.1,87.8,90.0,90.0,,310,0,90.0,-0.10 (-0.11 %),27461000,0,
04/03/2022,,,90.3,88.5,90.1,90.1,,5000,0,90.1,-0.20 (-0.22 %),441430000,0,
03/03/2022,,,90.5,90.3,90.3,90.3,,641,0,90.3,-0.20 (-0.22 %),57870000,0,
02/03/2022,,,90.5,90.6,90.6,90.5,,7000,0,90.5,0.00 (0.00 %),623310000,0,
01/03/2022,,,90.8,92.0,93.0,90.5,,1759,0,90.5,-0.30 (-0.33 %),160921000,0,
28/02/2022,,,87.9,88.0,91.0,90.8,,29200,0,90.8,2.90 (3.30 %),2608970000,0,
25/02/2022,,,87.9,87.0,88.0,87.9,,3518,0,87.9,0.00 (0.00 %),306474000,0,3.0
24/02/2022,,,88.2,87.9,87.9,87.9,,2400,0,87.9,-0.30 (-0.34 %),209360000,0,4.0
23/02/2022,,,88.3,88.0,88.2,88.2,,4800,0,88.2,-0.10 (-0.11 %),422480000,0,5.0
22/02/2022,,,88.3,87.5,88.3,88.3,,1300,0,88.3,0.00 (0.00 %),114340000,0,6.0
21/02/2022,,,88.2,87.5,88.4,88.3,,2300,8,88.3,0.10 (0.11 %),201440000,635200,7.0
18/02/2022,,,88.0,88.2,88.2,88.2,,8600,0,88.2,0.20 (0.23 %),752990000,0,8.0
17/02/2022,,,88.3,88.1,88.1,88.0,,700,0,88.0,-0.30 (-0.34 %),61660000,0,9.0
16/02/2022,,,88.5,88.3,88.3,88.3,,1002,0,88.3,-0.20 (-0.23 %),88207000,0,10.0
15/02/2022,,,88.6,88.5,88.5,88.5,,300,0,88.5,-0.10 (-0.11 %),26550000,0,11.0
14/02/2022,,,88.6,88.6,88.6,88.6,,0,0,88.6,0.00 (0.00 %),0,0,12.0
11/02/2022,,,88.5,88.8,88.8,88.6,,1600,0,88.6,0.10 (0.11 %),142060000,0,13.0
10/02/2022,,,87.9,88.0,88.5,88.5,,2000,0,88.5,0.60 (0.68 %),176330000,0,14.0
09/02/2022,,,87.5,86.5,88.0,87.9,,2822,0,87.9,0.40 (0.46 %),246815000,0,15.0
08/02/2022,,,87.0,88.0,88.0,87.5,,9100,0,87.5,0.50 (0.57 %),796690000,0,16.0
07/02/2022,,,86.8,84.1,87.0,87.0,,16108,0,87.0,0.20 (0.23 %),1382946000,0,17.0
28/01/2022,,,86.8,86.8,86.8,86.8,,0,0,86.8,0.00 (0.00 %),0,0,18.0
27/01/2022,,,87.0,86.7,86.8,86.8,,3400,0,86.8,-0.20 (-0.23 %),293440000,0,19.0
26/01/2022,,,85.9,86.0,87.0,87.0,,2100,0,87.0,1.10 (1.28 %),180460000,0,20.0
25/01/2022,,,85.5,85.0,86.0,85.9,,5410,0,85.9,0.40 (0.47 %),461094000,0,21.0
24/01/2022,,,86.0,86.0,86.0,85.5,,4700,0,85.5,-0.50 (-0.58 %),396080000,0,2.0
21/01/2022,,,86.0,86.0,86.0,86.0,,300,0,86.0,0.00 (0.00 %),25800000,0,3.0
20/01/2022,,,87.0,84.6,87.0,86.0,,8940,0,86.0,-1.00 (-1.15 %),763518600,0,4.0
19/01/2022,,,86.0,85.0,87.0,87.0,,10500,0,87.0,1.00 (1.16 %),886240000,0,5.0
18/01/2022,,,87.0,87.0,87.0,86.0,,2200,0,86.0,-1.00 (-1.15 %),187400000,0,6.0
17/01/2022,,,87.0,87.0,87.0,87.0,,3800,0,87.0,0.00 (0.00 %),329310000,0,7.0
14/01/2022,,,85.9,86.0,88.8,87.0,,7100,0,87.0,1.10 (1.28 %),623650000,0,8.0
13/01/2022,,,86.0,85.1,86.0,85.9,,3000,0,85.9,-0.10 (-0.12 %),257410000,0,9.0
12/01/2022,,,86.0,86.0,86.0,86.0,,0,0,86.0,0.00 (0.00 %),0,0,10.0
11/01/2022,,,86.4,86.0,86.5,86.0,,4400,0,86.0,-0.40 (-0.46 %),378480000,0,11.0
10/01/2022,,,86.6,86.0,86.4,86.4,,2300,0,86.4,-0.20 (-0.23 %),197840000,0,12.0
07/01/2022,,,86.7,86.5,86.6,86.6,,4400,0,86.6,-0.10 (-0.12 %),375810000,0,13.0
06/01/2022,,,86.8,86.7,86.8,86.7,,900,0,86.7,-0.10 (-0.12 %),78080000,0,14.0
05/01/2022,,,87.0,87.0,87.0,86.8,,3404,0,86.8,-0.20 (-0.23 %),293778000,0,15.0
04/01/2022,,,87.0,86.0,87.0,87.0,,2500,0,87.0,0.00 (0.00 %),216890000,0,16.0
31/12/2021,,,87.0,87.0,87.0,87.0,,1300,0,87.0,0.00 (0.00 %),112130000,0,17.0
30/12/2021,,,87.0,87.0,87.0,87.0,,700,0,87.0,0.00 (0.00 %),60900000,0,18.0
29/12/2021,,,87.0,87.0,87.0,87.0,,100,0,87.0,0.00 (0.00 %),8700000,0,19.0
28/12/2021,,,86.7,86.6,87.0,87.0,,4236,0,87.0,0.30 (0.35 %),367487200,0,20.0
27/12/2021,,,86.6,86.7,86.7,86.7,,500,0,86.7,0.10 (0.12 %),43350000,0,21.0
24/12/2021,,,86.0,88.0,88.0,86.6,,400,0,86.6,0.60 (0.70 %),34810000,0,2.0
23/12/2021,,,88.6,86.1,86.2,86.0,,9911,0,86.0,-2.60 (-2.93 %),852737100,0,3.0
22/12/2021,,,88.8,86.1,88.6,88.6,,1900,0,88.6,-0.20 (-0.23 %),164070000,0,4.0
21/12/2021,,,89.0,89.0,89.0,88.8,,1900,0,88.8,-0.20 (-0.22 %),167320000,0,5.0
20/12/2021,,,89.0,89.0,89.0,89.0,,2451,0,89.0,0.00 (0.00 %),214712500,0,6.0
17/12/2021,,,88.7,89.0,89.0,89.0,,3514,0,89.0,0.30 (0.34 %),311782000,0,7.0
16/12/2021,,,88.7,87.1,88.7,88.7,,7865,0,88.7,0.00 (0.00 %),690272500,0,8.0
15/12/2021,,,88.4,88.6,89.0,88.7,,9851,0,88.7,0.30 (0.34 %),870421000,0,9.0
14/12/2021,,,87.7,88.0,88.4,88.4,,14028,0,88.4,0.70 (0.80 %),1234425600,0,10.0
13/12/2021,,,87.6,87.0,87.8,87.7,,5240,0,87.7,0.10 (0.11 %),459504000,0,11.0
10/12/2021,,,87.1,86.1,88.0,87.6,,5840,0,87.6,0.50 (0.57 %),510946600,0,12.0
09/12/2021,,,87.7,88.7,88.7,87.1,,8020,0,87.1,-0.60 (-0.68 %),707250000,0,13.0
08/12/2021,,,87.5,87.5,87.7,87.7,,8850,0,87.7,0.20 (0.23 %),775095000,0,14.0
07/12/2021,,,86.1,85.9,87.5,87.5,,4674,0,87.5,1.40 (1.63 %),402789800,0,15.0
06/12/2021,,,88.9,89.0,89.0,86.1,,3404,0,86.1,-2.80 (-3.15 %),298016900,0,16.0
03/12/2021,,,89.0,90.0,90.0,88.9,,3570,0,88.9,-0.10 (-0.11 %),318302000,0,17.0
02/12/2021,,,87.0,87.0,89.0,89.0,,11501,0,89.0,2.00 (2.30 %),1012597000,0,18.0
01/12/2021,,,86.2,87.0,89.9,87.0,,9700,0,87.0,0.80 (0.93 %),845020000,0,19.0
30/11/2021,,,85.8,85.8,86.2,86.2,,7344,0,86.2,0.40 (0.47 %),630770000,0,20.0
29/11/2021,,,84.9,82.1,85.9,85.8,,11851,0,85.8,0.90 (1.06 %),1008658700,0,21.0
26/11/2021,,,85.5,85.2,85.5,84.9,,8950,0,84.9,-0.60 (-0.70 %),752555800,0,2.0
25/11/2021,,,85.5,85.6,85.7,85.5,,3480,0,85.5,0.00 (0.00 %),297680400,0,3.0
24/11/2021,,,84.2,84.5,86.0,85.5,,10800,0,85.5,1.30 (1.54 %),923400000,0,4.0
23/11/2021,,,81.9,81.7,84.6,84.2,,16745,0,84.2,2.30 (2.81 %),1391851600,0,5.0
22/11/2021,,,81.5,81.5,81.9,81.9,,10400,0,81.9,0.40 (0.49 %),843630000,0,6.0
19/11/2021,,,81.6,81.6,81.7,81.5,,8900,0,81.5,-0.10 (-0.12 %),726280000,0,7.0
18/11/2021,,,81.5,81.5,81.8,81.6,,10800,0,81.6,0.10 (0.12 %),881400000,0,8.0
17/11/2021,,,81.5,81.0,81.8,81.5,,4373,0,81.5,0.00 (0.00 %),356505600,0,9.0
16/11/2021,,,81.0,81.0,81.5,81.5,,18700,11,81.5,0.50 (0.62 %),1518300000,801900,10.0
15/11/2021,,,81.0,80.0,81.0,81.0,,6200,0,81.0,0.00 (0.00 %),498570000,0,11.0
12/11/2021,,,81.8,81.8,81.8,81.0,,7250,0,81.0,-0.80 (-0.98 %),584086000,0,12.0
11/11/2021,,,81.9,81.9,81.9,81.8,,6106,0,81.8,-0.10 (-0.12 %),497212000,0,13.0
10/11/2021,,,81.9,81.0,82.0,81.9,,3660,0,81.9,0.00 (0.00 %),297100000,0,14.0
09/11/2021,,,80.9,80.8,82.4,81.9,,17617,0,81.9,1.00 (1.24 %),1428275300,0,15.0
08/11/2021,,,81.0,79.0,81.0,80.9,,2301,0,80.9,-0.10 (-0.12 %),184229600,0,16.0
05/11/2021,,,80.0,80.0,81.0,81.0,,5100,0,81.0,1.00 (1.25 %),408300000,0,17.0
04/11/2021,,,78.5,78.5,80.0,80.0,,10044,0,80.0,1.50 (1.91 %),784538600,0,18.0
03/11/2021,,,79.9,79.5,79.5,78.5,,9955,0,78.5,-1.40 (-1.75 %),785106600,0,19.0
02/11/2021,,,81.3,80.5,80.5,79.9,,10954,0,79.9,-1.40 (-1.72 %),876809600,0,20.0
01/11/2021,,,81.5,81.5,81.6,81.3,,5611,0,81.3,-0.20 (-0.25 %),455361500,0,21.0
29/10/2021,,,82.0,81.0,81.5,81.5,,12725,0,81.5,-0.50 (-0.61 %),1032575000,0,2.0
