date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,23.80,24.00,24.00,24.00,,5800,0,24.00,0.20 (0.84 %),139160000,0,
01/04/2022,,,24.4,24.4,24.4,23.8,,3100,0,23.8,-0.60 (-2.46 %),73970000,0,
31/03/2022,,,23.7,23.7,24.4,24.4,,6400,0,24.4,0.70 (2.95 %),153750000,0,
30/03/2022,,,24.0,24.0,24.0,23.7,,2200,0,23.7,-0.30 (-1.25 %),52510000,0,
29/03/2022,,,23.9,23.9,24.2,24.0,,1400,0,24.0,0.10 (0.42 %),33580000,0,
28/03/2022,,,24.4,24.5,24.5,23.9,,5000,0,23.9,-0.50 (-2.05 %),120030000,0,
25/03/2022,,,24.0,24.2,24.6,24.4,,2800,0,24.4,0.40 (1.67 %),68320000,0,
24/03/2022,,,24.3,24.0,24.0,24.0,,2800,0,24.0,-0.30 (-1.23 %),67200000,0,
23/03/2022,,,24.5,24.5,24.5,24.3,,3700,0,24.3,-0.20 (-0.82 %),90310000,0,
22/03/2022,,,23.9,23.4,24.5,24.5,,3500,0,24.5,0.60 (2.51 %),83910000,0,
21/03/2022,,,23.9,24.0,24.2,23.9,,5000,0,23.9,0.00 (0.00 %),119900000,0,
18/03/2022,,,24.0,23.9,24.6,23.9,,5300,0,23.9,-0.10 (-0.42 %),128210000,0,
17/03/2022,,,24.0,24.0,24.0,24.0,,3503,0,24.0,0.00 (0.00 %),84072300,0,
16/03/2022,,,22.7,23.4,24.1,24.0,,3600,0,24.0,1.30 (5.73 %),86270000,0,
15/03/2022,,,25.0,22.7,22.8,22.7,,3300,0,22.7,-2.30 (-9.20 %),74950000,0,
14/03/2022,,,24.1,25.0,25.0,25.0,,5400,0,25.0,0.90 (3.73 %),127700000,0,
11/03/2022,,,24.3,24.3,24.4,24.1,,4803,0,24.1,-0.20 (-0.82 %),115122900,0,
10/03/2022,,,24.4,24.4,25.0,24.3,,10100,0,24.3,-0.10 (-0.41 %),246140000,0,
09/03/2022,,,25.0,25.0,25.0,24.4,,15900,0,24.4,-0.60 (-2.40 %),390550000,0,
08/03/2022,,,26.0,25.8,25.8,25.0,,1403,0,25.0,-1.00 (-3.85 %),35435300,0,
07/03/2022,,,26.3,26.4,26.4,26.0,,8200,0,26.0,-0.30 (-1.14 %),215720000,0,
04/03/2022,,,25.9,26.3,27.6,26.3,,26100,0,26.3,0.40 (1.54 %),698400000,0,
03/03/2022,,,23.6,23.6,25.9,25.9,,38309,0,25.9,2.30 (9.75 %),960636200,0,
02/03/2022,,,23.6,23.6,23.8,23.6,,7000,0,23.6,0.00 (0.00 %),163890000,0,
01/03/2022,,,23.5,23.5,23.7,23.6,,6700,0,23.6,0.10 (0.43 %),157860000,0,
28/02/2022,,,24.3,21.9,24.3,23.5,,7000,0,23.5,-0.80 (-3.29 %),164800000,0,
25/02/2022,,,23.4,23.5,24.6,24.3,,1800,0,24.3,0.90 (3.85 %),43820000,0,3.0
24/02/2022,,,25.0,25.0,25.0,23.4,,18900,0,23.4,-1.60 (-6.40 %),448810000,0,4.0
23/02/2022,,,25.0,25.0,25.0,25.0,,18200,0,25.0,0.00 (0.00 %),443560000,0,5.0
22/02/2022,,,27.0,26.7,26.7,25.0,,23700,0,25.0,-2.00 (-7.41 %),597300000,0,6.0
21/02/2022,,,24.8,24.9,27.2,27.0,,23903,0,27.0,2.20 (8.87 %),638160700,0,7.0
18/02/2022,,,23.0,23.1,25.3,24.8,,34500,0,24.8,1.80 (7.83 %),838360000,0,8.0
17/02/2022,,,21.6,21.4,23.0,23.0,,76100,0,23.0,1.40 (6.48 %),1681380000,0,9.0
16/02/2022,,,21.9,21.8,21.9,21.6,,5703,0,21.6,-0.30 (-1.37 %),123444800,0,10.0
15/02/2022,,,22.0,22.0,22.0,21.9,,1500,0,21.9,-0.10 (-0.45 %),32940000,0,11.0
14/02/2022,,,22.0,22.0,22.2,22.0,,9610,0,22.0,0.00 (0.00 %),205270000,0,12.0
11/02/2022,,,22.2,22.0,22.0,22.0,,20310,0,22.0,-0.20 (-0.90 %),433487000,0,13.0
10/02/2022,,,22.0,22.1,22.2,22.2,,11700,0,22.2,0.20 (0.91 %),257810000,0,14.0
09/02/2022,,,22.0,22.0,22.3,22.0,,10710,0,22.0,0.00 (0.00 %),236340000,0,15.0
08/02/2022,,,22.0,22.0,22.1,22.0,,8300,0,22.0,0.00 (0.00 %),182640000,0,16.0
07/02/2022,,,21.4,20.3,22.7,22.0,,5400,0,22.0,0.60 (2.80 %),118650000,0,17.0
28/01/2022,,,21.4,20.5,21.4,21.4,,800,0,21.4,0.00 (0.00 %),16580000,0,18.0
27/01/2022,,,21.9,21.5,21.5,21.4,,14700,0,21.4,-0.50 (-2.28 %),309720000,0,19.0
26/01/2022,,,21.9,21.8,21.9,21.9,,4100,0,21.9,0.00 (0.00 %),88800000,0,20.0
25/01/2022,,,21.7,21.7,22.0,21.9,,3000,0,21.9,0.20 (0.92 %),65620000,0,21.0
24/01/2022,,,23.2,22.8,22.8,21.7,,3700,0,21.7,-1.50 (-6.47 %),82540000,0,2.0
21/01/2022,,,23.3,22.5,23.2,23.2,,1500,0,23.2,-0.10 (-0.43 %),34000000,0,3.0
20/01/2022,,,24.5,24.2,24.2,23.3,,11300,0,23.3,-1.20 (-4.90 %),259750000,0,4.0
19/01/2022,,,25.4,24.5,24.5,24.5,,300,0,24.5,-0.90 (-3.54 %),7350000,0,5.0
18/01/2022,,,24.0,24.0,25.4,25.4,,1000,0,25.4,1.40 (5.83 %),24930000,0,6.0
17/01/2022,,,25.0,25.5,25.5,24.0,,4200,0,24.0,-1.00 (-4.00 %),105830000,0,7.0
14/01/2022,,,24.3,24.0,25.0,25.0,,4900,0,25.0,0.70 (2.88 %),120170000,0,8.0
13/01/2022,,,24.3,24.3,26.6,24.3,,5800,0,24.3,0.00 (0.00 %),140840000,0,9.0
12/01/2022,,,25.1,25.2,25.2,24.3,,1800,0,24.3,-0.80 (-3.19 %),44850000,0,10.0
11/01/2022,,,25.3,25.3,25.7,25.1,,3000,0,25.1,-0.20 (-0.79 %),75940000,0,11.0
10/01/2022,,,26.2,26.0,26.2,25.3,,14800,0,25.3,-0.90 (-3.44 %),383670000,0,12.0
07/01/2022,,,26.0,26.0,26.2,26.2,,6400,0,26.2,0.20 (0.77 %),166640000,0,13.0
06/01/2022,,,26.6,26.6,26.6,26.0,,5900,0,26.0,-0.60 (-2.26 %),154290000,0,14.0
05/01/2022,,,27.0,26.2,27.0,26.6,,14211,10,26.6,-0.40 (-1.48 %),374048200,243000,15.0
04/01/2022,,,26.8,26.1,27.3,27.0,,3600,0,27.0,0.20 (0.75 %),94460000,0,16.0
31/12/2021,,,26.3,26.9,27.0,26.8,,5000,0,26.8,0.50 (1.90 %),134250000,0,17.0
30/12/2021,,,26.3,26.7,27.5,26.3,,7400,0,26.3,0.00 (0.00 %),198130000,0,18.0
29/12/2021,,,26.7,26.2,26.4,26.3,,700,0,26.3,-0.40 (-1.50 %),18430000,0,19.0
28/12/2021,,,26.8,26.6,26.8,26.7,,8800,0,26.7,-0.10 (-0.37 %),234450000,0,20.0
27/12/2021,,,26.4,26.4,26.8,26.8,,2500,0,26.8,0.40 (1.52 %),66220000,0,21.0
24/12/2021,,,27.5,26.3,27.6,26.4,,4100,0,26.4,-1.10 (-4.00 %),109880000,0,2.0
23/12/2021,,,26.6,26.5,27.9,27.5,,5500,0,27.5,0.90 (3.38 %),146270000,0,3.0
22/12/2021,,,26.9,27.0,27.0,26.6,,7800,0,26.6,-0.30 (-1.12 %),209010000,0,4.0
21/12/2021,,,27.3,27.3,27.3,26.9,,6200,0,26.9,-0.40 (-1.47 %),166650000,0,5.0
20/12/2021,,,27.5,27.5,28.2,27.3,,5600,0,27.3,-0.20 (-0.73 %),151780000,0,6.0
17/12/2021,,,27.5,28.2,28.2,27.5,,5000,0,27.5,0.00 (0.00 %),139520000,0,7.0
16/12/2021,,,28.2,27.5,28.2,27.5,,8201,0,27.5,-0.70 (-2.48 %),226690100,0,8.0
15/12/2021,,,27.4,27.5,28.3,28.2,,16500,0,28.2,0.80 (2.92 %),456050000,0,9.0
14/12/2021,,,27.5,27.5,27.9,27.4,,14400,0,27.4,-0.10 (-0.36 %),395190000,0,10.0
13/12/2021,,,28.4,28.4,28.9,27.5,,24401,0,27.5,-0.90 (-3.17 %),676038000,0,11.0
10/12/2021,,,28.2,28.0,28.8,28.4,,14600,0,28.4,0.20 (0.71 %),413750000,0,12.0
09/12/2021,,,29.3,28.0,28.2,28.2,,1900,0,28.2,-1.10 (-3.75 %),53250000,0,13.0
08/12/2021,,,30.0,29.9,30.0,29.3,,8610,0,29.3,-0.70 (-2.33 %),249020000,0,14.0
07/12/2021,,,28.2,28.5,30.0,30.0,,9200,0,30.0,1.80 (6.38 %),259360000,0,15.0
06/12/2021,,,29.6,31.0,31.0,28.2,,4500,0,28.2,-1.40 (-4.73 %),132630000,0,16.0
03/12/2021,,,31.0,31.5,31.5,29.6,,5400,0,29.6,-1.40 (-4.52 %),164000000,0,17.0
02/12/2021,,,29.7,29.8,31.0,31.0,,24911,0,31.0,1.30 (4.38 %),757839100,0,18.0
01/12/2021,,,30.8,30.2,30.2,29.7,,12101,0,29.7,-1.10 (-3.57 %),362099900,0,19.0
30/11/2021,,,31.0,31.0,31.1,30.8,,13145,0,30.8,-0.20 (-0.65 %),406880500,0,20.0
29/11/2021,,,33.5,33.0,33.0,31.0,,8700,0,31.0,-2.50 (-7.46 %),270570000,0,21.0
26/11/2021,,,33.5,33.4,33.5,33.5,,15528,0,33.5,0.00 (0.00 %),492960800,0,2.0
25/11/2021,,,34.0,34.5,37.4,33.5,,80800,0,33.5,-0.50 (-1.47 %),2824610000,0,3.0
24/11/2021,,,36.1,35.8,35.8,34.0,,20900,0,34.0,-2.10 (-5.82 %),698030000,0,4.0
23/11/2021,,,40.1,44.1,44.1,36.1,,96773,0,36.1,-4.00 (-9.98 %),3774819300,0,5.0
22/11/2021,,,36.5,40.1,40.1,40.1,,20800,0,40.1,3.60 (9.86 %),834080000,0,6.0
19/11/2021,,,28.1,36.5,36.5,36.5,,51000,0,36.5,8.40 (29.89 %),1861500000,0,7.0
09/11/2021,,,29.8,31.5,34.2,34.2,,192213,0,34.2,4.40 (14.77 %),6378709000,0,8.0
08/11/2021,,,30.0,28.5,31.0,31.0,,44364,0,31.0,1.00 (3.33 %),1324014000,0,9.0
05/11/2021,,,29.4,30.0,30.0,29.8,,7187,0,29.8,0.40 (1.36 %),215356500,0,10.0
04/11/2021,,,28.4,29.2,29.6,29.5,,12703,0,29.5,1.10 (3.87 %),373617600,0,11.0
03/11/2021,,,29.7,29.6,29.6,28.5,,31000,0,28.5,-1.20 (-4.04 %),881670000,0,12.0
02/11/2021,,,28.1,27.0,32.0,29.6,,11665,0,29.6,1.50 (5.34 %),345964900,0,13.0
01/11/2021,,,27.8,28.0,28.5,28.4,,8000,0,28.4,0.60 (2.16 %),224900000,0,14.0
29/10/2021,,,28.1,28.1,28.1,28.0,,4300,0,28.0,-0.10 (-0.36 %),119410000,0,15.0
28/10/2021,,,28.1,28.2,28.2,28.0,,4500,0,28.0,-0.10 (-0.36 %),126420000,0,16.0
27/10/2021,,,27.0,27.0,28.5,28.5,,25200,0,28.5,1.50 (5.56 %),708090000,0,17.0
26/10/2021,,,27.1,27.0,27.1,27.1,,2945,0,27.1,0.00 (0.00 %),79479400,0,18.0
25/10/2021,,,26.6,27.9,27.9,27.0,,4300,0,27.0,0.40 (1.50 %),116420000,0,19.0
22/10/2021,,,27.4,27.0,27.0,26.5,,1900,0,26.5,-0.90 (-3.28 %),50600000,0,20.0
21/10/2021,,,27.4,27.4,27.5,27.5,,1700,0,27.5,0.10 (0.36 %),46630000,0,21.0
20/10/2021,,,27.8,27.8,27.8,27.4,,900,0,27.4,-0.40 (-1.44 %),24700000,0,2.0
19/10/2021,,,27.4,28.9,29.0,28.0,,16046,0,28.0,0.60 (2.19 %),446521000,0,3.0
18/10/2021,,,26.5,27.5,27.9,27.0,,15300,0,27.0,0.50 (1.89 %),418590000,0,4.0
15/10/2021,,,26.4,26.4,27.2,27.0,,8945,0,27.0,0.60 (2.27 %),236933500,0,5.0
14/10/2021,,,26.2,26.2,27.9,26.0,,4700,0,26.0,-0.20 (-0.76 %),124300000,0,6.0
13/10/2021,,,26.8,26.2,27.0,27.0,,22500,0,27.0,0.20 (0.75 %),590000000,0,7.0
12/10/2021,,,26.8,26.8,26.9,26.9,,4200,0,26.9,0.10 (0.37 %),112580000,0,8.0
11/10/2021,,,26.5,26.5,27.4,27.0,,4800,0,27.0,0.50 (1.89 %),128630000,0,9.0
08/10/2021,,,26.1,26.6,27.9,26.4,,8900,0,26.4,0.30 (1.15 %),235520000,0,10.0
07/10/2021,,,25.9,25.9,26.6,26.6,,12500,0,26.6,0.70 (2.70 %),326560000,0,11.0
06/10/2021,,,26.5,25.5,26.1,26.0,,5400,0,26.0,-0.50 (-1.89 %),139810000,0,12.0
05/10/2021,,,27.1,27.0,27.0,26.3,,7400,0,26.3,-0.80 (-2.95 %),196250000,0,13.0
04/10/2021,,,28.8,28.6,28.6,26.8,,5500,0,26.8,-2.00 (-6.94 %),148920000,0,14.0
01/10/2021,,,27.8,29.0,29.9,28.8,,20300,0,28.8,1.00 (3.60 %),585150000,0,15.0
30/09/2021,,,26.1,26.4,30.0,30.0,,64421,0,30.0,3.90 (14.94 %),1790186200,0,16.0
29/09/2021,,,25.6,25.5,26.5,26.5,,13300,0,26.5,0.90 (3.52 %),347660000,0,17.0
28/09/2021,,,25.3,25.1,26.0,26.0,,17300,0,26.0,0.70 (2.77 %),442110000,0,18.0
27/09/2021,,,24.9,25.0,26.5,25.8,,48600,0,25.8,0.90 (3.61 %),1229070000,0,19.0
24/09/2021,,,25.1,25.0,25.0,25.0,,8780,0,25.0,-0.10 (-0.40 %),218410000,0,20.0
23/09/2021,,,24.9,25.3,25.5,25.0,,18603,0,25.0,0.10 (0.40 %),467075600,0,21.0
