date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
14/08/2019,,,0,12.00,12.00,12.00,0.00 (0.00 %),,0,12.00,12.00,0,0,
13/08/2019,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,3.0
12/08/2019,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,4.0
09/08/2019,,,118624000,12.0,11.8,12.2,0.20 (1.67 %),,200112000,12.2,12.2,16653,10784,5.0
08/08/2019,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,6.0
07/08/2019,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,7.0
06/08/2019,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,8.0
05/08/2019,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,9.0
02/08/2019,,,4197536000,11.8,11.8,12.0,0.20 (1.69 %),,291510300,12.0,12.0,24301,349378,10.0
01/08/2019,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,11.0
31/07/2019,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,12.0
30/07/2019,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,13.0
29/07/2019,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,14.0
26/07/2019,,,118613000,11.9,11.8,12.2,0.30 (2.52 %),,393667800,12.2,12.2,33285,10783,15.0
25/07/2019,,,0,11.9,11.9,11.9,0.00 (0.00 %),,0,11.9,11.9,0,0,16.0
24/07/2019,,,0,11.9,11.9,11.9,0.00 (0.00 %),,0,11.9,11.9,0,0,17.0
23/07/2019,,,0,11.9,11.9,11.9,0.00 (0.00 %),,0,11.9,11.9,0,0,18.0
22/07/2019,,,0,11.9,11.9,11.9,0.00 (0.00 %),,0,11.9,11.9,0,0,19.0
19/07/2019,,,228613000,10.7,11.8,11.6,0.90 (8.41 %),,91155900,11.6,11.6,7698,20783,20.0
18/07/2019,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,21.0
17/07/2019,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,2.0
16/07/2019,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,3.0
15/07/2019,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,4.0
12/07/2019,,,51700000,10.6,10.7,10.7,0.10 (0.94 %),,129444200,10.7,10.7,12114,4700,5.0
11/07/2019,,,0,10.6,10.6,10.6,0.00 (0.00 %),,0,10.6,10.6,0,0,6.0
