date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,23.60,23.60,23.60,0.00 (0.00 %),,0,23.60,23.60,0,0,
01/04/2022,,,0,23.60,27.1,20.10,-3.50 (-14.83 %),,4720000,20.10,20.10,200,0,
31/03/2022,,,0,26.40,23.60,23.60,-2.80 (-10.61 %),,7080000,23.60,23.60,300,0,
30/03/2022,,,0,26.4,26.4,26.4,0.00 (0.00 %),,0,26.4,26.4,0,0,
29/03/2022,,,0,23.0,26.4,26.4,3.40 (14.78 %),,1182720000,26.4,26.4,44800,0,
28/03/2022,,,0,23.0,23.0,23.0,0.00 (0.00 %),,0,23.0,23.0,0,0,
25/03/2022,,,0,23.0,23.0,23.0,0.00 (0.00 %),,0,23.0,23.0,0,0,
24/03/2022,,,0,27.0,23.0,23.0,-4.00 (-14.81 %),,6900000,23.0,23.0,300,0,
23/03/2022,,,0,23.5,27.0,27.0,3.50 (14.89 %),,2700000,27.0,27.0,100,0,
22/03/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
21/03/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
18/03/2022,,,0,23.5,27.0,20.0,-3.50 (-14.89 %),,4700000,20.0,20.0,200,0,
17/03/2022,,,0,26.4,23.5,23.5,-2.90 (-10.98 %),,2350000,23.5,23.5,100,0,
16/03/2022,,,0,23.0,26.4,26.4,3.40 (14.78 %),,2640000,26.4,26.4,100,0,
15/03/2022,,,0,20.0,23.0,23.0,3.00 (15.00 %),,2300000,23.0,23.0,100,0,
14/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
11/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
10/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
09/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
08/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
07/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
04/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
03/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
02/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
01/03/2022,,,0,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,0,
28/02/2022,,,2295000000,20.0,20.0,20.0,0.00 (0.00 %),,0,20.0,20.0,0,135000,
25/02/2022,,,0,23.0,20.0,20.0,-3.00 (-13.04 %),,2000000,20.0,20.0,100,0,
24/02/2022,,,0,23.0,23.0,23.0,0.00 (0.00 %),,0,23.0,23.0,0,0,
23/02/2022,,,0,21.0,23.0,23.0,2.00 (9.52 %),,2300000,23.0,23.0,100,0,
22/02/2022,,,0,21.0,21.0,21.0,0.00 (0.00 %),,0,21.0,21.0,0,0,
21/02/2022,,,0,21.0,21.0,21.0,0.00 (0.00 %),,0,21.0,21.0,0,0,
18/02/2022,,,0,23.0,21.0,21.0,-2.00 (-8.70 %),,2100000,21.0,21.0,100,0,
17/02/2022,,,0,21.0,23.0,23.0,2.00 (9.52 %),,2300000,23.0,23.0,100,0,
16/02/2022,,,0,21.0,21.0,21.0,0.00 (0.00 %),,0,21.0,21.0,0,0,
15/02/2022,,,0,21.0,21.0,21.0,0.00 (0.00 %),,0,21.0,21.0,0,0,
14/02/2022,,,0,21.0,21.0,21.0,0.00 (0.00 %),,0,21.0,21.0,0,0,
11/02/2022,,,0,21.0,21.0,21.0,0.00 (0.00 %),,0,21.0,21.0,0,0,
10/02/2022,,,0,23.8,21.0,21.0,-2.80 (-11.76 %),,2100000,21.0,21.0,100,0,
09/02/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
08/02/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
07/02/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
28/01/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
27/01/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
26/01/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
25/01/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
24/01/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
21/01/2022,,,0,23.8,23.8,23.8,0.00 (0.00 %),,0,23.8,23.8,0,0,
20/01/2022,,,0,22.5,23.8,23.8,1.30 (5.78 %),,2380000,23.8,23.8,100,0,
19/01/2022,,,0,22.5,22.5,22.5,0.00 (0.00 %),,0,22.5,22.5,0,0,
18/01/2022,,,0,22.5,22.5,22.5,0.00 (0.00 %),,0,22.5,22.5,0,0,
17/01/2022,,,0,22.5,22.5,22.5,0.00 (0.00 %),,0,22.5,22.5,0,0,
14/01/2022,,,0,19.9,22.5,22.5,2.60 (13.07 %),,2250000,22.5,22.5,100,0,
13/01/2022,,,0,19.9,19.9,19.9,0.00 (0.00 %),,0,19.9,19.9,0,0,
12/01/2022,,,0,19.9,19.9,19.9,0.00 (0.00 %),,0,19.9,19.9,0,0,
11/01/2022,,,0,19.9,19.9,19.9,0.00 (0.00 %),,0,19.9,19.9,0,0,
10/01/2022,,,0,23.5,19.0,20.0,-3.50 (-14.89 %),,51800000,20.0,20.0,2600,0,
07/01/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
06/01/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
05/01/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
04/01/2022,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
31/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,
30/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,3.0
29/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,4.0
28/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,5.0
27/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,6.0
24/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,7.0
23/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,8.0
21/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,9.0
20/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,10.0
17/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,11.0
16/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,12.0
15/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,13.0
14/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,14.0
13/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,15.0
10/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,16.0
09/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,17.0
08/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,18.0
07/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,19.0
06/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,20.0
03/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,21.0
02/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,2.0
01/12/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,3.0
30/11/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,4.0
29/11/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,5.0
26/11/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,6.0
25/11/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,7.0
24/11/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,8.0
23/11/2021,,,0,23.5,23.5,23.5,0.00 (0.00 %),,0,23.5,23.5,0,0,9.0
