date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,111.70,111.70,108.70,109.50,,678600,50000,109.50,-1.40 (-1.26 %),74310000000,5160000000,
01/04/2022,,,108.20,112.00,107.50,110.90,,508700,0,110.90,1.90 (1.74 %),55725000000,0,
31/03/2022,,,108.90,113.90,107.70,109.00,,1036900,0,109.00,1.30 (1.21 %),113951000000,0,
30/03/2022,,,107.0,109.4,105.0,107.7,,809000.0,0,107.7,-1.20 (-1.10 %),86843000000,0,
29/03/2022,,,102.5,108.9,102.5,108.9,,1436700.0,117800,108.9,6.90 (6.76 %),151607000000,11179220000,
28/03/2022,,,102.1,103.5,101.3,102.0,,994000.0,0,102.0,-1.00 (-0.97 %),101385000000,0,
25/03/2022,,,96.5,103.0,95.3,103.0,,1910800.0,0,103.0,6.10 (6.30 %),187733000000,0,
24/03/2022,,,97.2,97.9,96.0,96.9,,730300.0,0,96.9,-0.90 (-0.92 %),70700000000,0,
23/03/2022,,,96.8,98.6,95.5,97.8,,1017400.0,0,97.8,0.90 (0.93 %),99397000000,0,
22/03/2022,,,96.1,98.0,95.3,96.9,,704900.0,0,96.9,-0.40 (-0.41 %),67842000000,0,
21/03/2022,,,96.3,97.9,94.9,97.3,,820300.0,0,97.3,-0.30 (-0.31 %),78943000000,0,
18/03/2022,,,98.0,99.4,95.8,97.6,,1281500.0,0,97.6,-0.10 (-0.10 %),125367000000,0,
17/03/2022,,,97.6,99.2,96.3,97.7,,733800.0,0,97.7,0.50 (0.51 %),71657000000,0,
16/03/2022,,,94.6,98.0,94.6,97.2,,1137200.0,0,97.2,2.60 (2.75 %),109830000000,0,
15/03/2022,,,90.6,94.8,89.5,94.6,,1341000.0,0,94.6,2.60 (2.83 %),124532000000,0,
14/03/2022,,,90.5,92.8,89.0,92.0,,649000.0,0,92.0,-0.80 (-0.86 %),59046000000,0,
11/03/2022,,,91.9,94.9,91.8,92.8,,1125300.0,0,92.8,1.00 (1.09 %),105210000000,0,
10/03/2022,,,86.7,92.0,86.7,91.8,,2089200.0,0,91.8,5.10 (5.88 %),187591000000,0,
09/03/2022,,,85.5,86.7,82.9,86.7,,731400.0,0,86.7,1.30 (1.52 %),62002000000,0,
08/03/2022,,,84.2,86.6,84.0,85.4,,410300.0,0,85.4,-0.60 (-0.70 %),35016000000,0,
07/03/2022,,,85.8,86.9,83.8,86.0,,702400.0,0,86.0,-1.70 (-1.94 %),59496000000,0,
04/03/2022,,,87.8,87.8,85.8,87.7,,425000.0,0,87.7,-0.10 (-0.11 %),36866000000,0,
03/03/2022,,,85.7,88.0,85.0,87.8,,297500.0,0,87.8,2.20 (2.57 %),25638000000,0,
02/03/2022,,,85.6,85.6,82.5,85.6,,851100.0,0,85.6,-0.70 (-0.81 %),71198000000,0,
01/03/2022,,,86.8,87.9,85.4,86.3,,440800.0,0,86.3,-1.60 (-1.82 %),37909000000,0,
28/02/2022,,,89.1,89.1,86.8,87.9,,366200.0,0,87.9,-1.70 (-1.90 %),32172000000,0,
25/02/2022,,,89.4,90.1,88.0,89.6,,327700.0,300000,89.6,0.20 (0.22 %),29246000000,24960000000,
24/02/2022,,,91.6,91.6,86.3,89.4,,629200.0,0,89.4,-2.00 (-2.19 %),55869000000,0,
14/02/2022,,,88.6,88.6,86.2,87.0,,729829.0,50000,87.0,-1.80 (-2.03 %),63948095700,3775000000,
11/02/2022,,,90.2,90.6,88.0,88.9,,307333.0,0,88.9,-1.00 (-1.11 %),27275893200,0,
10/02/2022,,,88.8,90.6,88.8,90.5,,536849.0,0,90.5,1.70 (1.91 %),48269564600,0,
09/02/2022,,,86.6,90.0,86.6,90.0,,1054860.0,0,90.0,3.50 (4.05 %),93623165800,0,
08/02/2022,,,85.2,87.9,84.8,87.8,,850509.0,0,87.8,2.70 (3.17 %),73606581800,0,
07/02/2022,,,84.5,85.7,84.5,85.3,,257514.0,0,85.3,0.90 (1.07 %),21914819300,0,
28/01/2022,,,0.0,82.5,82.5,84.5,2.00 (2.42 %),,28829754500,84.5,84.5,341482,0,
27/01/2022,,,0.0,83.4,83.4,82.9,-0.50 (-0.60 %),,32577432500,82.9,82.9,395037,0,
26/01/2022,,,0.0,83.3,83.3,83.3,0.00 (0.00 %),,9535869100,83.3,83.3,114391,0,
25/01/2022,,,0.0,83.7,83.6,83.7,0.00 (0.00 %),,16928619100,83.7,83.7,203290,0,
24/01/2022,,,0.0,84.8,84.0,83.2,-1.60 (-1.89 %),,29966577500,83.2,83.2,357961,0,
21/01/2022,,,0.0,83.7,84.2,84.8,1.10 (1.31 %),,29443705200,84.8,84.8,347056,0,
20/01/2022,,,0.0,82.5,82.5,84.2,1.70 (2.06 %),,27445287400,84.2,84.2,327765,0,
19/01/2022,,,0.0,81.9,81.9,82.8,0.90 (1.10 %),,16993959700,82.8,82.8,205870,0,
18/01/2022,,,129500000000.0,83.7,83.9,82.5,-1.20 (-1.43 %),,36570746700,82.5,82.5,446539,1750000,
17/01/2022,,,0.0,83.3,86.0,83.4,0.10 (0.12 %),,37151753900,83.4,83.4,444123,0,
14/01/2022,,,0.0,84.2,84.2,83.9,-0.30 (-0.36 %),,19022601400,83.9,83.9,228500,0,
13/01/2022,,,0.0,84.7,85.5,84.0,-0.70 (-0.83 %),,22702615700,84.0,84.0,269559,0,
12/01/2022,,,173600000000.0,86.6,86.0,85.5,-1.10 (-1.27 %),,51401523200,85.5,85.5,606680,1750000,
11/01/2022,,,875000000.0,87.5,86.9,86.3,-1.20 (-1.37 %),,40027395600,86.3,86.3,462125,10000,
10/01/2022,,,0.0,88.2,87.9,86.7,-1.50 (-1.70 %),,37335593600,86.7,86.7,426735,0,
07/01/2022,,,0.0,88.9,89.9,88.5,-0.40 (-0.45 %),,32467632600,88.5,88.5,368231,0,
06/01/2022,,,9737191800.0,87.2,87.2,89.2,2.00 (2.29 %),,81577401800,89.2,89.2,917285,131229,
05/01/2022,,,16293600.0,87.5,87.4,87.6,0.10 (0.11 %),,46700960400,87.6,87.6,535304,219,
04/01/2022,,,0.0,87.3,86.9,87.6,0.30 (0.34 %),,51531722200,87.6,87.6,588916,0,
31/12/2021,,,4375000000.0,87.5,87.5,87.6,0.10 (0.11 %),,34510285100,87.6,87.6,395358,50000,
