date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,23.70,23.70,23.70,23.70,,0,0,23.70,0.00 (0.00 %),0,0,
01/04/2022,,,23.60,23.7,23.70,23.70,,1000,0,23.70,0.10 (0.42 %),23700000,0,
31/03/2022,,,23.60,23.60,23.60,23.60,,0,0,23.60,0.00 (0.00 %),0,0,
30/03/2022,,,23.6,23.6,23.6,23.6,,0,0,23.6,0.00 (0.00 %),0,0,
29/03/2022,,,23.6,23.6,23.6,23.6,,0,0,23.6,0.00 (0.00 %),0,0,
28/03/2022,,,23.6,23.6,23.6,23.6,,0,0,23.6,0.00 (0.00 %),0,0,
25/03/2022,,,23.6,23.6,23.6,23.6,,0,0,23.6,0.00 (0.00 %),0,0,
24/03/2022,,,23.6,23.6,23.6,23.6,,21,0,23.6,0.00 (0.00 %),495600,0,
23/03/2022,,,23.7,23.6,23.6,23.6,,300,0,23.6,-0.10 (-0.42 %),7080000,0,
22/03/2022,,,23.5,24.8,24.8,23.7,,300,0,23.7,0.20 (0.85 %),7210000,0,
21/03/2022,,,23.5,23.5,23.5,23.5,,0,0,23.5,0.00 (0.00 %),0,0,
18/03/2022,,,23.7,23.5,23.5,23.5,,300,0,23.5,-0.20 (-0.84 %),7050000,0,
17/03/2022,,,24.9,24.9,24.9,24.9,,0,0,23.7,0.00 (0.00 %),0,0,
16/03/2022,,,25.2,24.8,24.9,24.9,,800,0,23.7,-0.30 (-1.19 %),19910000,0,
15/03/2022,,,25.2,25.2,25.2,25.2,,200,0,23.99,0.00 (0.00 %),5040000,0,
14/03/2022,,,25.2,25.2,25.2,25.2,,0,0,23.99,0.00 (0.00 %),0,0,
11/03/2022,,,25.2,25.1,25.2,25.2,,3800,0,23.99,0.00 (0.00 %),91710000,0,
10/03/2022,,,25.2,27.7,27.7,25.2,,12400,0,23.99,0.00 (0.00 %),312660000,0,
09/03/2022,,,25.2,25.2,25.2,25.2,,200,0,23.99,0.00 (0.00 %),5040000,0,
08/03/2022,,,25.2,25.2,25.2,25.2,,26400,0,23.99,0.00 (0.00 %),665230000,0,
07/03/2022,,,27.8,30.3,30.4,25.2,,700,0,23.99,-2.60 (-9.35 %),19690000,0,
04/03/2022,,,27.8,27.8,27.8,27.8,,0,0,26.46,0.00 (0.00 %),0,0,
03/03/2022,,,25.4,25.1,27.8,27.8,,300,0,26.46,2.40 (9.45 %),7800000,0,
02/03/2022,,,25.9,25.4,25.4,25.4,,100,0,24.18,-0.50 (-1.93 %),2540000,0,
01/03/2022,,,25.9,25.9,25.9,25.9,,0,0,25.9,0.00 (0.00 %),0,0,
28/02/2022,,,25.9,25.9,25.9,25.9,,0,0,25.9,0.00 (0.00 %),0,0,
25/02/2022,,,25.3,25.9,25.9,25.9,,111,0,25.9,0.60 (2.37 %),2851800,0,3.0
24/02/2022,,,25.3,25.3,25.3,25.3,,100,0,25.3,0.00 (0.00 %),2530000,0,4.0
23/02/2022,,,23.6,24.0,25.3,25.3,,400,0,25.3,1.70 (7.20 %),9730000,0,5.0
22/02/2022,,,23.6,23.6,23.6,23.6,,0,0,23.6,0.00 (0.00 %),0,0,6.0
21/02/2022,,,23.6,24.0,24.0,23.6,,200,0,23.6,0.00 (0.00 %),4760000,0,7.0
18/02/2022,,,23.6,25.9,25.9,23.6,,302,0,23.6,0.00 (0.00 %),7587000,0,8.0
17/02/2022,,,23.5,25.0,25.8,23.6,,707,0,23.6,0.10 (0.43 %),17674500,0,9.0
16/02/2022,,,23.5,24.3,24.9,23.5,,700,0,23.5,0.00 (0.00 %),17170000,0,10.0
15/02/2022,,,23.5,23.5,23.5,23.5,,0,0,23.5,0.00 (0.00 %),0,0,11.0
14/02/2022,,,23.5,23.5,23.5,23.5,,0,0,23.5,0.00 (0.00 %),0,0,12.0
11/02/2022,,,23.5,23.5,23.5,23.5,,200,0,23.5,0.00 (0.00 %),4700000,0,13.0
10/02/2022,,,23.5,23.5,23.5,23.5,,0,0,23.5,0.00 (0.00 %),0,0,14.0
09/02/2022,,,23.5,23.5,23.5,23.5,,0,0,23.5,0.00 (0.00 %),0,0,15.0
08/02/2022,,,23.5,23.5,23.5,23.5,,0,0,23.5,0.00 (0.00 %),0,0,16.0
07/02/2022,,,23.5,23.5,23.5,23.5,,800,0,23.5,0.00 (0.00 %),18800000,0,17.0
