date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,44.10,44.10,41.10,41.90,,10286700,0,41.90,-2.20 (-4.99 %),432255000000,0,
01/04/2022,,,42.95,44.80,42.45,44.10,,5085300,0,44.10,1.10 (2.56 %),222515000000,0,
31/03/2022,,,44.8,45.2,42.95,42.95,,8268500,0,42.95,-1.55 (-3.48 %),363553000000,0,
30/03/2022,,,46.9,47.4,44.5,44.5,,15037700,0,44.5,-3.30 (-6.90 %),679738000000,0,3.0
29/03/2022,,,49.0,49.45,47.1,47.8,,5350200,0,47.8,-0.70 (-1.44 %),257294000000,0,4.0
28/03/2022,,,46.0,48.45,45.7,48.45,,9990400,0,48.45,1.85 (3.97 %),476697000000,0,5.0
25/03/2022,,,45.0,47.2,43.8,46.6,,10636200,20000,46.6,1.40 (3.10 %),484169000000,918000000,6.0
24/03/2022,,,45.85,46.7,44.8,45.2,,7480800,0,45.2,0.30 (0.67 %),342768000000,0,7.0
23/03/2022,,,44.75,45.95,44.15,44.9,,9709500,0,44.9,0.40 (0.90 %),437013000000,0,8.0
22/03/2022,,,42.5,44.5,41.9,44.45,,8823200,0,44.45,1.85 (4.34 %),383496000000,0,9.0
21/03/2022,,,42.7,43.65,41.5,42.6,,4617600,0,42.6,0.20 (0.47 %),196818000000,0,10.0
18/03/2022,,,41.3,42.5,40.6,42.4,,5881800,0,42.4,1.60 (3.92 %),245140000000,0,11.0
17/03/2022,,,44.1,44.3,40.75,40.8,,13697900,0,40.8,-3.00 (-6.85 %),570514000000,0,12.0
16/03/2022,,,43.4,44.5,42.85,43.8,,4240300,0,43.8,1.00 (2.34 %),185310000000,0,13.0
15/03/2022,,,43.0,43.5,41.25,42.8,,11367200,0,42.8,-0.50 (-1.15 %),481512000000,0,14.0
14/03/2022,,,46.6,47.0,43.25,43.25,,15380100,0,43.25,-3.25 (-6.99 %),695364000000,0,15.0
11/03/2022,,,46.0,47.4,45.5,46.5,,10728800,187000,46.5,1.60 (3.56 %),498873000000,7812250000,16.0
10/03/2022,,,43.4,45.5,43.05,44.85,,8334600,0,44.85,0.25 (0.56 %),370052000000,0,17.0
09/03/2022,,,43.0,45.15,42.0,44.55,,12977100,350000,44.55,2.35 (5.57 %),565546000000,13737500000,18.0
08/03/2022,,,43.5,45.0,41.5,42.2,,13001200,20000,42.2,-0.90 (-2.09 %),563971000000,820000000,19.0
07/03/2022,,,42.0,43.1,41.3,43.1,,7723200,48000,43.1,2.80 (6.95 %),330017000000,2016000000,20.0
04/03/2022,,,39.5,41.0,38.4,40.3,,10585300,40000,40.3,0.50 (1.26 %),422605000000,1508000000,21.0
03/03/2022,,,39.5,40.45,39.15,39.8,,9717000,0,39.8,0.80 (2.05 %),387470000000,0,2.0
02/03/2022,,,37.8,39.0,36.8,39.0,,11847200,0,39.0,2.10 (5.69 %),450381000000,0,3.0
01/03/2022,,,38.5,38.9,36.6,36.9,,11496700,0,36.9,-0.10 (-0.27 %),434083000000,0,4.0
28/02/2022,,,35.2,37.0,35.15,37.0,,9760600,0,37.0,2.40 (6.94 %),356171000000,0,5.0
25/02/2022,,,35.1,36.5,34.6,34.6,,9879400,0,34.6,0.10 (0.29 %),351903000000,0,6.0
24/02/2022,,,32.05,34.45,32.05,34.45,,14960700,0,34.45,2.25 (6.99 %),496510000000,0,7.0
23/02/2022,,,30.5,32.2,30.3,32.2,,6810700,0,32.2,2.10 (6.98 %),213045000000,0,8.0
22/02/2022,,,30.8,30.95,29.85,30.1,,4303400,0,30.1,-1.10 (-3.53 %),130492000000,0,9.0
21/02/2022,,,30.9,31.45,30.6,31.2,,4467800,0,31.2,0.50 (1.63 %),138851000000,0,10.0
18/02/2022,,,30.0,30.95,30.0,30.7,,4068000,0,30.7,0.20 (0.66 %),124315000000,0,11.0
17/02/2022,,,30.8,31.4,30.5,30.5,,3845600,0,30.5,-0.20 (-0.65 %),118769000000,0,12.0
16/02/2022,,,30.0,30.8,29.85,30.7,,5555600,0,30.7,0.90 (3.02 %),168772000000,0,13.0
15/02/2022,,,29.2,30.05,29.0,29.8,,2410400,0,29.8,0.50 (1.71 %),71220000000,0,14.0
14/02/2022,,,30.0,30.85,29.3,29.3,,4755000,0,29.3,-1.20 (-3.93 %),143463000000,0,15.0
11/02/2022,,,30.05,31.15,29.8,30.45,,3987600,0,30.45,0.65 (2.18 %),121755000000,0,16.0
10/02/2022,,,29.0,29.95,28.55,29.75,,4197300,0,29.75,1.05 (3.66 %),123072000000,0,17.0
09/02/2022,,,28.5,29.2,28.5,28.7,,2504200,0,28.7,0.20 (0.70 %),72266000000,0,18.0
08/02/2022,,,28.15,29.25,27.5,28.5,,3207900,0,28.5,0.50 (1.79 %),91327000000,0,19.0
07/02/2022,,,27.7,28.4,27.4,28.0,,2593500,0,28.0,1.00 (3.70 %),72429000000,0,20.0
28/01/2022,,,27.2,27.35,26.6,27.0,,1501700,0,27.0,0.10 (0.37 %),40528000000,0,21.0
27/01/2022,,,26.3,27.2,26.3,26.9,,2003600,0,26.9,0.70 (2.67 %),53781000000,0,2.0
26/01/2022,,,26.75,27.3,26.15,26.15,,2404700,0,26.15,-0.55 (-2.06 %),64105000000,0,3.0
25/01/2022,,,25.5,27.5,25.25,26.65,,3141600,0,26.65,0.35 (1.33 %),83205000000,0,4.0
24/01/2022,,,27.8,27.9,26.25,26.25,,4079100,0,26.25,-1.95 (-6.91 %),109532000000,0,5.0
21/01/2022,,,29.0,29.0,28.0,28.2,,3570000,0,28.2,-0.80 (-2.76 %),101302000000,0,6.0
20/01/2022,,,29.5,29.5,28.45,29.0,,1822300,0,29.0,-0.40 (-1.36 %),52666000000,0,7.0
19/01/2022,,,30.0,30.25,29.1,29.1,,1770100,0,29.1,0.00 (0.00 %),52469000000,0,8.0
18/01/2022,,,26.9,29.1,26.8,29.1,,4742800,0,29.1,1.90 (6.99 %),131556000000,0,9.0
17/01/2022,,,28.9,29.6,27.2,27.2,,5986800,0,27.2,-1.75 (-6.04 %),170801000000,0,10.0
14/01/2022,,,30.5,30.75,28.95,28.95,,6923700,0,28.95,-2.15 (-6.91 %),204619000000,0,11.0
13/01/2022,,,31.9,32.2,31.05,31.1,,2766600,0,31.1,-0.10 (-0.32 %),87467000000,0,12.0
12/01/2022,,,31.5,32.7,30.4,31.2,,4282900,0,31.2,-0.60 (-1.89 %),134360000000,0,13.0
11/01/2022,,,32.65,33.1,31.15,31.8,,5266200,0,31.8,-0.90 (-2.75 %),169915000000,0,14.0
10/01/2022,,,34.85,34.85,32.65,32.65,,14036600,0,32.65,-2.45 (-6.98 %),466805000000,0,15.0
07/01/2022,,,36.7,36.9,35.05,35.1,,10920200,0,35.1,-1.70 (-4.62 %),389354000000,0,16.0
06/01/2022,,,37.05,37.65,36.65,36.8,,4536000,0,36.8,-0.40 (-1.08 %),168164000000,0,17.0
05/01/2022,,,37.25,37.75,36.7,37.2,,5027800,0,37.2,0.10 (0.27 %),186297000000,0,18.0
04/01/2022,,,36.8,37.2,36.25,37.1,,4461800,0,37.1,0.40 (1.09 %),163756000000,0,19.0
31/12/2021,,,36.8,36.8,36.2,36.7,,2505700,0,36.7,0.30 (0.82 %),91482000000,0,20.0
30/12/2021,,,36.25,36.85,36.05,36.4,,3832300,0,36.4,0.20 (0.55 %),139412000000,0,21.0
29/12/2021,,,37.55,37.55,35.6,36.2,,5937600,0,36.2,-0.90 (-2.43 %),217246000000,0,2.0
28/12/2021,,,37.6,37.9,36.7,37.05,,3712200,0,37.05,0.15 (0.41 %),138274000000,0,3.0
27/12/2021,,,37.6,37.8,36.5,36.9,,5305800,0,36.9,-0.60 (-1.60 %),196162000000,0,4.0
24/12/2021,,,39.0,39.3,37.4,37.45,,6581000,30000,37.45,-1.35 (-3.48 %),250010000000,1173000000,5.0
23/12/2021,,,38.75,39.9,37.9,38.8,,6364400,0,38.8,0.00 (0.00 %),247784000000,0,6.0
