date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,7.50,7.60,7.50,0.00 (0.00 %),,26280000,7.50,7.50,3400,0,
01/04/2022,,,0,7.40,7.4,7.50,0.10 (1.35 %),,8220000,7.50,7.50,1100,0,
31/03/2022,,,0,7.70,7.40,7.40,-0.30 (-3.90 %),,15540000,7.40,7.40,2100,0,
30/03/2022,,,0,7.3,7.4,7.8,0.50 (6.85 %),,225170000,7.8,7.8,29400,0,
29/03/2022,,,0,7.4,7.3,7.3,-0.10 (-1.35 %),,13140000,7.3,7.3,1800,0,
28/03/2022,,,0,7.5,7.5,7.3,-0.20 (-2.67 %),,25910000,7.3,7.3,3500,0,
25/03/2022,,,0,7.6,7.3,7.5,-0.10 (-1.32 %),,48750000,7.5,7.5,6500,0,
24/03/2022,,,0,7.4,7.5,7.6,0.20 (2.70 %),,156330000,7.6,7.6,20700,0,
23/03/2022,,,0,7.3,7.3,7.4,0.10 (1.37 %),,19180000,7.4,7.4,2600,0,
22/03/2022,,,0,7.3,7.2,7.4,0.10 (1.37 %),,27660000,7.4,7.4,3800,0,
21/03/2022,,,0,7.3,7.2,7.3,0.00 (0.00 %),,107760000,7.3,7.3,14700,0,
18/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,16750000,7.3,7.3,2300,0,
17/03/2022,,,0,7.4,7.2,7.3,-0.10 (-1.35 %),,30480000,7.3,7.3,4200,0,
16/03/2022,,,0,7.2,7.4,7.4,0.20 (2.78 %),,3680000,7.4,7.4,500,0,
15/03/2022,,,0,7.5,7.3,7.2,-0.30 (-4.00 %),,24500000,7.2,7.2,3400,0,
14/03/2022,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,
11/03/2022,,,0,7.3,7.5,7.3,0.00 (0.00 %),,100750000,7.3,7.3,13500,0,
10/03/2022,,,0,7.2,7.2,7.5,0.30 (4.17 %),,16800000,7.5,7.5,2300,0,
09/03/2022,,,0,7.3,7.2,7.2,-0.10 (-1.37 %),,22320000,7.2,7.2,3100,0,
08/03/2022,,,0,7.3,7.5,7.2,-0.10 (-1.37 %),,43240000,7.2,7.2,5900,0,
07/03/2022,,,0,7.3,7.2,7.3,0.00 (0.00 %),,45000000,7.3,7.3,6200,0,
04/03/2022,,,0,7.4,7.4,7.2,-0.20 (-2.70 %),,15970000,7.2,7.2,2200,0,
03/03/2022,,,0,7.4,7.4,7.2,-0.20 (-2.70 %),,28910000,7.2,7.2,3900,0,
02/03/2022,,,0,7.7,8.0,7.7,0.00 (0.00 %),,16910000,7.7,7.7,2300,0,
01/03/2022,,,0,7.4,7.5,8.0,0.60 (8.11 %),,14650000,8.0,8.0,1900,0,
28/02/2022,,,0,7.0,7.0,7.3,0.30 (4.29 %),,29690000,7.3,7.3,4000,0,
25/02/2022,,,0,7.0,7.0,7.0,0.00 (0.00 %),,10500000,7.0,7.0,1500,0,
24/02/2022,,,0,7.2,7.1,7.0,-0.20 (-2.78 %),,21720000,7.0,7.0,3100,0,
23/02/2022,,,0,7.3,7.3,7.0,-0.30 (-4.11 %),,19410000,7.0,7.0,2700,0,
22/02/2022,,,0,7.2,7.3,7.3,0.10 (1.39 %),,16060000,7.3,7.3,2200,0,
21/02/2022,,,0,7.2,7.2,7.2,0.00 (0.00 %),,0,7.2,7.2,0,0,
18/02/2022,,,0,7.1,7.1,7.3,0.20 (2.82 %),,93530000,7.3,7.3,13000,0,
17/02/2022,,,0,7.0,7.1,7.1,0.10 (1.43 %),,55680000,7.1,7.1,7800,0,
16/02/2022,,,0,6.9,6.9,7.2,0.30 (4.35 %),,18820000,7.2,7.2,2700,0,
15/02/2022,,,0,7.2,6.9,6.9,-0.30 (-4.17 %),,1380000,6.9,6.9,200,0,
14/02/2022,,,0,7.2,7.2,7.2,0.00 (0.00 %),,20160000,7.2,7.2,2800,0,
11/02/2022,,,0,7.0,7.4,7.2,0.20 (2.86 %),,12960000,7.2,7.2,1800,0,
10/02/2022,,,0,6.9,7.1,7.0,0.10 (1.45 %),,2810000,7.0,7.0,400,0,
09/02/2022,,,0,7.0,6.9,7.1,0.10 (1.43 %),,82310000,7.1,7.1,11900,0,
08/02/2022,,,0,7.0,7.0,7.0,0.00 (0.00 %),,6434200,7.0,7.0,918,0,
07/02/2022,,,0,7.0,7.0,7.0,0.00 (0.00 %),,58530000,7.0,7.0,8400,0,
28/01/2022,,,0,8.1,8.0,6.9,-1.20 (-14.81 %),,311600000,6.9,6.9,44700,0,
27/01/2022,,,0,8.4,8.9,7.9,-0.50 (-5.95 %),,62420000,7.9,7.9,7700,0,
26/01/2022,,,0,8.3,9.0,8.0,-0.30 (-3.61 %),,98650000,8.0,8.0,11800,0,
25/01/2022,,,0,8.4,8.0,8.3,-0.10 (-1.19 %),,140170000,8.3,8.3,16800,0,
24/01/2022,,,0,9.5,8.9,8.1,-1.40 (-14.74 %),,118820000,8.1,8.1,14100,0,
21/01/2022,,,0,9.2,10.5,8.9,-0.30 (-3.26 %),,221370000,8.9,8.9,23200,0,
20/01/2022,,,0,8.0,8.5,9.2,1.20 (15.00 %),,369920000,9.2,9.2,40400,0,
19/01/2022,,,0,7.2,7.6,8.2,1.00 (13.89 %),,576630000,8.2,8.2,71700,0,
18/01/2022,,,0,7.1,7.0,7.8,0.70 (9.86 %),,59410000,7.8,7.8,8200,0,
17/01/2022,,,0,7.1,7.1,7.1,0.00 (0.00 %),,47020000,7.1,7.1,6600,0,
14/01/2022,,,0,7.8,7.2,7.4,-0.40 (-5.13 %),,85650000,7.4,7.4,12100,0,
13/01/2022,,,0,7.7,7.7,8.0,0.30 (3.90 %),,103330000,8.0,8.0,13300,0,
12/01/2022,,,0,8.2,7.6,7.7,-0.50 (-6.10 %),,83760000,7.7,7.7,10900,0,
11/01/2022,,,0,8.3,8.4,8.0,-0.30 (-3.61 %),,71740000,8.0,8.0,8700,0,
10/01/2022,,,0,7.6,7.8,8.4,0.80 (10.53 %),,234390000,8.4,8.4,28300,0,
07/01/2022,,,0,7.3,7.4,7.9,0.60 (8.22 %),,105440000,7.9,7.9,13800,0,
06/01/2022,,,0,7.3,7.2,7.5,0.20 (2.74 %),,71930000,7.5,7.5,9900,0,
05/01/2022,,,0,7.4,7.5,7.4,0.00 (0.00 %),,41520000,7.4,7.4,5700,0,
04/01/2022,,,0,7.5,7.4,7.5,0.00 (0.00 %),,40550000,7.5,7.5,5500,0,
31/12/2021,,,0,7.5,7.8,7.5,0.00 (0.00 %),,42020000,7.5,7.5,5600,0,
30/12/2021,,,0,7.2,7.2,7.6,0.40 (5.56 %),,200800000,7.6,7.6,26800,0,3.0
29/12/2021,,,0,7.3,7.3,7.2,-0.10 (-1.37 %),,117380000,7.2,7.2,16200,0,4.0
28/12/2021,,,0,7.4,7.4,7.3,-0.10 (-1.35 %),,106840000,7.3,7.3,14600,0,5.0
27/12/2021,,,0,7.2,7.3,7.4,0.20 (2.78 %),,16920000,7.4,7.4,2300,0,6.0
24/12/2021,,,0,7.4,7.2,7.3,-0.10 (-1.35 %),,53270000,7.3,7.3,7400,0,7.0
23/12/2021,,,0,7.1,7.1,7.3,0.20 (2.82 %),,65890000,7.3,7.3,8900,0,8.0
21/12/2021,,,0,7.3,7.0,7.3,0.00 (0.00 %),,52200000,7.3,7.3,7800,0,9.0
20/12/2021,,,0,7.3,7.5,7.2,-0.10 (-1.37 %),,27680000,7.2,7.2,3800,0,10.0
17/12/2021,,,0,7.3,7.6,7.1,-0.20 (-2.74 %),,42880000,7.1,7.1,5900,0,11.0
16/12/2021,,,0,7.4,7.2,7.6,0.20 (2.70 %),,16100000,7.6,7.6,2200,0,12.0
15/12/2021,,,0,7.6,7.4,7.6,0.00 (0.00 %),,11170000,7.6,7.6,1500,0,13.0
14/12/2021,,,0,7.5,7.6,7.6,0.10 (1.33 %),,91820000,7.6,7.6,12100,0,14.0
13/12/2021,,,0,7.5,7.5,7.6,0.10 (1.33 %),,36890000,7.6,7.6,4900,0,15.0
10/12/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,18750000,7.5,7.5,2500,0,16.0
