date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
12/03/2019,,,0,11.00,11.00,11.00,0.00 (0.00 %),,0,11.00,11.00,0,0,
11/03/2019,,,0,11.0,11.0,11.0,0.00 (0.00 %),,0,11.0,11.0,0,0,3.0
08/03/2019,,,0,11.0,11.0,11.0,0.00 (0.00 %),,0,11.0,11.0,0,0,4.0
07/03/2019,,,0,11.0,11.0,11.0,0.00 (0.00 %),,0,11.0,11.0,0,0,5.0
06/03/2019,,,0,11.0,11.0,11.0,0.00 (0.00 %),,0,11.0,11.0,0,0,6.0
05/03/2019,,,0,11.0,11.0,11.0,0.00 (0.00 %),,0,11.0,11.0,0,0,7.0
04/03/2019,,,0,9.6,11.0,11.0,1.40 (14.58 %),,1100000,11.0,11.0,100,0,8.0
01/03/2019,,,0,9.6,9.6,9.6,0.00 (0.00 %),,0,9.6,9.6,0,0,9.0
28/02/2019,,,0,9.6,9.6,9.6,0.00 (0.00 %),,0,9.6,9.6,0,0,10.0
27/02/2019,,,0,9.6,9.6,9.6,0.00 (0.00 %),,0,9.6,9.6,0,0,11.0
26/02/2019,,,0,8.4,9.6,9.6,1.20 (14.29 %),,960000,9.6,9.6,100,0,12.0
25/02/2019,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,13.0
22/02/2019,,,0,14.0,8.4,8.4,-5.60 (-40.00 %),,840000,8.4,8.4,100,0,14.0
21/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,15.0
20/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,16.0
19/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,17.0
18/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,18.0
15/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,19.0
14/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,20.0
13/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,21.0
12/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,2.0
11/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,3.0
01/02/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,4.0
31/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,5.0
30/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,6.0
29/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,7.0
28/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,8.0
25/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,9.0
24/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,10.0
23/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,11.0
22/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,12.0
21/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,13.0
18/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,14.0
17/01/2019,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,15.0
