date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,60.60,61.40,60.60,61.20,,29000,0,61.20,0.60 (0.99 %),1772000000,0,
01/04/2022,,,60.00,60.60,59.20,60.60,,32100,0,60.60,0.70 (1.17 %),1928000000,0,
31/03/2022,,,59.7,60.0,59.4,59.9,,21800,0,59.9,0.30 (0.50 %),1300000000,0,
30/03/2022,,,59.5,60.0,59.2,59.6,,29500,0,59.6,0.10 (0.17 %),1754000000,0,
29/03/2022,,,59.5,59.5,58.9,59.5,,34700,0,59.5,0.00 (0.00 %),2051000000,0,
28/03/2022,,,60.2,60.2,58.8,59.5,,23700,0,59.5,-0.10 (-0.17 %),1402000000,0,
25/03/2022,,,60.0,60.6,59.0,59.6,,8900,0,59.6,0.00 (0.00 %),530000000,0,
24/03/2022,,,59.0,59.6,59.0,59.6,,7800,0,59.6,0.00 (0.00 %),460000000,0,
23/03/2022,,,59.0,59.7,59.0,59.6,,23200,0,59.6,0.60 (1.02 %),1378000000,0,
22/03/2022,,,58.9,59.0,58.6,59.0,,36900,0,59.0,0.10 (0.17 %),2172000000,0,
21/03/2022,,,58.9,59.0,58.0,58.9,,9300,0,58.9,0.00 (0.00 %),546000000,0,
18/03/2022,,,59.0,59.0,58.3,58.9,,8200,0,58.9,0.10 (0.17 %),481000000,0,
17/03/2022,,,59.2,59.2,58.2,58.8,,5800,0,58.8,0.70 (1.20 %),340000000,0,
16/03/2022,,,58.1,59.6,58.1,58.1,,54800,0,58.1,-0.90 (-1.53 %),3228000000,0,
15/03/2022,,,58.1,59.0,58.0,59.0,,9400,0,59.0,0.00 (0.00 %),547000000,0,
14/03/2022,,,59.7,59.7,58.0,59.0,,40200,0,59.0,-0.70 (-1.17 %),2357000000,0,
11/03/2022,,,60.5,60.5,59.2,59.7,,26200,0,59.7,-1.10 (-1.81 %),1565000000,0,
10/03/2022,,,59.8,63.0,59.8,60.8,,28100,0,60.8,0.90 (1.50 %),1706000000,0,
09/03/2022,,,57.0,60.2,56.6,59.9,,101400,0,59.9,2.60 (4.54 %),5864000000,0,
08/03/2022,,,58.8,61.4,56.1,57.3,,163300,0,57.3,-2.00 (-3.37 %),9445000000,0,
07/03/2022,,,59.5,61.4,59.3,59.3,,57500,0,59.3,-1.90 (-3.10 %),3436000000,0,
04/03/2022,,,62.7,62.7,60.8,61.2,,15800,0,61.2,-0.10 (-0.16 %),971000000,0,
03/03/2022,,,59.9,61.8,58.8,61.3,,58000,0,61.3,2.40 (4.07 %),3537000000,0,
02/03/2022,,,59.9,59.9,58.9,58.9,,23500,0,58.9,-1.10 (-1.83 %),1388000000,0,
01/03/2022,,,60.4,60.4,59.1,60.0,,8800,0,60.0,-0.20 (-0.33 %),522000000,0,
28/02/2022,,,60.0,60.6,58.9,60.2,,32800,0,60.2,0.00 (0.00 %),1961000000,0,
25/02/2022,,,60.4,60.4,59.1,60.2,,20600,0,60.2,0.20 (0.33 %),1224000000,0,
24/02/2022,,,60.0,60.4,58.8,60.0,,36100,0,60.0,-0.70 (-1.15 %),2136000000,0,
23/02/2022,,,61.0,61.0,60.0,60.7,,6100,0,60.7,-0.20 (-0.33 %),368000000,0,
22/02/2022,,,61.6,61.6,60.0,60.9,,37500,0,60.9,-0.80 (-1.30 %),2278000000,0,
21/02/2022,,,61.0,62.0,61.0,61.7,,65100,0,61.7,0.90 (1.48 %),4004000000,0,
18/02/2022,,,59.7,61.0,59.7,60.8,,36200,0,60.8,-0.20 (-0.33 %),2203000000,0,
17/02/2022,,,59.5,61.2,59.2,61.0,,45700,0,61.0,0.50 (0.83 %),2786000000,0,
