date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
24/01/2022,,,0,11.50,11.10,11.00,-0.50 (-4.35 %),,76726800,11.00,11.00,7009,0,
21/01/2022,,,0,12.0,11.5,11.4,-0.60 (-5.00 %),,40753900,11.4,11.4,3549,0,
20/01/2022,,,0,13.0,12.0,12.0,-1.00 (-7.69 %),,72000000,12.0,12.0,6000,0,
19/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
18/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
17/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,124300,13.0,13.0,11,0,
14/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
13/01/2022,,,0,13.5,13.0,13.0,-0.50 (-3.70 %),,35100000,13.0,13.0,2700,0,
12/01/2022,,,0,13.5,13.5,13.5,0.00 (0.00 %),,166600,13.5,13.5,14,0,
11/01/2022,,,0,13.5,13.5,13.5,0.00 (0.00 %),,0,13.5,13.5,0,0,
10/01/2022,,,0,13.5,13.5,13.5,0.00 (0.00 %),,20250000,13.5,13.5,1500,0,
07/01/2022,,,0,13.5,13.5,13.5,0.00 (0.00 %),,1350000,13.5,13.5,100,0,
06/01/2022,,,0,13.5,13.5,13.5,0.00 (0.00 %),,0,13.5,13.5,0,0,
05/01/2022,,,0,13.3,13.2,13.5,0.20 (1.50 %),,33641400,13.5,13.5,2501,0,
04/01/2022,,,0,13.3,13.3,13.3,0.00 (0.00 %),,0,13.3,13.3,0,0,
31/12/2021,,,0,13.3,13.3,13.3,0.00 (0.00 %),,0,13.3,13.3,0,0,
30/12/2021,,,0,12.4,13.0,13.8,1.40 (11.29 %),,27930000,13.8,13.8,2100,0,3.0
29/12/2021,,,0,12.3,12.4,12.4,0.10 (0.81 %),,1375300,12.4,12.4,111,0,4.0
28/12/2021,,,0,13.2,12.3,12.3,-0.90 (-6.82 %),,3493200,12.3,12.3,284,0,5.0
27/12/2021,,,0,13.2,13.2,13.2,0.00 (0.00 %),,6600000,13.2,13.2,500,0,6.0
24/12/2021,,,0,13.2,13.2,13.2,0.00 (0.00 %),,337500,13.2,13.2,27,0,7.0
23/12/2021,,,0,12.7,13.2,13.2,0.50 (3.94 %),,95010000,13.2,13.2,7200,0,8.0
21/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,2540000,12.7,12.7,200,0,9.0
20/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,2540000,12.7,12.7,200,0,10.0
17/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,36135000,12.7,12.7,2850,0,11.0
16/12/2021,,,0,12.8,12.6,12.7,-0.10 (-0.78 %),,83954300,12.7,12.7,6613,0,12.0
15/12/2021,,,0,12.1,12.8,12.7,0.60 (4.96 %),,2550000,12.7,12.7,200,0,13.0
14/12/2021,,,0,12.0,12.1,12.1,0.10 (0.83 %),,10890000,12.1,12.1,900,0,14.0
13/12/2021,,,0,12.0,12.1,12.0,0.00 (0.00 %),,7220000,12.0,12.0,600,0,15.0
10/12/2021,,,0,11.8,11.9,12.0,0.20 (1.69 %),,81517600,12.0,12.0,6812,0,16.0
09/12/2021,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,17.0
08/12/2021,,,0,12.6,11.8,11.8,-0.80 (-6.35 %),,1297000,11.8,11.8,110,0,18.0
07/12/2021,,,0,12.6,12.6,12.6,0.00 (0.00 %),,69300000,12.6,12.6,5500,0,19.0
06/12/2021,,,0,12.6,12.6,12.6,0.00 (0.00 %),,0,12.6,12.6,0,0,20.0
03/12/2021,,,0,12.7,12.5,12.6,-0.10 (-0.79 %),,3770000,12.6,12.6,300,0,21.0
02/12/2021,,,0,12.1,12.7,12.7,0.60 (4.96 %),,1270000,12.7,12.7,100,0,2.0
01/12/2021,,,0,12.3,12.1,12.1,-0.20 (-1.63 %),,12100000,12.1,12.1,1000,0,3.0
30/11/2021,,,0,12.3,12.3,12.3,0.00 (0.00 %),,2460000,12.3,12.3,200,0,4.0
29/11/2021,,,0,12.3,12.3,12.3,0.00 (0.00 %),,0,12.3,12.3,0,0,5.0
26/11/2021,,,0,12.3,12.3,12.4,0.10 (0.81 %),,332100,12.4,12.4,27,0,6.0
25/11/2021,,,0,12.3,12.3,12.4,0.10 (0.81 %),,16055000,12.4,12.4,1302,0,7.0
24/11/2021,,,0,12.9,12.3,12.3,-0.60 (-4.65 %),,3690000,12.3,12.3,300,0,8.0
23/11/2021,,,0,12.9,12.9,12.9,0.00 (0.00 %),,0,12.9,12.9,0,0,9.0
22/11/2021,,,0,13.0,12.9,12.9,-0.10 (-0.77 %),,2580000,12.9,12.9,200,0,10.0
19/11/2021,,,0,13.0,13.0,13.0,0.00 (0.00 %),,141700000,13.0,13.0,10900,0,11.0
18/11/2021,,,0,13.0,13.0,12.7,-0.30 (-2.31 %),,114070000,12.7,12.7,8800,0,12.0
