date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,26.60,26.60,26.50,-0.10 (-0.38 %),,95630000,26.50,26.50,3600,0,
01/04/2022,,,0,26.90,26.9,26.50,-0.40 (-1.49 %),,34839000,26.50,26.50,1310,0,
31/03/2022,,,0,26.90,26.90,26.90,0.00 (0.00 %),,16140000,26.90,26.90,600,0,
30/03/2022,,,0,26.9,26.9,26.9,0.00 (0.00 %),,26900000,26.9,26.9,1000,0,
29/03/2022,,,0,26.7,27.5,26.7,0.00 (0.00 %),,400910000,26.7,26.7,14900,0,
28/03/2022,,,0,26.6,26.7,27.0,0.40 (1.50 %),,363150000,27.0,27.0,13600,0,
25/03/2022,,,0,26.7,26.7,26.8,0.10 (0.37 %),,626544000,26.8,26.8,23522,0,
24/03/2022,,,0,26.8,26.9,26.5,-0.30 (-1.12 %),,405760000,26.5,26.5,15200,0,
23/03/2022,,,0,26.5,26.6,26.5,0.00 (0.00 %),,139370000,26.5,26.5,5200,0,
22/03/2022,,,0,26.1,26.2,26.5,0.40 (1.53 %),,1024600100,26.5,26.5,38603,0,
21/03/2022,,,0,25.1,25.1,26.5,1.40 (5.58 %),,510837000,26.5,26.5,19580,0,
18/03/2022,,,0,25.7,25.0,25.8,0.10 (0.39 %),,177980000,25.8,25.8,7100,0,
17/03/2022,,,0,25.2,25.5,25.5,0.30 (1.19 %),,161640000,25.5,25.5,6300,0,
16/03/2022,,,0,25.1,23.1,25.1,0.00 (0.00 %),,50864200,25.1,25.1,2023,0,
15/03/2022,,,0,25.0,22.7,25.0,0.00 (0.00 %),,85295300,25.0,25.0,3403,0,
14/03/2022,,,0,25.0,25.0,25.1,0.10 (0.40 %),,105010000,25.1,25.1,4200,0,
11/03/2022,,,0,25.0,25.0,25.0,0.00 (0.00 %),,30452000,25.0,25.0,1220,0,
10/03/2022,,,0,25.3,25.0,25.0,-0.30 (-1.19 %),,15000000,25.0,25.0,600,0,
09/03/2022,,,0,25.2,25.6,25.2,0.00 (0.00 %),,98520000,25.2,25.2,3900,0,
08/03/2022,,,0,25.3,25.2,25.2,-0.10 (-0.40 %),,285325400,25.2,25.2,11301,0,
07/03/2022,,,0,25.1,27.5,25.2,0.10 (0.40 %),,275740000,25.2,25.2,10900,0,
04/03/2022,,,0,24.9,25.0,25.4,0.50 (2.01 %),,137780000,25.4,25.4,5500,0,
03/03/2022,,,0,26.1,23.7,25.0,-1.10 (-4.21 %),,286420000,25.0,25.0,11500,0,
02/03/2022,,,0,26.3,26.0,26.0,-0.30 (-1.14 %),,307560000,26.0,26.0,11800,0,
