date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,20.20,20.95,20.00,20.15,,225500,0,20.15,0.05 (0.25 %),4556000000,0,
01/04/2022,,,19.60,21.00,19.25,20.10,,661000,0,20.10,-0.60 (-2.90 %),13046000000,0,
31/03/2022,,,19.9,21.2,19.9,20.65,,643500,0,20.65,0.45 (2.23 %),13268000000,0,
30/03/2022,,,19.2,20.2,19.2,20.2,,566100,0,20.2,0.00 (0.00 %),11217000000,0,
29/03/2022,,,19.2,20.2,18.95,20.2,,541700,0,20.2,1.00 (5.21 %),10604000000,0,
28/03/2022,,,18.3,19.5,18.3,19.15,,1114800,0,19.15,0.85 (4.64 %),20982000000,0,
25/03/2022,,,17.35,18.3,17.35,18.25,,988200,0,18.25,0.95 (5.49 %),17791000000,0,
24/03/2022,,,16.8,17.4,16.5,17.3,,200700,0,17.3,0.50 (2.98 %),3410000000,0,
23/03/2022,,,16.85,16.9,16.7,16.8,,64700,0,16.8,-0.10 (-0.59 %),1086000000,0,
22/03/2022,,,16.75,17.0,16.75,16.85,,142100,0,16.85,-0.15 (-0.88 %),2398000000,0,
21/03/2022,,,16.95,17.1,16.7,17.0,,78600,0,17.0,0.00 (0.00 %),1325000000,0,
18/03/2022,,,17.15,17.15,16.9,17.0,,59200,0,17.0,-0.20 (-1.16 %),1004000000,0,
17/03/2022,,,17.0,17.5,17.0,17.15,,176800,0,17.15,0.15 (0.88 %),3051000000,0,
16/03/2022,,,16.95,17.2,16.8,17.0,,55500,0,17.0,0.00 (0.00 %),943000000,0,
15/03/2022,,,16.15,17.1,16.15,17.0,,266500,0,17.0,0.70 (4.29 %),4437000000,0,
14/03/2022,,,16.55,16.75,15.7,16.3,,112600,0,16.3,-0.50 (-2.98 %),1846000000,0,
11/03/2022,,,16.8,17.3,16.6,16.8,,107800,0,16.8,-0.20 (-1.18 %),1815000000,0,
10/03/2022,,,17.0,17.55,16.75,17.0,,118200,0,17.0,0.10 (0.59 %),2025000000,0,
09/03/2022,,,16.6,17.15,16.6,16.85,,74400,0,16.85,-0.15 (-0.88 %),1248000000,0,
08/03/2022,,,17.35,17.35,16.9,16.95,,154100,0,16.95,-0.45 (-2.59 %),2641000000,0,
07/03/2022,,,17.0,17.4,16.85,17.4,,280400,0,17.4,0.20 (1.16 %),4826000000,0,
04/03/2022,,,17.1,17.35,17.0,17.2,,112000,0,17.2,-0.10 (-0.58 %),1921000000,0,
03/03/2022,,,16.7,17.55,16.5,17.3,,278400,0,17.3,0.50 (2.98 %),4785000000,0,
02/03/2022,,,16.7,17.15,16.7,16.75,,159700,0,16.75,-0.45 (-2.62 %),2683000000,0,
01/03/2022,,,17.0,17.4,16.7,17.15,,235700,0,17.15,0.05 (0.29 %),4027000000,0,
28/02/2022,,,17.25,17.25,16.85,17.05,,161000,0,17.05,-0.25 (-1.45 %),2744000000,0,
25/02/2022,,,16.25,17.25,16.0,17.25,,699200,0,17.25,1.05 (6.48 %),11681000000,0,
24/02/2022,,,16.4,16.4,15.5,16.15,,196400,0,16.15,-0.35 (-2.12 %),3123000000,0,
23/02/2022,,,16.5,16.6,16.35,16.45,,85600,0,16.45,0.05 (0.30 %),1408000000,0,
22/02/2022,,,16.0,16.5,15.8,16.4,,170400,0,16.4,0.20 (1.23 %),2765000000,0,
21/02/2022,,,15.8,16.7,15.5,16.2,,180300,0,16.2,0.50 (3.18 %),2852000000,0,
18/02/2022,,,15.8,15.8,15.5,15.65,,52100,0,15.65,-0.05 (-0.32 %),816000000,0,
17/02/2022,,,15.95,15.95,15.55,15.7,,19900,0,15.7,-0.20 (-1.26 %),314000000,0,
16/02/2022,,,15.8,15.85,15.5,15.85,,76200,0,15.85,0.25 (1.60 %),1194000000,0,
15/02/2022,,,15.7,15.7,15.6,15.6,,35900,0,15.6,-0.10 (-0.64 %),561000000,0,
14/02/2022,,,15.7,15.85,15.55,15.7,,64800,0,15.7,-0.10 (-0.63 %),1019000000,0,
11/02/2022,,,15.75,15.9,15.7,15.8,,45700,0,15.8,-0.10 (-0.63 %),719000000,0,
10/02/2022,,,15.75,15.95,15.7,15.85,,59200,0,15.85,-0.05 (-0.31 %),934000000,0,
09/02/2022,,,15.85,15.85,15.65,15.85,,33500,0,15.85,-0.05 (-0.31 %),527000000,0,
08/02/2022,,,15.7,15.95,15.5,15.85,,20500,0,15.85,-0.05 (-0.31 %),323000000,0,
07/02/2022,,,16.1,16.1,15.45,15.85,,26100,0,15.85,0.35 (2.26 %),410000000,0,
28/01/2022,,,14.95,15.6,14.95,15.45,,56600,0,15.45,0.45 (3.00 %),861000000,0,
27/01/2022,,,14.95,15.4,14.6,14.95,,53800,0,14.95,0.25 (1.70 %),799000000,0,
26/01/2022,,,15.2,15.2,14.6,14.7,,39000,0,14.7,-0.50 (-3.29 %),577000000,0,
25/01/2022,,,15.3,15.8,14.85,15.2,,51200,0,15.2,-0.10 (-0.65 %),774000000,0,
24/01/2022,,,15.8,15.8,15.0,15.3,,44600,0,15.3,-0.70 (-4.38 %),689000000,0,
21/01/2022,,,16.0,16.1,15.45,16.0,,73700,0,16.0,0.00 (0.00 %),1162000000,0,
20/01/2022,,,15.7,16.15,15.6,16.05,,122300,0,16.05,0.35 (2.23 %),1931000000,0,
19/01/2022,,,17.3,17.3,15.95,16.2,,68100,0,16.2,-1.50 (-8.47 %),1118000000,0,
18/01/2022,,,17.2,17.65,17.0,17.65,,188000,0,16.34,0.35 (2.02 %),3247000000,0,
17/01/2022,,,17.5,18.0,17.1,17.3,,114300,0,16.02,-0.70 (-3.89 %),1995000000,0,
14/01/2022,,,18.2,18.2,17.3,18.0,,175100,0,16.67,-0.30 (-1.64 %),3082000000,0,
13/01/2022,,,17.65,18.3,17.4,18.3,,162100,0,16.94,0.60 (3.39 %),2890000000,0,
12/01/2022,,,18.1,18.1,16.8,17.65,,91700,0,16.34,0.05 (0.28 %),1598000000,0,
11/01/2022,,,17.65,17.7,17.35,17.55,,121800,0,16.25,-0.15 (-0.85 %),2137000000,0,
10/01/2022,,,18.0,18.0,17.5,17.7,,102100,0,16.39,-0.20 (-1.12 %),1817000000,0,
07/01/2022,,,18.0,18.0,17.7,17.85,,94400,0,16.53,0.05 (0.28 %),1680000000,0,
06/01/2022,,,18.15,18.15,17.75,17.8,,85100,0,16.48,0.00 (0.00 %),1523000000,0,
05/01/2022,,,17.65,17.85,17.65,17.75,,134000,0,16.43,0.05 (0.28 %),2376000000,0,
04/01/2022,,,17.4,17.8,17.4,17.65,,72300,0,16.34,-0.15 (-0.84 %),1274000000,0,
31/12/2021,,,17.5,17.85,17.3,17.8,,88300,0,16.48,0.00 (0.00 %),1555000000,0,
30/12/2021,,,17.65,18.0,17.0,17.8,,127100,0,17.8,0.10 (0.56 %),2228000000,0,3.0
29/12/2021,,,17.2,17.9,17.1,17.65,,101400,0,17.65,0.35 (2.02 %),1763000000,0,4.0
