date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,14.90,15.00,15.00,0.10 (0.67 %),,4500000,15.00,15.00,300,0,
01/04/2022,,,0,13.00,14.9,14.90,1.90 (14.62 %),,23840000,14.90,14.90,1600,0,
31/03/2022,,,0,11.50,12.00,13.20,1.70 (14.78 %),,6480000,13.20,13.20,500,0,
30/03/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
29/03/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
28/03/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
25/03/2022,,,0,19.0,11.5,11.5,-7.50 (-39.47 %),,6900000,11.5,11.5,600,0,
24/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
23/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
22/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
21/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
18/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
17/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
16/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
15/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
14/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
11/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
10/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
09/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
08/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
07/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
04/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
03/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,65400,19.0,19.0,3,0,
02/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
01/03/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,21800,19.0,19.0,1,0,
28/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
25/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
24/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
23/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
22/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
21/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
18/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
17/02/2022,,,0,19.0,19.0,19.0,0.00 (0.00 %),,0,19.0,19.0,0,0,
