date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,32.70,32.70,32.70,0.00 (0.00 %),,0,32.70,32.70,0,0,
01/04/2022,,,0,32.70,32.7,32.70,0.00 (0.00 %),,0,32.70,32.70,0,0,
31/03/2022,,,0,32.70,32.70,32.70,0.00 (0.00 %),,0,32.70,32.70,0,0,
30/03/2022,,,0,32.7,32.7,32.7,0.00 (0.00 %),,0,32.7,32.7,0,0,
29/03/2022,,,0,32.7,32.7,32.7,0.00 (0.00 %),,0,32.7,32.7,0,0,
28/03/2022,,,0,30.2,31.5,33.9,3.70 (12.25 %),,6540000,33.9,33.9,200,0,
25/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
24/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
23/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
22/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
21/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
18/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
17/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
16/03/2022,,,0,30.2,30.2,30.2,0.00 (0.00 %),,0,30.2,30.2,0,0,
15/03/2022,,,0,33.0,30.2,30.1,-2.90 (-8.79 %),,30150000,30.1,30.1,1000,0,
14/03/2022,,,0,33.0,33.0,33.0,0.00 (0.00 %),,0,33.0,33.0,0,0,
11/03/2022,,,0,31.1,33.0,33.0,1.90 (6.11 %),,3300000,33.0,33.0,100,0,
10/03/2022,,,0,32.0,31.0,31.1,-0.90 (-2.81 %),,31050000,31.1,31.1,1000,0,
09/03/2022,,,0,32.9,32.0,32.0,-0.90 (-2.74 %),,35200000,32.0,32.0,1100,0,
08/03/2022,,,0,34.0,32.9,32.9,-1.10 (-3.24 %),,3290000,32.9,32.9,100,0,
07/03/2022,,,0,34.0,34.0,34.0,0.00 (0.00 %),,0,34.0,34.0,0,0,
04/03/2022,,,0,34.0,34.0,34.0,0.00 (0.00 %),,0,34.0,34.0,0,0,
03/03/2022,,,0,34.0,34.0,34.0,0.00 (0.00 %),,0,34.0,34.0,0,0,
02/03/2022,,,0,34.0,34.0,34.0,0.00 (0.00 %),,0,34.0,34.0,0,0,
01/03/2022,,,0,31.0,34.0,34.0,3.00 (9.68 %),,6800000,34.0,34.0,200,0,
28/02/2022,,,0,31.5,30.0,31.0,-0.50 (-1.59 %),,244800000,31.0,31.0,7900,0,
25/02/2022,,,0,30.1,31.5,31.5,1.40 (4.65 %),,3150000,31.5,31.5,100,0,
24/02/2022,,,0,30.6,30.1,30.1,-0.50 (-1.63 %),,9030000,30.1,30.1,300,0,
23/02/2022,,,0,31.3,35.9,30.2,-1.10 (-3.51 %),,345250000,30.2,30.2,11300,0,
22/02/2022,,,0,31.9,31.8,31.0,-0.90 (-2.82 %),,128250000,31.0,31.0,4100,0,
21/02/2022,,,0,36.8,32.0,31.3,-5.50 (-14.95 %),,197760000,31.3,31.3,6200,0,
18/02/2022,,,0,37.0,37.0,36.6,-0.40 (-1.08 %),,92050000,36.6,36.6,2500,0,
17/02/2022,,,0,36.0,37.0,37.0,1.00 (2.78 %),,122100000,37.0,37.0,3300,0,
