date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile
04/04/2022,,,0,43.90,44.00,43.70,-0.20 (-0.46 %),,13199950000,43.70,43.70,301800,0
01/04/2022,,,0,44.0,44.2,44.0,0.00 (0.00 %),,11782195000,44.0,44.0,268650,0
31/03/2022,,,0,43.9,44.0,44.0,0.10 (0.23 %),,17317560000,44.0,44.0,393200,0
30/03/2022,,,0,43.4,43.5,43.5,0.10 (0.23 %),,16782130000,43.5,43.5,382200,0
29/03/2022,,,36800000000,43.1,43.2,43.7,0.60 (1.39 %),,11231387600,43.7,43.7,258514,1000000
28/03/2022,,,81700000000,42.9,43.0,43.6,0.70 (1.63 %),,15880801300,43.6,43.6,368523,2150000
25/03/2022,,,169170000000,43.0,42.4,43.3,0.30 (0.70 %),,13361292400,43.3,43.3,311236,4050000
24/03/2022,,,56000000000,42.0,41.5,43.7,1.70 (4.05 %),,10919297600,43.7,43.7,253664,1200000
23/03/2022,,,0,41.8,42.0,42.1,0.30 (0.72 %),,15061240000,42.1,42.1,358400,0
22/03/2022,,,57600000000,42.2,42.0,42.0,-0.20 (-0.47 %),,13545710000,42.0,42.0,323700,1600000
21/03/2022,,,0,43.5,43.0,41.9,-1.60 (-3.68 %),,12864800000,41.9,41.9,305100,0
18/03/2022,,,0,44.8,44.8,43.4,-1.40 (-3.13 %),,12995350000,43.4,43.4,298500,0
17/03/2022,,,3850000000,45.2,43.0,43.9,-1.30 (-2.88 %),,11516530000,43.9,43.9,257300,100000
16/03/2022,,,49500000000,43.4,43.2,44.7,1.30 (3.00 %),,26574360000,44.7,44.7,587800,1000000
15/03/2022,,,0,47.9,47.5,41.8,-6.10 (-12.73 %),,41495630400,41.8,41.8,957000,0
14/03/2022,,,0,48.8,48.5,48.9,0.10 (0.20 %),,26228190000,48.9,48.9,547200,0
11/03/2022,,,0,46.2,53.0,48.0,1.80 (3.90 %),,146497180000,48.0,48.0,2999500,0
10/03/2022,,,0,40.2,46.2,46.2,6.00 (14.93 %),,231420420000,46.2,46.2,5009100,0
09/03/2022,,,24949000000,35.0,40.2,40.2,5.20 (14.86 %),,4020000,40.2,40.2,100,830000
08/03/2022,,,0,25.0,35.0,35.0,10.00 (40.00 %),,353500000,35.0,35.0,10100,0
