date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,26.85,27.20,26.60,27.15,,1463100,1058811,27.15,0.65 (2.45 %),39443000000,28058491500,
01/04/2022,,,26.40,26.80,26.10,26.50,,991200,0,26.50,0.00 (0.00 %),26254000000,0,
31/03/2022,,,26.6,26.85,26.4,26.5,,683800,0,26.5,-0.10 (-0.38 %),18181000000,0,
30/03/2022,,,27.0,27.9,26.2,26.6,,1593100,0,26.6,-0.60 (-2.21 %),43039000000,0,
29/03/2022,,,27.6,27.85,27.2,27.2,,1572500,0,27.2,-0.20 (-0.73 %),43126000000,0,
28/03/2022,,,26.05,28.0,25.95,27.4,,2666600,0,27.4,0.50 (1.86 %),71781000000,0,
25/03/2022,,,27.05,27.35,26.75,26.85,,982400,0,26.85,-0.25 (-0.92 %),26404000000,0,
24/03/2022,,,26.1,27.45,26.05,27.05,,1821900,0,27.05,0.75 (2.85 %),48502000000,0,
23/03/2022,,,26.0,26.8,25.9,26.25,,1667000,0,26.25,0.75 (2.94 %),43923000000,0,
22/03/2022,,,25.7,26.1,25.5,25.5,,1704400,0,25.5,-0.30 (-1.16 %),43954000000,0,
21/03/2022,,,26.0,26.15,25.75,25.8,,1170900,0,25.8,-0.20 (-0.77 %),30290000000,0,
18/03/2022,,,26.0,26.4,25.85,25.95,,1097000,0,25.95,-0.05 (-0.19 %),28576000000,0,
17/03/2022,,,26.0,26.6,26.0,26.0,,1143400,0,26.0,0.00 (0.00 %),29990000000,0,
16/03/2022,,,25.9,26.3,25.6,26.0,,1197800,0,26.0,0.30 (1.17 %),31067000000,0,
15/03/2022,,,26.05,26.2,25.1,25.7,,2567000,0,25.7,-0.40 (-1.53 %),65781000000,0,
14/03/2022,,,27.5,28.0,26.1,26.1,,3052100,1000000,26.1,-1.90 (-6.79 %),82721000000,26200000000,
11/03/2022,,,27.65,28.8,27.2,28.0,,2311200,0,28.0,0.00 (0.00 %),64391000000,0,
10/03/2022,,,28.5,29.0,27.95,27.95,,1579300,0,27.95,-0.45 (-1.58 %),44845000000,0,
09/03/2022,,,28.4,29.0,27.3,28.4,,2135500,0,28.4,0.30 (1.07 %),60317000000,0,
08/03/2022,,,26.8,28.8,26.55,28.05,,5508800,1100000,28.05,1.05 (3.89 %),155536000000,27610000000,
07/03/2022,,,26.3,27.35,26.3,26.95,,1708900,0,26.95,0.35 (1.32 %),45726000000,0,
04/03/2022,,,26.3,26.9,26.25,26.55,,1158600,0,26.55,0.25 (0.95 %),30818000000,0,
03/03/2022,,,26.75,26.8,26.1,26.3,,1763400,0,26.3,-0.40 (-1.50 %),46601000000,0,
02/03/2022,,,27.0,27.3,26.6,26.7,,1594600,0,26.7,-0.40 (-1.48 %),42793000000,0,
01/03/2022,,,26.6,27.7,26.3,27.05,,1801700,0,27.05,0.25 (0.93 %),48724000000,0,
28/02/2022,,,26.55,27.2,26.55,26.8,,1394900,0,26.8,-0.20 (-0.74 %),37483000000,0,
25/02/2022,,,27.9,27.9,27.0,27.0,,1829300,0,27.0,-0.20 (-0.74 %),50161000000,0,
24/02/2022,,,26.1,27.2,25.1,27.2,,3666100,0,27.2,1.10 (4.21 %),96375000000,0,
23/02/2022,,,25.9,26.45,25.9,26.05,,1816400,0,26.05,0.15 (0.58 %),47386000000,0,
22/02/2022,,,26.65,26.75,25.55,25.9,,2355000,0,25.9,-0.90 (-3.36 %),61631000000,0,
21/02/2022,,,27.0,27.95,26.5,26.8,,2245200,0,26.8,-0.20 (-0.74 %),60684000000,0,
18/02/2022,,,26.6,27.5,26.5,27.0,,1282400,0,27.0,0.20 (0.75 %),34708000000,0,
17/02/2022,,,27.2,27.5,26.5,26.8,,1482400,0,26.8,-0.20 (-0.74 %),39994000000,0,
16/02/2022,,,25.8,26.95,25.5,26.95,,3939800,0,26.95,1.75 (6.94 %),105184000000,0,
15/02/2022,,,25.0,25.2,24.45,25.2,,1145900,0,25.2,0.20 (0.80 %),28433000000,0,
14/02/2022,,,25.0,25.8,24.0,25.0,,1266500,0,25.0,0.00 (0.00 %),31882000000,0,
11/02/2022,,,24.85,25.9,24.8,25.0,,1292900,0,25.0,0.10 (0.40 %),32661000000,0,
10/02/2022,,,24.55,25.2,24.35,24.85,,1283500,0,24.85,0.25 (1.02 %),32056000000,0,
09/02/2022,,,25.2,25.2,24.6,24.6,,1337100,0,24.6,-0.60 (-2.38 %),33303000000,0,
08/02/2022,,,25.2,25.5,24.95,25.2,,1084100,0,25.2,0.00 (0.00 %),27319000000,0,
07/02/2022,,,24.0,25.3,23.8,25.2,,2148500,0,25.2,1.50 (6.33 %),53308000000,0,
28/01/2022,,,23.8,24.1,23.1,23.65,,746400,0,23.65,-0.15 (-0.63 %),17710000000,0,
27/01/2022,,,23.05,24.0,22.95,23.8,,950300,0,23.8,0.80 (3.48 %),22376000000,0,
26/01/2022,,,24.0,24.0,23.0,23.0,,960200,0,23.0,-0.10 (-0.43 %),22509000000,0,
25/01/2022,,,21.55,23.1,21.5,23.1,,973400,0,23.1,1.50 (6.94 %),21958000000,0,
24/01/2022,,,22.5,22.9,21.6,21.6,,958300,0,21.6,-1.40 (-6.09 %),21407000000,0,
21/01/2022,,,23.3,23.3,22.7,22.95,,660100,0,22.95,-0.35 (-1.50 %),15134000000,0,
20/01/2022,,,22.95,23.45,22.5,23.35,,707700,0,23.35,1.05 (4.71 %),16321000000,0,
19/01/2022,,,20.55,22.3,20.55,22.3,,914000,0,22.3,1.40 (6.70 %),19630000000,0,
18/01/2022,,,21.8,22.55,20.85,20.85,,1462600,0,20.85,-1.50 (-6.71 %),31329000000,0,
17/01/2022,,,24.0,24.2,22.35,22.35,,1708400,0,22.35,-1.65 (-6.87 %),39054000000,0,
14/01/2022,,,21.75,24.35,21.75,24.0,,1228800,0,24.0,0.70 (3.00 %),28710000000,0,
13/01/2022,,,25.2,25.2,23.1,23.3,,1253800,0,23.3,-1.30 (-5.28 %),30180000000,0,
12/01/2022,,,24.3,25.0,23.0,24.6,,1709900,0,24.6,0.30 (1.23 %),41212000000,0,
11/01/2022,,,24.0,25.0,23.25,24.3,,1980300,0,24.3,0.30 (1.25 %),47889000000,0,
10/01/2022,,,25.8,26.0,24.0,24.0,,3266800,0,24.0,-1.60 (-6.25 %),80945000000,0,
07/01/2022,,,25.4,26.5,25.2,25.6,,1515600,0,25.6,0.10 (0.39 %),39149000000,0,
06/01/2022,,,25.2,25.6,24.5,25.5,,1833200,0,25.5,-0.10 (-0.39 %),46225000000,0,
05/01/2022,,,26.6,26.6,25.0,25.6,,2395700,4747665,25.6,0.50 (1.99 %),61949000000,118929008250,
04/01/2022,,,24.05,25.05,23.8,25.05,,2967100,0,25.05,1.55 (6.60 %),73816000000,0,
31/12/2021,,,23.8,24.1,23.2,23.45,,2298400,0,23.45,-0.35 (-1.47 %),53991000000,0,
30/12/2021,,,24.0,24.8,23.6,23.75,,1861400,0,23.75,-0.65 (-2.66 %),44603000000,0,3.0
29/12/2021,,,24.0,24.8,23.5,24.35,,3963800,0,24.35,1.15 (4.96 %),97648000000,0,4.0
28/12/2021,,,21.8,23.2,21.8,23.2,,3856300,960000,23.2,1.50 (6.91 %),88114000000,22272000000,5.0
27/12/2021,,,20.6,21.7,20.5,21.7,,2170700,0,21.7,0.90 (4.33 %),46077000000,0,6.0
24/12/2021,,,21.45,21.45,20.5,20.8,,1072300,0,20.8,-0.50 (-2.35 %),22545000000,0,7.0
23/12/2021,,,21.9,21.9,20.5,21.3,,2332900,960000,21.3,0.30 (1.43 %),49730000000,18816000000,8.0
22/12/2021,,,19.8,21.0,19.75,21.0,,2453600,0,21.0,1.30 (6.60 %),50863000000,0,9.0
21/12/2021,,,19.2,19.8,19.2,19.65,,575500,960000,19.65,0.25 (1.29 %),11248000000,19920000000,10.0
20/12/2021,,,19.6,19.85,19.35,19.4,,452500,0,19.4,-0.15 (-0.77 %),8829000000,0,11.0
17/12/2021,,,19.6,20.0,19.5,19.55,,713900,0,19.55,0.00 (0.00 %),14018000000,0,12.0
16/12/2021,,,20.0,20.0,19.55,19.55,,711900,960000,19.55,-0.30 (-1.51 %),14009000000,17952000000,13.0
15/12/2021,,,20.0,20.1,19.8,19.85,,496400,0,19.85,-0.20 (-1.00 %),9893000000,0,14.0
14/12/2021,,,20.3,20.3,19.85,20.05,,636800,0,20.05,-0.05 (-0.25 %),12792000000,0,15.0
13/12/2021,,,19.7,20.2,19.7,20.1,,916100,0,20.1,0.55 (2.81 %),18372000000,0,16.0
10/12/2021,,,19.45,19.95,19.25,19.55,,585900,0,19.55,0.20 (1.03 %),11498000000,0,17.0
09/12/2021,,,19.15,19.65,19.05,19.35,,386800,0,19.35,0.05 (0.26 %),7490000000,0,18.0
08/12/2021,,,19.6,19.8,19.0,19.3,,623900,0,19.3,-0.30 (-1.53 %),12006000000,0,19.0
07/12/2021,,,19.1,19.7,19.0,19.6,,396800,0,19.6,0.60 (3.16 %),7676000000,0,20.0
06/12/2021,,,19.9,19.95,18.7,19.0,,956400,0,19.0,-0.90 (-4.52 %),18448000000,0,21.0
03/12/2021,,,20.5,20.65,19.9,19.9,,980700,0,19.9,-0.50 (-2.45 %),19900000000,0,2.0
02/12/2021,,,20.2,21.0,20.0,20.4,,1081100,0,20.4,0.40 (2.00 %),22276000000,0,3.0
01/12/2021,,,20.0,20.2,19.85,20.0,,478700,0,20.0,0.00 (0.00 %),9587000000,0,4.0
30/11/2021,,,20.1,20.4,19.95,20.0,,988800,320000,20.0,0.00 (0.00 %),19941000000,5984000000,5.0
29/11/2021,,,19.3,20.0,19.3,20.0,,771500,300000,20.0,0.15 (0.76 %),15206000000,5580000000,6.0
26/11/2021,,,19.8,20.0,19.55,19.85,,1046400,0,19.85,0.15 (0.76 %),20618000000,0,7.0
25/11/2021,,,19.95,20.05,19.65,19.7,,1117200,0,19.7,-0.25 (-1.25 %),22106000000,0,8.0
24/11/2021,,,20.45,20.45,19.9,19.95,,823900,0,19.95,-0.25 (-1.24 %),16578000000,0,9.0
23/11/2021,,,19.1,20.2,19.1,20.2,,646600,200000,20.2,0.80 (4.12 %),12773000000,3620000000,10.0
22/11/2021,,,20.4,20.5,19.4,19.4,,1705500,300000,19.4,-1.10 (-5.37 %),33828000000,5760000000,11.0
19/11/2021,,,21.5,21.9,19.95,20.5,,2708100,0,20.5,-0.90 (-4.21 %),56905000000,0,12.0
18/11/2021,,,21.3,21.9,21.2,21.4,,1291600,0,21.4,0.00 (0.00 %),27714000000,0,13.0
17/11/2021,,,21.2,21.9,21.0,21.4,,1086700,0,21.4,0.00 (0.00 %),23262000000,0,14.0
16/11/2021,,,22.05,22.05,21.0,21.4,,1876300,0,21.4,-0.70 (-3.17 %),40275000000,0,15.0
15/11/2021,,,22.4,22.9,21.8,22.1,,2064400,2000000,22.1,-0.10 (-0.45 %),45690000000,41400000000,16.0
12/11/2021,,,22.5,22.75,21.8,22.2,,1626100,181461,22.2,0.00 (0.00 %),36196000000,3747169650,17.0
11/11/2021,,,20.75,22.2,20.6,22.2,,4591700,0,22.2,1.45 (6.99 %),99734000000,0,18.0
10/11/2021,,,20.85,20.9,20.5,20.75,,1794600,0,20.75,-0.10 (-0.48 %),37050000000,0,19.0
09/11/2021,,,20.35,20.9,20.3,20.85,,2418200,0,20.85,0.50 (2.46 %),49943000000,0,20.0
08/11/2021,,,20.2,20.4,20.15,20.35,,1318900,0,20.35,0.25 (1.24 %),26736000000,0,21.0
05/11/2021,,,19.85,20.35,19.8,20.1,,938300,0,20.1,0.30 (1.52 %),18790000000,0,2.0
04/11/2021,,,19.5,20.45,19.4,19.8,,1412600,0,19.8,0.10 (0.51 %),27858000000,0,3.0
03/11/2021,,,20.7,20.7,19.7,19.7,,1895500,0,19.7,-0.70 (-3.43 %),38313000000,0,4.0
02/11/2021,,,20.5,20.75,20.2,20.4,,1829100,0,20.4,0.00 (0.00 %),37326000000,0,5.0
