date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,17.60,18.50,17.60,17.70,,7200,0,17.70,0.00 (0.00 %),128000000,0,
01/04/2022,,,17.55,18.50,17.30,17.65,,27700,0,17.65,0.05 (0.28 %),491000000,0,
31/03/2022,,,18.1,18.2,17.45,17.55,,13900,0,17.55,-0.65 (-3.57 %),245000000,0,
30/03/2022,,,18.35,18.35,17.8,18.15,,12900,0,18.15,-0.35 (-1.89 %),234000000,0,
29/03/2022,,,17.7,18.8,17.7,18.5,,35200,0,18.5,0.80 (4.52 %),643000000,0,
28/03/2022,,,17.65,17.75,17.35,17.7,,17500,0,17.7,0.00 (0.00 %),307000000,0,
25/03/2022,,,17.7,17.95,17.65,17.7,,21500,0,17.7,-0.20 (-1.12 %),382000000,0,
24/03/2022,,,17.7,18.15,17.7,17.85,,12400,0,17.85,0.05 (0.28 %),219000000,0,
23/03/2022,,,17.6,17.8,17.6,17.75,,40800,0,17.75,0.15 (0.85 %),721000000,0,
22/03/2022,,,17.6,18.0,17.5,17.6,,28100,0,17.6,-0.10 (-0.56 %),495000000,0,
21/03/2022,,,18.0,18.0,17.35,17.7,,34700,0,17.7,-0.30 (-1.67 %),613000000,0,
18/03/2022,,,17.7,18.35,17.7,18.0,,54700,0,18.0,0.00 (0.00 %),985000000,0,
17/03/2022,,,19.6,19.6,17.9,17.95,,41500,0,17.95,-0.85 (-4.52 %),760000000,0,
16/03/2022,,,17.85,18.8,17.85,18.75,,66300,0,18.75,-0.15 (-0.79 %),1200000000,0,
15/03/2022,,,20.95,20.95,18.6,18.9,,72600,0,18.9,-1.10 (-5.50 %),1423000000,0,
14/03/2022,,,19.95,19.95,19.65,19.95,,133900,0,19.95,1.25 (6.68 %),2667000000,0,
11/03/2022,,,17.8,18.65,17.8,18.65,,124900,0,18.65,1.15 (6.57 %),2323000000,0,
10/03/2022,,,17.5,17.5,16.85,17.45,,7500,0,17.45,0.05 (0.29 %),128000000,0,
09/03/2022,,,17.75,17.75,16.8,17.4,,8100,0,17.4,-0.10 (-0.57 %),137000000,0,
08/03/2022,,,17.65,17.65,17.2,17.5,,7600,0,17.5,-0.10 (-0.57 %),131000000,0,
07/03/2022,,,17.65,17.65,17.2,17.6,,23800,0,17.6,0.10 (0.57 %),415000000,0,
04/03/2022,,,17.6,17.6,17.1,17.5,,17100,0,17.5,0.00 (0.00 %),297000000,0,
03/03/2022,,,17.55,17.55,16.9,17.45,,8000,0,17.45,0.05 (0.29 %),138000000,0,
02/03/2022,,,17.6,17.6,16.8,17.4,,6100,0,17.4,-0.10 (-0.57 %),104000000,0,
01/03/2022,,,17.7,17.7,17.35,17.5,,9500,0,17.5,0.10 (0.57 %),165000000,0,
28/02/2022,,,17.8,17.8,17.25,17.4,,8600,0,17.4,0.00 (0.00 %),151000000,0,
25/02/2022,,,17.5,18.0,17.4,17.4,,14800,0,17.4,0.10 (0.58 %),258000000,0,
24/02/2022,,,17.4,17.6,17.2,17.3,,15600,0,17.3,-0.10 (-0.57 %),269000000,0,
23/02/2022,,,17.35,17.5,17.1,17.4,,9400,0,17.4,0.10 (0.58 %),161000000,0,
22/02/2022,,,17.3,17.4,17.0,17.3,,25400,0,17.3,-0.10 (-0.57 %),437000000,0,
21/02/2022,,,16.9,17.4,16.9,17.35,,5900,0,17.35,0.15 (0.87 %),102000000,0,
18/02/2022,,,17.3,17.4,17.0,17.2,,14300,0,17.2,0.10 (0.58 %),246000000,0,
17/02/2022,,,17.0,17.3,17.0,17.1,,22700,0,17.1,0.10 (0.59 %),386000000,0,
16/02/2022,,,17.55,17.55,16.7,17.0,,12000,0,17.0,-0.10 (-0.58 %),202000000,0,
15/02/2022,,,17.45,17.45,17.0,17.1,,7400,0,17.1,0.10 (0.59 %),126000000,0,
14/02/2022,,,17.5,17.5,16.55,17.0,,800,0,17.0,-0.10 (-0.58 %),13000000,0,
11/02/2022,,,17.35,17.35,16.95,17.1,,1800,0,17.1,-0.30 (-1.72 %),30000000,0,
10/02/2022,,,17.3,17.35,17.0,17.35,,5600,0,17.35,-0.15 (-0.86 %),95000000,0,
09/02/2022,,,17.15,17.5,16.9,17.5,,3700,0,17.5,0.30 (1.74 %),63000000,0,
08/02/2022,,,17.0,17.35,16.8,17.2,,3700,0,17.2,-0.20 (-1.15 %),62000000,0,
07/02/2022,,,17.8,17.8,16.7,17.35,,2400,0,17.35,-0.05 (-0.29 %),41000000,0,
28/01/2022,,,16.8,17.4,16.5,17.4,,5600,0,17.4,0.60 (3.57 %),95000000,0,
27/01/2022,,,16.55,16.8,15.9,16.8,,18700,0,16.8,0.30 (1.82 %),302000000,0,
26/01/2022,,,16.8,16.9,16.5,16.5,,6500,0,16.5,-0.90 (-5.17 %),108000000,0,
25/01/2022,,,17.35,17.35,17.35,17.35,,100,0,17.35,0.25 (1.46 %),1000000,0,
24/01/2022,,,17.8,17.8,16.7,17.1,,3700,0,17.1,0.30 (1.79 %),62000000,0,
21/01/2022,,,17.4,17.45,16.8,16.8,,17000,0,16.8,-0.70 (-4.00 %),288000000,0,
20/01/2022,,,17.0,17.65,16.8,17.0,,3700,0,17.0,-0.90 (-5.03 %),62000000,0,
19/01/2022,,,17.35,18.0,16.9,18.0,,8900,0,18.0,0.60 (3.45 %),153000000,0,
