date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,8.80,9.30,9.30,0.50 (5.68 %),,930000,9.30,9.30,100,0,
01/04/2022,,,0,8.60,8.6,9.30,0.70 (8.14 %),,5300000,9.30,9.30,600,0,
31/03/2022,,,0,8.90,8.60,8.60,-0.30 (-3.37 %),,860000,8.60,8.60,100,0,
30/03/2022,,,0,8.9,8.9,8.9,0.00 (0.00 %),,4450000,8.9,8.9,500,0,
29/03/2022,,,0,8.8,8.9,9.0,0.20 (2.27 %),,109480000,9.0,9.0,12300,0,
28/03/2022,,,0,10.3,9.1,9.1,-1.20 (-11.65 %),,87607800,9.1,9.1,9902,0,
25/03/2022,,,0,9.5,10.2,10.5,1.00 (10.53 %),,17530000,10.5,10.5,1700,0,
24/03/2022,,,0,10.9,10.2,9.4,-1.50 (-13.76 %),,4760000,9.4,9.4,500,0,
23/03/2022,,,0,10.2,10.5,11.0,0.80 (7.84 %),,47820000,11.0,11.0,4400,0,
22/03/2022,,,0,9.2,10.5,10.5,1.30 (14.13 %),,247340000,10.5,10.5,24200,0,
21/03/2022,,,0,8.0,8.9,9.2,1.20 (15.00 %),,327938400,9.2,9.2,35652,0,
18/03/2022,,,0,8.8,8.0,8.0,-0.80 (-9.09 %),,19280000,8.0,8.0,2400,0,
17/03/2022,,,0,9.7,9.6,9.6,-0.10 (-1.03 %),,67820000,9.6,9.6,7700,0,
16/03/2022,,,0,11.3,9.7,9.8,-1.50 (-13.27 %),,79850000,9.8,9.8,8200,0,
15/03/2022,,,0,10.9,11.0,12.0,1.10 (10.09 %),,221735700,12.0,12.0,19703,0,
14/03/2022,,,0,9.5,9.7,10.9,1.40 (14.74 %),,143730000,10.9,10.9,13200,0,
11/03/2022,,,0,8.4,8.4,9.6,1.20 (14.29 %),,203080000,9.6,9.6,21400,0,
10/03/2022,,,0,7.5,7.4,8.6,1.10 (14.67 %),,106140000,8.6,8.6,12600,0,
09/03/2022,,,0,7.3,7.5,7.5,0.20 (2.74 %),,6021900,7.5,7.5,803,0,
08/03/2022,,,0,6.7,7.0,7.5,0.80 (11.94 %),,5110000,7.5,7.5,700,0,
07/03/2022,,,0,6.9,6.6,6.9,0.00 (0.00 %),,28110000,6.9,6.9,4200,0,
04/03/2022,,,0,6.9,6.9,6.9,0.00 (0.00 %),,0,6.9,6.9,0,0,
03/03/2022,,,0,6.9,6.9,6.9,0.00 (0.00 %),,0,6.9,6.9,0,0,
02/03/2022,,,0,6.8,6.8,7.2,0.40 (5.88 %),,3440000,7.2,7.2,500,0,
01/03/2022,,,0,6.8,6.8,6.8,0.00 (0.00 %),,680000,6.8,6.8,100,0,
28/02/2022,,,0,6.7,6.8,6.7,0.00 (0.00 %),,2030000,6.7,6.7,300,0,
25/02/2022,,,0,7.2,7.0,6.5,-0.70 (-9.72 %),,9430000,6.5,6.5,1400,0,
24/02/2022,,,0,7.2,7.2,7.2,0.00 (0.00 %),,3600000,7.2,7.2,500,0,
23/02/2022,,,0,7.0,7.0,7.4,0.40 (5.71 %),,8580000,7.4,7.4,1200,0,
22/02/2022,,,0,6.8,7.0,7.0,0.20 (2.94 %),,1400000,7.0,7.0,200,0,
21/02/2022,,,0,7.4,6.6,7.0,-0.40 (-5.41 %),,20561000,7.0,7.0,3003,0,
18/02/2022,,,0,6.9,7.4,7.4,0.50 (7.25 %),,740000,7.4,7.4,100,0,
17/02/2022,,,0,7.4,7.0,6.8,-0.60 (-8.11 %),,5480000,6.8,6.8,800,0,
16/02/2022,,,0,7.4,7.4,7.4,0.00 (0.00 %),,2220000,7.4,7.4,300,0,
15/02/2022,,,0,7.3,7.4,7.4,0.10 (1.37 %),,5180000,7.4,7.4,700,0,
14/02/2022,,,0,7.0,7.3,7.3,0.30 (4.29 %),,8030000,7.3,7.3,1100,0,
11/02/2022,,,0,7.1,6.7,7.1,0.00 (0.00 %),,22250000,7.1,7.1,3200,0,
10/02/2022,,,0,7.1,7.1,7.1,0.00 (0.00 %),,710000,7.1,7.1,100,0,
09/02/2022,,,0,7.6,7.1,7.1,-0.50 (-6.58 %),,7100000,7.1,7.1,1000,0,
