date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,10.80,11.20,10.60,10.60,,953600,0,10.60,-0.10 (-0.93 %),10281000000,0,
01/04/2022,,,9.55,10.90,9.51,10.70,,2098100,0,10.70,0.50 (4.90 %),20979000000,0,
31/03/2022,,,10.95,11.0,10.2,10.2,,3322400,0,10.2,-0.80 (-7.27 %),34506000000,0,
30/03/2022,,,11.5,11.65,10.95,10.95,,3586300,0,10.95,-0.85 (-7.20 %),39952000000,0,
29/03/2022,,,11.45,12.0,11.45,11.75,,1732100,0,11.75,0.25 (2.17 %),20365000000,0,
28/03/2022,,,11.75,12.2,11.45,11.45,,5737300,0,11.45,-0.85 (-6.91 %),66657000000,0,
25/03/2022,,,12.0,12.45,11.9,12.3,,2988900,0,12.3,0.30 (2.50 %),36095000000,0,
24/03/2022,,,11.65,12.2,11.55,11.95,,2398300,0,11.95,0.05 (0.42 %),28436000000,0,
23/03/2022,,,12.1,12.5,11.8,11.85,,2520400,0,11.85,-0.25 (-2.07 %),30352000000,0,
22/03/2022,,,12.0,12.45,11.7,12.05,,4079700,0,12.05,0.35 (2.99 %),49070000000,0,
21/03/2022,,,11.4,12.15,11.3,11.65,,4653200,0,11.65,0.25 (2.19 %),54911000000,0,
18/03/2022,,,11.35,11.7,11.25,11.4,,2668100,0,11.4,0.20 (1.79 %),30656000000,0,
17/03/2022,,,11.3,11.8,11.2,11.2,,3293100,0,11.2,0.00 (0.00 %),37816000000,0,
16/03/2022,,,10.8,11.2,10.65,11.2,,4615900,492300,11.2,0.70 (6.67 %),50770000000,5169150000,
15/03/2022,,,10.4,10.65,10.2,10.5,,1396700,0,10.5,0.30 (2.94 %),14581000000,0,
14/03/2022,,,10.2,10.55,10.0,10.2,,1345100,0,10.2,-0.10 (-0.97 %),13830000000,0,
11/03/2022,,,10.25,10.8,10.1,10.25,,1707000,0,10.25,-0.05 (-0.49 %),17725000000,0,
10/03/2022,,,10.25,10.7,10.2,10.25,,1730700,0,10.25,-0.05 (-0.49 %),17909000000,0,
09/03/2022,,,10.6,10.6,9.8,10.25,,2211800,0,10.25,-0.15 (-1.44 %),22525000000,0,
08/03/2022,,,10.7,10.9,10.15,10.4,,2533500,0,10.4,-0.50 (-4.59 %),26924000000,0,
07/03/2022,,,11.2,11.45,10.85,10.9,,3403600,0,10.9,0.00 (0.00 %),37939000000,0,
04/03/2022,,,10.2,10.9,10.15,10.9,,3569200,0,10.9,0.70 (6.86 %),38350000000,0,
03/03/2022,,,10.2,10.35,10.0,10.2,,1266500,0,10.2,0.00 (0.00 %),12908000000,0,
02/03/2022,,,10.2,10.5,10.1,10.15,,1223100,0,10.15,-0.25 (-2.40 %),12543000000,0,
01/03/2022,,,10.0,10.5,9.8,10.4,,1998700,0,10.4,0.40 (4.00 %),20581000000,0,
28/02/2022,,,10.0,10.15,9.8,10.0,,997500,0,10.0,-0.20 (-1.96 %),9957000000,0,
25/02/2022,,,10.15,10.45,9.95,10.2,,1803500,0,10.2,0.20 (2.00 %),18276000000,0,
24/02/2022,,,10.65,10.65,9.91,9.95,,2787500,0,9.95,-0.75 (-7.01 %),28140000000,0,
