date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,13.50,11.70,11.80,-1.70 (-12.59 %),,155880000,11.80,11.80,13500,0,
01/04/2022,,,0,12.10,13.5,13.50,1.40 (11.57 %),,1350000,13.50,13.50,100,0,
31/03/2022,,,0,12.10,12.10,12.10,0.00 (0.00 %),,0,12.10,12.10,0,0,
30/03/2022,,,0,12.7,12.8,12.5,-0.20 (-1.57 %),,142550000,12.5,12.5,11800,0,
29/03/2022,,,0,11.8,11.8,12.8,1.00 (8.47 %),,11460000,12.8,12.8,900,0,
28/03/2022,,,0,11.7,11.8,11.8,0.10 (0.85 %),,12980000,11.8,11.8,1100,0,
25/03/2022,,,0,12.1,12.4,11.8,-0.30 (-2.48 %),,50535300,11.8,11.8,4309,0,
24/03/2022,,,0,12.1,12.1,12.1,0.00 (0.00 %),,0,12.1,12.1,0,0,
23/03/2022,,,0,12.0,11.9,12.2,0.20 (1.67 %),,88170000,12.2,12.2,7300,0,
22/03/2022,,,0,12.5,12.5,12.0,-0.50 (-4.00 %),,42050000,12.0,12.0,3500,0,
21/03/2022,,,0,11.9,11.5,12.5,0.60 (5.04 %),,8750000,12.5,12.5,700,0,
18/03/2022,,,0,11.8,12.1,11.8,0.00 (0.00 %),,7130000,11.8,11.8,600,0,
17/03/2022,,,0,12.0,12.2,11.7,-0.30 (-2.50 %),,55510000,11.7,11.7,4700,0,
16/03/2022,,,0,12.0,12.0,12.0,0.00 (0.00 %),,18000000,12.0,12.0,1500,0,
15/03/2022,,,0,11.6,11.5,12.0,0.40 (3.45 %),,43300000,12.0,12.0,3600,0,
14/03/2022,,,0,11.5,11.9,11.5,0.00 (0.00 %),,32510000,11.5,11.5,2800,0,
11/03/2022,,,0,11.7,11.7,11.6,-0.10 (-0.85 %),,33240000,11.6,11.6,2900,0,
10/03/2022,,,0,11.7,11.7,11.7,0.00 (0.00 %),,18710000,11.7,11.7,1600,0,
09/03/2022,,,0,11.6,11.7,11.6,0.00 (0.00 %),,11701500,11.6,11.6,1002,0,
08/03/2022,,,0,11.9,11.9,11.3,-0.60 (-5.04 %),,104060000,11.3,11.3,9000,0,
07/03/2022,,,0,12.5,12.2,11.6,-0.90 (-7.20 %),,80960000,11.6,11.6,6800,0,
04/03/2022,,,0,12.5,12.5,12.5,0.00 (0.00 %),,6250000,12.5,12.5,500,0,
03/03/2022,,,0,12.4,11.6,12.5,0.10 (0.81 %),,23721600,12.5,12.5,1901,0,
02/03/2022,,,0,11.3,11.5,11.6,0.30 (2.65 %),,75421400,11.6,11.6,6101,0,
01/03/2022,,,0,11.4,11.3,11.3,-0.10 (-0.88 %),,38330000,11.3,11.3,3400,0,
28/02/2022,,,0,11.1,11.5,11.3,0.20 (1.80 %),,51200000,11.3,11.3,4500,0,
25/02/2022,,,0,11.2,11.2,11.1,-0.10 (-0.89 %),,113500000,11.1,11.1,10200,0,
24/02/2022,,,0,11.3,11.3,11.3,0.00 (0.00 %),,92800000,11.3,11.3,8300,0,
