date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
31/12/2021,,,0,50.00,47.90,47.90,-2.10 (-4.20 %),,4790000,47.90,47.90,100,0,
30/12/2021,,,0,58.0,50.0,50.0,-8.00 (-13.79 %),,10000000,50.0,50.0,200,0,3.0
29/12/2021,,,0,58.0,66.0,50.0,-8.00 (-13.79 %),,11600000,50.0,50.0,200,0,4.0
28/12/2021,,,0,58.5,58.0,58.0,-0.50 (-0.85 %),,17400000,58.0,58.0,300,0,5.0
27/12/2021,,,0,51.9,59.0,58.0,6.10 (11.75 %),,11700000,58.0,58.0,200,0,6.0
24/12/2021,,,0,45.5,51.9,51.9,6.40 (14.07 %),,10380000,51.9,51.9,200,0,7.0
23/12/2021,,,0,50.0,49.5,45.0,-5.00 (-10.00 %),,40950000,45.0,45.0,900,0,8.0
22/12/2021,,,0,54.9,50.0,50.0,-4.90 (-8.93 %),,55000000,50.0,50.0,1100,0,9.0
21/12/2021,,,0,54.9,54.9,54.9,0.00 (0.00 %),,0,54.9,54.9,0,0,10.0
20/12/2021,,,0,53.2,54.8,55.0,1.80 (3.38 %),,32940000,55.0,55.0,600,0,11.0
17/12/2021,,,0,53.2,50.0,54.8,1.60 (3.01 %),,31920000,54.8,54.8,600,0,12.0
16/12/2021,,,0,53.7,53.5,53.0,-0.70 (-1.30 %),,15950000,53.0,53.0,300,0,13.0
15/12/2021,,,0,55.0,50.0,54.7,-0.30 (-0.55 %),,21470000,54.7,54.7,400,0,14.0
14/12/2021,,,0,64.6,55.0,55.0,-9.60 (-14.86 %),,11000000,55.0,55.0,200,0,15.0
13/12/2021,,,0,75.9,64.6,64.6,-11.30 (-14.89 %),,6460000,64.6,64.6,100,0,16.0
10/12/2021,,,0,68.5,58.3,75.9,7.40 (10.80 %),,121430000,75.9,75.9,1600,0,17.0
09/12/2021,,,0,68.5,68.5,68.5,0.00 (0.00 %),,0,68.5,68.5,0,0,18.0
08/12/2021,,,0,68.5,68.5,68.5,0.00 (0.00 %),,0,68.5,68.5,0,0,19.0
07/12/2021,,,0,80.5,68.5,68.5,-12.00 (-14.91 %),,6850000,68.5,68.5,100,0,20.0
