date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,7.00,7.00,7.10,7.10,,3100,0,7.10,0.10 (1.43 %),21750000,0,
01/04/2022,,,7.00,6.9,7.10,7.00,,7300,0,7.00,0.00 (0.00 %),50780000,0,
31/03/2022,,,7.00,7.10,7.10,7.00,,5808,0,7.00,0.00 (0.00 %),40466000,0,
30/03/2022,,,7.2,7.1,7.1,7.0,,16500,0,7.0,-0.20 (-2.78 %),115100000,0,
29/03/2022,,,7.2,7.2,7.2,7.2,,1900,0,7.2,0.00 (0.00 %),13410000,0,
28/03/2022,,,7.2,7.1,7.2,7.2,,9100,0,7.2,0.00 (0.00 %),64650000,0,
25/03/2022,,,7.2,7.2,7.2,7.2,,18579,0,7.2,0.00 (0.00 %),133500900,0,
24/03/2022,,,7.1,7.2,7.3,7.2,,7826,0,7.2,0.10 (1.41 %),56486700,0,
23/03/2022,,,7.1,7.1,7.2,7.1,,10200,0,7.1,0.00 (0.00 %),73140000,0,
22/03/2022,,,7.0,7.1,7.2,7.1,,8236,0,7.1,0.10 (1.43 %),58075700,0,
21/03/2022,,,7.0,7.0,7.1,7.0,,9400,0,7.0,0.00 (0.00 %),66200000,0,
18/03/2022,,,7.0,7.0,7.0,7.0,,4126,0,7.0,0.00 (0.00 %),28879400,0,
17/03/2022,,,7.0,7.0,7.0,7.0,,9300,0,7.0,0.00 (0.00 %),64950000,0,
16/03/2022,,,7.2,7.2,7.2,7.0,,7900,0,7.0,-0.20 (-2.78 %),55320000,0,
15/03/2022,,,7.0,6.9,7.2,7.2,,2600,0,7.2,0.20 (2.86 %),18020000,0,
14/03/2022,,,7.3,7.3,7.3,7.0,,14119,0,7.0,-0.30 (-4.11 %),99928700,0,
11/03/2022,,,7.2,7.0,7.3,7.3,,18706,0,7.3,0.10 (1.39 %),131012000,0,
10/03/2022,,,7.3,7.2,7.2,7.2,,2901,0,7.2,-0.10 (-1.37 %),20787300,0,
09/03/2022,,,7.2,7.5,7.8,7.3,,3813,0,7.3,0.10 (1.39 %),28154900,0,
08/03/2022,,,7.0,7.0,7.3,7.2,,32800,0,7.2,0.20 (2.86 %),232740000,0,
07/03/2022,,,6.8,6.7,7.0,7.0,,2507,0,7.0,0.20 (2.94 %),17286900,0,
04/03/2022,,,6.7,6.7,6.9,6.8,,2902,0,6.8,0.10 (1.49 %),19833600,0,
03/03/2022,,,6.7,6.7,6.7,6.7,,2900,0,6.7,0.00 (0.00 %),19430000,0,
02/03/2022,,,6.7,6.7,6.7,6.7,,700,0,6.7,0.00 (0.00 %),4670000,0,
01/03/2022,,,6.7,6.7,6.8,6.7,,1300,0,6.7,0.00 (0.00 %),8720000,0,
28/02/2022,,,6.8,6.6,6.7,6.7,,2100,0,6.7,-0.10 (-1.47 %),13910000,0,
25/02/2022,,,6.8,6.7,6.8,6.8,,300,0,6.8,0.00 (0.00 %),2010000,0,3.0
24/02/2022,,,6.8,6.7,6.8,6.8,,2100,0,6.8,0.00 (0.00 %),13930000,0,4.0
23/02/2022,,,6.8,6.7,6.8,6.8,,3044,0,6.8,0.00 (0.00 %),20404800,0,5.0
22/02/2022,,,6.7,6.7,6.8,6.8,,1104,0,6.8,0.10 (1.49 %),7497600,0,6.0
21/02/2022,,,6.7,6.7,6.7,6.7,,3000,0,6.7,0.00 (0.00 %),20100000,0,7.0
18/02/2022,,,6.6,6.7,6.9,6.7,,4059,0,6.7,0.10 (1.52 %),27487100,0,8.0
17/02/2022,,,6.7,6.7,6.7,6.6,,704,0,6.6,-0.10 (-1.49 %),4666000,0,9.0
16/02/2022,,,6.7,6.7,7.0,6.7,,2000,0,6.7,0.00 (0.00 %),13540000,0,10.0
15/02/2022,,,6.8,6.5,6.8,6.7,,700,0,6.7,-0.10 (-1.47 %),4600000,0,11.0
14/02/2022,,,6.8,6.3,6.8,6.8,,2004,0,6.8,0.00 (0.00 %),13124800,0,12.0
11/02/2022,,,6.8,6.8,6.8,6.8,,200,0,6.8,0.00 (0.00 %),1360000,0,13.0
10/02/2022,,,6.9,6.8,7.0,6.8,,3620,0,6.8,-0.10 (-1.45 %),24698000,0,14.0
09/02/2022,,,7.2,6.8,7.0,6.9,,5460,0,6.9,-0.30 (-4.17 %),37492100,0,15.0
08/02/2022,,,7.0,6.8,7.3,7.2,,1400,0,7.2,0.20 (2.86 %),9690000,0,16.0
07/02/2022,,,7.3,7.2,7.2,7.0,,4526,0,7.0,-0.30 (-4.11 %),31199800,0,17.0
28/01/2022,,,6.8,7.0,7.3,7.3,,7100,0,7.3,0.50 (7.35 %),49060000,0,18.0
27/01/2022,,,7.0,7.0,7.0,6.8,,700,0,6.8,-0.20 (-2.86 %),4790000,0,19.0
26/01/2022,,,7.7,7.5,7.5,7.0,,13444,0,7.0,-0.70 (-9.09 %),94298000,0,20.0
25/01/2022,,,7.1,7.0,7.7,7.7,,2244,0,7.7,0.60 (8.45 %),15929200,0,21.0
24/01/2022,,,7.8,7.2,7.3,7.1,,5915,0,7.1,-0.70 (-8.97 %),42148000,0,2.0
21/01/2022,,,7.1,7.1,7.8,7.8,,16159,0,7.8,0.70 (9.86 %),111920700,0,3.0
20/01/2022,,,6.5,6.5,7.1,7.1,,6000,0,7.1,0.60 (9.23 %),40890000,0,4.0
19/01/2022,,,6.6,6.0,6.5,6.5,,10000,0,6.5,-0.10 (-1.52 %),61340000,0,5.0
18/01/2022,,,7.3,6.7,6.8,6.6,,10335,0,6.6,-0.70 (-9.59 %),68458000,0,6.0
17/01/2022,,,7.5,7.5,7.5,7.3,,7924,0,7.3,-0.20 (-2.67 %),56920000,0,7.0
14/01/2022,,,7.1,6.6,7.5,7.5,,4230,0,7.5,0.40 (5.63 %),29286000,0,8.0
13/01/2022,,,7.7,7.6,7.6,7.1,,22100,0,7.1,-0.60 (-7.79 %),159500000,0,9.0
12/01/2022,,,7.7,7.7,7.7,7.7,,33228,0,7.7,0.00 (0.00 %),245937100,0,10.0
11/01/2022,,,8.3,8.3,8.3,7.7,,31820,0,7.7,-0.60 (-7.23 %),247446000,0,11.0
10/01/2022,,,7.9,7.9,8.4,8.3,,45901,0,8.3,0.40 (5.06 %),371808000,0,12.0
07/01/2022,,,7.3,7.3,8.0,7.9,,42319,0,7.9,0.60 (8.22 %),319286300,0,13.0
06/01/2022,,,7.3,7.3,7.4,7.3,,14609,0,7.3,0.00 (0.00 %),106145700,0,14.0
05/01/2022,,,7.3,7.3,7.3,7.3,,17200,0,7.3,0.00 (0.00 %),123810000,0,15.0
04/01/2022,,,7.2,7.2,7.4,7.3,,12900,0,7.3,0.10 (1.39 %),94250000,0,16.0
31/12/2021,,,7.2,7.2,7.4,7.2,,16411,0,7.2,0.00 (0.00 %),118299800,0,17.0
30/12/2021,,,7.3,7.5,7.5,7.2,,6209,0,7.2,-0.10 (-1.37 %),45154800,0,18.0
29/12/2021,,,7.0,7.1,7.5,7.3,,21047,0,7.3,0.30 (4.29 %),152152000,0,19.0
28/12/2021,,,7.1,7.1,7.1,7.0,,22535,0,7.0,-0.10 (-1.41 %),158368500,0,20.0
27/12/2021,,,7.1,7.1,7.2,7.1,,16400,0,7.1,0.00 (0.00 %),116300000,0,21.0
24/12/2021,,,7.2,7.0,7.2,7.1,,4800,0,7.1,-0.10 (-1.39 %),34280000,0,2.0
23/12/2021,,,7.2,7.3,7.3,7.2,,5200,0,7.2,0.00 (0.00 %),37280000,0,3.0
22/12/2021,,,7.2,7.2,7.2,7.2,,6120,0,7.2,0.00 (0.00 %),43898000,0,4.0
21/12/2021,,,7.4,7.4,7.4,7.2,,13200,0,7.2,-0.20 (-2.70 %),94690000,0,5.0
20/12/2021,,,7.4,7.4,7.4,7.4,,9700,0,7.4,0.00 (0.00 %),70900000,0,6.0
17/12/2021,,,7.4,7.4,7.5,7.4,,4100,0,7.4,0.00 (0.00 %),30450000,0,7.0
16/12/2021,,,7.5,7.5,7.5,7.4,,9320,0,7.4,-0.10 (-1.33 %),68590000,0,8.0
15/12/2021,,,7.7,7.7,7.7,7.5,,3410,0,7.5,-0.20 (-2.60 %),25521000,0,9.0
14/12/2021,,,7.7,7.4,7.7,7.7,,5937,0,7.7,0.00 (0.00 %),44524900,0,10.0
13/12/2021,,,7.7,7.6,7.8,7.7,,9475,0,7.7,0.00 (0.00 %),71650000,0,11.0
10/12/2021,,,7.5,7.5,7.7,7.7,,4000,0,7.7,0.20 (2.67 %),30000000,0,12.0
09/12/2021,,,7.5,7.2,7.5,7.5,,2810,0,7.5,0.00 (0.00 %),21005000,0,13.0
08/12/2021,,,7.6,7.6,7.6,7.5,,3500,0,7.5,-0.10 (-1.32 %),26260000,0,14.0
07/12/2021,,,7.6,7.4,7.6,7.6,,9300,0,7.6,0.00 (0.00 %),68380000,0,15.0
06/12/2021,,,7.9,7.9,7.9,7.6,,11005,0,7.6,-0.30 (-3.80 %),79889500,0,16.0
03/12/2021,,,8.0,7.9,7.9,7.9,,26900,0,7.9,-0.10 (-1.25 %),206170000,0,17.0
02/12/2021,,,7.6,7.7,8.0,8.0,,51210,0,8.0,0.40 (5.26 %),396709000,0,18.0
01/12/2021,,,7.2,7.2,7.6,7.6,,6260,0,7.6,0.40 (5.56 %),46538000,0,19.0
30/11/2021,,,7.4,7.4,7.4,7.2,,21200,0,7.2,-0.20 (-2.70 %),153290000,0,20.0
29/11/2021,,,7.5,6.9,7.5,7.4,,4100,0,7.4,-0.10 (-1.33 %),28640000,0,21.0
26/11/2021,,,7.5,7.2,7.5,7.5,,9700,0,7.5,0.00 (0.00 %),70470000,0,2.0
25/11/2021,,,7.6,7.7,7.7,7.5,,10000,0,7.5,-0.10 (-1.32 %),74840000,0,3.0
24/11/2021,,,7.7,7.5,7.8,7.6,,19380,0,7.6,-0.10 (-1.30 %),145728000,0,4.0
23/11/2021,,,8.0,7.8,7.8,7.7,,20710,0,7.7,-0.30 (-3.75 %),150844000,0,5.0
22/11/2021,,,8.3,8.3,8.3,8.0,,13737,0,8.0,-0.30 (-3.61 %),112939700,0,6.0
19/11/2021,,,7.9,8.0,8.6,8.3,,64900,0,8.3,0.40 (5.06 %),553830000,0,7.0
18/11/2021,,,7.4,7.1,7.9,7.9,,40483,0,7.9,0.50 (6.76 %),295509800,0,8.0
17/11/2021,,,7.4,7.2,7.4,7.4,,7000,0,7.4,0.00 (0.00 %),50520000,0,9.0
16/11/2021,,,7.9,8.0,8.0,7.4,,9996,0,7.4,-0.50 (-6.33 %),74756800,0,10.0
15/11/2021,,,7.3,7.2,7.9,7.9,,58550,0,7.9,0.60 (8.22 %),438437600,0,11.0
12/11/2021,,,7.1,7.2,7.3,7.3,,11700,0,7.3,0.20 (2.82 %),84020000,0,12.0
11/11/2021,,,7.0,7.0,7.1,7.1,,9300,0,7.1,0.10 (1.43 %),64780000,0,13.0
10/11/2021,,,6.7,6.9,7.0,7.0,,4343,0,7.0,0.30 (4.48 %),29586100,0,14.0
09/11/2021,,,6.7,6.7,6.9,6.7,,44150,0,6.7,0.00 (0.00 %),293875000,0,15.0
08/11/2021,,,6.7,6.7,6.9,6.7,,44200,0,6.7,0.00 (0.00 %),291790000,0,16.0
05/11/2021,,,6.6,6.7,6.7,6.7,,3300,0,6.7,0.10 (1.52 %),22110000,0,17.0
04/11/2021,,,6.9,6.4,6.7,6.6,,5500,0,6.6,-0.30 (-4.35 %),36270000,0,18.0
03/11/2021,,,6.9,6.8,6.9,6.9,,2282,0,6.9,0.00 (0.00 %),15597600,0,19.0
02/11/2021,,,6.9,6.8,6.9,6.9,,1813,0,6.9,0.00 (0.00 %),12199700,0,20.0
01/11/2021,,,7.2,6.7,6.9,6.9,,18400,0,6.9,-0.30 (-4.17 %),121710000,0,21.0
29/10/2021,,,7.0,6.5,7.2,7.2,,1200,0,7.2,0.20 (2.86 %),8180000,0,2.0
28/10/2021,,,6.8,6.8,7.0,7.0,,5013,0,7.0,0.20 (2.94 %),34185800,0,3.0
27/10/2021,,,6.6,6.9,7.2,6.8,,35800,0,6.8,0.20 (3.03 %),237660000,0,4.0
26/10/2021,,,6.7,7.0,7.0,6.6,,6300,70,6.6,-0.10 (-1.49 %),42880000,427000,5.0
25/10/2021,,,6.7,6.5,7.3,6.7,,26200,0,6.7,0.00 (0.00 %),177360000,0,6.0
22/10/2021,,,6.3,6.5,6.9,6.7,,53413,0,6.7,0.40 (6.35 %),360224500,0,7.0
21/10/2021,,,6.3,6.3,6.4,6.3,,14900,0,6.3,0.00 (0.00 %),93900000,0,8.0
20/10/2021,,,6.4,6.3,6.5,6.3,,18800,0,6.3,-0.10 (-1.56 %),116390000,0,9.0
19/10/2021,,,6.3,6.4,6.4,6.4,,1000,195700,6.4,0.10 (1.59 %),6270000,1232910000,10.0
18/10/2021,,,6.1,6.1,6.4,6.3,,10810,0,6.3,0.20 (3.28 %),68653000,0,11.0
15/10/2021,,,6.2,6.1,6.1,6.1,,10200,0,6.1,-0.10 (-1.61 %),61600000,0,12.0
14/10/2021,,,6.2,5.9,6.2,6.2,,7370,0,6.2,0.00 (0.00 %),45664000,0,13.0
13/10/2021,,,6.2,6.0,6.2,6.2,,1128,0,6.2,0.00 (0.00 %),6793600,0,14.0
12/10/2021,,,6.1,6.1,6.2,6.2,,7157,0,6.2,0.10 (1.64 %),43705700,0,15.0
11/10/2021,,,6.3,6.1,6.2,6.1,,5300,0,6.1,-0.20 (-3.17 %),32360000,0,16.0
08/10/2021,,,6.4,6.0,6.3,6.3,,12528,0,6.3,-0.10 (-1.56 %),75788000,0,17.0
07/10/2021,,,6.2,6.0,6.4,6.4,,8561,0,6.4,0.20 (3.23 %),52597000,0,18.0
06/10/2021,,,6.2,6.0,6.2,6.2,,24020,0,6.2,0.00 (0.00 %),143190000,0,19.0
05/10/2021,,,6.0,6.0,6.2,6.2,,15300,0,6.2,0.20 (3.33 %),91720000,0,20.0
04/10/2021,,,6.0,6.0,6.0,6.0,,13351,0,6.0,0.00 (0.00 %),77496200,0,21.0
01/10/2021,,,6.0,6.0,6.1,6.0,,6710,0,6.0,0.00 (0.00 %),40270000,0,2.0
30/09/2021,,,6.0,6.0,6.1,6.0,,1328,0,6.0,0.00 (0.00 %),7993600,0,3.0
29/09/2021,,,6.6,6.6,6.6,6.0,,8601,0,6.0,-0.60 (-9.09 %),52057300,0,4.0
28/09/2021,,,6.6,6.7,6.7,6.6,,8250,59600,6.6,0.00 (0.00 %),49770000,423160000,5.0
27/09/2021,,,6.8,6.8,6.8,6.6,,17710,0,6.6,-0.20 (-2.94 %),111418000,0,6.0
24/09/2021,,,6.8,6.5,7.0,6.8,,12700,0,6.8,0.00 (0.00 %),83660000,0,7.0
23/09/2021,,,6.7,6.7,7.3,6.8,,17808,0,6.8,0.10 (1.49 %),124573600,0,8.0
22/09/2021,,,6.2,6.2,6.7,6.7,,34120,0,6.7,0.50 (8.06 %),221574000,0,9.0
21/09/2021,,,6.1,6.1,6.2,6.2,,10151,0,6.2,0.10 (1.64 %),62246200,0,10.0
20/09/2021,,,6.2,6.2,6.2,6.1,,4700,0,6.1,-0.10 (-1.61 %),29130000,0,11.0
17/09/2021,,,6.2,6.2,6.2,6.2,,23100,0,6.2,0.00 (0.00 %),143220000,0,12.0
16/09/2021,,,6.4,6.2,6.3,6.2,,34650,0,6.2,-0.20 (-3.13 %),209710000,0,13.0
15/09/2021,,,6.4,6.0,6.4,6.4,,15709,0,6.4,0.00 (0.00 %),94184000,0,14.0
14/09/2021,,,6.6,6.5,6.5,6.4,,420,0,6.4,-0.20 (-3.03 %),2708000,0,15.0
13/09/2021,,,6.1,6.2,6.7,6.6,,90950,0,6.6,0.50 (8.20 %),534916000,0,16.0
10/09/2021,,,6.2,6.1,6.1,6.1,,3829,0,6.1,-0.10 (-1.61 %),23014000,0,17.0
09/09/2021,,,6.4,6.2,6.2,6.2,,6100,0,6.2,-0.20 (-3.13 %),36730000,0,18.0
08/09/2021,,,6.2,6.4,6.5,6.4,,2900,0,6.4,0.20 (3.23 %),18610000,0,19.0
07/09/2021,,,6.5,6.5,6.5,6.2,,1900,0,6.2,-0.30 (-4.62 %),11950000,0,20.0
06/09/2021,,,6.1,6.0,6.5,6.5,,2300,0,6.5,0.40 (6.56 %),14020000,0,21.0
01/09/2021,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,2.0
31/08/2021,,,6.0,6.0,6.1,6.1,,7000,0,6.1,0.10 (1.67 %),41880000,0,3.0
30/08/2021,,,6.0,6.0,6.1,6.0,,3300,0,6.0,0.00 (0.00 %),19890000,0,4.0
27/08/2021,,,6.2,6.1,6.1,6.0,,4300,0,6.0,-0.20 (-3.23 %),25610000,0,5.0
26/08/2021,,,6.2,6.2,6.2,6.2,,0,0,6.2,0.00 (0.00 %),0,0,6.0
25/08/2021,,,6.2,6.2,6.2,6.2,,20,0,6.2,0.00 (0.00 %),114000,0,7.0
24/08/2021,,,6.0,5.9,6.2,6.2,,24800,0,6.2,0.20 (3.33 %),148770000,0,8.0
23/08/2021,,,6.2,6.0,6.0,6.0,,1845,0,6.0,-0.20 (-3.23 %),11061000,0,9.0
20/08/2021,,,6.2,6.2,6.2,6.2,,0,0,6.2,0.00 (0.00 %),0,0,10.0
19/08/2021,,,6.2,6.2,6.2,6.2,,5,0,6.2,0.00 (0.00 %),28000,0,11.0
18/08/2021,,,6.3,6.0,6.2,6.2,,59100,0,6.2,-0.10 (-1.59 %),346330000,0,12.0
17/08/2021,,,6.0,6.3,6.3,6.3,,200,0,6.3,0.30 (5.00 %),1260000,0,13.0
16/08/2021,,,6.1,6.0,6.0,6.0,,3905,0,6.0,-0.10 (-1.64 %),22930000,0,14.0
13/08/2021,,,6.1,6.1,6.1,6.1,,300,0,6.1,0.00 (0.00 %),1830000,0,15.0
12/08/2021,,,6.3,6.1,6.1,6.1,,200,0,6.1,-0.20 (-3.17 %),1220000,0,16.0
11/08/2021,,,6.3,6.3,6.3,6.3,,50,0,6.3,0.00 (0.00 %),300000,0,17.0
10/08/2021,,,6.0,6.0,6.3,6.3,,400,0,6.3,0.30 (5.00 %),2430000,0,18.0
09/08/2021,,,6.1,6.0,6.0,6.0,,300,0,6.0,-0.10 (-1.64 %),1800000,0,19.0
06/08/2021,,,6.0,5.9,6.1,6.1,,4130,0,6.1,0.10 (1.67 %),24724000,0,20.0
05/08/2021,,,6.1,5.9,6.0,6.0,,2401,0,6.0,-0.10 (-1.64 %),14086100,0,21.0
04/08/2021,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,2.0
03/08/2021,,,6.3,6.1,6.1,6.1,,550,0,6.1,-0.20 (-3.17 %),3350000,0,3.0
02/08/2021,,,6.0,6.3,6.3,6.3,,100,0,6.3,0.30 (5.00 %),630000,0,4.0
30/07/2021,,,6.0,5.8,6.0,6.0,,1000,0,6.0,0.00 (0.00 %),5980000,0,5.0
29/07/2021,,,6.0,6.0,6.0,6.0,,600,0,6.0,0.00 (0.00 %),3600000,0,6.0
28/07/2021,,,6.1,6.0,6.0,6.0,,10000,0,6.0,-0.10 (-1.64 %),60000000,0,7.0
27/07/2021,,,6.1,6.1,6.2,6.1,,22400,0,6.1,0.00 (0.00 %),135430000,0,8.0
26/07/2021,,,6.2,6.0,6.1,6.1,,2200,0,6.1,-0.10 (-1.61 %),13160000,0,9.0
23/07/2021,,,6.2,6.2,6.2,6.2,,0,0,6.2,0.00 (0.00 %),0,0,10.0
22/07/2021,,,6.2,6.1,6.2,6.2,,1400,0,6.2,0.00 (0.00 %),8500000,0,11.0
21/07/2021,,,6.2,6.2,6.2,6.2,,0,0,6.2,0.00 (0.00 %),0,0,12.0
20/07/2021,,,6.1,6.2,6.2,6.2,,100,0,6.2,0.10 (1.64 %),620000,0,13.0
19/07/2021,,,6.5,6.0,6.1,6.1,,1200,0,6.1,-0.40 (-6.15 %),7210000,0,14.0
16/07/2021,,,6.0,5.8,6.5,6.5,,1800,0,6.5,0.50 (8.33 %),10550000,0,15.0
15/07/2021,,,6.1,6.1,6.1,6.0,,1000,0,6.0,-0.10 (-1.64 %),6000000,0,16.0
14/07/2021,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,17.0
13/07/2021,,,6.1,6.0,6.1,6.1,,3300,0,6.1,0.00 (0.00 %),19740000,0,18.0
12/07/2021,,,6.2,6.0,6.1,6.1,,1400,0,6.1,-0.10 (-1.61 %),8330000,0,19.0
09/07/2021,,,6.2,6.2,6.2,6.2,,0,0,6.2,0.00 (0.00 %),0,0,20.0
08/07/2021,,,6.0,6.0,6.2,6.2,,4100,0,6.2,0.20 (3.33 %),24640000,0,21.0
07/07/2021,,,6.1,6.0,6.0,6.0,,1600,0,6.0,-0.10 (-1.64 %),9600000,0,2.0
06/07/2021,,,6.0,6.0,6.2,6.1,,1700,0,6.1,0.10 (1.67 %),10320000,0,3.0
05/07/2021,,,6.3,5.8,6.3,6.0,,14000,0,6.0,-0.30 (-4.76 %),80740000,0,4.0
02/07/2021,,,6.3,6.3,6.3,6.3,,0,0,6.3,0.00 (0.00 %),0,0,5.0
01/07/2021,,,6.3,6.3,6.3,6.3,,100,0,6.3,0.00 (0.00 %),630000,0,6.0
30/06/2021,,,6.3,6.3,6.3,6.3,,207,0,6.3,0.00 (0.00 %),1306600,0,7.0
29/06/2021,,,6.3,6.3,6.3,6.3,,0,0,6.3,0.00 (0.00 %),0,0,8.0
28/06/2021,,,6.4,6.2,6.3,6.3,,3010,0,6.3,-0.10 (-1.56 %),18612000,0,9.0
25/06/2021,,,6.2,6.2,6.4,6.4,,3600,0,6.4,0.20 (3.23 %),22200000,0,10.0
24/06/2021,,,6.2,6.2,6.2,6.2,,0,0,6.2,0.00 (0.00 %),0,0,11.0
23/06/2021,,,6.6,6.2,6.2,6.2,,2400,0,6.2,-0.40 (-6.06 %),14880000,0,12.0
22/06/2021,,,6.6,6.6,6.6,6.6,,10,0,6.6,0.00 (0.00 %),66000,0,13.0
21/06/2021,,,6.6,6.3,6.6,6.6,,1002,0,6.6,0.00 (0.00 %),6442600,0,14.0
18/06/2021,,,6.6,6.1,6.6,6.6,,15700,0,6.6,0.00 (0.00 %),95930000,0,15.0
17/06/2021,,,6.6,6.6,6.6,6.6,,0,0,6.6,0.00 (0.00 %),0,0,16.0
16/06/2021,,,6.4,7.0,7.0,6.6,,2200,0,6.6,0.20 (3.12 %),14810000,0,17.0
15/06/2021,,,6.6,6.5,6.5,6.4,,1400,0,6.4,-0.20 (-3.03 %),8990000,0,18.0
14/06/2021,,,6.6,6.6,6.6,6.6,,0,0,6.6,0.00 (0.00 %),0,0,19.0
11/06/2021,,,6.6,6.2,6.6,6.6,,60000,0,6.6,0.00 (0.00 %),388900000,0,20.0
10/06/2021,,,6.7,6.2,6.6,6.6,,3000,0,6.6,-0.10 (-1.49 %),18640000,0,21.0
