date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,35.50,35.50,35.50,35.50,,400,0,35.50,0.00 (0.00 %),14000000,0,
01/04/2022,,,35.50,35.50,35.50,35.50,,0,0,35.50,0.00 (0.00 %),0,0,
31/03/2022,,,35.5,35.5,35.5,35.5,,0,0,35.5,0.00 (0.00 %),0,0,
30/03/2022,,,35.5,35.5,35.5,35.5,,100,0,35.5,-2.50 (-6.58 %),3000000,0,
29/03/2022,,,37.95,37.95,37.95,37.95,,0,0,37.95,-0.05 (-0.13 %),0,0,
28/03/2022,,,37.95,37.95,37.95,37.95,,2200,0,37.95,-0.55 (-1.43 %),83000000,0,
25/03/2022,,,38.5,38.5,38.5,38.5,,1600,0,38.5,-1.50 (-3.75 %),61000000,0,
24/03/2022,,,40.0,40.0,40.0,40.0,,100,0,40.0,2.00 (5.26 %),4000000,0,
23/03/2022,,,35.95,38.0,35.9,38.0,,500,0,38.0,-0.50 (-1.30 %),18000000,0,
22/03/2022,,,38.5,38.5,38.5,38.5,,0,0,38.5,0.00 (0.00 %),0,0,
21/03/2022,,,38.5,38.5,38.5,38.5,,2500,0,38.5,0.00 (0.00 %),96000000,0,
18/03/2022,,,38.5,38.5,38.5,38.5,,100,0,38.5,-0.50 (-1.28 %),3000000,0,
17/03/2022,,,39.0,39.0,39.0,39.0,,0,0,39.0,0.00 (0.00 %),0,0,
16/03/2022,,,39.0,39.0,39.0,39.0,,200,0,39.0,-0.40 (-1.02 %),7000000,0,
15/03/2022,,,39.45,39.45,39.4,39.4,,1100,0,39.4,-0.10 (-0.25 %),43000000,0,
14/03/2022,,,39.45,39.45,39.45,39.45,,0,0,39.45,-0.05 (-0.13 %),0,0,
11/03/2022,,,36.95,39.5,36.95,39.45,,1700,0,39.45,2.45 (6.62 %),66000000,0,
10/03/2022,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,
09/03/2022,,,37.0,37.0,37.0,37.0,,2000,0,37.0,1.10 (3.06 %),74000000,0,
08/03/2022,,,35.85,35.85,35.85,35.85,,100,0,35.85,-2.65 (-6.88 %),3000000,0,
07/03/2022,,,38.5,38.5,38.5,38.5,,0,0,38.5,0.00 (0.00 %),0,0,
04/03/2022,,,38.5,38.5,38.5,38.5,,100,0,38.5,0.50 (1.32 %),3000000,0,
03/03/2022,,,38.0,38.0,38.0,38.0,,200,0,38.0,0.00 (0.00 %),7000000,0,
02/03/2022,,,38.0,38.0,38.0,38.0,,100,0,38.0,0.00 (0.00 %),3000000,0,
01/03/2022,,,38.0,38.0,38.0,38.0,,0,0,38.0,0.00 (0.00 %),0,0,
28/02/2022,,,39.95,39.95,37.2,38.0,,400,0,38.0,-2.00 (-5.00 %),15000000,0,
25/02/2022,,,40.0,40.0,40.0,40.0,,100,0,40.0,0.00 (0.00 %),4000000,0,
24/02/2022,,,39.95,40.0,39.95,40.0,,200,0,40.0,0.00 (0.00 %),7000000,0,
23/02/2022,,,40.0,42.6,40.0,40.0,,1400,0,40.0,0.10 (0.25 %),58000000,0,
22/02/2022,,,42.7,42.7,39.85,39.85,,2500,0,39.85,-2.85 (-6.67 %),101000000,0,
21/02/2022,,,37.2,42.8,37.2,42.7,,3500,0,42.7,2.70 (6.75 %),136000000,0,
18/02/2022,,,40.0,40.0,40.0,40.0,,100,0,40.0,0.00 (0.00 %),4000000,0,
17/02/2022,,,40.0,40.0,40.0,40.0,,0,0,40.0,0.00 (0.00 %),0,0,
16/02/2022,,,35.0,40.0,35.0,40.0,,2700,0,40.0,2.60 (6.95 %),107000000,0,
15/02/2022,,,37.4,37.4,37.4,37.4,,100,0,37.4,-2.80 (-6.97 %),3000000,0,
14/02/2022,,,40.2,40.2,40.2,40.2,,0,0,40.2,0.00 (0.00 %),0,0,
11/02/2022,,,40.2,40.2,40.2,40.2,,100,0,40.2,0.00 (0.00 %),4000000,0,
10/02/2022,,,38.4,40.2,38.4,40.2,,1000,0,40.2,2.50 (6.63 %),39000000,0,
09/02/2022,,,38.6,38.6,33.7,37.7,,2600,0,37.7,1.60 (4.43 %),96000000,0,
08/02/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
07/02/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
28/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
27/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
26/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
25/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
24/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
21/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
20/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
19/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
18/01/2022,,,36.1,36.1,36.1,36.1,,0,0,36.1,0.00 (0.00 %),0,0,
17/01/2022,,,36.1,36.1,36.1,36.1,,500,0,36.1,-2.25 (-5.87 %),18000000,0,
14/01/2022,,,38.35,38.35,38.35,38.35,,0,0,38.35,-0.05 (-0.13 %),0,0,
13/01/2022,,,38.35,38.35,38.35,38.35,,0,0,38.35,-0.05 (-0.13 %),0,0,
12/01/2022,,,38.35,38.35,38.35,38.35,,0,0,38.35,-0.05 (-0.13 %),0,0,
11/01/2022,,,38.35,38.35,38.35,38.35,,100,0,38.35,2.45 (6.82 %),3000000,0,
10/01/2022,,,35.8,35.85,35.8,35.85,,700,0,35.85,2.25 (6.70 %),25000000,0,
07/01/2022,,,33.55,33.55,33.55,33.55,,0,0,33.55,-0.05 (-0.15 %),0,0,
06/01/2022,,,33.55,33.55,33.55,33.55,,0,0,33.55,-0.05 (-0.15 %),0,0,
05/01/2022,,,33.55,33.55,33.55,33.55,,0,0,33.55,-0.05 (-0.15 %),0,0,
04/01/2022,,,33.6,33.6,33.55,33.55,,800,0,33.55,-2.45 (-6.81 %),26000000,0,
31/12/2021,,,36.0,36.0,36.0,36.0,,300,0,36.0,-2.10 (-5.51 %),10000000,0,
30/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,3.0
29/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,4.0
28/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,5.0
27/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,6.0
24/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,7.0
23/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,8.0
22/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,9.0
21/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,10.0
20/12/2021,,,38.1,38.1,38.1,38.1,,100,0,38.1,0.00 (0.00 %),3000000,0,11.0
17/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,12.0
16/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,13.0
15/12/2021,,,38.1,38.1,38.1,38.1,,0,0,38.1,0.00 (0.00 %),0,0,14.0
14/12/2021,,,38.1,38.1,38.1,38.1,,200,0,38.1,2.45 (6.87 %),7000000,0,15.0
13/12/2021,,,35.65,35.65,35.65,35.65,,100,0,35.65,2.30 (6.90 %),3000000,0,16.0
10/12/2021,,,33.35,33.35,33.35,33.35,,0,0,33.35,0.00 (0.00 %),0,0,17.0
09/12/2021,,,33.35,33.35,33.35,33.35,,200,0,33.35,-2.50 (-6.97 %),6000000,0,18.0
08/12/2021,,,35.85,35.85,35.85,35.85,,0,0,35.85,0.00 (0.00 %),0,0,19.0
07/12/2021,,,35.85,35.85,35.85,35.85,,0,0,35.85,0.00 (0.00 %),0,0,20.0
06/12/2021,,,35.85,35.85,35.85,35.85,,100,0,35.85,-2.65 (-6.88 %),3000000,0,21.0
03/12/2021,,,38.5,38.5,38.5,38.5,,0,0,38.5,0.00 (0.00 %),0,0,2.0
02/12/2021,,,38.5,38.5,38.5,38.5,,0,0,38.5,0.00 (0.00 %),0,0,3.0
01/12/2021,,,38.5,38.55,38.5,38.5,,1200,0,38.5,0.00 (0.00 %),46000000,0,4.0
30/11/2021,,,38.45,38.5,38.45,38.5,,500,0,38.5,0.10 (0.26 %),19000000,0,5.0
29/11/2021,,,38.4,38.4,38.4,38.4,,0,0,38.4,0.00 (0.00 %),0,0,6.0
26/11/2021,,,38.4,38.4,38.35,38.4,,900,0,38.4,2.50 (6.96 %),34000000,0,7.0
25/11/2021,,,35.9,35.9,35.9,35.9,,0,0,35.9,0.00 (0.00 %),0,0,8.0
24/11/2021,,,35.9,35.9,35.9,35.9,,0,0,35.9,0.00 (0.00 %),0,0,9.0
23/11/2021,,,35.9,35.9,35.9,35.9,,100,0,35.9,-2.60 (-6.75 %),3000000,0,10.0
22/11/2021,,,38.5,38.5,38.5,38.5,,0,0,38.5,0.00 (0.00 %),0,0,11.0
19/11/2021,,,38.5,38.5,38.5,38.5,,0,0,38.5,0.00 (0.00 %),0,0,12.0
18/11/2021,,,38.5,38.5,38.5,38.5,,100,0,38.5,0.00 (0.00 %),3000000,0,13.0
17/11/2021,,,36.0,38.5,36.0,38.5,,1300,0,38.5,2.50 (6.94 %),49000000,0,14.0
16/11/2021,,,36.0,36.0,36.0,36.0,,500,0,36.0,-1.95 (-5.14 %),18000000,0,15.0
15/11/2021,,,37.95,37.95,37.95,37.95,,100,0,37.95,1.95 (5.42 %),3000000,0,16.0
12/11/2021,,,36.0,36.0,36.0,36.0,,0,0,36.0,0.00 (0.00 %),0,0,17.0
11/11/2021,,,36.0,36.0,36.0,36.0,,300,0,36.0,0.00 (0.00 %),10000000,0,18.0
10/11/2021,,,36.0,36.0,36.0,36.0,,0,0,36.0,0.00 (0.00 %),0,0,19.0
09/11/2021,,,36.0,36.0,36.0,36.0,,1300,0,36.0,-1.00 (-2.70 %),46000000,0,20.0
08/11/2021,,,37.0,37.0,37.0,37.0,,100,0,37.0,-1.00 (-2.63 %),3000000,0,21.0
05/11/2021,,,38.0,38.0,38.0,38.0,,0,0,38.0,0.00 (0.00 %),0,0,2.0
04/11/2021,,,38.0,38.0,38.0,38.0,,0,0,38.0,0.00 (0.00 %),0,0,3.0
03/11/2021,,,38.0,38.0,38.0,38.0,,0,0,38.0,0.00 (0.00 %),0,0,4.0
02/11/2021,,,38.0,38.0,38.0,38.0,,0,0,38.0,0.00 (0.00 %),0,0,5.0
01/11/2021,,,38.0,38.0,38.0,38.0,,0,0,38.0,0.00 (0.00 %),0,0,6.0
29/10/2021,,,38.0,38.0,38.0,38.0,,1200,0,38.0,-0.40 (-1.04 %),45000000,0,7.0
28/10/2021,,,38.4,38.4,38.4,38.4,,0,0,38.4,0.00 (0.00 %),0,0,8.0
27/10/2021,,,38.4,38.4,38.4,38.4,,200,0,38.4,0.00 (0.00 %),7000000,0,9.0
26/10/2021,,,36.5,38.4,36.5,38.4,,1000,0,38.4,2.00 (5.49 %),37000000,0,10.0
25/10/2021,,,36.4,36.4,36.4,36.4,,500,0,36.4,0.00 (0.00 %),18000000,0,11.0
22/10/2021,,,36.4,36.4,36.4,36.4,,0,0,36.4,0.00 (0.00 %),0,0,12.0
21/10/2021,,,36.4,36.4,36.4,36.4,,0,0,36.4,0.00 (0.00 %),0,0,13.0
20/10/2021,,,36.4,36.4,36.4,36.4,,0,0,36.4,0.00 (0.00 %),0,0,14.0
19/10/2021,,,36.4,36.4,36.4,36.4,,300,0,36.4,0.00 (0.00 %),10000000,0,15.0
18/10/2021,,,36.4,36.4,36.4,36.4,,100,0,36.4,0.00 (0.00 %),3000000,0,16.0
15/10/2021,,,36.4,36.4,36.4,36.4,,200,0,36.4,0.00 (0.00 %),7000000,0,17.0
14/10/2021,,,36.4,36.4,36.4,36.4,,0,0,36.4,0.00 (0.00 %),0,0,18.0
13/10/2021,,,36.5,36.5,36.4,36.4,,300,0,36.4,-0.10 (-0.27 %),10000000,0,19.0
12/10/2021,,,36.5,36.5,36.5,36.5,,400,0,36.5,-0.50 (-1.35 %),14000000,0,20.0
11/10/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,21.0
08/10/2021,,,36.5,37.0,36.5,37.0,,700,0,37.0,0.60 (1.65 %),25000000,0,2.0
07/10/2021,,,35.5,36.4,35.5,36.4,,300,0,36.4,2.30 (6.74 %),10000000,0,3.0
06/10/2021,,,33.5,34.1,33.0,34.1,,700,0,34.1,2.10 (6.56 %),23000000,0,4.0
05/10/2021,,,32.0,32.0,32.0,32.0,,100,0,32.0,0.00 (0.00 %),3000000,0,5.0
04/10/2021,,,32.0,32.0,32.0,32.0,,700,0,32.0,0.00 (0.00 %),22000000,0,6.0
01/10/2021,,,32.0,32.0,32.0,32.0,,0,0,32.0,0.00 (0.00 %),0,0,7.0
30/09/2021,,,32.0,32.0,32.0,32.0,,0,0,32.0,0.00 (0.00 %),0,0,8.0
29/09/2021,,,32.0,32.0,32.0,32.0,,0,0,32.0,0.00 (0.00 %),0,0,9.0
28/09/2021,,,32.0,32.0,32.0,32.0,,0,0,32.0,0.00 (0.00 %),0,0,10.0
27/09/2021,,,31.7,32.0,31.7,32.0,,600,0,32.0,0.20 (0.63 %),19000000,0,11.0
24/09/2021,,,31.8,31.8,31.8,31.8,,0,0,31.8,0.00 (0.00 %),0,0,12.0
23/09/2021,,,33.0,33.0,31.8,31.8,,1500,0,31.8,-2.20 (-6.47 %),48000000,0,13.0
22/09/2021,,,34.0,34.0,34.0,34.0,,500,0,34.0,0.00 (0.00 %),17000000,0,14.0
21/09/2021,,,34.0,34.0,34.0,34.0,,0,0,34.0,0.00 (0.00 %),0,0,15.0
20/09/2021,,,34.0,34.0,34.0,34.0,,200,0,34.0,-1.00 (-2.86 %),6000000,0,16.0
17/09/2021,,,34.5,35.0,34.5,35.0,,500,0,35.0,0.00 (0.00 %),17000000,0,17.0
16/09/2021,,,35.0,35.0,35.0,35.0,,0,0,35.0,0.00 (0.00 %),0,0,18.0
15/09/2021,,,35.0,35.0,35.0,35.0,,600,0,35.0,0.00 (0.00 %),21000000,0,19.0
14/09/2021,,,34.5,35.0,34.5,35.0,,3000,0,35.0,-1.95 (-5.28 %),104000000,0,20.0
13/09/2021,,,37.0,37.0,36.95,36.95,,800,0,36.95,-0.05 (-0.14 %),29000000,0,21.0
10/09/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,2.0
09/09/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,3.0
08/09/2021,,,37.0,37.0,37.0,37.0,,100,0,37.0,-0.40 (-1.07 %),3000000,0,4.0
07/09/2021,,,37.4,37.4,37.4,37.4,,0,0,37.4,0.00 (0.00 %),0,0,5.0
06/09/2021,,,37.4,37.4,37.4,37.4,,800,0,37.4,0.00 (0.00 %),29000000,0,6.0
01/09/2021,,,37.4,37.4,37.4,37.4,,0,0,37.4,0.00 (0.00 %),0,0,7.0
31/08/2021,,,37.4,37.4,37.4,37.4,,0,0,37.4,0.00 (0.00 %),0,0,8.0
30/08/2021,,,37.0,37.4,37.0,37.4,,900,0,37.4,0.40 (1.08 %),33000000,0,9.0
27/08/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,10.0
26/08/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,11.0
25/08/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,12.0
24/08/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,13.0
23/08/2021,,,37.0,37.0,37.0,37.0,,100,0,37.0,0.00 (0.00 %),3000000,0,14.0
20/08/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,15.0
19/08/2021,,,37.0,37.0,37.0,37.0,,0,0,37.0,0.00 (0.00 %),0,0,16.0
18/08/2021,,,37.0,37.0,37.0,37.0,,500,0,37.0,0.00 (0.00 %),18000000,0,17.0
17/08/2021,,,38.0,38.0,37.0,37.0,,600,0,37.0,-1.00 (-2.63 %),22000000,0,18.0
16/08/2021,,,38.0,38.0,38.0,38.0,,600,0,38.0,0.50 (1.33 %),22000000,0,19.0
13/08/2021,,,37.5,37.5,37.5,37.5,,0,0,37.5,0.00 (0.00 %),0,0,20.0
12/08/2021,,,35.2,37.5,35.2,37.5,,1200,0,37.5,-0.30 (-0.79 %),42000000,0,21.0
11/08/2021,,,37.8,37.8,37.8,37.8,,100,0,37.8,-1.70 (-4.30 %),3000000,0,2.0
10/08/2021,,,38.5,39.5,38.0,39.5,,1300,0,39.5,2.20 (5.90 %),49000000,0,3.0
09/08/2021,,,37.3,37.3,37.3,37.3,,600,0,37.3,0.00 (0.00 %),22000000,0,4.0
06/08/2021,,,32.5,37.3,32.5,37.3,,500,0,37.3,2.40 (6.88 %),16000000,0,5.0
05/08/2021,,,34.9,34.9,34.9,34.9,,0,0,34.9,0.00 (0.00 %),0,0,6.0
04/08/2021,,,35.2,35.2,34.85,34.9,,400,0,34.9,2.00 (6.08 %),13000000,0,7.0
03/08/2021,,,32.9,32.9,32.9,32.9,,0,0,32.9,0.00 (0.00 %),0,0,8.0
02/08/2021,,,32.9,32.9,32.9,32.9,,0,0,32.9,0.00 (0.00 %),0,0,9.0
30/07/2021,,,32.9,32.9,32.9,32.9,,500,0,32.9,0.00 (0.00 %),16000000,0,10.0
