date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,9.06,9.21,8.66,8.70,,15754700,200000,8.70,-0.30 (-3.33 %),139322000000,1680000000,
01/04/2022,,,8.11,9.09,8.10,9.01,,27640700,350000,9.01,0.31 (3.56 %),233016000000,2835000000,
31/03/2022,,,9.56,9.58,8.7,8.7,,25325400,0,8.7,-0.70 (-7.45 %),226435000000,0,
30/03/2022,,,10.0,10.4,9.35,9.35,,47494000,300000,9.35,-0.75 (-7.43 %),458292000000,2805000000,
29/03/2022,,,9.2,10.05,9.16,10.05,,36796800,0,10.05,0.65 (6.91 %),356623000000,0,
28/03/2022,,,9.4,9.8,9.4,9.4,,35917400,0,9.4,-0.70 (-6.93 %),340394000000,0,
25/03/2022,,,10.0,10.85,10.0,10.1,,28864900,0,10.1,-0.20 (-1.94 %),298887000000,0,
24/03/2022,,,9.85,10.35,9.75,10.25,,49901800,0,10.25,0.55 (5.67 %),505823000000,0,
23/03/2022,,,9.3,9.7,9.25,9.7,,32345200,100000,9.7,0.60 (6.59 %),312477000000,950000000,
22/03/2022,,,9.26,9.5,8.9,9.07,,35494000,0,9.07,-0.23 (-2.47 %),325551000000,0,
21/03/2022,,,8.9,9.25,8.81,9.25,,30140500,2059200,9.25,0.55 (6.32 %),274817000000,19047600000,
18/03/2022,,,8.76,8.76,8.5,8.65,,38332300,0,8.65,0.45 (5.49 %),333481000000,0,
17/03/2022,,,7.75,8.19,7.7,8.19,,36918100,1813000,8.19,0.49 (6.36 %),298485000000,13732380000,
16/03/2022,,,7.63,7.82,7.6,7.66,,8817600,1657000,7.66,0.06 (0.79 %),67884000000,12841630000,
15/03/2022,,,7.4,7.6,7.32,7.59,,6479900,700000,7.59,0.19 (2.57 %),48492000000,5537000000,
14/03/2022,,,7.5,7.6,7.25,7.4,,9451100,2858300,7.4,-0.10 (-1.33 %),69965000000,21712250000,
11/03/2022,,,7.6,7.85,7.49,7.53,,8987700,2671700,7.53,-0.07 (-0.92 %),68566000000,20037750000,
10/03/2022,,,7.68,7.75,7.6,7.6,,8279400,2500000,7.6,0.00 (0.00 %),63488000000,20000000000,
09/03/2022,,,7.7,7.8,7.4,7.55,,11652700,0,7.55,-0.15 (-1.95 %),88110000000,0,
08/03/2022,,,8.0,8.0,7.65,7.7,,13077800,500000,7.7,-0.30 (-3.75 %),102624000000,4300000000,
07/03/2022,,,7.8,8.18,7.7,8.04,,17929500,0,8.04,0.34 (4.42 %),143359000000,0,
04/03/2022,,,7.6,7.78,7.52,7.69,,13010500,0,7.69,0.09 (1.18 %),99829000000,0,
03/03/2022,,,7.55,7.79,7.45,7.6,,9372600,0,7.6,0.10 (1.33 %),71354000000,0,
