date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,58.10,58.00,59.90,1.80 (3.10 %),,7647973100,59.90,59.90,126937,0,
01/04/2022,,,0,54.60,54.1,59.60,5.00 (9.16 %),,5538363800,59.60,59.60,95249,0,
31/03/2022,,,0,54.50,54.50,55.00,0.50 (0.92 %),,3769523500,55.00,55.00,69007,0,
30/03/2022,,,750130000,54.9,54.8,54.5,-0.40 (-0.73 %),,2446124800,54.5,54.5,44849,15920,
29/03/2022,,,0,52.4,53.5,55.2,2.80 (5.34 %),,4157908700,55.2,55.2,75779,0,
28/03/2022,,,0,50.2,50.1,53.4,3.20 (6.37 %),,5168875200,53.4,53.4,98673,0,
25/03/2022,,,4250000,49.5,49.4,50.4,0.90 (1.82 %),,3141814100,50.4,50.4,62642,100,
24/03/2022,,,0,49.9,49.1,49.6,-0.30 (-0.60 %),,3017822500,49.6,49.6,61008,0,
23/03/2022,,,181096200,49.5,49.4,50.1,0.60 (1.21 %),,948174300,50.1,50.1,18993,3958,
22/03/2022,,,5793600,50.1,50.1,49.5,-0.60 (-1.20 %),,2697561500,49.5,49.5,54546,136,
21/03/2022,,,22150000,48.7,48.5,50.4,1.70 (3.49 %),,4201823400,50.4,50.4,83949,514,
18/03/2022,,,0,48.2,48.6,48.2,0.00 (0.00 %),,2253200000,48.2,48.2,46311,0,
17/03/2022,,,0,45.6,46.6,48.6,3.00 (6.58 %),,6145709500,48.6,48.6,127432,0,
16/03/2022,,,0,45.2,45.3,46.5,1.30 (2.88 %),,3107200000,46.5,46.5,68200,0,
15/03/2022,,,0,45.9,45.6,45.2,-0.70 (-1.53 %),,1892118400,45.2,45.2,41880,0,
14/03/2022,,,0,45.6,45.6,45.6,0.00 (0.00 %),,1285021400,45.6,45.6,27989,0,
11/03/2022,,,0,46.6,45.1,46.2,-0.40 (-0.86 %),,982457100,46.2,46.2,21563,0,
10/03/2022,,,0,44.6,44.7,46.4,1.80 (4.04 %),,1583480000,46.4,46.4,34000,0,
09/03/2022,,,0,44.7,44.1,45.3,0.60 (1.34 %),,3287521700,45.3,45.3,73785,0,
08/03/2022,,,5440000,45.2,45.1,44.0,-1.20 (-2.65 %),,1422200000,44.0,44.0,31800,136,
07/03/2022,,,4000000,44.7,44.5,45.1,0.40 (0.89 %),,1243170000,45.1,45.1,27500,100,
04/03/2022,,,0,45.9,46.0,45.0,-0.90 (-1.96 %),,1088543900,45.0,45.0,24344,0,
03/03/2022,,,0,44.3,44.3,46.0,1.70 (3.84 %),,1339334600,46.0,46.0,29190,0,
02/03/2022,,,0,44.1,44.4,44.0,-0.10 (-0.23 %),,598782300,44.0,44.0,13509,0,
