date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,14.50,14.50,14.50,14.50,,0,0,14.50,0.00 (0.00 %),0,0,
01/04/2022,,,14.00,14.5,14.50,14.50,,500,0,14.50,0.50 (3.57 %),7250000,0,
31/03/2022,,,14.00,14.00,14.00,14.00,,0,0,14.00,0.00 (0.00 %),0,0,
30/03/2022,,,14.0,14.0,14.0,14.0,,0,0,14.0,0.00 (0.00 %),0,0,
29/03/2022,,,13.9,14.0,14.0,14.0,,600,0,14.0,0.10 (0.72 %),8400000,0,
28/03/2022,,,13.9,13.9,13.9,13.9,,0,0,13.9,0.00 (0.00 %),0,0,
25/03/2022,,,13.6,13.9,13.9,13.9,,100,0,13.9,0.30 (2.21 %),1390000,0,
24/03/2022,,,13.6,13.6,13.6,13.6,,20,0,13.6,0.00 (0.00 %),276000,0,
23/03/2022,,,14.1,13.5,13.7,13.6,,5400,0,13.6,-0.50 (-3.55 %),73050000,0,
22/03/2022,,,14.1,14.1,14.1,14.1,,0,0,14.1,0.00 (0.00 %),0,0,
21/03/2022,,,14.1,14.1,14.1,14.1,,300,0,14.1,0.00 (0.00 %),4230000,0,
18/03/2022,,,14.1,14.1,14.1,14.1,,0,0,14.1,0.00 (0.00 %),0,0,
17/03/2022,,,13.8,14.1,14.1,14.1,,400,0,14.1,0.30 (2.17 %),5640000,0,
16/03/2022,,,15.3,13.8,13.8,13.8,,1134,0,13.8,-1.50 (-9.80 %),15649200,0,
15/03/2022,,,17.0,16.9,16.9,15.3,,2200,0,15.3,-1.70 (-10.00 %),34700000,0,
14/03/2022,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,
11/03/2022,,,15.8,16.5,17.0,17.0,,1100,0,17.0,1.20 (7.59 %),18200000,0,
10/03/2022,,,15.7,16.9,16.9,15.8,,800,0,15.8,0.10 (0.64 %),13300000,0,
09/03/2022,,,14.5,15.8,15.8,15.7,,200,0,15.7,1.20 (8.28 %),3150000,0,
08/03/2022,,,14.2,14.5,14.5,14.5,,9800,0,14.5,0.30 (2.11 %),142100000,0,
07/03/2022,,,15.7,16.8,16.8,14.2,,400,0,14.2,-1.50 (-9.55 %),6450000,0,
04/03/2022,,,14.4,14.3,15.8,15.7,,500,0,15.7,1.30 (9.03 %),7600000,0,
03/03/2022,,,14.9,14.5,14.5,14.4,,400,0,14.4,-0.50 (-3.36 %),5770000,0,
02/03/2022,,,14.9,14.9,14.9,14.9,,0,0,14.9,0.00 (0.00 %),0,0,
01/03/2022,,,14.5,14.9,14.9,14.9,,100,0,14.9,0.40 (2.76 %),1490000,0,
28/02/2022,,,14.5,14.5,14.5,14.5,,0,0,14.5,0.00 (0.00 %),0,0,
25/02/2022,,,14.1,14.5,14.5,14.5,,1300,0,14.5,0.40 (2.84 %),18850000,0,3.0
