date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
28/11/2013,,,6.10,6.10,6.10,6.10,,0,0,6.10,0.00 (0.00 %),0,0,
27/11/2013,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,3.0
26/11/2013,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,4.0
25/11/2013,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,5.0
22/11/2013,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,6.0
21/11/2013,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,7.0
20/11/2013,,,6.1,6.1,6.1,6.1,,0,0,6.1,0.00 (0.00 %),0,0,8.0
19/11/2013,,,5.7,6.1,6.1,6.1,,100,0,6.1,0.40 (7.02 %),610000,0,9.0
18/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,10.0
15/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,11.0
14/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,12.0
13/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,13.0
12/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,14.0
11/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,15.0
08/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,16.0
07/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,17.0
06/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,18.0
05/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,19.0
04/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,20.0
01/11/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,21.0
31/10/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,2.0
30/10/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,3.0
29/10/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,4.0
28/10/2013,,,5.7,5.7,5.7,5.7,,0,0,5.7,0.00 (0.00 %),0,0,5.0
25/10/2013,,,6.2,5.7,5.7,5.7,,100,6425,5.7,-0.50 (-8.06 %),570000,43690000,6.0
24/10/2013,,,6.2,6.2,6.2,6.2,,0,0,6.2,0.00 (0.00 %),0,0,7.0
23/10/2013,,,6.7,6.2,6.2,6.2,,500,0,6.2,-0.50 (-7.46 %),3100000,0,8.0
22/10/2013,,,6.7,6.7,6.7,6.7,,0,0,6.7,0.00 (0.00 %),0,0,9.0
21/10/2013,,,6.6,7.2,7.2,6.7,,600,0,6.7,0.10 (1.52 %),4270000,0,10.0
17/10/2013,,,7.2,6.6,6.6,6.6,,100,0,6.6,-0.60 (-8.33 %),660000,0,11.0
09/10/2013,,,7.6,7.2,7.2,7.2,,100,0,7.2,-0.40 (-5.26 %),720000,0,12.0
08/10/2013,,,8.1,7.6,7.6,7.6,,100,0,7.6,-0.50 (-6.17 %),760000,0,13.0
07/10/2013,,,8.6,8.1,8.1,8.1,,100,0,8.1,-0.50 (-5.81 %),810000,0,14.0
04/10/2013,,,9.1,8.6,8.6,8.6,,100,0,8.6,-0.50 (-5.49 %),860000,0,15.0
03/10/2013,,,10.0,9.1,9.1,9.1,,100,0,9.1,-0.90 (-9.00 %),910000,0,16.0
02/10/2013,,,11.0,10.0,10.0,10.0,,100,0,10.0,-1.00 (-9.09 %),1000000,0,17.0
01/10/2013,,,10.0,11.0,11.0,11.0,,1100,0,11.0,1.00 (10.00 %),12100000,0,18.0
30/09/2013,,,11.0,10.0,10.0,10.0,,100,0,10.0,-1.00 (-9.09 %),1000000,0,19.0
24/09/2013,,,12.2,11.0,11.0,11.0,,100,0,11.0,-1.20 (-9.84 %),1100000,0,20.0
23/09/2013,,,13.5,12.2,12.2,12.2,,100,0,12.2,-1.30 (-9.63 %),1220000,0,21.0
20/09/2013,,,14.9,13.5,13.5,13.5,,100,0,13.5,-1.40 (-9.40 %),1350000,0,2.0
19/09/2013,,,16.5,14.9,14.9,14.9,,100,0,14.9,-1.60 (-9.70 %),1490000,0,3.0
13/08/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,4.0
12/08/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,5.0
07/08/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,6.0
06/08/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,7.0
05/08/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,8.0
02/08/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,9.0
01/08/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,10.0
31/07/2013,,,16.5,16.5,16.5,16.5,,0,29,16.5,0.00 (0.00 %),0,432000,11.0
30/07/2013,,,16.5,16.5,16.5,16.5,,0,0,16.5,0.00 (0.00 %),0,0,12.0
29/07/2013,,,17.0,17.0,17.0,16.5,,24200,0,16.5,-0.50 (-2.94 %),411150000,0,13.0
26/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,14.0
25/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,15.0
24/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,16.0
23/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,17.0
22/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,18.0
19/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,19.0
18/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,20.0
17/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,21.0
16/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,2.0
15/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,3.0
12/07/2013,,,17.0,17.0,17.0,17.0,,0,53,17.0,0.00 (0.00 %),0,810900,4.0
11/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,5.0
10/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,6.0
09/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,7.0
08/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,8.0
05/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,9.0
03/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,10.0
02/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,11.0
01/07/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,12.0
28/06/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,13.0
27/06/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,14.0
26/06/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,15.0
25/06/2013,,,17.0,17.0,17.0,17.0,,0,0,17.0,0.00 (0.00 %),0,0,16.0
