date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,11.00,12.20,12.60,1.60 (14.55 %),,75340000,12.60,12.60,6000,0,
01/04/2022,,,0,11.20,11.0,11.00,-0.20 (-1.79 %),,3300000,11.00,11.00,300,0,
31/03/2022,,,0,11.20,11.20,11.20,0.00 (0.00 %),,0,11.20,11.20,0,0,
30/03/2022,,,0,11.2,11.3,11.0,-0.20 (-1.79 %),,33500000,11.0,11.0,3000,0,
29/03/2022,,,0,10.9,11.2,11.2,0.30 (2.75 %),,1120000,11.2,11.2,100,0,
28/03/2022,,,0,10.9,10.9,10.9,0.00 (0.00 %),,0,10.9,10.9,0,0,
25/03/2022,,,0,10.9,10.9,10.9,0.00 (0.00 %),,1090000,10.9,10.9,100,0,
24/03/2022,,,0,10.9,10.9,10.9,0.00 (0.00 %),,0,10.9,10.9,0,0,
23/03/2022,,,0,10.6,10.9,10.9,0.30 (2.83 %),,2180000,10.9,10.9,200,0,
22/03/2022,,,0,10.6,10.6,10.6,0.00 (0.00 %),,0,10.6,10.6,0,0,
21/03/2022,,,0,10.9,10.6,10.6,-0.30 (-2.75 %),,1060000,10.6,10.6,100,0,
18/03/2022,,,0,10.9,10.9,10.9,0.00 (0.00 %),,0,10.9,10.9,0,0,
17/03/2022,,,0,11.4,10.7,11.4,0.00 (0.00 %),,15260000,11.4,11.4,1400,0,
16/03/2022,,,0,10.3,11.4,11.4,1.10 (10.68 %),,25080000,11.4,11.4,2200,0,
15/03/2022,,,0,11.1,10.3,10.3,-0.80 (-7.21 %),,1030000,10.3,10.3,100,0,
14/03/2022,,,0,11.4,10.8,11.3,-0.10 (-0.88 %),,2210000,11.3,11.3,200,0,
11/03/2022,,,0,11.4,11.4,11.4,0.00 (0.00 %),,0,11.4,11.4,0,0,
10/03/2022,,,0,12.8,11.9,11.9,-0.90 (-7.03 %),,26823100,11.9,11.9,2359,0,
09/03/2022,,,0,13.3,11.4,12.9,-0.40 (-3.01 %),,14040000,12.9,12.9,1100,0,
08/03/2022,,,0,13.3,13.3,13.3,0.00 (0.00 %),,0,13.3,13.3,0,0,
07/03/2022,,,0,13.3,13.3,13.3,0.00 (0.00 %),,0,13.3,13.3,0,0,
04/03/2022,,,0,11.8,13.3,13.3,1.50 (12.71 %),,1330000,13.3,13.3,100,0,
03/03/2022,,,0,10.4,11.7,11.7,1.30 (12.50 %),,15280000,11.7,11.7,1300,0,
02/03/2022,,,0,11.1,10.4,10.4,-0.70 (-6.31 %),,1040000,10.4,10.4,100,0,
01/03/2022,,,0,9.7,11.1,11.1,1.40 (14.43 %),,11100000,11.1,11.1,1000,0,
28/02/2022,,,0,9.5,9.7,9.7,0.20 (2.11 %),,9700000,9.7,9.7,1000,0,
25/02/2022,,,0,10.7,9.5,9.5,-1.20 (-11.21 %),,9500000,9.5,9.5,1000,0,
24/02/2022,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,
23/02/2022,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,
22/02/2022,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,
21/02/2022,,,0,10.3,10.6,10.7,0.40 (3.88 %),,16000000,10.7,10.7,1500,0,
18/02/2022,,,0,10.0,10.3,10.3,0.30 (3.00 %),,1143300,10.3,10.3,111,0,
17/02/2022,,,0,10.0,10.0,10.0,0.00 (0.00 %),,0,10.0,10.0,0,0,
16/02/2022,,,0,11.5,10.0,10.0,-1.50 (-13.04 %),,3000000,10.0,10.0,300,0,
15/02/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
14/02/2022,,,0,12.9,11.5,11.5,-1.40 (-10.85 %),,12650000,11.5,11.5,1100,0,
11/02/2022,,,0,11.5,13.2,12.5,1.00 (8.70 %),,5140000,12.5,12.5,400,0,
10/02/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
09/02/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,855300,11.5,11.5,76,0,
08/02/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
07/02/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
28/01/2022,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,
27/01/2022,,,0,10.3,11.5,11.5,1.20 (11.65 %),,2300000,11.5,11.5,200,0,
26/01/2022,,,0,11.7,10.3,10.3,-1.40 (-11.97 %),,1030000,10.3,10.3,100,0,
25/01/2022,,,0,11.7,11.7,11.7,0.00 (0.00 %),,0,11.7,11.7,0,0,
24/01/2022,,,0,11.7,11.7,11.7,0.00 (0.00 %),,0,11.7,11.7,0,0,
21/01/2022,,,1072363800,13.3,11.4,13.0,-0.30 (-2.26 %),,7000000,13.0,13.0,600,94067,
20/01/2022,,,0,13.3,13.3,13.3,0.00 (0.00 %),,0,13.3,13.3,0,0,
19/01/2022,,,0,13.3,13.3,13.3,0.00 (0.00 %),,0,13.3,13.3,0,0,
18/01/2022,,,0,13.6,13.6,13.0,-0.60 (-4.41 %),,2660000,13.0,13.0,200,0,
17/01/2022,,,0,11.9,13.6,13.6,1.70 (14.29 %),,1360000,13.6,13.6,100,0,
14/01/2022,,,0,11.9,11.9,11.9,0.00 (0.00 %),,71400000,11.9,11.9,6000,0,
13/01/2022,,,0,11.8,13.5,12.0,0.20 (1.69 %),,51130000,12.0,12.0,4300,0,
12/01/2022,,,0,11.8,11.8,11.8,0.00 (0.00 %),,12980000,11.8,11.8,1100,0,
11/01/2022,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,
10/01/2022,,,0,11.8,11.8,11.8,0.00 (0.00 %),,33040000,11.8,11.8,2800,0,
07/01/2022,,,0,11.8,11.8,11.8,0.00 (0.00 %),,11800000,11.8,11.8,1000,0,
06/01/2022,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,
05/01/2022,,,767600,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,76,
04/01/2022,,,0,11.8,11.8,11.8,0.00 (0.00 %),,0,11.8,11.8,0,0,
31/12/2021,,,0,11.9,11.8,11.8,-0.10 (-0.84 %),,27110000,11.8,11.8,2300,0,
30/12/2021,,,0,11.4,11.9,11.9,0.50 (4.39 %),,1190000,11.9,11.9,100,0,3.0
29/12/2021,,,0,11.4,11.4,11.4,0.00 (0.00 %),,0,11.4,11.4,0,0,4.0
28/12/2021,,,0,11.0,11.4,11.4,0.40 (3.64 %),,17100000,11.4,11.4,1500,0,5.0
27/12/2021,,,0,10.7,11.4,12.3,1.60 (14.95 %),,71520000,12.3,12.3,6500,0,6.0
24/12/2021,,,0,10.7,10.7,10.7,0.00 (0.00 %),,0,10.7,10.7,0,0,7.0
23/12/2021,,,0,10.6,11.9,10.6,0.00 (0.00 %),,29870000,10.6,10.6,2800,0,8.0
22/12/2021,,,0,11.0,10.2,12.4,1.40 (12.73 %),,43482000,12.4,12.4,4110,0,9.0
21/12/2021,,,0,11.3,11.1,11.0,-0.30 (-2.65 %),,33100000,11.0,11.0,3000,0,10.0
20/12/2021,,,0,11.3,11.3,11.3,0.00 (0.00 %),,6780000,11.3,11.3,600,0,11.0
17/12/2021,,,0,11.3,11.3,11.3,0.00 (0.00 %),,22984200,11.3,11.3,2034,0,12.0
16/12/2021,,,0,11.3,11.3,11.3,0.00 (0.00 %),,0,11.3,11.3,0,0,13.0
15/12/2021,,,0,11.3,11.3,11.3,0.00 (0.00 %),,0,11.3,11.3,0,0,14.0
14/12/2021,,,0,12.7,11.3,11.3,-1.40 (-11.02 %),,2260000,11.3,11.3,200,0,15.0
13/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,384200,12.7,12.7,34,0,16.0
10/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,0,12.7,12.7,0,0,17.0
09/12/2021,,,0,12.4,12.8,12.7,0.30 (2.42 %),,21620000,12.7,12.7,1700,0,18.0
08/12/2021,,,0,12.4,12.4,12.4,0.00 (0.00 %),,38440000,12.4,12.4,3100,0,19.0
07/12/2021,,,0,12.1,12.5,12.2,0.10 (0.83 %),,48180000,12.2,12.2,3900,0,20.0
06/12/2021,,,0,12.1,12.1,12.1,0.00 (0.00 %),,0,12.1,12.1,0,0,21.0
03/12/2021,,,0,12.1,12.1,12.1,0.00 (0.00 %),,0,12.1,12.1,0,0,2.0
02/12/2021,,,0,12.5,12.6,12.0,-0.50 (-4.00 %),,19360000,12.0,12.0,1600,0,3.0
01/12/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,1250000,12.5,12.5,100,0,4.0
30/11/2021,,,0,12.1,12.3,12.6,0.50 (4.13 %),,11220000,12.6,12.6,900,0,5.0
29/11/2021,,,0,12.1,12.1,12.1,0.00 (0.00 %),,0,12.1,12.1,0,0,6.0
26/11/2021,,,0,12.1,12.1,12.1,0.00 (0.00 %),,0,12.1,12.1,0,0,7.0
25/11/2021,,,0,12.1,12.1,12.1,0.00 (0.00 %),,0,12.1,12.1,0,0,8.0
24/11/2021,,,0,12.1,12.1,12.0,-0.10 (-0.83 %),,2410000,12.0,12.0,200,0,9.0
23/11/2021,,,0,12.1,12.1,12.1,0.00 (0.00 %),,0,12.1,12.1,0,0,10.0
22/11/2021,,,0,12.9,12.5,11.7,-1.20 (-9.30 %),,51900000,11.7,11.7,4300,0,11.0
19/11/2021,,,0,12.6,12.9,12.9,0.30 (2.38 %),,14319000,12.9,12.9,1110,0,12.0
18/11/2021,,,0,12.3,12.3,13.1,0.80 (6.50 %),,46560000,13.1,13.1,3700,0,13.0
17/11/2021,,,0,13.9,12.8,12.2,-1.70 (-12.23 %),,12260000,12.2,12.2,1000,0,14.0
16/11/2021,,,0,12.9,14.8,13.9,1.00 (7.75 %),,12480000,13.9,13.9,900,0,15.0
15/11/2021,,,0,12.6,12.9,12.8,0.20 (1.59 %),,67060000,12.8,12.8,5200,0,16.0
12/11/2021,,,0,11.5,13.0,12.2,0.70 (6.09 %),,70500000,12.2,12.2,5600,0,17.0
11/11/2021,,,0,11.5,11.5,11.5,0.00 (0.00 %),,0,11.5,11.5,0,0,18.0
10/11/2021,,,0,12.5,11.2,11.5,-1.00 (-8.00 %),,51630000,11.5,11.5,4500,0,19.0
09/11/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,2500000,12.5,12.5,200,0,20.0
08/11/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,0,12.5,12.5,0,0,21.0
05/11/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,0,12.5,12.5,0,0,2.0
04/11/2021,,,0,12.0,11.0,13.8,1.80 (15.00 %),,47680000,13.8,13.8,3800,0,3.0
03/11/2021,,,0,12.6,12.0,12.0,-0.60 (-4.76 %),,63860000,12.0,12.0,5300,0,4.0
02/11/2021,,,0,11.5,11.0,12.8,1.30 (11.30 %),,79350000,12.8,12.8,6300,0,5.0
01/11/2021,,,0,11.3,11.5,11.4,0.10 (0.88 %),,25260000,11.4,11.4,2200,0,6.0
29/10/2021,,,0,12.3,11.5,12.0,-0.30 (-2.44 %),,119590000,12.0,12.0,10600,0,7.0
28/10/2021,,,0,11.7,12.4,11.9,0.20 (1.71 %),,26165900,11.9,11.9,2127,0,8.0
27/10/2021,,,0,11.7,13.3,12.6,0.90 (7.69 %),,39770000,12.6,12.6,3400,0,9.0
26/10/2021,,,0,13.5,11.5,11.8,-1.70 (-12.59 %),,54890000,11.8,11.8,4700,0,10.0
25/10/2021,,,0,12.6,14.4,12.6,0.00 (0.00 %),,2700000,12.6,12.6,200,0,11.0
22/10/2021,,,0,14.7,12.9,12.5,-2.20 (-14.97 %),,56610000,12.5,12.5,4500,0,12.0
