date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,17.40,20.00,20.00,2.60 (14.94 %),,56820000,20.00,20.00,3200,0,
01/04/2022,,,0,17.40,17.4,17.40,0.00 (0.00 %),,0,17.40,17.40,0,0,
31/03/2022,,,0,17.40,17.40,17.40,0.00 (0.00 %),,0,17.40,17.40,0,0,
30/03/2022,,,0,16.4,17.7,17.5,1.10 (6.71 %),,31280000,17.5,17.5,1800,0,
29/03/2022,,,0,17.7,15.7,18.5,0.80 (4.52 %),,13100000,18.5,18.5,800,0,
28/03/2022,,,0,17.6,17.6,18.9,1.30 (7.39 %),,35330000,18.9,18.9,2000,0,
25/03/2022,,,0,19.6,19.0,18.0,-1.60 (-8.16 %),,65300000,18.0,18.0,3700,0,
24/03/2022,,,0,17.4,15.5,19.9,2.50 (14.37 %),,82110000,19.9,19.9,4200,0,
23/03/2022,,,0,15.7,17.0,18.0,2.30 (14.65 %),,29620000,18.0,18.0,1700,0,
22/03/2022,,,0,18.0,17.7,20.0,2.00 (11.11 %),,106810000,20.0,20.0,6800,0,
21/03/2022,,,0,20.8,22.0,22.0,1.20 (5.77 %),,136650000,22.0,22.0,7600,0,
18/03/2022,,,0,24.4,20.8,23.5,-0.90 (-3.69 %),,135470000,23.5,23.5,6500,0,
17/03/2022,,,0,21.7,22.7,24.9,3.20 (14.75 %),,173580000,24.9,24.9,7100,0,
16/03/2022,,,0,18.9,21.7,21.7,2.80 (14.81 %),,466530000,21.7,21.7,21500,0,
15/03/2022,,,0,16.5,18.9,18.9,2.40 (14.55 %),,100170000,18.9,18.9,5300,0,
14/03/2022,,,0,14.9,16.5,16.5,1.60 (10.74 %),,29700000,16.5,16.5,1800,0,
11/03/2022,,,0,14.5,14.6,15.0,0.50 (3.45 %),,10430000,15.0,15.0,700,0,
10/03/2022,,,0,14.4,14.5,14.5,0.10 (0.69 %),,2900000,14.5,14.5,200,0,
09/03/2022,,,0,14.0,14.3,14.3,0.30 (2.14 %),,27350000,14.3,14.3,1900,0,
08/03/2022,,,0,13.1,13.0,13.3,0.20 (1.53 %),,49170000,13.3,13.3,3500,0,
07/03/2022,,,0,13.1,13.1,13.1,0.00 (0.00 %),,2620000,13.1,13.1,200,0,
04/03/2022,,,0,12.2,13.1,13.1,0.90 (7.38 %),,13100000,13.1,13.1,1000,0,
03/03/2022,,,0,12.2,12.2,12.2,0.00 (0.00 %),,0,12.2,12.2,0,0,
02/03/2022,,,0,11.6,12.0,12.6,1.00 (8.62 %),,3660000,12.6,12.6,300,0,
01/03/2022,,,0,13.1,11.6,11.6,-1.50 (-11.45 %),,1160000,11.6,11.6,100,0,
28/02/2022,,,0,13.1,13.1,13.1,0.00 (0.00 %),,0,13.1,13.1,0,0,
25/02/2022,,,0,13.8,13.8,12.0,-1.80 (-13.04 %),,10500000,12.0,12.0,800,0,
24/02/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,0,13.8,13.8,0,0,
23/02/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,1380000,13.8,13.8,100,0,
22/02/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,0,13.8,13.8,0,0,
21/02/2022,,,0,13.8,13.8,13.8,0.00 (0.00 %),,0,13.8,13.8,0,0,
18/02/2022,,,0,12.0,13.8,13.8,1.80 (15.00 %),,16560000,13.8,13.8,1200,0,
17/02/2022,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,
16/02/2022,,,0,11.7,12.0,12.0,0.30 (2.56 %),,1200000,12.0,12.0,100,0,
15/02/2022,,,0,11.7,11.7,11.7,0.00 (0.00 %),,0,11.7,11.7,0,0,
14/02/2022,,,0,10.2,11.7,11.7,1.50 (14.71 %),,5850000,11.7,11.7,500,0,
11/02/2022,,,0,10.2,10.2,10.2,0.00 (0.00 %),,0,10.2,10.2,0,0,
10/02/2022,,,0,10.2,10.2,10.2,0.00 (0.00 %),,0,10.2,10.2,0,0,
09/02/2022,,,0,10.2,10.2,10.2,0.00 (0.00 %),,0,10.2,10.2,0,0,
08/02/2022,,,0,10.2,10.2,10.2,0.00 (0.00 %),,0,10.2,10.2,0,0,
07/02/2022,,,0,10.2,10.2,10.2,0.00 (0.00 %),,0,10.2,10.2,0,0,
28/01/2022,,,0,12.0,10.3,10.2,-1.80 (-15.00 %),,8170000,10.2,10.2,800,0,
27/01/2022,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,
26/01/2022,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,
25/01/2022,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,
24/01/2022,,,0,11.1,12.0,12.0,0.90 (8.11 %),,24000000,12.0,12.0,2000,0,
21/01/2022,,,0,11.1,11.1,11.1,0.00 (0.00 %),,0,11.1,11.1,0,0,
20/01/2022,,,0,13.0,11.1,11.1,-1.90 (-14.62 %),,22200000,11.1,11.1,2000,0,
19/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
18/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
17/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
14/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
13/01/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
12/01/2022,,,0,13.5,13.0,13.0,-0.50 (-3.70 %),,13000000,13.0,13.0,1000,0,
11/01/2022,,,0,13.5,13.5,13.5,0.00 (0.00 %),,0,13.5,13.5,0,0,
10/01/2022,,,0,12.7,14.5,13.2,0.50 (3.94 %),,6730000,13.2,13.2,500,0,
07/01/2022,,,0,13.0,12.7,12.7,-0.30 (-2.31 %),,13970000,12.7,12.7,1100,0,
06/01/2022,,,0,13.2,13.0,13.2,0.00 (0.00 %),,39060000,13.2,13.2,3000,0,
05/01/2022,,,0,13.0,13.2,13.2,0.20 (1.54 %),,9240000,13.2,13.2,700,0,
04/01/2022,,,0,12.7,13.0,13.0,0.30 (2.36 %),,6500000,13.0,13.0,500,0,
31/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,0,12.7,12.7,0,0,
30/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,30480000,12.7,12.7,2400,0,3.0
29/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,0,12.7,12.7,0,0,4.0
28/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,50800000,12.7,12.7,4000,0,5.0
27/12/2021,,,0,12.7,12.7,12.7,0.00 (0.00 %),,30480000,12.7,12.7,2400,0,6.0
24/12/2021,,,0,12.8,12.7,12.7,-0.10 (-0.78 %),,1270000,12.7,12.7,100,0,7.0
23/12/2021,,,0,12.8,12.8,12.8,0.00 (0.00 %),,12800000,12.8,12.8,1000,0,8.0
22/12/2021,,,0,12.8,12.8,12.8,0.00 (0.00 %),,0,12.8,12.8,0,0,9.0
21/12/2021,,,0,12.5,12.8,12.8,0.30 (2.40 %),,1280000,12.8,12.8,100,0,10.0
20/12/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,0,12.5,12.5,0,0,11.0
17/12/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,0,12.5,12.5,0,0,12.0
16/12/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,11250000,12.5,12.5,900,0,13.0
15/12/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,0,12.5,12.5,0,0,14.0
14/12/2021,,,0,12.5,12.5,12.5,0.00 (0.00 %),,0,12.5,12.5,0,0,15.0
13/12/2021,,,0,12.0,12.4,12.5,0.50 (4.17 %),,26240000,12.5,12.5,2100,0,16.0
10/12/2021,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,17.0
09/12/2021,,,0,12.0,12.0,12.0,0.00 (0.00 %),,13200000,12.0,12.0,1100,0,18.0
08/12/2021,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,19.0
07/12/2021,,,0,12.0,12.0,12.0,0.00 (0.00 %),,8400000,12.0,12.0,700,0,20.0
06/12/2021,,,0,12.0,12.0,12.0,0.00 (0.00 %),,0,12.0,12.0,0,0,21.0
03/12/2021,,,0,12.0,12.0,12.0,0.00 (0.00 %),,1200000,12.0,12.0,100,0,2.0
02/12/2021,,,0,12.0,11.9,12.0,0.00 (0.00 %),,8390000,12.0,12.0,700,0,3.0
01/12/2021,,,0,12.0,11.9,12.0,0.00 (0.00 %),,3590000,12.0,12.0,300,0,4.0
