date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,20.30,20.80,21.50,21.00,,15000,0,21.00,0.70 (3.45 %),319250000,0,
01/04/2022,,,20.90,20.8,20.80,20.30,,6300,0,20.30,-0.60 (-2.87 %),128150000,0,
31/03/2022,,,21.30,21.30,21.30,20.90,,8600,0,20.90,-0.40 (-1.88 %),180540000,0,
30/03/2022,,,22.5,21.2,22.3,21.3,,1550,0,21.3,-1.20 (-5.33 %),33325000,0,
29/03/2022,,,22.0,22.0,22.5,22.5,,4100,0,22.5,0.50 (2.27 %),91640000,0,
28/03/2022,,,21.0,21.8,23.0,22.0,,58400,0,22.0,1.00 (4.76 %),1301980000,0,
25/03/2022,,,21.2,21.2,21.8,21.0,,4629,0,21.0,-0.20 (-0.94 %),98369000,0,
24/03/2022,,,21.2,20.3,21.2,21.2,,700,0,21.2,0.00 (0.00 %),14330000,0,
23/03/2022,,,21.3,20.3,21.2,21.2,,730,0,21.2,-0.10 (-0.47 %),15179000,0,
22/03/2022,,,20.6,20.7,21.4,21.3,,9660,0,21.3,0.70 (3.40 %),204190000,0,
21/03/2022,,,20.0,20.4,20.6,20.6,,4100,0,20.6,0.60 (3.00 %),83970000,0,
18/03/2022,,,20.1,20.9,20.9,20.0,,4400,0,20.0,-0.10 (-0.50 %),90000000,0,
17/03/2022,,,21.6,20.9,20.9,20.1,,5700,0,20.1,-1.50 (-6.94 %),116670000,0,
16/03/2022,,,20.3,20.3,21.9,21.6,,7000,0,21.6,1.30 (6.40 %),140580000,0,
15/03/2022,,,20.8,20.3,21.8,20.3,,2900,0,20.3,-0.50 (-2.40 %),60770000,0,
14/03/2022,,,21.8,22.4,22.5,20.8,,4000,0,20.8,-1.00 (-4.59 %),83550000,0,
11/03/2022,,,21.8,21.7,21.8,21.8,,14400,0,21.8,0.00 (0.00 %),306240000,0,
10/03/2022,,,21.4,21.0,22.2,21.8,,5100,0,21.8,0.40 (1.87 %),109170000,0,
09/03/2022,,,19.9,20.0,21.4,21.4,,19000,0,21.4,1.50 (7.54 %),390960000,0,
08/03/2022,,,22.0,22.5,23.9,19.9,,16000,0,19.9,-2.10 (-9.55 %),348030000,0,
07/03/2022,,,22.5,22.7,24.0,22.0,,14409,0,22.0,-0.50 (-2.22 %),324632500,0,
04/03/2022,,,22.0,22.4,23.6,22.5,,13920,0,22.5,0.50 (2.27 %),318090000,0,
03/03/2022,,,20.0,20.0,22.0,22.0,,44400,0,22.0,2.00 (10.00 %),964460000,0,
02/03/2022,,,18.8,20.3,20.3,20.0,,7700,0,20.0,1.20 (6.38 %),150880000,0,
01/03/2022,,,18.8,18.8,19.0,18.8,,3501,0,18.8,0.00 (0.00 %),66018800,0,
28/02/2022,,,18.5,19.0,19.1,18.8,,3000,0,18.8,0.30 (1.62 %),56910000,0,
25/02/2022,,,18.5,18.3,18.5,18.5,,5400,0,18.5,0.00 (0.00 %),98440000,0,3.0
24/02/2022,,,18.9,18.9,18.9,18.5,,10200,0,18.5,-0.40 (-2.12 %),190760000,0,4.0
23/02/2022,,,18.0,18.7,18.9,18.9,,1100,0,18.9,0.90 (5.00 %),20630000,0,5.0
22/02/2022,,,18.5,18.3,18.4,18.0,,6900,0,18.0,-0.50 (-2.70 %),125850000,0,6.0
21/02/2022,,,19.0,18.7,19.0,18.5,,8200,0,18.5,-0.50 (-2.63 %),152420000,0,7.0
18/02/2022,,,18.8,18.8,19.0,19.0,,2400,0,19.0,0.20 (1.06 %),45260000,0,8.0
17/02/2022,,,18.5,18.9,18.9,18.8,,2600,0,18.8,0.30 (1.62 %),49080000,0,9.0
16/02/2022,,,19.9,19.0,19.7,18.5,,7100,0,18.5,-1.40 (-7.04 %),133360000,0,10.0
15/02/2022,,,19.5,19.5,19.9,19.9,,1200,0,19.9,0.40 (2.05 %),23480000,0,11.0
14/02/2022,,,19.7,19.6,19.6,19.5,,700,0,19.5,-0.20 (-1.02 %),13690000,0,12.0
11/02/2022,,,19.2,21.0,21.0,19.7,,2100,0,19.7,0.50 (2.60 %),40320000,0,13.0
10/02/2022,,,19.5,19.8,19.8,19.2,,1200,0,19.2,-0.30 (-1.54 %),23100000,0,14.0
09/02/2022,,,19.0,19.2,19.5,19.5,,200,0,19.5,0.50 (2.63 %),3870000,0,15.0
08/02/2022,,,19.0,18.4,19.4,19.0,,8500,0,19.0,0.00 (0.00 %),159310000,0,16.0
07/02/2022,,,19.2,18.2,19.2,19.0,,6300,0,19.0,-0.20 (-1.04 %),115330000,0,17.0
