date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,346.90,347.00,352.00,341.00,,43630,0,341.00,-5.90 (-1.70 %),15024419900,0,
01/04/2022,,,339.30,340.0,348.00,346.90,,74581,0,346.90,7.60 (2.24 %),25492979800,0,
31/03/2022,,,339.00,339.00,352.00,339.30,,63307,50,339.30,0.30 (0.09 %),21748994200,15255000,
30/03/2022,,,367.2,367.2,367.2,339.0,,155910,0,339.0,-28.20 (-7.68 %),54359545400,0,
29/03/2022,,,352.9,352.8,372.0,367.2,,126616,0,367.2,14.30 (4.05 %),45521283700,0,
28/03/2022,,,369.0,368.8,368.8,352.9,,167205,0,352.9,-16.10 (-4.36 %),58801223600,0,
25/03/2022,,,371.7,376.1,376.1,369.0,,87692,5000,369.0,-2.70 (-0.73 %),32369530200,1673000000,
24/03/2022,,,375.9,382.2,382.2,371.7,,110719,0,371.7,-4.20 (-1.12 %),41307167500,0,
23/03/2022,,,383.5,383.5,383.5,375.9,,91721,0,375.9,-7.60 (-1.98 %),34652922000,0,
22/03/2022,,,386.6,386.6,399.0,383.5,,152569,0,383.5,-3.10 (-0.80 %),59404364100,0,
21/03/2022,,,377.0,377.0,387.0,386.6,,117296,0,386.6,9.60 (2.55 %),44560929000,0,
18/03/2022,,,368.9,373.0,380.0,377.0,,83606,0,377.0,8.10 (2.20 %),31409572000,0,
17/03/2022,,,365.0,378.0,401.5,368.9,,106427,0,368.9,3.90 (1.07 %),39354498500,0,
16/03/2022,,,372.0,378.0,380.0,365.0,,125393,0,365.0,-7.00 (-1.88 %),46247364100,0,
15/03/2022,,,365.0,375.0,375.0,372.0,,47055,0,372.0,7.00 (1.92 %),17400105300,0,
14/03/2022,,,366.2,360.0,375.0,365.0,,73376,0,365.0,-1.20 (-0.33 %),26892105700,0,
11/03/2022,,,377.1,377.1,378.0,366.2,,48867,5,366.2,-10.90 (-2.89 %),18081950800,1697000,
10/03/2022,,,370.0,385.0,386.0,377.1,,46435,0,377.1,7.10 (1.92 %),17633389600,0,
09/03/2022,,,370.0,370.0,375.2,370.0,,101406,0,370.0,0.00 (0.00 %),36903294000,0,
08/03/2022,,,385.2,385.2,385.2,370.0,,116817,0,370.0,-15.20 (-3.95 %),43930837300,0,
07/03/2022,,,383.0,389.9,403.0,385.2,,115550,0,385.2,2.20 (0.57 %),44835685700,0,
04/03/2022,,,379.3,380.0,392.4,383.0,,103378,0,383.0,3.70 (0.98 %),39924001400,0,
03/03/2022,,,379.0,382.0,382.0,379.3,,47862,0,379.3,0.30 (0.08 %),18163193200,0,
02/03/2022,,,389.0,389.0,393.8,379.0,,60628,0,379.0,-10.00 (-2.57 %),23260602800,0,
01/03/2022,,,375.0,371.0,395.0,389.0,,119616,0,389.0,14.00 (3.73 %),45742739000,0,
28/02/2022,,,375.0,375.0,375.5,375.0,,81182,0,375.0,0.00 (0.00 %),30234403400,0,
25/02/2022,,,374.9,374.8,388.0,375.0,,64368,0,375.0,0.10 (0.03 %),24446342800,0,3.0
24/02/2022,,,382.0,375.0,388.9,374.9,,220224,0,374.9,-7.10 (-1.86 %),80177195400,0,4.0
23/02/2022,,,362.0,362.0,390.0,382.0,,69234,0,382.0,20.00 (5.52 %),26618348800,0,5.0
22/02/2022,,,399.0,395.0,395.0,362.0,,196728,0,362.0,-37.00 (-9.27 %),73291904400,0,6.0
21/02/2022,,,399.8,399.8,425.0,399.0,,175840,0,399.0,-0.80 (-0.20 %),71132315900,0,7.0
18/02/2022,,,386.0,386.0,399.8,399.8,,104042,0,399.8,13.80 (3.58 %),40548986100,0,8.0
17/02/2022,,,397.9,397.9,409.8,386.0,,97701,0,386.0,-11.90 (-2.99 %),38096291200,0,9.0
16/02/2022,,,365.1,365.0,399.0,397.9,,110720,0,397.9,32.80 (8.98 %),42801916900,0,10.0
15/02/2022,,,360.0,370.0,375.0,365.1,,76562,0,365.1,5.10 (1.42 %),28176276100,0,11.0
14/02/2022,,,345.1,340.0,372.0,360.0,,113208,0,360.0,14.90 (4.32 %),39439706900,0,12.0
11/02/2022,,,372.3,373.0,380.0,345.1,,96753,0,345.1,-27.20 (-7.31 %),34447719200,0,13.0
10/02/2022,,,338.5,370.0,372.3,372.3,,97940,0,372.3,33.80 (9.99 %),36110417500,0,14.0
09/02/2022,,,307.8,280.0,338.5,338.5,,130869,0,338.5,30.70 (9.97 %),39622423800,0,15.0
08/02/2022,,,342.0,342.0,342.0,307.8,,161455,0,307.8,-34.20 (-10.00 %),50192509900,0,16.0
07/02/2022,,,380.0,397.0,417.0,342.0,,87292,0,342.0,-38.00 (-10.00 %),32334658700,0,17.0
28/01/2022,,,380.0,345.1,380.0,380.0,,120809,0,380.0,0.00 (0.00 %),43781729800,0,18.0
27/01/2022,,,405.8,405.8,406.5,380.0,,94319,0,380.0,-25.80 (-6.36 %),36322365900,0,19.0
26/01/2022,,,393.8,430.0,430.0,405.8,,110661,0,405.8,12.00 (3.05 %),46290911300,0,20.0
25/01/2022,,,358.0,350.0,393.8,393.8,,253742,0,393.8,35.80 (10.00 %),94535155900,0,21.0
24/01/2022,,,384.4,422.8,422.8,358.0,,259320,0,358.0,-26.40 (-6.87 %),103389853600,0,2.0
21/01/2022,,,349.5,384.4,384.4,384.4,,9716,0,384.4,34.90 (9.99 %),3734830400,0,3.0
20/01/2022,,,317.8,286.1,349.5,349.5,,195057,0,349.5,31.70 (9.97 %),62006035900,0,4.0
19/01/2022,,,353.1,317.8,317.8,317.8,,41397,0,317.8,-35.30 (-10.00 %),13156163400,0,5.0
18/01/2022,,,392.3,375.0,390.0,353.1,,134698,0,353.1,-39.20 (-9.99 %),48318383000,0,6.0
17/01/2022,,,435.6,479.0,479.0,392.3,,237546,0,392.3,-43.30 (-9.94 %),103558197400,0,7.0
14/01/2022,,,396.0,370.0,435.6,435.6,,283780,0,435.6,39.60 (10.00 %),113602058400,0,8.0
13/01/2022,,,440.0,440.0,484.0,396.0,,264611,30,396.0,-44.00 (-10.00 %),116171443000,11880000,9.0
12/01/2022,,,414.7,420.0,456.1,440.0,,362340,0,440.0,25.30 (6.10 %),158346635700,0,10.0
11/01/2022,,,377.0,377.0,414.7,414.7,,144746,0,414.7,37.70 (10.00 %),59721467300,0,11.0
10/01/2022,,,371.2,408.3,408.3,377.0,,366203,0,377.0,5.80 (1.56 %),147776067400,0,12.0
07/01/2022,,,337.5,371.2,371.2,371.2,,81326,0,371.2,33.70 (9.99 %),30173351200,0,13.0
06/01/2022,,,306.9,328.0,337.5,337.5,,55804,0,337.5,30.60 (9.97 %),18827320000,0,14.0
05/01/2022,,,279.0,285.0,306.9,306.9,,169272,0,306.9,27.90 (10.00 %),51319706100,0,15.0
04/01/2022,,,259.9,270.0,279.0,279.0,,284726,0,279.0,19.10 (7.35 %),76461572200,0,16.0
31/12/2021,,,249.0,250.5,270.0,259.9,,119856,0,259.9,10.90 (4.38 %),30619218700,0,17.0
30/12/2021,,,252.0,252.0,254.0,249.0,,132561,0,249.0,-3.00 (-1.19 %),33219714200,0,18.0
29/12/2021,,,258.1,258.1,260.0,252.0,,173672,0,252.0,-6.10 (-2.36 %),44473394300,0,19.0
28/12/2021,,,262.0,270.0,270.0,258.1,,182460,0,258.1,-3.90 (-1.49 %),47770309300,0,20.0
27/12/2021,,,250.0,260.0,263.0,262.0,,187092,0,262.0,12.00 (4.80 %),47541122600,0,21.0
24/12/2021,,,250.0,249.0,267.9,250.0,,155474,0,250.0,0.00 (0.00 %),39296515900,0,2.0
23/12/2021,,,261.0,261.0,261.0,250.0,,161648,0,250.0,-11.00 (-4.21 %),40448287500,0,3.0
22/12/2021,,,271.0,271.0,271.0,261.0,,307489,0,261.0,-10.00 (-3.69 %),80272707900,0,4.0
21/12/2021,,,275.0,275.0,279.0,271.0,,164013,0,271.0,-4.00 (-1.45 %),44409780400,0,5.0
20/12/2021,,,283.1,286.0,286.0,275.0,,86344,0,275.0,-8.10 (-2.86 %),23992915800,0,6.0
17/12/2021,,,279.0,282.0,290.0,283.1,,112155,0,283.1,4.10 (1.47 %),32278330900,0,7.0
16/12/2021,,,264.0,264.0,279.0,279.0,,122456,0,279.0,15.00 (5.68 %),33304857100,0,8.0
15/12/2021,,,257.1,259.0,270.0,264.0,,87250,0,264.0,6.90 (2.68 %),23168620000,0,9.0
14/12/2021,,,263.6,264.0,278.0,257.1,,65403,0,257.1,-6.50 (-2.47 %),17158815000,0,10.0
13/12/2021,,,246.1,246.2,265.0,263.6,,94324,0,263.6,17.50 (7.11 %),23416861200,0,11.0
10/12/2021,,,252.0,252.1,256.0,246.1,,77566,0,246.1,-5.90 (-2.34 %),19289861500,0,12.0
09/12/2021,,,257.0,255.0,260.0,252.0,,54095,0,252.0,-5.00 (-1.95 %),13708053000,0,13.0
08/12/2021,,,252.5,254.0,259.5,257.0,,60712,0,257.0,4.50 (1.78 %),15560220900,0,14.0
07/12/2021,,,247.9,249.0,258.0,252.5,,79678,0,252.5,4.60 (1.86 %),19796647400,0,15.0
06/12/2021,,,260.0,265.0,265.0,247.9,,65192,0,247.9,-12.10 (-4.65 %),16705710200,0,16.0
03/12/2021,,,276.4,278.0,280.0,260.0,,77435,0,260.0,-16.40 (-5.93 %),20966634100,0,17.0
