date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,10.90,11.50,11.50,11.00,,900,0,11.00,0.10 (0.92 %),9890000,0,
01/04/2022,,,10.80,10.9,10.90,10.90,,7500,0,10.90,0.10 (0.93 %),81130000,0,
31/03/2022,,,10.80,10.90,10.90,10.80,,18551,0,10.80,0.00 (0.00 %),196259800,0,
30/03/2022,,,11.0,10.5,11.0,10.8,,15500,0,10.8,-0.20 (-1.82 %),167700000,0,
29/03/2022,,,11.0,10.9,11.0,11.0,,19200,0,11.0,0.00 (0.00 %),208100000,0,
28/03/2022,,,11.0,11.5,11.5,11.0,,1700,0,11.0,0.00 (0.00 %),18450000,0,
25/03/2022,,,11.3,11.7,11.7,11.0,,20100,0,11.0,-0.30 (-2.65 %),214090000,0,
24/03/2022,,,11.4,11.5,11.5,11.3,,8700,0,11.3,-0.10 (-0.88 %),96120000,0,
23/03/2022,,,11.5,11.7,12.0,11.4,,28300,0,11.4,-0.10 (-0.87 %),315310000,0,
22/03/2022,,,11.1,10.9,11.7,11.5,,43500,0,11.5,0.40 (3.60 %),485530000,0,
21/03/2022,,,11.0,11.0,11.4,11.1,,36000,0,11.1,0.10 (0.91 %),392740000,0,
18/03/2022,,,10.5,10.5,11.0,11.0,,16400,0,11.0,0.50 (4.76 %),175910000,0,
17/03/2022,,,10.4,10.4,10.5,10.5,,14900,0,10.5,0.10 (0.96 %),155940000,0,
16/03/2022,,,10.1,10.0,10.4,10.4,,16027,0,10.4,0.30 (2.97 %),164193000,0,
15/03/2022,,,10.1,10.0,10.1,10.1,,1500,0,10.1,0.00 (0.00 %),15110000,0,
14/03/2022,,,10.3,10.2,10.2,10.1,,368,0,10.1,-0.20 (-1.94 %),3740400,0,
11/03/2022,,,10.4,10.4,10.4,10.3,,2400,0,10.3,-0.10 (-0.96 %),24730000,0,
10/03/2022,,,10.0,9.9,10.5,10.4,,14810,0,10.4,0.40 (4.00 %),153970000,0,
09/03/2022,,,10.2,10.0,10.3,10.0,,1301,0,10.0,-0.20 (-1.96 %),13039400,0,
08/03/2022,,,10.5,10.6,10.6,10.2,,7400,0,10.2,-0.30 (-2.86 %),75950000,0,
07/03/2022,,,10.1,10.5,10.5,10.5,,1600,0,10.5,0.40 (3.96 %),16620000,0,
04/03/2022,,,10.2,10.4,10.5,10.1,,6100,0,10.1,-0.10 (-0.98 %),62680000,0,
03/03/2022,,,10.0,10.2,10.3,10.2,,3900,0,10.2,0.20 (2.00 %),39700000,0,
02/03/2022,,,10.1,10.0,10.0,10.0,,4200,0,10.0,-0.10 (-0.99 %),41660000,0,
01/03/2022,,,9.9,10.2,10.3,10.1,,4010,0,10.1,0.20 (2.02 %),40650400,0,
28/02/2022,,,10.0,10.0,10.2,9.9,,3000,0,9.9,-0.10 (-1.00 %),30150000,0,
25/02/2022,,,9.9,9.9,10.1,10.0,,2500,0,10.0,0.10 (1.01 %),24820000,0,3.0
24/02/2022,,,10.2,10.5,10.5,9.9,,4000,0,9.9,-0.30 (-2.94 %),40310000,0,4.0
23/02/2022,,,10.1,10.1,10.5,10.2,,7700,0,10.2,0.10 (0.99 %),78410000,0,5.0
22/02/2022,,,10.2,10.2,10.2,10.1,,4100,0,10.1,-0.10 (-0.98 %),41220000,0,6.0
21/02/2022,,,10.0,10.1,10.2,10.2,,15900,0,10.2,0.20 (2.00 %),160620000,0,7.0
18/02/2022,,,10.0,10.0,10.0,10.0,,2300,0,10.0,0.00 (0.00 %),23000000,0,8.0
17/02/2022,,,10.0,9.9,10.1,10.0,,1200,0,10.0,0.00 (0.00 %),11970000,0,9.0
16/02/2022,,,9.9,9.9,10.0,10.0,,300,0,10.0,0.10 (1.01 %),2980000,0,10.0
15/02/2022,,,10.0,9.9,9.9,9.9,,100,0,9.9,-0.10 (-1.00 %),990000,0,11.0
14/02/2022,,,10.0,9.4,10.0,10.0,,2200,0,10.0,0.00 (0.00 %),21080000,0,12.0
11/02/2022,,,10.2,10.0,10.0,10.0,,2200,0,10.0,-0.20 (-1.96 %),21630000,0,13.0
10/02/2022,,,10.1,10.2,10.2,10.2,,4500,0,10.2,0.10 (0.99 %),45900000,0,14.0
09/02/2022,,,10.2,9.3,10.1,10.1,,5600,0,10.1,-0.10 (-0.98 %),55140000,0,15.0
08/02/2022,,,10.2,10.2,10.2,10.2,,0,0,10.2,0.00 (0.00 %),0,0,16.0
07/02/2022,,,9.3,10.1,10.2,10.2,,6000,0,10.2,0.90 (9.68 %),61060000,0,17.0
28/01/2022,,,9.5,9.6,9.6,9.3,,5600,0,9.3,-0.20 (-2.11 %),52680000,0,18.0
27/01/2022,,,9.7,9.7,9.7,9.5,,1200,0,9.5,-0.20 (-2.06 %),11600000,0,19.0
26/01/2022,,,9.7,9.7,9.7,9.7,,3400,0,9.7,0.00 (0.00 %),32980000,0,20.0
25/01/2022,,,9.7,9.0,9.7,9.7,,6200,0,9.7,0.00 (0.00 %),56190000,0,21.0
24/01/2022,,,9.8,9.9,9.9,9.7,,3800,0,9.7,-0.10 (-1.02 %),36140000,0,2.0
21/01/2022,,,9.9,9.5,9.8,9.8,,14900,0,9.8,-0.10 (-1.01 %),140590000,0,3.0
20/01/2022,,,9.7,9.7,9.9,9.9,,1300,0,9.9,0.20 (2.06 %),12840000,0,4.0
19/01/2022,,,10.0,9.5,9.8,9.7,,10900,0,9.7,-0.30 (-3.00 %),105620000,0,5.0
18/01/2022,,,10.0,10.0,10.0,10.0,,2200,0,10.0,0.00 (0.00 %),21600000,0,6.0
17/01/2022,,,10.5,10.1,10.2,10.0,,4000,0,10.0,-0.50 (-4.76 %),40360000,0,7.0
14/01/2022,,,10.8,10.3,10.5,10.5,,2700,0,10.5,-0.30 (-2.78 %),28100000,0,8.0
13/01/2022,,,10.7,10.8,10.8,10.8,,4200,0,10.8,0.10 (0.93 %),44190000,0,9.0
12/01/2022,,,10.7,10.6,10.7,10.7,,30800,0,10.7,0.00 (0.00 %),327460000,0,10.0
11/01/2022,,,10.6,10.6,10.8,10.7,,2929,0,10.7,0.10 (0.94 %),31228000,0,11.0
10/01/2022,,,10.8,10.7,10.8,10.6,,13000,0,10.6,-0.20 (-1.85 %),139050000,0,12.0
