date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,114.00,114.70,115.00,1.00 (0.88 %),,8748867100,115.00,115.00,76140,0,
01/04/2022,,,0,112.70,111.1,114.90,2.20 (1.95 %),,445942000,114.90,114.90,3912,0,
31/03/2022,,,0,114.30,113.80,115.70,1.40 (1.22 %),,744050000,115.70,115.70,6600,0,
30/03/2022,,,7820000000,113.5,115.0,113.5,0.00 (0.00 %),,1417060000,113.5,113.5,12400,68000,
29/03/2022,,,0,111.8,112.0,113.1,1.30 (1.16 %),,3702065900,113.1,113.1,32630,0,
28/03/2022,,,0,112.0,112.1,112.0,0.00 (0.00 %),,1152010000,112.0,112.0,10300,0,
25/03/2022,,,0,114.0,112.0,112.0,-2.00 (-1.75 %),,348217000,112.0,112.0,3109,0,
24/03/2022,,,0,112.2,117.0,114.8,2.60 (2.32 %),,2003276000,114.8,114.8,17569,0,
23/03/2022,,,0,109.6,109.6,117.0,7.40 (6.75 %),,11379110000,117.0,117.0,101400,0,
22/03/2022,,,0,109.8,111.0,110.0,0.20 (0.18 %),,1917370000,110.0,110.0,17500,0,
21/03/2022,,,0,109.5,111.0,109.1,-0.40 (-0.37 %),,197600000,109.1,109.1,1800,0,
18/03/2022,,,0,109.1,110.0,110.0,0.90 (0.82 %),,481790000,110.0,110.0,4400,0,
17/03/2022,,,0,109.4,109.5,109.0,-0.40 (-0.37 %),,250920000,109.0,109.0,2300,0,
16/03/2022,,,0,109.1,109.2,109.7,0.60 (0.55 %),,1226200500,109.7,109.7,11205,0,
15/03/2022,,,0,109.3,109.0,109.8,0.50 (0.46 %),,190586200,109.8,109.8,1748,0,
14/03/2022,,,0,110.7,110.5,110.9,0.20 (0.18 %),,810065500,110.9,110.9,7410,0,
11/03/2022,,,0,110.1,111.0,111.0,0.90 (0.82 %),,741622000,111.0,111.0,6702,0,
10/03/2022,,,0,109.8,110.0,111.0,1.20 (1.09 %),,1164953700,111.0,111.0,10579,0,
09/03/2022,,,0,110.3,109.5,110.0,-0.30 (-0.27 %),,1054353000,110.0,110.0,9602,0,
08/03/2022,,,0,111.2,110.6,109.5,-1.70 (-1.53 %),,1425375000,109.5,109.5,12926,0,
07/03/2022,,,0,111.4,110.5,111.4,0.00 (0.00 %),,1011530000,111.4,111.4,9100,0,
04/03/2022,,,0,111.5,111.5,111.2,-0.30 (-0.27 %),,1191470000,111.2,111.2,10700,0,
03/03/2022,,,0,110.8,111.8,111.3,0.50 (0.45 %),,289850000,111.3,111.3,2600,0,
02/03/2022,,,0,112.0,111.6,110.4,-1.60 (-1.43 %),,1052730000,110.4,110.4,9500,0,
01/03/2022,,,0,112.0,112.0,111.8,-0.20 (-0.18 %),,141324000,111.8,111.8,1262,0,
28/02/2022,,,0,112.1,114.0,112.1,0.00 (0.00 %),,313470000,112.1,112.1,2800,0,
