date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,34.10,34.00,34.10,0.00 (0.00 %),,704140000,34.10,34.10,20800,0,
01/04/2022,,,0,34.50,34.0,34.20,-0.30 (-0.87 %),,320480000,34.20,34.20,9400,0,
31/03/2022,,,0,34.00,34.80,34.50,0.50 (1.47 %),,444690000,34.50,34.50,12900,0,
30/03/2022,,,0,34.0,33.9,34.2,0.20 (0.59 %),,296170000,34.2,34.2,8700,0,
29/03/2022,,,0,33.9,34.1,34.0,0.10 (0.29 %),,703590000,34.0,34.0,20700,0,
28/03/2022,,,0,33.1,34.5,33.5,0.40 (1.21 %),,403090000,33.5,33.5,11900,0,
25/03/2022,,,0,32.8,33.6,33.7,0.90 (2.74 %),,235250000,33.7,33.7,7100,0,
24/03/2022,,,0,32.9,32.8,33.4,0.50 (1.52 %),,528150000,33.4,33.4,16100,0,
23/03/2022,,,0,32.7,33.5,32.8,0.10 (0.31 %),,388170000,32.8,32.8,11800,0,
22/03/2022,,,0,32.8,32.8,33.5,0.70 (2.13 %),,847770000,33.5,33.5,25920,0,
21/03/2022,,,0,33.0,33.0,32.8,-0.20 (-0.61 %),,938240000,32.8,32.8,28600,0,
18/03/2022,,,0,32.9,33.0,33.4,0.50 (1.52 %),,996840000,33.4,33.4,30200,0,
17/03/2022,,,0,33.7,33.5,32.7,-1.00 (-2.97 %),,1801580000,32.7,32.7,54800,0,
16/03/2022,,,0,34.0,34.0,33.0,-1.00 (-2.94 %),,656651600,33.0,33.0,19514,0,
15/03/2022,,,0,34.1,34.0,34.0,-0.10 (-0.29 %),,282470000,34.0,34.0,8300,0,
14/03/2022,,,0,35.0,35.0,34.1,-0.90 (-2.57 %),,357990000,34.1,34.1,10510,0,
11/03/2022,,,0,35.0,35.0,35.0,0.00 (0.00 %),,750367000,35.0,35.0,21465,0,
10/03/2022,,,0,35.1,34.2,35.6,0.50 (1.42 %),,823189500,35.6,35.6,23509,0,
09/03/2022,,,0,35.7,35.0,34.8,-0.90 (-2.52 %),,1087269600,34.8,34.8,31015,0,
08/03/2022,,,0,36.3,36.4,35.4,-0.90 (-2.48 %),,3332936300,35.4,35.4,93356,0,
07/03/2022,,,0,32.8,33.5,36.0,3.20 (9.76 %),,4194505500,36.0,36.0,115560,0,
04/03/2022,,,0,32.6,32.6,33.4,0.80 (2.45 %),,873650000,33.4,33.4,26600,0,
03/03/2022,,,0,32.3,32.5,32.7,0.40 (1.24 %),,284050000,32.7,32.7,8700,0,
02/03/2022,,,0,31.7,32.3,32.4,0.70 (2.21 %),,2346203000,32.4,32.4,72733,0,
01/03/2022,,,0,32.5,32.0,32.0,-0.50 (-1.54 %),,164620000,32.0,32.0,5200,0,
28/02/2022,,,0,32.5,32.5,32.5,0.00 (0.00 %),,0,32.5,32.5,0,0,
25/02/2022,,,0,31.7,32.5,32.5,0.80 (2.52 %),,87860000,32.5,32.5,2700,0,
24/02/2022,,,0,31.9,31.7,31.7,-0.20 (-0.63 %),,478000000,31.7,31.7,15100,0,
23/02/2022,,,0,31.5,31.4,32.5,1.00 (3.17 %),,497720000,32.5,32.5,15600,0,
22/02/2022,,,0,31.5,31.3,31.5,0.00 (0.00 %),,186928000,31.5,31.5,5938,0,
21/02/2022,,,0,32.1,31.9,31.4,-0.70 (-2.18 %),,186981200,31.4,31.4,5944,0,
18/02/2022,,,0,31.7,32.0,32.1,0.40 (1.26 %),,167130000,32.1,32.1,5200,0,
17/02/2022,,,0,31.3,31.9,31.9,0.60 (1.92 %),,327206000,31.9,31.9,10326,0,
16/02/2022,,,0,31.1,31.1,31.5,0.40 (1.29 %),,232250100,31.5,31.5,7429,0,
15/02/2022,,,0,31.4,31.2,31.6,0.20 (0.64 %),,215135000,31.6,31.6,6910,0,
14/02/2022,,,0,31.6,31.5,31.1,-0.50 (-1.58 %),,167698100,31.1,31.1,5337,0,
11/02/2022,,,0,30.7,30.8,31.7,1.00 (3.26 %),,114045000,31.7,31.7,3610,0,
10/02/2022,,,0,31.6,30.7,30.7,-0.90 (-2.85 %),,6197400,30.7,30.7,202,0,
09/02/2022,,,0,32.0,30.5,32.0,0.00 (0.00 %),,352172700,32.0,32.0,11169,0,
08/02/2022,,,0,32.0,32.0,32.0,0.00 (0.00 %),,243200000,32.0,32.0,7600,0,
07/02/2022,,,0,31.7,32.0,32.0,0.30 (0.95 %),,966300000,32.0,32.0,30200,0,
28/01/2022,,,0,31.0,31.0,32.0,1.00 (3.23 %),,269330000,32.0,32.0,8500,0,
27/01/2022,,,0,31.0,31.0,31.0,0.00 (0.00 %),,3100000,31.0,31.0,100,0,
26/01/2022,,,0,30.3,31.0,31.0,0.70 (2.31 %),,15500000,31.0,31.0,500,0,
25/01/2022,,,0,30.3,30.1,30.0,-0.30 (-0.99 %),,181800000,30.0,30.0,6000,0,
