date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,33.00,33.00,33.00,0.00 (0.00 %),,0,33.00,33.00,0,0,
01/04/2022,,,0,33.90,33.0,33.00,-0.90 (-2.65 %),,6600000,33.00,33.00,200,0,
31/03/2022,,,0,35.00,39.00,35.60,0.60 (1.71 %),,254390000,35.60,35.60,7500,0,
30/03/2022,,,0,39.6,33.7,35.5,-4.10 (-10.35 %),,102045000,35.5,35.5,2913,0,
29/03/2022,,,0,40.0,40.0,38.0,-2.00 (-5.00 %),,67350000,38.0,38.0,1700,0,
28/03/2022,,,0,35.6,40.0,40.0,4.40 (12.36 %),,8000000,40.0,40.0,200,0,
25/03/2022,,,0,34.9,39.0,34.9,0.00 (0.00 %),,113909800,34.9,34.9,3202,0,
24/03/2022,,,0,31.7,32.7,35.2,3.50 (11.04 %),,316104000,35.2,35.2,9071,0,
23/03/2022,,,0,31.1,31.9,32.7,1.60 (5.14 %),,47570000,32.7,32.7,1500,0,
22/03/2022,,,0,30.4,32.8,31.0,0.60 (1.97 %),,31110000,31.0,31.0,1000,0,
21/03/2022,,,0,33.2,31.0,31.0,-2.20 (-6.63 %),,24350000,31.0,31.0,800,0,
18/03/2022,,,0,33.2,33.2,33.2,0.00 (0.00 %),,0,33.2,33.2,0,0,
17/03/2022,,,0,33.2,33.2,33.2,0.00 (0.00 %),,0,33.2,33.2,0,0,
16/03/2022,,,0,29.9,33.3,33.0,3.10 (10.37 %),,18649000,33.0,33.0,571,0,
15/03/2022,,,0,33.8,33.5,29.0,-4.80 (-14.20 %),,14950000,29.0,29.0,500,0,
14/03/2022,,,0,33.8,33.8,33.8,0.00 (0.00 %),,0,33.8,33.8,0,0,
11/03/2022,,,0,31.0,33.8,33.8,2.80 (9.03 %),,6760000,33.8,33.8,200,0,
10/03/2022,,,0,31.0,31.0,31.0,0.00 (0.00 %),,0,31.0,31.0,0,0,
09/03/2022,,,0,31.0,31.0,31.0,0.00 (0.00 %),,0,31.0,31.0,0,0,
08/03/2022,,,0,31.0,31.0,31.0,0.00 (0.00 %),,12400000,31.0,31.0,400,0,
07/03/2022,,,0,31.0,31.0,31.0,0.00 (0.00 %),,0,31.0,31.0,0,0,
04/03/2022,,,0,31.0,31.0,31.0,0.00 (0.00 %),,0,31.0,31.0,0,0,
03/03/2022,,,0,31.0,31.0,31.0,0.00 (0.00 %),,9300000,31.0,31.0,300,0,
02/03/2022,,,0,33.7,31.0,31.0,-2.70 (-8.01 %),,3100000,31.0,31.0,100,0,
01/03/2022,,,0,33.7,33.7,33.7,0.00 (0.00 %),,0,33.7,33.7,0,0,
28/02/2022,,,0,33.7,33.7,33.7,0.00 (0.00 %),,0,33.7,33.7,0,0,
25/02/2022,,,0,31.5,33.7,33.7,2.20 (6.98 %),,3370000,33.7,33.7,100,0,
24/02/2022,,,0,30.9,31.7,31.0,0.10 (0.32 %),,85000000,31.0,31.0,2700,0,
23/02/2022,,,0,30.8,32.9,30.8,0.00 (0.00 %),,71040000,30.8,30.8,2300,0,
22/02/2022,,,0,31.0,32.2,30.6,-0.40 (-1.29 %),,264700000,30.6,30.6,8600,0,
21/02/2022,,,0,34.3,31.0,31.0,-3.30 (-9.62 %),,15500000,31.0,31.0,500,0,
18/02/2022,,,0,34.3,34.3,34.3,0.00 (0.00 %),,0,34.3,34.3,0,0,
17/02/2022,,,0,34.3,34.3,34.3,0.00 (0.00 %),,0,34.3,34.3,0,0,
16/02/2022,,,0,32.8,34.4,34.2,1.40 (4.27 %),,6860000,34.2,34.2,200,0,
15/02/2022,,,0,31.1,32.8,32.8,1.70 (5.47 %),,3280000,32.8,32.8,100,0,
14/02/2022,,,0,32.0,31.0,31.5,-0.50 (-1.56 %),,46650000,31.5,31.5,1500,0,
11/02/2022,,,0,30.4,32.0,32.0,1.60 (5.26 %),,32000000,32.0,32.0,1000,0,
10/02/2022,,,0,35.2,30.1,32.0,-3.20 (-9.09 %),,191271000,32.0,32.0,6301,0,
09/02/2022,,,0,35.2,35.2,35.2,0.00 (0.00 %),,42240000,35.2,35.2,1200,0,
08/02/2022,,,0,35.2,35.2,35.2,0.00 (0.00 %),,0,35.2,35.2,0,0,
07/02/2022,,,0,35.8,35.8,35.0,-0.80 (-2.23 %),,182960000,35.0,35.0,5200,0,
28/01/2022,,,0,34.2,36.8,36.4,2.20 (6.43 %),,14300000,36.4,36.4,400,0,
27/01/2022,,,0,37.0,33.0,33.0,-4.00 (-10.81 %),,99190000,33.0,33.0,2900,0,
26/01/2022,,,0,37.0,37.0,37.0,0.00 (0.00 %),,0,37.0,37.0,0,0,
25/01/2022,,,0,33.0,37.0,37.0,4.00 (12.12 %),,3700000,37.0,37.0,100,0,
24/01/2022,,,0,37.8,33.0,33.0,-4.80 (-12.70 %),,3300000,33.0,33.0,100,0,
21/01/2022,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,37.8,0,0,
20/01/2022,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,37.8,0,0,
19/01/2022,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,37.8,0,0,
18/01/2022,,,0,35.0,37.8,37.8,2.80 (8.00 %),,3780000,37.8,37.8,100,0,
14/01/2022,,,0,35.0,35.0,35.0,0.00 (0.00 %),,0,35.0,35.0,0,0,
13/01/2022,,,0,35.0,35.0,35.0,0.00 (0.00 %),,0,35.0,35.0,0,0,
12/01/2022,,,0,35.0,35.0,35.0,0.00 (0.00 %),,14000000,35.0,35.0,400,0,
11/01/2022,,,0,35.0,35.0,35.0,0.00 (0.00 %),,0,35.0,35.0,0,0,
10/01/2022,,,32270000,35.0,35.0,35.0,0.00 (0.00 %),,0,35.0,35.0,0,922,
07/01/2022,,,0,35.0,35.0,35.0,0.00 (0.00 %),,136500000,35.0,35.0,3900,0,
06/01/2022,,,0,38.8,35.0,35.0,-3.80 (-9.79 %),,17500000,35.0,35.0,500,0,
05/01/2022,,,0,38.8,38.8,38.8,0.00 (0.00 %),,0,38.8,38.8,0,0,
04/01/2022,,,0,38.8,38.8,38.8,0.00 (0.00 %),,0,38.8,38.8,0,0,
31/12/2021,,,0,37.9,37.8,39.6,1.70 (4.49 %),,170870000,39.6,39.6,4400,0,
30/12/2021,,,0,36.9,36.9,38.4,1.50 (4.07 %),,477320000,38.4,38.4,12600,0,3.0
29/12/2021,,,0,34.7,36.9,36.9,2.20 (6.34 %),,7380000,36.9,36.9,200,0,4.0
27/12/2021,,,0,39.3,39.3,39.3,0.00 (0.00 %),,0,39.3,39.3,0,0,5.0
24/12/2021,,,0,39.3,39.3,39.3,0.00 (0.00 %),,0,39.3,39.3,0,0,6.0
23/12/2021,,,0,36.4,39.3,39.3,2.90 (7.97 %),,7860000,39.3,39.3,200,0,7.0
21/12/2021,,,0,39.5,34.0,37.8,-1.70 (-4.30 %),,54640000,37.8,37.8,1500,0,8.0
20/12/2021,,,0,39.5,39.5,39.5,0.00 (0.00 %),,0,39.5,39.5,0,0,9.0
17/12/2021,,,0,39.5,39.5,39.5,0.00 (0.00 %),,0,39.5,39.5,0,0,10.0
16/12/2021,,,0,39.5,39.5,39.5,0.00 (0.00 %),,0,39.5,39.5,0,0,11.0
15/12/2021,,,0,39.5,39.5,39.5,0.00 (0.00 %),,0,39.5,39.5,0,0,12.0
14/12/2021,,,0,39.5,39.5,39.5,0.00 (0.00 %),,0,39.5,39.5,0,0,13.0
13/12/2021,,,0,37.0,41.9,34.7,-2.30 (-6.22 %),,27620000,34.7,34.7,700,0,14.0
10/12/2021,,,0,40.5,37.0,37.0,-3.50 (-8.64 %),,33300000,37.0,37.0,900,0,15.0
09/12/2021,,,0,36.3,40.5,40.5,4.20 (11.57 %),,20250000,40.5,40.5,500,0,16.0
08/12/2021,,,0,36.8,37.9,38.9,2.10 (5.71 %),,397910000,36.26,36.87,10400,0,17.0
07/12/2021,,,0,37.2,34.0,37.5,0.30 (0.81 %),,77350000,34.91,35.54,2100,0,18.0
06/12/2021,,,0,37.6,37.5,37.0,-0.60 (-1.60 %),,115250000,35.23,35.06,3100,0,19.0
03/12/2021,,,0,37.4,37.5,37.5,0.10 (0.27 %),,131644800,35.63,35.54,3502,0,20.0
02/12/2021,,,0,36.0,37.8,37.3,1.30 (3.61 %),,212353600,35.41,35.35,5700,0,21.0
01/12/2021,,,0,38.5,35.0,37.0,-1.50 (-3.90 %),,14400000,34.12,35.06,400,0,2.0
30/11/2021,,,0,38.5,38.5,38.5,0.00 (0.00 %),,0,38.5,36.49,0,0,3.0
29/11/2021,,,0,38.5,38.5,38.5,0.00 (0.00 %),,0,38.5,36.49,0,0,4.0
26/11/2021,,,0,37.8,38.5,38.5,0.70 (1.85 %),,7700000,35.82,36.49,200,0,5.0
25/11/2021,,,0,36.4,38.0,36.4,0.00 (0.00 %),,18920000,35.86,34.5,500,0,6.0
24/11/2021,,,0,37.8,33.5,34.0,-3.80 (-10.05 %),,98250000,34.49,32.22,2700,0,7.0
23/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,8.0
22/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,9.0
19/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,10.0
18/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,11.0
17/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,12.0
16/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,13.0
15/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,14.0
12/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,15.0
11/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,3780000,35.82,35.82,100,0,16.0
10/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,35.82,35.82,0,0,17.0
09/11/2021,,,0,37.8,37.8,37.8,0.00 (0.00 %),,0,37.8,35.82,0,0,18.0
08/11/2021,,,0,36.5,37.8,37.8,1.30 (3.56 %),,3780000,35.82,35.82,100,0,19.0
05/11/2021,,,0,38.4,36.5,36.5,-1.90 (-4.95 %),,7300000,34.59,34.59,200,0,20.0
04/11/2021,,,0,38.4,38.4,38.4,0.00 (0.00 %),,0,38.4,36.39,0,0,21.0
03/11/2021,,,0,38.4,38.4,38.4,0.00 (0.00 %),,0,38.4,36.39,0,0,2.0
02/11/2021,,,0,38.4,38.4,38.4,0.00 (0.00 %),,0,38.4,36.39,0,0,3.0
01/11/2021,,,0,38.5,38.4,38.4,-0.10 (-0.26 %),,3840000,36.39,36.39,100,0,4.0
29/10/2021,,,0,38.5,38.5,38.5,0.00 (0.00 %),,0,38.5,36.49,0,0,5.0
28/10/2021,,,0,38.0,38.5,38.5,0.50 (1.32 %),,3850000,36.49,36.49,100,0,6.0
27/10/2021,,,0,37.5,37.0,38.9,1.40 (3.73 %),,18990000,35.99,36.87,500,0,7.0
