date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,20.10,20.20,20.80,20.30,,312155,0,20.30,0.20 (1.00 %),6354114100,0,
01/04/2022,,,19.80,19.8,20.30,20.10,,381917,0,20.10,0.30 (1.52 %),7635761200,0,
31/03/2022,,,19.90,20.00,20.70,19.80,,440319,0,19.80,-0.10 (-0.50 %),8854115000,0,
30/03/2022,,,20.9,20.9,21.0,19.9,,375459,0,19.9,-1.00 (-4.78 %),7609233600,0,
29/03/2022,,,20.4,20.1,21.2,20.9,,619016,0,20.9,0.50 (2.45 %),12801952500,0,
28/03/2022,,,20.6,20.6,21.3,20.4,,394705,0,20.4,-0.20 (-0.97 %),8102114500,0,
25/03/2022,,,21.3,21.3,21.3,20.6,,533476,0,20.6,-0.70 (-3.29 %),11008208000,0,
24/03/2022,,,21.4,21.6,21.8,21.3,,420426,0,21.3,-0.10 (-0.47 %),8974976100,0,
23/03/2022,,,21.6,22.0,22.4,21.4,,593501,0,21.4,-0.20 (-0.93 %),12772381700,0,
22/03/2022,,,19.7,19.7,21.6,21.6,,1230522,0,21.6,1.90 (9.64 %),25741312500,0,
21/03/2022,,,19.9,19.9,20.5,19.7,,503755,0,19.7,-0.20 (-1.01 %),9957588900,0,
18/03/2022,,,19.7,19.7,20.7,19.9,,581184,0,19.9,0.20 (1.02 %),11624528500,0,
17/03/2022,,,20.5,20.4,20.7,19.7,,638040,0,19.7,-0.80 (-3.90 %),12716359900,0,
16/03/2022,,,21.2,20.8,21.2,20.5,,272454,0,20.5,-0.70 (-3.30 %),5662428400,0,
15/03/2022,,,21.0,21.0,21.2,21.2,,712800,0,21.2,0.20 (0.95 %),14286090000,0,
14/03/2022,,,21.8,21.5,21.6,21.0,,1183564,0,21.0,-0.80 (-3.67 %),24459869000,0,
11/03/2022,,,24.2,24.0,24.1,21.8,,1387289,0,21.8,-2.40 (-9.92 %),31353831400,0,
10/03/2022,,,25.0,25.0,25.8,24.2,,720510,0,24.2,-0.80 (-3.20 %),17499886500,0,
09/03/2022,,,23.6,23.6,25.4,25.0,,1336710,0,25.0,1.40 (5.93 %),32084108200,0,
08/03/2022,,,25.1,26.0,26.0,23.6,,1336106,0,23.6,-1.50 (-5.98 %),32622465800,0,
07/03/2022,,,22.9,23.5,25.1,25.1,,1220785,0,25.1,2.20 (9.61 %),30110193100,0,
04/03/2022,,,22.8,23.5,24.6,22.9,,1500509,0,22.9,0.10 (0.44 %),35477350900,0,
03/03/2022,,,20.8,21.5,22.8,22.8,,1292005,0,22.8,2.00 (9.62 %),28677238700,0,
02/03/2022,,,20.1,20.4,21.2,20.8,,672418,0,20.8,0.70 (3.48 %),13889683700,0,
01/03/2022,,,19.5,21.0,21.4,20.1,,1226795,0,20.1,0.60 (3.08 %),25468535000,0,
28/02/2022,,,17.8,17.8,19.5,19.5,,1155450,0,19.5,1.70 (9.55 %),22162739300,0,
25/02/2022,,,17.1,17.4,18.3,17.8,,552075,0,17.8,0.70 (4.09 %),9882427500,0,3.0
24/02/2022,,,17.4,17.4,17.9,17.1,,589016,0,17.1,-0.30 (-1.72 %),10267720600,0,4.0
23/02/2022,,,16.1,16.1,17.7,17.4,,833527,0,17.4,1.30 (8.07 %),14392797300,0,5.0
22/02/2022,,,16.4,16.4,16.4,16.1,,196073,0,16.1,-0.30 (-1.83 %),3140466500,0,6.0
