date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,24.40,24.50,24.50,0.10 (0.41 %),,61250000,24.50,24.50,2500,0,
01/04/2022,,,0,24.20,23.5,24.70,0.50 (2.07 %),,153560000,24.70,24.70,6300,0,
31/03/2022,,,0,24.10,24.20,24.20,0.10 (0.41 %),,7260000,24.20,24.20,300,0,
30/03/2022,,,0,23.8,24.3,24.0,0.20 (0.84 %),,108290000,24.0,24.0,4500,0,
29/03/2022,,,0,24.3,23.7,23.5,-0.80 (-3.29 %),,433430000,23.5,23.5,18200,0,
28/03/2022,,,0,24.3,24.6,24.3,0.00 (0.00 %),,119170000,24.3,24.3,4900,0,
25/03/2022,,,0,24.4,24.3,24.3,-0.10 (-0.41 %),,304190000,24.3,24.3,12500,0,
24/03/2022,,,0,24.4,24.8,24.2,-0.20 (-0.82 %),,100070000,24.2,24.2,4100,0,
23/03/2022,,,0,24.6,24.6,24.5,-0.10 (-0.41 %),,124360000,24.5,24.5,5100,0,
22/03/2022,,,0,25.0,24.0,24.8,-0.20 (-0.80 %),,49190000,24.8,24.8,2000,0,
21/03/2022,,,0,25.5,25.0,24.7,-0.80 (-3.14 %),,107390000,24.7,24.7,4300,0,
18/03/2022,,,0,26.5,25.5,25.0,-1.50 (-5.66 %),,28000000,25.0,25.0,1100,0,
17/03/2022,,,0,26.6,26.6,26.0,-0.60 (-2.26 %),,53080000,26.0,26.0,2000,0,
16/03/2022,,,0,25.1,27.0,25.5,0.40 (1.59 %),,58590000,25.5,25.5,2200,0,
15/03/2022,,,0,25.1,25.1,25.3,0.20 (0.80 %),,296270000,25.3,25.3,11800,0,
14/03/2022,,,0,25.5,25.0,25.4,-0.10 (-0.39 %),,115260000,25.4,25.4,4600,0,
11/03/2022,,,0,24.2,25.5,25.5,1.30 (5.37 %),,40800000,25.5,25.5,1600,0,
10/03/2022,,,0,24.4,24.3,25.1,0.70 (2.87 %),,218150000,25.1,25.1,9000,0,
09/03/2022,,,0,25.0,24.4,24.4,-0.60 (-2.40 %),,141730000,24.4,24.4,5800,0,
08/03/2022,,,0,25.1,25.5,24.8,-0.30 (-1.20 %),,212660000,24.8,24.8,8500,0,
07/03/2022,,,0,26.4,25.4,25.5,-0.90 (-3.41 %),,160490000,25.5,25.5,6400,0,
04/03/2022,,,0,25.9,26.5,25.9,0.00 (0.00 %),,10566000,25.9,25.9,401,0,
03/03/2022,,,0,25.9,25.9,25.9,0.00 (0.00 %),,0,25.9,25.9,0,0,
02/03/2022,,,0,26.1,26.3,25.8,-0.30 (-1.15 %),,215340000,25.8,25.8,8300,0,
01/03/2022,,,0,26.5,26.0,26.0,-0.50 (-1.89 %),,276720000,26.0,26.0,10600,0,
28/02/2022,,,0,26.5,26.5,26.5,0.00 (0.00 %),,111220000,26.5,26.5,4200,0,
25/02/2022,,,0,26.4,26.4,26.8,0.40 (1.52 %),,363230000,26.8,26.8,13700,0,
24/02/2022,,,0,27.0,26.9,26.8,-0.20 (-0.74 %),,23774700,26.8,26.8,901,0,
23/02/2022,,,0,27.6,26.7,27.1,-0.50 (-1.81 %),,70263400,27.1,27.1,2602,0,
22/02/2022,,,0,27.7,27.7,27.6,-0.10 (-0.36 %),,30370000,27.6,27.6,1100,0,
21/02/2022,,,0,26.7,27.6,27.6,0.90 (3.37 %),,501254300,27.6,27.6,18101,0,
18/02/2022,,,0,25.1,25.1,27.5,2.40 (9.56 %),,879190000,27.5,27.5,32900,0,
17/02/2022,,,0,25.0,25.0,25.5,0.50 (2.00 %),,699360000,25.5,25.5,27900,0,
16/02/2022,,,0,25.1,25.0,25.0,-0.10 (-0.40 %),,130000000,25.0,25.0,5200,0,
15/02/2022,,,0,25.2,24.9,25.0,-0.20 (-0.79 %),,193470000,25.0,25.0,7700,0,
14/02/2022,,,0,24.3,24.5,24.7,0.40 (1.65 %),,470595700,24.7,24.7,18701,0,
11/02/2022,,,0,23.4,25.2,24.5,1.10 (4.70 %),,94640000,24.5,24.5,3900,0,
10/02/2022,,,0,24.5,24.2,23.0,-1.50 (-6.12 %),,493934000,23.0,23.0,21101,0,
09/02/2022,,,0,24.8,24.8,24.3,-0.50 (-2.02 %),,103070000,24.3,24.3,4200,0,
08/02/2022,,,394320000,24.9,24.9,24.7,-0.20 (-0.80 %),,369300000,24.7,24.7,14900,18600,
07/02/2022,,,0,23.1,23.3,24.7,1.60 (6.93 %),,203940000,24.7,24.7,8200,0,
28/01/2022,,,0,23.9,24.0,22.5,-1.40 (-5.86 %),,11550000,22.5,22.5,500,0,
27/01/2022,,,0,23.6,24.0,23.6,0.00 (0.00 %),,253184000,23.6,23.6,10601,0,
26/01/2022,,,0,23.7,23.6,23.5,-0.20 (-0.84 %),,18850000,23.5,23.5,800,0,
25/01/2022,,,0,23.7,26.4,23.5,-0.20 (-0.84 %),,37890000,23.5,23.5,1600,0,
24/01/2022,,,0,23.1,23.1,23.2,0.10 (0.43 %),,125430000,23.2,23.2,5300,0,
21/01/2022,,,0,23.1,23.1,23.1,0.00 (0.00 %),,32290000,23.1,23.1,1400,0,
20/01/2022,,,0,23.1,23.1,23.1,0.00 (0.00 %),,145520000,23.1,23.1,6300,0,
19/01/2022,,,0,23.1,23.1,23.1,0.00 (0.00 %),,16170000,23.1,23.1,700,0,
18/01/2022,,,0,23.1,23.1,23.1,0.00 (0.00 %),,55340000,23.1,23.1,2400,0,
14/01/2022,,,0,23.3,23.1,23.3,0.00 (0.00 %),,177800000,23.3,23.3,7700,0,
13/01/2022,,,0,23.0,23.4,23.2,0.20 (0.87 %),,16280000,23.2,23.2,700,0,
12/01/2022,,,0,23.0,23.0,23.0,0.00 (0.00 %),,57500000,23.0,23.0,2500,0,
11/01/2022,,,0,22.7,23.0,23.0,0.30 (1.32 %),,29900000,23.0,23.0,1300,0,
