date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,26.75,26.90,26.75,26.75,,14600,0,26.75,0.05 (0.19 %),390000000,0,
01/04/2022,,,26.45,26.70,26.40,26.70,,18300,0,26.70,0.20 (0.75 %),484000000,0,
31/03/2022,,,26.6,26.7,26.5,26.5,,13000,0,26.5,0.00 (0.00 %),345000000,0,
30/03/2022,,,26.8,26.9,26.5,26.5,,47800,0,26.5,-0.20 (-0.75 %),1274000000,0,
29/03/2022,,,26.9,27.2,26.7,26.7,,18100,0,26.7,-0.10 (-0.37 %),490000000,0,
28/03/2022,,,26.9,26.9,26.8,26.8,,8200,0,26.8,-0.10 (-0.37 %),220000000,0,
25/03/2022,,,27.4,27.4,26.8,26.9,,10700,0,26.9,0.10 (0.37 %),288000000,0,
24/03/2022,,,27.0,27.2,26.8,26.8,,29000,0,26.8,-0.40 (-1.47 %),782000000,0,
23/03/2022,,,27.4,27.4,26.8,27.2,,26500,0,27.2,-0.20 (-0.73 %),717000000,0,
22/03/2022,,,27.45,27.45,27.0,27.4,,15800,0,27.4,-0.10 (-0.36 %),428000000,0,
21/03/2022,,,26.9,27.45,26.8,27.45,,17200,0,27.45,0.65 (2.43 %),467000000,0,
18/03/2022,,,27.05,27.3,26.8,26.8,,24200,0,26.8,-0.50 (-1.83 %),652000000,0,
17/03/2022,,,27.2,27.4,27.1,27.3,,13700,0,27.3,0.00 (0.00 %),372000000,0,
16/03/2022,,,27.7,27.8,27.1,27.3,,21500,0,27.3,-0.30 (-1.09 %),593000000,0,
15/03/2022,,,27.4,27.7,27.0,27.6,,10300,0,27.6,0.20 (0.73 %),282000000,0,
14/03/2022,,,27.35,27.9,26.5,27.4,,35900,0,27.4,0.30 (1.11 %),987000000,0,
11/03/2022,,,27.1,27.15,27.0,27.1,,38100,0,27.1,0.00 (0.00 %),1031000000,0,
10/03/2022,,,26.9,27.1,26.7,27.05,,7900,0,27.05,-0.05 (-0.18 %),212000000,0,
09/03/2022,,,26.8,27.1,26.6,27.1,,17500,0,27.1,0.00 (0.00 %),469000000,0,
08/03/2022,,,27.1,27.1,26.85,27.1,,7300,0,27.1,-0.10 (-0.37 %),196000000,0,
07/03/2022,,,27.2,27.2,26.9,27.2,,10800,0,27.2,0.00 (0.00 %),291000000,0,
04/03/2022,,,26.9,27.3,26.8,27.2,,33000,0,27.2,0.30 (1.12 %),887000000,0,
03/03/2022,,,26.8,27.0,26.5,26.85,,19900,0,26.85,-0.05 (-0.19 %),532000000,0,
02/03/2022,,,27.0,27.0,26.5,26.85,,27400,0,26.85,-0.15 (-0.56 %),730000000,0,
01/03/2022,,,26.9,27.0,26.6,26.95,,12000,0,26.95,0.05 (0.19 %),322000000,0,
28/02/2022,,,27.0,27.0,26.5,26.9,,12500,0,26.9,-0.10 (-0.37 %),336000000,0,
25/02/2022,,,27.0,27.05,26.7,27.0,,20200,0,27.0,0.00 (0.00 %),544000000,0,
24/02/2022,,,27.5,27.5,26.6,27.0,,57600,0,27.0,-0.40 (-1.46 %),1551000000,0,
23/02/2022,,,27.2,27.4,27.0,27.4,,22200,0,27.4,0.20 (0.74 %),603000000,0,
22/02/2022,,,27.1,27.5,27.0,27.2,,14800,0,27.2,-0.20 (-0.73 %),400000000,0,
21/02/2022,,,27.4,27.6,27.25,27.35,,10600,0,27.35,0.05 (0.18 %),291000000,0,
18/02/2022,,,27.05,27.3,27.05,27.3,,24900,0,27.3,-0.20 (-0.73 %),675000000,0,
17/02/2022,,,27.1,27.7,27.0,27.5,,22400,0,27.5,-0.20 (-0.72 %),609000000,0,
16/02/2022,,,27.0,27.95,27.0,27.7,,13300,0,27.7,0.30 (1.09 %),364000000,0,
15/02/2022,,,27.0,27.4,27.0,27.4,,12300,0,27.4,0.40 (1.48 %),333000000,0,
