date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,13.80,13.80,14.40,14.10,,155857,0,14.10,0.30 (2.17 %),2172939500,0,
01/04/2022,,,14.20,14.2,14.20,13.80,,369300,0,13.80,-0.40 (-2.82 %),5041020000,0,
31/03/2022,,,14.30,14.50,14.90,14.20,,183100,0,14.20,-0.10 (-0.70 %),2634150000,0,
30/03/2022,,,15.5,15.5,15.5,14.3,,499342,0,14.3,-1.20 (-7.74 %),7324906200,0,
29/03/2022,,,15.5,15.5,15.6,15.5,,164100,0,15.5,0.00 (0.00 %),2517720000,0,
28/03/2022,,,16.0,16.0,16.0,15.5,,227800,0,15.5,-0.50 (-3.13 %),3517600000,0,
25/03/2022,,,16.2,16.1,16.4,16.0,,230800,0,16.0,-0.20 (-1.23 %),3697080000,0,
24/03/2022,,,15.5,15.6,16.4,16.2,,498140,0,16.2,0.70 (4.52 %),7972114000,0,
23/03/2022,,,15.7,15.8,16.0,15.5,,325010,0,15.5,-0.20 (-1.27 %),5114508000,0,
22/03/2022,,,15.1,15.3,15.7,15.7,,332900,0,15.7,0.60 (3.97 %),5094020000,0,
21/03/2022,,,15.5,15.6,15.8,15.1,,200100,0,15.1,-0.40 (-2.58 %),3065330000,0,
18/03/2022,,,15.3,15.3,15.9,15.5,,304000,0,15.5,0.20 (1.31 %),4691130000,0,
17/03/2022,,,15.0,15.0,16.0,15.3,,255000,0,15.3,0.30 (2.00 %),3917990000,0,
16/03/2022,,,15.0,15.0,15.4,15.0,,281154,0,15.0,0.00 (0.00 %),4208045400,0,
15/03/2022,,,15.9,15.5,15.5,15.0,,436110,0,15.0,-0.90 (-5.66 %),6505745000,0,
14/03/2022,,,17.0,16.8,17.0,15.9,,372000,0,15.9,-1.10 (-6.47 %),5975750000,0,
11/03/2022,,,17.6,17.4,18.0,17.0,,311320,0,17.0,-0.60 (-3.41 %),5429242000,0,
10/03/2022,,,16.9,16.9,18.5,17.6,,854407,0,17.6,0.70 (4.14 %),14775195500,0,
