date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,18.00,18.00,18.00,0.00 (0.00 %),,0,18.00,18.00,0,0,
01/04/2022,,,0,20.20,18.0,18.00,-2.20 (-10.89 %),,18000000,18.00,18.00,1000,0,
31/03/2022,,,0,20.20,20.20,20.20,0.00 (0.00 %),,0,20.20,20.20,0,0,
30/03/2022,,,0,20.4,20.2,20.2,-0.20 (-0.98 %),,2020000,20.2,20.2,100,0,
29/03/2022,,,0,18.5,20.2,20.2,1.70 (9.19 %),,28520000,20.2,20.2,1400,0,
28/03/2022,,,0,18.1,18.5,18.5,0.40 (2.21 %),,9250000,18.5,18.5,500,0,
25/03/2022,,,0,18.0,18.1,18.1,0.10 (0.56 %),,1810000,18.1,18.1,100,0,
24/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
23/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
22/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
21/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
18/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
17/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
16/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
15/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
14/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
11/03/2022,,,0,18.3,18.0,18.0,-0.30 (-1.64 %),,5400000,18.0,18.0,300,0,
10/03/2022,,,0,18.3,18.3,18.3,0.00 (0.00 %),,0,18.3,18.3,0,0,
09/03/2022,,,0,18.3,18.3,18.3,0.00 (0.00 %),,0,18.3,18.3,0,0,
08/03/2022,,,0,18.3,18.3,18.3,0.00 (0.00 %),,0,18.3,18.3,0,0,
07/03/2022,,,0,18.3,18.3,18.3,0.00 (0.00 %),,0,18.3,18.3,0,0,
04/03/2022,,,0,18.0,18.3,18.4,0.40 (2.22 %),,10990000,18.4,18.4,600,0,
03/03/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
02/03/2022,,,0,18.1,18.0,18.0,-0.10 (-0.55 %),,5400000,18.0,18.0,300,0,
01/03/2022,,,0,18.2,18.2,18.0,-0.20 (-1.10 %),,5420000,18.0,18.0,300,0,
28/02/2022,,,0,18.2,18.2,18.2,0.00 (0.00 %),,0,18.2,18.2,0,0,
25/02/2022,,,0,18.5,18.2,18.2,-0.30 (-1.62 %),,5460000,18.2,18.2,300,0,
24/02/2022,,,0,18.5,18.5,18.5,0.00 (0.00 %),,1850000,18.5,18.5,100,0,
23/02/2022,,,0,18.0,18.5,18.5,0.50 (2.78 %),,1850000,18.5,18.5,100,0,
22/02/2022,,,0,18.5,18.0,18.0,-0.50 (-2.70 %),,9000000,18.0,18.0,500,0,
21/02/2022,,,0,18.2,18.6,18.0,-0.20 (-1.10 %),,7380000,18.0,18.0,400,0,
18/02/2022,,,0,18.0,18.2,18.2,0.20 (1.11 %),,32760000,18.2,18.2,1800,0,
17/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
16/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
15/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
14/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
11/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
10/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
09/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
08/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
07/02/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
28/01/2022,,,0,18.0,18.0,18.0,0.00 (0.00 %),,0,18.0,18.0,0,0,
