date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,5.40,5.40,5.40,0.00 (0.00 %),,0,5.40,5.40,0,0,
01/04/2022,,,0,6.30,5.4,5.40,-0.90 (-14.29 %),,11890000,5.40,5.40,2200,0,
31/03/2022,,,0,6.30,6.30,6.30,0.00 (0.00 %),,0,6.30,6.30,0,0,
30/03/2022,,,0,6.3,6.3,6.3,0.00 (0.00 %),,0,6.3,6.3,0,0,
29/03/2022,,,0,6.3,6.3,6.3,0.00 (0.00 %),,0,6.3,6.3,0,0,
28/03/2022,,,0,6.3,6.3,6.3,0.00 (0.00 %),,0,6.3,6.3,0,0,
25/03/2022,,,0,7.3,6.3,6.3,-1.00 (-13.70 %),,1260000,6.3,6.3,200,0,
24/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
23/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
22/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
21/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
18/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
17/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
16/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
15/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
14/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
11/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
10/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
09/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
08/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
07/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
04/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
03/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
02/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
01/03/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
28/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
25/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
24/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
23/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
22/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
21/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
18/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
17/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
16/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
15/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
14/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
11/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
10/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
09/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
08/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
07/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
28/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
27/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
26/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
25/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
24/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
21/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
20/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
19/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
18/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
17/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
14/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
13/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
12/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
11/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
10/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,
07/01/2022,,,0,6.5,7.2,7.4,0.90 (13.85 %),,29850000,7.4,7.4,4100,0,
06/01/2022,,,0,6.5,6.5,6.5,0.00 (0.00 %),,0,6.5,6.5,0,0,
05/01/2022,,,0,6.5,6.5,6.5,0.00 (0.00 %),,0,6.5,6.5,0,0,
04/01/2022,,,0,6.5,6.5,6.5,0.00 (0.00 %),,0,6.5,6.5,0,0,
31/12/2021,,,0,7.0,6.6,7.2,0.20 (2.86 %),,16160000,7.2,7.2,2500,0,
30/12/2021,,,0,7.0,7.0,7.0,0.00 (0.00 %),,0,7.0,7.0,0,0,3.0
29/12/2021,,,0,7.0,7.0,7.0,0.00 (0.00 %),,0,7.0,7.0,0,0,4.0
28/12/2021,,,0,7.0,7.0,7.0,0.00 (0.00 %),,0,7.0,7.0,0,0,5.0
27/12/2021,,,0,7.0,7.0,7.0,0.00 (0.00 %),,0,7.0,7.0,0,0,6.0
24/12/2021,,,0,8.2,7.0,7.0,-1.20 (-14.63 %),,12600000,7.0,7.0,1800,0,7.0
23/12/2021,,,0,8.2,8.2,8.2,0.00 (0.00 %),,0,8.2,8.2,0,0,8.0
21/12/2021,,,0,8.2,8.2,8.2,0.00 (0.00 %),,0,8.2,8.2,0,0,9.0
20/12/2021,,,0,8.2,8.2,8.2,0.00 (0.00 %),,0,8.2,8.2,0,0,10.0
17/12/2021,,,0,7.3,8.3,8.2,0.90 (12.33 %),,2470000,8.2,8.2,300,0,11.0
16/12/2021,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,12.0
15/12/2021,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,13.0
14/12/2021,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,14.0
13/12/2021,,,0,7.3,7.3,7.3,0.00 (0.00 %),,0,7.3,7.3,0,0,15.0
10/12/2021,,,0,8.0,9.2,6.9,-1.10 (-13.75 %),,4396000,6.9,6.9,605,0,16.0
09/12/2021,,,0,8.0,8.0,8.0,0.00 (0.00 %),,0,8.0,8.0,0,0,17.0
08/12/2021,,,0,8.0,8.0,8.0,0.00 (0.00 %),,0,8.0,8.0,0,0,18.0
07/12/2021,,,0,8.0,8.0,8.0,0.00 (0.00 %),,0,8.0,8.0,0,0,19.0
06/12/2021,,,0,8.0,8.0,8.0,0.00 (0.00 %),,0,8.0,8.0,0,0,20.0
03/12/2021,,,0,7.5,7.6,8.6,1.10 (14.67 %),,15980000,8.6,8.6,2000,0,21.0
02/12/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,2.0
01/12/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,3.0
30/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,4.0
29/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,5.0
26/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,6.0
25/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,7.0
24/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,8.0
23/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,9.0
22/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,10.0
19/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,11.0
18/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,12.0
17/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,13.0
16/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,14.0
15/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,15.0
12/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,750000,7.5,7.5,100,0,16.0
11/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,17.0
10/11/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,18.0
