date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,47.95,48.50,46.00,46.10,,2772500,0,46.10,-1.20 (-2.54 %),131504000000,0,
01/04/2022,,,47.00,47.95,46.50,47.30,,2551700,0,47.30,0.10 (0.21 %),120296000000,0,
31/03/2022,,,47.0,48.45,46.85,47.15,,2884400,0,47.15,0.15 (0.32 %),136878000000,0,
30/03/2022,,,48.5,49.7,46.4,47.0,,3354700,0,47.0,-2.00 (-4.08 %),160641000000,0,
29/03/2022,,,49.9,49.9,48.5,48.95,,3034100,65000,48.95,0.45 (0.93 %),149353000000,3029000000,
28/03/2022,,,44.5,48.45,44.2,48.45,,6870800,612086,48.45,3.15 (6.95 %),323950000000,25799424900,
25/03/2022,,,46.2,47.45,45.0,45.3,,2777300,0,45.3,-0.90 (-1.95 %),128534000000,0,
24/03/2022,,,45.35,46.4,45.25,46.2,,3051700,0,46.2,1.50 (3.36 %),140516000000,0,
23/03/2022,,,43.5,45.7,43.2,44.7,,3857600,0,44.7,1.60 (3.71 %),172740000000,0,
22/03/2022,,,44.0,44.4,43.0,43.1,,2900000,0,43.1,-1.30 (-2.93 %),126336000000,0,
21/03/2022,,,42.5,44.45,42.5,44.4,,2155500,0,44.4,1.30 (3.02 %),93783000000,0,
18/03/2022,,,42.3,43.2,41.7,43.05,,2507300,0,43.05,0.75 (1.77 %),106960000000,0,
17/03/2022,,,44.4,44.65,42.3,42.3,,4011900,0,42.3,-1.80 (-4.08 %),173424000000,0,
16/03/2022,,,44.1,45.5,44.0,44.1,,2527800,0,44.1,0.00 (0.00 %),113143000000,0,
15/03/2022,,,45.4,46.5,44.0,44.1,,2678200,80000,44.1,-1.30 (-2.86 %),119646000000,3712000000,
14/03/2022,,,43.5,47.0,42.6,45.4,,5578900,0,45.4,1.10 (2.48 %),251629000000,0,
11/03/2022,,,45.3,46.05,43.55,44.3,,4501200,0,44.3,-2.20 (-4.73 %),202768000000,0,
10/03/2022,,,47.5,48.2,46.0,46.5,,6065900,0,46.5,1.20 (2.65 %),286406000000,0,
09/03/2022,,,44.9,45.25,43.4,45.25,,7319800,99000,45.25,2.95 (6.97 %),326319000000,3980800000,
08/03/2022,,,42.0,42.95,41.0,42.3,,5964400,0,42.3,1.90 (4.70 %),252029000000,0,
07/03/2022,,,39.2,40.75,38.65,40.35,,4157700,0,40.35,1.85 (4.81 %),165139000000,0,
04/03/2022,,,38.5,39.7,38.05,38.5,,2069100,75000,38.5,0.60 (1.58 %),80566000000,2853750000,
03/03/2022,,,38.2,38.3,37.0,37.9,,1272900,0,37.9,0.00 (0.00 %),48215000000,0,
02/03/2022,,,38.7,38.7,37.55,37.9,,1444200,0,37.9,-0.80 (-2.07 %),54881000000,0,
01/03/2022,,,38.85,39.0,38.5,38.7,,1151500,100000,38.7,-0.10 (-0.26 %),44597000000,3985000000,
28/02/2022,,,38.0,39.2,38.0,38.8,,1824700,0,38.8,0.70 (1.84 %),70538000000,0,
25/02/2022,,,38.0,38.5,37.8,38.1,,1619000,0,38.1,0.20 (0.53 %),61720000000,0,
24/02/2022,,,38.0,38.5,35.5,37.85,,2849500,0,37.85,-0.25 (-0.66 %),105819000000,0,
23/02/2022,,,37.4,38.25,37.3,38.1,,1803900,0,38.1,0.70 (1.87 %),68202000000,0,
22/02/2022,,,37.1,37.5,36.65,37.4,,1591800,0,37.4,-0.30 (-0.80 %),59043000000,0,
21/02/2022,,,37.9,38.5,37.65,37.7,,1088700,0,37.7,0.00 (0.00 %),41421000000,0,
18/02/2022,,,36.0,38.0,35.7,37.65,,2201500,0,37.65,1.85 (5.17 %),82235000000,0,
17/02/2022,,,36.15,36.2,35.6,35.8,,1215500,0,35.8,0.20 (0.56 %),43578000000,0,
16/02/2022,,,36.2,36.2,35.5,35.55,,1319400,0,35.55,-0.15 (-0.42 %),47153000000,0,
15/02/2022,,,35.3,36.0,35.3,35.7,,1125400,0,35.7,0.40 (1.13 %),40204000000,0,
14/02/2022,,,34.7,36.3,34.3,35.3,,936600,0,35.3,0.20 (0.57 %),33006000000,0,
11/02/2022,,,35.0,35.85,34.8,35.1,,719800,0,35.1,-0.40 (-1.13 %),25268000000,0,
10/02/2022,,,36.0,36.1,35.15,35.5,,591000,0,35.5,-0.30 (-0.84 %),20997000000,0,
09/02/2022,,,35.4,36.3,35.4,35.75,,558500,0,35.75,0.45 (1.27 %),20089000000,0,
08/02/2022,,,34.7,35.45,34.7,35.3,,623000,0,35.3,0.30 (0.86 %),21984000000,0,
07/02/2022,,,34.2,35.3,34.2,35.0,,514800,0,35.0,1.20 (3.55 %),17907000000,0,
