date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,14.70,14.70,15.50,15.50,,14200,0,15.50,0.80 (5.44 %),214060000,0,
01/04/2022,,,15.70,15.5,15.50,14.70,,31300,0,14.70,-1.00 (-6.37 %),456470000,0,
31/03/2022,,,15.90,15.00,15.70,15.70,,6700,0,15.70,-0.20 (-1.26 %),101910000,0,
30/03/2022,,,16.7,16.7,16.7,15.9,,17800,0,15.9,-0.80 (-4.79 %),287950000,0,
29/03/2022,,,15.2,15.2,16.7,16.7,,121724,0,16.7,1.50 (9.87 %),1891906000,0,
28/03/2022,,,16.3,16.3,16.3,15.2,,58233,0,15.2,-1.10 (-6.75 %),881503800,0,
25/03/2022,,,16.7,16.7,16.7,16.3,,39455,0,16.3,-0.40 (-2.40 %),647803900,0,
24/03/2022,,,17.2,17.1,17.1,16.7,,56000,0,16.7,-0.50 (-2.91 %),936340000,0,
23/03/2022,,,16.8,17.9,17.9,17.2,,46500,0,17.2,0.40 (2.38 %),779050000,0,
22/03/2022,,,17.7,16.0,17.7,16.8,,135314,0,16.8,-0.90 (-5.08 %),2288138000,0,
21/03/2022,,,19.6,17.7,18.1,17.7,,94043,0,17.7,-1.90 (-9.69 %),1665521100,0,
18/03/2022,,,19.3,19.3,21.0,19.6,,33120,0,19.6,0.30 (1.55 %),671370000,0,
17/03/2022,,,17.7,17.7,19.3,19.3,,46900,0,19.3,1.60 (9.04 %),889240000,0,
16/03/2022,,,17.6,15.9,19.3,17.7,,303216,0,17.7,0.10 (0.57 %),5021855800,0,
15/03/2022,,,19.5,17.6,17.6,17.6,,3527,0,17.6,-1.90 (-9.74 %),62075200,0,
14/03/2022,,,21.6,19.5,19.5,19.5,,1200,0,19.5,-2.10 (-9.72 %),23400000,0,
11/03/2022,,,24.0,21.6,21.6,21.6,,6700,0,21.6,-2.40 (-10.00 %),144720000,0,
10/03/2022,,,26.6,29.2,29.2,24.0,,46550,0,24.0,-2.60 (-9.77 %),1196860000,0,
09/03/2022,,,24.2,26.6,26.6,26.6,,178600,0,26.6,2.40 (9.92 %),4750760000,0,
08/03/2022,,,22.0,24.1,24.2,24.2,,112600,0,24.2,2.20 (10.00 %),2724520000,0,
07/03/2022,,,20.0,22.0,22.0,22.0,,86900,0,22.0,2.00 (10.00 %),1900160000,0,
04/03/2022,,,18.2,20.0,20.0,20.0,,138120,0,20.0,1.80 (9.89 %),2756540000,0,
03/03/2022,,,16.6,18.2,18.2,18.2,,49000,0,18.2,1.60 (9.64 %),891800000,0,
02/03/2022,,,15.1,16.6,16.6,16.6,,43000,0,16.6,1.50 (9.93 %),713020000,0,
01/03/2022,,,13.8,15.1,15.1,15.1,,52500,0,15.1,1.30 (9.42 %),792750000,0,
28/02/2022,,,12.6,13.0,13.8,13.8,,56800,0,13.8,1.20 (9.52 %),783760000,0,
25/02/2022,,,11.5,12.5,12.6,12.6,,54600,0,12.6,1.10 (9.57 %),687720000,0,3.0
24/02/2022,,,10.5,11.1,11.5,11.5,,51900,0,11.5,1.00 (9.52 %),595990000,0,4.0
23/02/2022,,,9.6,10.5,10.5,10.5,,31300,0,10.5,0.90 (9.38 %),327290000,0,5.0
22/02/2022,,,8.8,9.0,9.6,9.6,,72820,0,9.6,0.80 (9.09 %),696882000,0,6.0
21/02/2022,,,8.0,8.3,8.8,8.8,,12000,0,8.8,0.80 (10.00 %),105510000,0,7.0
18/02/2022,,,7.3,7.5,8.0,8.0,,26500,0,8.0,0.70 (9.59 %),211280000,0,8.0
17/02/2022,,,6.7,6.7,7.3,7.3,,28720,0,7.3,0.60 (8.96 %),207882000,0,9.0
16/02/2022,,,7.2,7.4,7.6,6.7,,4400,0,6.7,-0.50 (-6.94 %),31980000,0,10.0
15/02/2022,,,7.7,7.2,7.6,7.2,,1300,0,7.2,-0.50 (-6.49 %),9420000,0,11.0
14/02/2022,,,7.4,7.4,7.7,7.7,,1200,0,7.7,0.30 (4.05 %),8950000,0,12.0
11/02/2022,,,7.4,7.6,7.6,7.4,,1200,0,7.4,0.00 (0.00 %),9000000,0,13.0
10/02/2022,,,7.5,7.1,7.4,7.4,,4600,0,7.4,-0.10 (-1.33 %),32190000,0,14.0
09/02/2022,,,7.6,7.6,7.6,7.5,,1200,0,7.5,-0.10 (-1.32 %),8780000,0,15.0
08/02/2022,,,7.6,7.6,7.6,7.6,,400,0,7.6,0.00 (0.00 %),3040000,0,16.0
07/02/2022,,,7.2,7.3,7.6,7.6,,3800,0,7.6,0.40 (5.56 %),27940000,0,17.0
28/01/2022,,,7.2,7.2,7.2,7.2,,0,0,7.2,0.00 (0.00 %),0,0,18.0
27/01/2022,,,7.2,7.2,7.2,7.2,,0,0,7.2,0.00 (0.00 %),0,0,19.0
26/01/2022,,,7.2,7.2,7.2,7.2,,0,0,7.2,0.00 (0.00 %),0,0,20.0
25/01/2022,,,7.5,6.8,7.2,7.2,,27100,0,7.2,-0.30 (-4.00 %),184680000,0,21.0
24/01/2022,,,7.5,7.5,7.5,7.5,,0,0,7.5,0.00 (0.00 %),0,0,2.0
21/01/2022,,,7.3,7.2,7.5,7.5,,4100,0,7.5,0.20 (2.74 %),28750000,0,3.0
20/01/2022,,,6.8,7.0,7.3,7.3,,2000,0,7.3,0.50 (7.35 %),13940000,0,4.0
19/01/2022,,,6.8,6.5,6.8,6.8,,2300,0,6.8,0.00 (0.00 %),14940000,0,5.0
18/01/2022,,,7.0,6.4,7.0,6.8,,3100,0,6.8,-0.20 (-2.86 %),20270000,0,6.0
17/01/2022,,,7.3,7.3,7.4,7.0,,6300,0,7.0,-0.30 (-4.11 %),44010000,0,7.0
14/01/2022,,,8.1,7.5,7.5,7.3,,7200,0,7.3,-0.80 (-9.88 %),52600000,0,8.0
13/01/2022,,,9.0,8.5,8.5,8.1,,20600,0,8.1,-0.90 (-10.00 %),170040000,0,9.0
12/01/2022,,,8.5,8.6,9.2,9.0,,25600,0,9.0,0.50 (5.88 %),229930000,0,10.0
11/01/2022,,,7.8,8.4,8.5,8.5,,32800,0,8.5,0.70 (8.97 %),278600000,0,11.0
10/01/2022,,,7.1,7.1,7.8,7.8,,46100,0,7.8,0.70 (9.86 %),350240000,0,12.0
07/01/2022,,,7.2,7.1,7.2,7.1,,4700,0,7.1,-0.10 (-1.39 %),33280000,0,13.0
06/01/2022,,,7.2,7.2,7.2,7.2,,11500,0,7.2,0.00 (0.00 %),81640000,0,14.0
05/01/2022,,,7.2,7.2,7.2,7.2,,1800,0,7.2,0.00 (0.00 %),12960000,0,15.0
04/01/2022,,,7.2,7.2,7.3,7.2,,18500,0,7.2,0.00 (0.00 %),133740000,0,16.0
31/12/2021,,,7.2,7.2,7.3,7.2,,26700,0,7.2,0.00 (0.00 %),192310000,0,17.0
30/12/2021,,,7.2,7.2,7.2,7.2,,4500,0,7.2,0.00 (0.00 %),32240000,0,18.0
29/12/2021,,,7.2,7.1,7.2,7.2,,13901,0,7.2,0.00 (0.00 %),99447000,0,19.0
28/12/2021,,,7.0,7.0,7.2,7.2,,26700,0,7.2,0.20 (2.86 %),187700000,0,20.0
27/12/2021,,,7.0,7.0,7.0,7.0,,10400,0,7.0,0.00 (0.00 %),71780000,0,21.0
24/12/2021,,,7.0,7.0,7.0,7.0,,16700,0,7.0,0.00 (0.00 %),115270000,0,2.0
23/12/2021,,,7.0,7.0,7.1,7.0,,4400,0,7.0,0.00 (0.00 %),30610000,0,3.0
22/12/2021,,,7.0,6.8,7.0,7.0,,14900,0,7.0,0.00 (0.00 %),103430000,0,4.0
21/12/2021,,,7.0,7.0,7.0,7.0,,8200,0,7.0,0.00 (0.00 %),57050000,0,5.0
20/12/2021,,,6.9,6.9,7.0,7.0,,33800,0,7.0,0.10 (1.45 %),227920000,0,6.0
17/12/2021,,,6.9,6.9,6.9,6.9,,7200,0,6.9,0.00 (0.00 %),49650000,0,7.0
16/12/2021,,,7.0,7.0,7.0,6.9,,9600,0,6.9,-0.10 (-1.43 %),65450000,0,8.0
15/12/2021,,,7.0,6.9,7.0,7.0,,1400,0,7.0,0.00 (0.00 %),9630000,0,9.0
14/12/2021,,,7.3,7.1,7.1,7.0,,1200,0,7.0,-0.30 (-4.11 %),8490000,0,10.0
13/12/2021,,,7.0,6.8,7.3,7.3,,9500,0,7.3,0.30 (4.29 %),64650000,0,11.0
10/12/2021,,,6.9,6.4,7.1,7.0,,500,0,7.0,0.10 (1.45 %),3450000,0,12.0
09/12/2021,,,6.9,6.7,6.9,6.9,,2300,0,6.9,0.00 (0.00 %),15530000,0,13.0
08/12/2021,,,6.9,6.9,6.9,6.9,,0,0,6.9,0.00 (0.00 %),0,0,14.0
