date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,102.20,102.20,102.20,102.20,,0,0,102.20,0.00 (0.00 %),0,0,
01/04/2022,,,105.00,116.30,102.20,102.20,,4500,0,102.20,-6.50 (-5.98 %),516000000,0,
31/03/2022,,,108.7,108.7,108.7,108.7,,200,0,108.7,7.10 (6.99 %),21000000,0,
30/03/2022,,,101.6,101.6,101.6,101.6,,100,0,101.6,-7.30 (-6.70 %),10000000,0,3.0
29/03/2022,,,96.1,108.9,96.0,108.9,,1100,0,108.9,7.10 (6.97 %),110000000,0,4.0
28/03/2022,,,101.8,101.8,101.8,101.8,,0,0,101.8,0.00 (0.00 %),0,0,5.0
25/03/2022,,,101.8,101.8,101.8,101.8,,100,0,101.8,0.10 (0.10 %),10000000,0,6.0
24/03/2022,,,101.8,101.8,101.7,101.7,,300,0,101.7,0.00 (0.00 %),30000000,0,7.0
23/03/2022,,,101.7,101.7,101.7,101.7,,100,0,101.7,0.00 (0.00 %),10000000,0,8.0
22/03/2022,,,116.6,116.6,101.4,101.7,,60100,0,101.7,-7.30 (-6.70 %),6398000000,0,9.0
21/03/2022,,,109.0,109.0,109.0,109.0,,200,0,109.0,6.70 (6.55 %),21000000,0,10.0
18/03/2022,,,107.8,107.8,102.3,102.3,,400,0,102.3,0.00 (0.00 %),41000000,0,11.0
17/03/2022,,,100.8,100.8,100.8,100.8,,0,0,100.8,0.00 (0.00 %),0,0,12.0
16/03/2022,,,102.3,102.3,102.3,102.3,,0,0,100.8,0.00 (0.00 %),0,0,13.0
15/03/2022,,,102.3,102.3,102.3,102.3,,0,0,100.8,0.00 (0.00 %),0,0,14.0
14/03/2022,,,115.0,117.0,102.3,102.3,,1100,0,100.8,-7.70 (-7.00 %),126000000,0,15.0
11/03/2022,,,110.0,110.0,110.0,110.0,,0,0,108.38,0.00 (0.00 %),0,0,16.0
10/03/2022,,,110.0,110.0,110.0,110.0,,100,0,108.38,-0.10 (-0.09 %),11000000,0,17.0
09/03/2022,,,110.0,110.1,96.6,110.1,,500,0,108.48,7.20 (7.00 %),53000000,0,18.0
08/03/2022,,,102.9,102.9,102.9,102.9,,100,0,101.39,6.70 (6.96 %),10000000,0,19.0
07/03/2022,,,110.0,110.2,96.2,96.2,,700,0,94.79,-6.80 (-6.60 %),75000000,0,20.0
04/03/2022,,,103.0,103.0,103.0,103.0,,1100,0,101.49,6.20 (6.40 %),113000000,0,21.0
03/03/2022,,,96.8,96.8,96.8,96.8,,0,0,95.38,0.00 (0.00 %),0,0,2.0
02/03/2022,,,96.8,96.8,96.8,96.8,,100,0,95.38,-7.00 (-6.74 %),9000000,0,3.0
01/03/2022,,,103.8,103.8,103.8,103.8,,800,0,102.27,6.70 (6.90 %),83000000,0,4.0
28/02/2022,,,97.1,97.1,97.1,97.1,,0,0,95.67,0.00 (0.00 %),0,0,5.0
25/02/2022,,,110.0,110.2,96.1,97.1,,1000,0,95.67,-5.90 (-5.73 %),103000000,0,6.0
24/02/2022,,,103.0,103.0,103.0,103.0,,0,0,101.49,0.00 (0.00 %),0,0,7.0
23/02/2022,,,103.0,103.0,103.0,103.0,,100,0,101.49,0.10 (0.10 %),10000000,0,8.0
22/02/2022,,,102.9,102.9,102.9,102.9,,500,0,101.39,6.70 (6.96 %),51000000,0,9.0
21/02/2022,,,96.2,96.2,96.2,96.2,,0,0,94.79,0.00 (0.00 %),0,0,10.0
18/02/2022,,,96.2,96.2,96.2,96.2,,0,0,94.79,0.00 (0.00 %),0,0,11.0
17/02/2022,,,98.9,98.9,96.2,96.2,,400,0,94.79,-2.80 (-2.83 %),39000000,0,12.0
16/02/2022,,,99.0,99.0,99.0,99.0,,100,0,97.54,-7.40 (-6.95 %),9000000,0,13.0
15/02/2022,,,106.4,106.4,106.4,106.4,,200,0,104.84,-0.40 (-0.37 %),21000000,0,14.0
14/02/2022,,,106.8,106.8,106.8,106.8,,0,0,105.23,0.00 (0.00 %),0,0,15.0
11/02/2022,,,101.3,106.8,101.3,106.8,,200,0,105.23,-2.10 (-1.93 %),20000000,0,16.0
10/02/2022,,,101.0,108.9,95.7,108.9,,1100,0,107.3,6.90 (6.76 %),111000000,0,17.0
09/02/2022,,,93.3,102.8,93.3,102.0,,1700,0,100.5,5.90 (6.14 %),168000000,0,18.0
08/02/2022,,,100.0,102.7,96.1,96.1,,4000,0,94.69,0.10 (0.10 %),405000000,0,19.0
07/02/2022,,,96.0,96.0,96.0,96.0,,0,0,94.59,0.00 (0.00 %),0,0,20.0
28/01/2022,,,96.0,96.0,96.0,96.0,,1000,0,94.59,0.00 (0.00 %),96000000,0,21.0
27/01/2022,,,96.0,96.0,96.0,96.0,,0,0,94.59,0.00 (0.00 %),0,0,2.0
26/01/2022,,,96.0,96.0,96.0,96.0,,200,0,94.59,-2.00 (-2.04 %),19000000,0,3.0
25/01/2022,,,98.0,98.0,98.0,98.0,,4000,0,96.56,2.00 (2.08 %),392000000,0,4.0
24/01/2022,,,93.8,96.0,93.8,96.0,,2600,0,94.59,-3.00 (-3.03 %),249000000,0,5.0
21/01/2022,,,99.0,99.0,99.0,99.0,,0,0,97.54,0.00 (0.00 %),0,0,6.0
20/01/2022,,,97.0,97.0,94.1,94.1,,29600,44315,92.72,-2.00 (-2.08 %),2867000000,4298555000,7.0
19/01/2022,,,96.0,102.7,94.2,96.1,,806700,57395,94.69,0.10 (0.10 %),78270000000,5567315000,8.0
18/01/2022,,,98.0,98.0,96.0,96.0,,2500,0,94.59,0.00 (0.00 %),241000000,0,9.0
17/01/2022,,,96.0,96.0,96.0,96.0,,0,0,94.59,0.00 (0.00 %),0,0,10.0
14/01/2022,,,95.0,96.1,95.0,96.0,,2300,0,94.59,0.00 (0.00 %),220000000,0,11.0
13/01/2022,,,98.0,98.0,96.0,96.0,,800,0,94.59,-2.00 (-2.04 %),77000000,0,12.0
12/01/2022,,,99.8,99.8,98.0,98.0,,200,0,96.56,-1.90 (-1.90 %),19000000,0,13.0
11/01/2022,,,99.9,99.9,99.9,99.9,,0,0,98.43,0.00 (0.00 %),0,0,14.0
10/01/2022,,,99.9,99.9,99.9,99.9,,0,0,98.43,0.00 (0.00 %),0,0,15.0
07/01/2022,,,99.9,99.9,99.9,99.9,,0,0,98.43,0.00 (0.00 %),0,0,16.0
06/01/2022,,,99.9,99.9,99.9,99.9,,0,0,98.43,0.00 (0.00 %),0,0,17.0
05/01/2022,,,99.9,99.9,99.9,99.9,,100,0,98.43,3.50 (3.63 %),9000000,0,18.0
04/01/2022,,,93.1,96.4,93.0,96.4,,1900,0,94.98,3.30 (3.54 %),178000000,0,19.0
31/12/2021,,,93.1,93.1,93.1,93.1,,0,0,91.73,0.00 (0.00 %),0,0,20.0
30/12/2021,,,93.1,93.1,93.1,93.1,,0,0,91.73,0.00 (0.00 %),0,0,21.0
29/12/2021,,,93.1,93.1,93.1,93.1,,100,0,91.73,0.00 (0.00 %),9000000,0,2.0
28/12/2021,,,93.1,93.1,93.1,93.1,,200,0,91.73,-6.90 (-6.90 %),18000000,0,3.0
27/12/2021,,,100.0,100.0,100.0,100.0,,0,0,98.53,0.00 (0.00 %),0,0,4.0
24/12/2021,,,100.0,100.0,100.0,100.0,,0,0,98.53,0.00 (0.00 %),0,0,5.0
23/12/2021,,,100.0,100.0,100.0,100.0,,0,0,98.53,0.00 (0.00 %),0,0,6.0
22/12/2021,,,100.0,100.0,100.0,100.0,,1000,0,98.53,0.00 (0.00 %),100000000,0,7.0
21/12/2021,,,100.0,100.0,100.0,100.0,,0,0,98.53,0.00 (0.00 %),0,0,8.0
20/12/2021,,,100.0,100.0,100.0,100.0,,0,0,98.53,0.00 (0.00 %),0,0,9.0
17/12/2021,,,100.0,100.0,100.0,100.0,,400,0,98.53,0.60 (0.60 %),40000000,0,10.0
16/12/2021,,,99.4,99.4,99.4,99.4,,0,0,97.94,0.00 (0.00 %),0,0,11.0
15/12/2021,,,99.4,99.4,99.4,99.4,,600,0,97.94,6.40 (6.88 %),59000000,0,12.0
14/12/2021,,,93.0,93.0,93.0,93.0,,300,0,91.63,-0.10 (-0.11 %),27000000,0,13.0
13/12/2021,,,93.1,93.1,93.1,93.1,,0,0,91.73,0.00 (0.00 %),0,0,14.0
10/12/2021,,,95.0,95.0,93.1,93.1,,8000,0,91.73,-1.50 (-1.59 %),753000000,0,15.0
09/12/2021,,,100.0,101.2,88.3,94.6,,13200,0,93.21,0.00 (0.00 %),1325000000,0,16.0
08/12/2021,,,94.6,94.6,94.6,94.6,,0,0,93.21,0.00 (0.00 %),0,0,17.0
07/12/2021,,,94.6,94.6,94.6,94.6,,0,0,93.21,0.00 (0.00 %),0,0,18.0
06/12/2021,,,94.6,94.6,94.6,94.6,,200,0,93.21,0.10 (0.11 %),18000000,0,19.0
03/12/2021,,,94.5,94.5,94.5,94.5,,0,0,93.11,0.00 (0.00 %),0,0,20.0
02/12/2021,,,94.5,94.5,94.5,94.5,,0,0,93.11,0.00 (0.00 %),0,0,21.0
01/12/2021,,,94.5,94.5,94.5,94.5,,0,0,93.11,0.00 (0.00 %),0,0,2.0
30/11/2021,,,94.5,94.5,94.5,94.5,,0,0,93.11,0.00 (0.00 %),0,0,3.0
29/11/2021,,,94.5,94.5,94.5,94.5,,100,0,93.11,-5.20 (-5.22 %),9000000,0,4.0
26/11/2021,,,99.7,99.7,99.7,99.7,,400,0,98.23,-7.30 (-6.82 %),39000000,0,5.0
25/11/2021,,,107.0,107.0,107.0,107.0,,0,0,105.43,0.00 (0.00 %),0,0,6.0
24/11/2021,,,107.0,107.0,107.0,107.0,,0,0,105.43,0.00 (0.00 %),0,0,7.0
23/11/2021,,,107.0,107.0,107.0,107.0,,100,0,105.43,7.00 (7.00 %),10000000,0,8.0
22/11/2021,,,100.0,100.0,100.0,100.0,,0,0,98.53,0.00 (0.00 %),0,0,9.0
19/11/2021,,,100.9,100.9,100.0,100.0,,300,0,98.53,-0.90 (-0.89 %),30000000,0,10.0
