date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,10.80,11.90,11.60,0.80 (7.41 %),,2525852000,11.60,11.60,220340,0,
01/04/2022,,,0,11.20,11.1,11.20,0.00 (0.00 %),,6931570000,11.20,11.20,640010,0,
31/03/2022,,,0,11.70,11.70,11.10,-0.60 (-5.13 %),,6711370000,11.10,11.10,599100,0,
30/03/2022,,,0,12.1,12.0,11.5,-0.60 (-4.96 %),,6709550000,11.5,11.5,574400,0,
29/03/2022,,,0,11.9,12.0,12.2,0.30 (2.52 %),,4378615000,12.2,12.2,362150,0,
28/03/2022,,,0,12.4,12.4,12.0,-0.40 (-3.23 %),,8853980000,12.0,12.0,741800,0,
25/03/2022,,,0,12.4,12.4,12.5,0.10 (0.81 %),,4806070000,12.5,12.5,387600,0,
24/03/2022,,,0,12.2,12.3,12.6,0.40 (3.28 %),,8065152500,12.6,12.6,651365,0,
23/03/2022,,,0,12.3,12.4,12.2,-0.10 (-0.81 %),,6278380000,12.2,12.2,514700,0,
22/03/2022,,,0,12.2,12.4,12.3,0.10 (0.82 %),,7559472000,12.3,12.3,615980,0,
21/03/2022,,,0,12.3,12.4,12.3,0.00 (0.00 %),,7149260000,12.3,12.3,587100,0,
18/03/2022,,,0,12.0,12.1,12.3,0.30 (2.50 %),,6018246800,12.3,12.3,488707,0,
17/03/2022,,,0,12.1,12.1,12.1,0.00 (0.00 %),,5843200000,12.1,12.1,485500,0,
16/03/2022,,,0,11.6,11.8,12.1,0.50 (4.31 %),,3056330000,12.1,12.1,253300,0,
15/03/2022,,,0,11.9,11.6,12.0,0.10 (0.84 %),,7395343200,12.0,12.0,635465,0,
14/03/2022,,,0,13.0,12.6,11.6,-1.40 (-10.77 %),,12005480000,11.6,11.6,1006600,0,
11/03/2022,,,0,13.1,13.1,12.8,-0.30 (-2.29 %),,11412100000,12.8,12.8,875700,0,
10/03/2022,,,0,13.4,13.4,13.2,-0.20 (-1.49 %),,9310576000,13.2,13.2,710816,0,
09/03/2022,,,0,14.1,14.0,13.6,-0.50 (-3.55 %),,15030824300,13.6,13.6,1117781,0,
08/03/2022,,,0,14.4,14.7,13.8,-0.60 (-4.17 %),,16274685000,13.8,13.8,1151510,0,
07/03/2022,,,0,13.6,13.6,14.6,1.00 (7.35 %),,28964983400,14.6,14.6,2017850,0,
04/03/2022,,,0,13.5,13.7,13.6,0.10 (0.74 %),,8234947600,13.6,13.6,607424,0,
03/03/2022,,,0,13.5,13.5,13.7,0.20 (1.48 %),,14407151200,13.7,13.7,1063754,0,
02/03/2022,,,0,13.0,13.1,13.2,0.20 (1.54 %),,12063374000,13.2,13.2,896706,0,
01/03/2022,,,0,13.1,13.2,13.1,0.00 (0.00 %),,7966430000,13.1,13.1,614600,0,
28/02/2022,,,0,12.6,12.8,13.1,0.50 (3.97 %),,11268673200,13.1,13.1,863508,0,
