date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,17.15,17.20,17.15,17.20,,700,0,17.20,0.00 (0.00 %),12000000,0,
01/04/2022,,,16.40,17.30,16.40,17.20,,2900,0,17.20,-0.10 (-0.58 %),48000000,0,
31/03/2022,,,18.45,18.45,17.3,17.3,,2300,0,17.3,-1.20 (-6.49 %),41000000,0,
30/03/2022,,,17.5,18.5,17.4,18.45,,11300,0,18.45,1.05 (6.03 %),199000000,0,
29/03/2022,,,17.3,17.4,17.3,17.4,,4000,0,17.4,-0.60 (-3.33 %),69000000,0,
28/03/2022,,,17.2,17.95,17.1,17.95,,4400,0,17.95,0.45 (2.57 %),75000000,0,
25/03/2022,,,17.55,18.0,17.5,17.5,,5300,0,17.5,-0.40 (-2.23 %),93000000,0,
24/03/2022,,,19.0,19.0,17.9,17.9,,6300,0,17.9,-0.30 (-1.65 %),113000000,0,
23/03/2022,,,18.1,18.3,18.1,18.2,,2200,0,18.2,0.00 (0.00 %),40000000,0,
22/03/2022,,,18.0,18.9,18.0,18.2,,3500,71919,18.2,0.10 (0.55 %),63000000,1215431100,
21/03/2022,,,18.3,18.3,17.8,18.05,,16400,0,18.05,-1.05 (-5.50 %),295000000,0,
18/03/2022,,,19.65,19.65,19.1,19.1,,1700,0,19.1,-0.50 (-2.55 %),32000000,0,
17/03/2022,,,19.6,19.6,18.2,19.6,,4200,418758,19.6,0.10 (0.51 %),79000000,7642333500,
16/03/2022,,,18.25,19.5,17.0,19.5,,12500,168100,19.5,1.20 (6.56 %),222000000,2874510000,
15/03/2022,,,18.5,18.5,18.25,18.25,,6300,0,18.25,-1.35 (-6.89 %),115000000,0,
14/03/2022,,,20.9,20.9,19.6,19.6,,3900,0,19.6,-1.50 (-7.11 %),77000000,0,
11/03/2022,,,24.1,24.1,21.0,21.05,,31300,423551,21.05,-1.55 (-6.86 %),715000000,8936926100,
10/03/2022,,,22.55,22.55,22.55,22.55,,17400,0,22.55,1.45 (6.87 %),392000000,0,
09/03/2022,,,21.1,21.1,21.1,21.1,,13800,0,21.1,1.30 (6.57 %),291000000,0,
08/03/2022,,,18.8,19.8,18.8,19.75,,14700,0,19.75,0.95 (5.05 %),282000000,0,
07/03/2022,,,17.6,18.8,17.6,18.8,,9700,0,18.8,1.20 (6.82 %),177000000,0,
04/03/2022,,,17.4,17.8,17.3,17.6,,5700,0,17.6,0.30 (1.73 %),99000000,0,
03/03/2022,,,19.25,19.25,16.75,17.3,,6500,0,17.3,-0.70 (-3.89 %),117000000,0,
02/03/2022,,,19.0,19.0,17.7,18.0,,11100,0,18.0,-1.00 (-5.26 %),198000000,0,
01/03/2022,,,19.1,19.1,17.9,19.0,,2900,0,19.0,0.00 (0.00 %),54000000,0,
28/02/2022,,,18.95,18.95,18.9,18.95,,18700,0,18.95,1.15 (6.46 %),354000000,0,
25/02/2022,,,16.8,17.75,16.8,17.75,,9000,0,17.75,1.15 (6.93 %),156000000,0,
24/02/2022,,,16.9,16.9,16.5,16.6,,2200,0,16.6,-0.40 (-2.35 %),36000000,0,
23/02/2022,,,15.9,16.95,15.9,16.95,,1400,0,16.95,1.05 (6.60 %),22000000,0,
22/02/2022,,,15.9,15.9,15.9,15.9,,600,0,15.9,0.00 (0.00 %),9000000,0,
21/02/2022,,,15.8,15.9,15.8,15.9,,700,0,15.9,0.10 (0.63 %),11000000,0,
18/02/2022,,,15.8,15.8,15.8,15.8,,300,0,15.8,0.10 (0.64 %),4000000,0,
17/02/2022,,,15.6,15.7,15.6,15.7,,400,0,15.7,0.10 (0.64 %),6000000,0,
16/02/2022,,,15.7,15.7,15.6,15.6,,700,0,15.6,-0.10 (-0.64 %),10000000,0,
15/02/2022,,,15.5,15.7,15.5,15.7,,900,0,15.7,0.30 (1.95 %),14000000,0,
14/02/2022,,,16.3,16.3,15.4,15.4,,2200,0,15.4,-0.90 (-5.52 %),34000000,0,
11/02/2022,,,16.3,16.3,16.3,16.3,,100,0,16.3,-0.10 (-0.61 %),1000000,0,
10/02/2022,,,16.3,16.4,16.2,16.4,,600,0,16.4,0.10 (0.61 %),9000000,0,
09/02/2022,,,16.3,16.3,16.2,16.3,,500,0,16.3,0.00 (0.00 %),8000000,0,
08/02/2022,,,16.3,16.3,16.3,16.3,,200,0,16.3,0.10 (0.62 %),3000000,0,
07/02/2022,,,16.2,16.2,16.1,16.2,,700,0,16.2,0.10 (0.62 %),11000000,0,
28/01/2022,,,16.0,16.1,16.0,16.1,,500,0,16.1,0.10 (0.63 %),8000000,0,
27/01/2022,,,16.1,16.1,16.0,16.0,,1700,0,16.0,-0.10 (-0.62 %),27000000,0,
26/01/2022,,,16.0,16.1,15.9,16.1,,800,0,16.1,0.10 (0.63 %),12000000,0,
25/01/2022,,,16.5,16.6,16.0,16.0,,2300,0,16.0,-0.50 (-3.03 %),37000000,0,
24/01/2022,,,16.5,16.5,16.5,16.5,,100,0,16.5,0.10 (0.61 %),1000000,0,
21/01/2022,,,16.4,16.4,16.2,16.4,,1000,0,16.4,0.00 (0.00 %),16000000,0,
20/01/2022,,,16.3,16.3,16.2,16.2,,1300,0,16.2,-0.10 (-0.61 %),21000000,0,
19/01/2022,,,16.4,16.4,16.1,16.3,,3100,0,16.3,-0.10 (-0.61 %),50000000,0,
18/01/2022,,,16.5,16.5,16.4,16.4,,400,0,16.4,-0.10 (-0.61 %),6000000,0,
17/01/2022,,,16.8,16.8,16.5,16.5,,1800,0,16.5,-0.30 (-1.79 %),29000000,0,
14/01/2022,,,16.8,16.8,16.8,16.8,,200,0,16.8,0.00 (0.00 %),3000000,0,
13/01/2022,,,16.8,16.8,16.3,16.8,,4200,0,16.8,0.00 (0.00 %),69000000,0,
12/01/2022,,,16.8,16.8,16.8,16.8,,100,0,16.8,0.00 (0.00 %),1000000,0,
11/01/2022,,,16.8,16.8,16.8,16.8,,300,0,16.8,0.10 (0.60 %),5000000,0,
10/01/2022,,,16.8,16.8,16.7,16.7,,800,0,16.7,-0.10 (-0.60 %),13000000,0,
07/01/2022,,,16.75,16.8,16.6,16.8,,1200,0,16.8,0.00 (0.00 %),20000000,0,
06/01/2022,,,16.8,17.0,16.7,16.75,,3700,0,16.75,0.05 (0.30 %),62000000,0,
05/01/2022,,,16.9,17.0,16.7,16.7,,1600,0,16.7,-0.20 (-1.18 %),26000000,0,
04/01/2022,,,16.9,16.9,16.9,16.9,,500,0,16.9,0.00 (0.00 %),8000000,0,
31/12/2021,,,16.9,16.9,16.9,16.9,,100,0,16.9,0.00 (0.00 %),1000000,0,
30/12/2021,,,17.0,17.1,16.8,16.9,,800,0,16.9,-0.10 (-0.59 %),13000000,0,3.0
