date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,18.30,18.20,18.20,-0.10 (-0.55 %),,1820000,18.20,18.20,100,0,
01/04/2022,,,0,18.30,18.3,18.30,0.00 (0.00 %),,0,18.30,18.30,0,0,
31/03/2022,,,0,16.00,18.30,18.30,2.30 (14.38 %),,7320000,18.30,18.30,400,0,
30/03/2022,,,0,14.4,15.3,16.1,1.70 (11.81 %),,52710000,16.1,16.1,3300,0,
29/03/2022,,,0,15.4,15.3,15.1,-0.30 (-1.95 %),,12940000,15.1,15.1,900,0,
28/03/2022,,,0,13.9,15.6,14.4,0.50 (3.60 %),,16950000,14.4,14.4,1100,0,
25/03/2022,,,0,14.0,15.5,13.0,-1.00 (-7.14 %),,9730000,13.0,13.0,700,0,
24/03/2022,,,0,14.3,15.8,14.9,0.60 (4.20 %),,18220000,14.9,14.9,1300,0,
23/03/2022,,,0,12.9,14.3,14.3,1.40 (10.85 %),,8580000,14.3,14.3,600,0,
22/03/2022,,,0,14.8,12.6,14.8,0.00 (0.00 %),,21900000,14.8,14.8,1700,0,
21/03/2022,,,0,14.8,14.8,14.8,0.00 (0.00 %),,0,14.8,14.8,0,0,
18/03/2022,,,0,13.0,14.9,14.7,1.70 (13.08 %),,20760000,14.7,14.7,1400,0,
17/03/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
16/03/2022,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,
15/03/2022,,,0,13.5,13.0,13.0,-0.50 (-3.70 %),,1300000,13.0,13.0,100,0,
14/03/2022,,,0,13.5,13.5,13.5,0.00 (0.00 %),,0,13.5,13.5,0,0,
11/03/2022,,,0,12.0,13.5,13.4,1.40 (11.67 %),,2690000,13.4,13.4,200,0,
10/03/2022,,,0,12.0,11.9,12.0,0.00 (0.00 %),,3864000,12.0,12.0,323,0,
09/03/2022,,,0,13.9,12.1,11.9,-2.00 (-14.39 %),,3600000,11.9,11.9,300,0,
08/03/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
07/03/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
04/03/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,5560000,13.9,13.9,400,0,
03/03/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
02/03/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
01/03/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
28/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,79500,13.9,13.9,5,0,
25/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,11120000,13.9,13.9,800,0,
24/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,1390000,13.9,13.9,100,0,
23/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
22/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
21/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
18/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
17/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
16/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
15/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
14/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
11/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
10/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
09/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
08/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
07/02/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
28/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
27/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
26/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
25/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
24/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
21/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
20/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
19/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
18/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
17/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
14/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
13/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
12/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
11/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
10/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
07/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
06/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
05/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
04/01/2022,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
31/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,
30/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,3.0
29/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,4.0
28/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,5.0
27/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,6.0
24/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,7.0
23/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,8.0
21/12/2021,,,0,14.9,13.9,13.9,-1.00 (-6.71 %),,15388000,13.9,13.9,1107,0,9.0
20/12/2021,,,0,14.9,14.9,14.9,0.00 (0.00 %),,0,14.9,14.9,0,0,10.0
17/12/2021,,,0,14.9,14.9,14.9,0.00 (0.00 %),,0,14.9,14.9,0,0,11.0
16/12/2021,,,0,14.9,14.9,14.9,0.00 (0.00 %),,280000,14.9,14.9,20,0,12.0
15/12/2021,,,0,14.9,14.9,14.9,0.00 (0.00 %),,0,14.9,14.9,0,0,13.0
14/12/2021,,,0,14.9,14.9,14.9,0.00 (0.00 %),,0,14.9,14.9,0,0,14.0
13/12/2021,,,0,13.0,14.9,14.9,1.90 (14.62 %),,5960000,14.9,14.9,400,0,15.0
10/12/2021,,,0,13.0,13.0,13.0,0.00 (0.00 %),,0,13.0,13.0,0,0,16.0
09/12/2021,,,0,13.9,13.0,13.0,-0.90 (-6.47 %),,2600000,13.0,13.0,200,0,17.0
08/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,18.0
07/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,19.0
06/12/2021,,,0,13.9,13.9,13.9,0.00 (0.00 %),,0,13.9,13.9,0,0,20.0
03/12/2021,,,0,14.2,13.5,14.3,0.10 (0.70 %),,2780000,14.3,14.3,200,0,21.0
02/12/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,2.0
01/12/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,3.0
30/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,4.0
29/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,5.0
26/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,6.0
25/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,7.0
24/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,8.0
23/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,9.0
22/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,10.0
19/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,11.0
18/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,12.0
17/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,13.0
16/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,14.0
15/11/2021,,,0,14.2,14.2,14.2,0.00 (0.00 %),,0,14.2,14.2,0,0,15.0
12/11/2021,,,0,15.9,13.7,16.7,0.80 (5.03 %),,8737600,16.7,16.7,616,0,16.0
11/11/2021,,,0,15.9,15.9,15.9,0.00 (0.00 %),,0,15.9,15.9,0,0,17.0
10/11/2021,,,0,15.9,15.9,15.9,0.00 (0.00 %),,13600,15.9,15.9,1,0,18.0
09/11/2021,,,0,15.9,15.9,15.9,0.00 (0.00 %),,0,15.9,15.9,0,0,19.0
08/11/2021,,,0,14.0,15.9,15.9,1.90 (13.57 %),,1590000,15.9,15.9,100,0,20.0
05/11/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,21.0
04/11/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,2.0
03/11/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,3.0
02/11/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,4.0
01/11/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,5.0
29/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,6.0
28/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,168000,14.0,14.0,12,0,7.0
27/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,8.0
26/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,9.0
25/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,1414000,14.0,14.0,101,0,10.0
22/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,11.0
21/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,12.0
20/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,13.0
19/10/2021,,,0,14.0,14.0,14.0,0.00 (0.00 %),,0,14.0,14.0,0,0,14.0
18/10/2021,,,0,12.2,14.0,14.0,1.80 (14.75 %),,1400000,14.0,14.0,100,0,15.0
15/10/2021,,,0,12.2,12.2,12.2,0.00 (0.00 %),,0,12.2,12.2,0,0,16.0
14/10/2021,,,0,12.2,12.2,12.2,0.00 (0.00 %),,554100,12.2,12.2,49,0,17.0
13/10/2021,,,0,12.2,12.2,12.2,0.00 (0.00 %),,0,12.2,12.2,0,0,18.0
12/10/2021,,,0,12.2,12.2,12.2,0.00 (0.00 %),,0,12.2,12.2,0,0,19.0
11/10/2021,,,0,12.2,12.2,12.2,0.00 (0.00 %),,0,12.2,12.2,0,0,20.0
08/10/2021,,,0,12.2,12.2,12.2,0.00 (0.00 %),,0,12.2,12.2,0,0,21.0
07/10/2021,,,0,13.6,12.2,12.2,-1.40 (-10.29 %),,1220000,12.2,12.2,100,0,2.0
06/10/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,0,13.6,13.6,0,0,3.0
05/10/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,235900,13.6,13.6,20,0,4.0
04/10/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,0,13.6,13.6,0,0,5.0
01/10/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,0,13.6,13.6,0,0,6.0
30/09/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,0,13.6,13.6,0,0,7.0
29/09/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,27200,13.6,13.6,2,0,8.0
28/09/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,0,13.6,13.6,0,0,9.0
27/09/2021,,,0,13.6,13.6,13.6,0.00 (0.00 %),,0,13.6,13.6,0,0,10.0
24/09/2021,,,0,16.0,13.6,13.6,-2.40 (-15.00 %),,8160000,13.6,13.6,600,0,11.0
23/09/2021,,,0,16.0,16.0,16.0,0.00 (0.00 %),,0,16.0,16.0,0,0,12.0
22/09/2021,,,0,16.0,16.0,16.0,0.00 (0.00 %),,0,16.0,16.0,0,0,13.0
21/09/2021,,,0,16.0,16.0,16.0,0.00 (0.00 %),,753900,16.0,16.0,55,0,14.0
20/09/2021,,,0,16.0,16.0,16.0,0.00 (0.00 %),,0,16.0,16.0,0,0,15.0
17/09/2021,,,0,16.0,16.0,16.0,0.00 (0.00 %),,0,16.0,16.0,0,0,16.0
16/09/2021,,,0,16.0,16.0,16.0,0.00 (0.00 %),,137400,16.0,16.0,10,0,17.0
15/09/2021,,,0,16.0,16.0,16.0,0.00 (0.00 %),,0,16.0,16.0,0,0,18.0
