date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,7.60,7.90,8.00,0.40 (5.26 %),,17580000,8.00,8.00,2200,0,
01/04/2022,,,0,7.60,7.6,7.60,0.00 (0.00 %),,349600,7.60,7.60,46,0,
31/03/2022,,,0,7.70,7.60,7.60,-0.10 (-1.30 %),,57205200,7.60,7.60,7527,0,
30/03/2022,,,0,7.8,7.7,7.7,-0.10 (-1.28 %),,3080000,7.7,7.7,400,0,
29/03/2022,,,0,7.8,7.8,7.8,0.00 (0.00 %),,0,7.8,7.8,0,0,
28/03/2022,,,0,7.8,7.9,7.8,0.00 (0.00 %),,4690000,7.8,7.8,600,0,
25/03/2022,,,0,7.8,7.8,7.8,0.00 (0.00 %),,156000,7.8,7.8,20,0,
24/03/2022,,,0,8.3,7.8,7.8,-0.50 (-6.02 %),,3330600,7.8,7.8,427,0,
23/03/2022,,,0,8.3,8.3,8.3,0.00 (0.00 %),,0,8.3,8.3,0,0,
22/03/2022,,,0,7.6,8.3,8.3,0.70 (9.21 %),,1660000,8.3,8.3,200,0,
21/03/2022,,,0,7.8,7.6,7.6,-0.20 (-2.56 %),,760000,7.6,7.6,100,0,
18/03/2022,,,0,7.9,8.1,7.7,-0.20 (-2.53 %),,2350000,7.7,7.7,300,0,
17/03/2022,,,0,7.8,8.0,7.7,-0.10 (-1.28 %),,36930000,7.7,7.7,4700,0,
16/03/2022,,,0,7.8,7.8,7.8,0.00 (0.00 %),,0,7.8,7.8,0,0,
15/03/2022,,,0,7.3,7.9,7.9,0.60 (8.22 %),,14860000,7.9,7.9,1900,0,
14/03/2022,,,0,7.4,7.3,7.3,-0.10 (-1.35 %),,15330000,7.3,7.3,2100,0,
11/03/2022,,,0,7.5,7.4,7.4,-0.10 (-1.33 %),,8140000,7.4,7.4,1100,0,
10/03/2022,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,
09/03/2022,,,0,7.7,7.5,8.0,0.30 (3.90 %),,6030000,8.0,8.0,800,0,
08/03/2022,,,0,7.7,7.7,7.7,0.00 (0.00 %),,0,7.7,7.7,0,0,
07/03/2022,,,0,7.4,8.1,7.6,0.20 (2.70 %),,24690000,7.6,7.6,3200,0,
04/03/2022,,,0,7.2,7.1,7.5,0.30 (4.17 %),,9580000,7.5,7.5,1300,0,
03/03/2022,,,0,7.2,7.2,7.2,0.00 (0.00 %),,0,7.2,7.2,0,0,
02/03/2022,,,0,7.6,7.2,7.2,-0.40 (-5.26 %),,24179200,7.2,7.2,3356,0,
01/03/2022,,,0,7.6,7.6,7.6,0.00 (0.00 %),,0,7.6,7.6,0,0,
28/02/2022,,,0,7.6,7.6,7.6,0.00 (0.00 %),,0,7.6,7.6,0,0,
25/02/2022,,,0,7.6,7.6,7.6,0.00 (0.00 %),,3112000,7.6,7.6,410,0,
24/02/2022,,,0,7.8,7.6,7.6,-0.20 (-2.56 %),,38006800,7.6,7.6,5001,0,
23/02/2022,,,0,7.2,7.8,7.8,0.60 (8.33 %),,1560000,7.8,7.8,200,0,
22/02/2022,,,0,7.6,7.9,7.5,-0.10 (-1.32 %),,51550000,7.5,7.5,7200,0,
21/02/2022,,,0,7.8,7.5,7.9,0.10 (1.28 %),,4619000,7.9,7.9,610,0,
18/02/2022,,,0,7.8,7.8,7.8,0.00 (0.00 %),,7020000,7.8,7.8,900,0,
17/02/2022,,,0,7.7,7.7,7.9,0.20 (2.60 %),,2433600,7.9,7.9,311,0,
16/02/2022,,,0,7.5,7.7,7.7,0.20 (2.67 %),,770000,7.7,7.7,100,0,
15/02/2022,,,0,8.0,7.5,7.5,-0.50 (-6.25 %),,45000000,7.5,7.5,6000,0,
14/02/2022,,,0,7.5,8.0,8.0,0.50 (6.67 %),,5600000,8.0,8.0,700,0,
11/02/2022,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,
10/02/2022,,,0,7.3,7.5,7.5,0.20 (2.74 %),,750000,7.5,7.5,100,0,
09/02/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,730000,7.3,7.3,100,0,
08/02/2022,,,0,7.4,7.3,7.3,-0.10 (-1.35 %),,8030000,7.3,7.3,1100,0,
07/02/2022,,,0,7.3,7.4,7.4,0.10 (1.37 %),,7400000,7.4,7.4,1000,0,
28/01/2022,,,0,7.5,7.3,7.3,-0.20 (-2.67 %),,2920000,7.3,7.3,400,0,
27/01/2022,,,0,7.5,7.4,7.4,-0.10 (-1.33 %),,45720000,7.4,7.4,6100,0,
26/01/2022,,,0,7.5,7.5,7.5,0.00 (0.00 %),,880000,7.5,7.5,121,0,
25/01/2022,,,0,8.5,7.5,7.5,-1.00 (-11.76 %),,30750000,7.5,7.5,4100,0,
24/01/2022,,,0,8.1,8.8,8.4,0.30 (3.70 %),,4248800,8.4,8.4,501,0,
21/01/2022,,,0,8.3,8.8,7.9,-0.40 (-4.82 %),,4230900,7.9,7.9,523,0,
20/01/2022,,,0,7.4,8.2,8.4,1.00 (13.51 %),,7883400,8.4,8.4,958,0,
19/01/2022,,,0,7.4,7.4,7.4,0.00 (0.00 %),,0,7.4,7.4,0,0,
18/01/2022,,,0,7.9,7.8,7.1,-0.80 (-10.13 %),,114680000,7.1,7.1,15500,0,
17/01/2022,,,0,8.0,8.0,7.8,-0.20 (-2.50 %),,7870000,7.8,7.8,1000,0,
14/01/2022,,,0,8.2,7.5,8.0,-0.20 (-2.44 %),,33390000,8.0,8.0,4200,0,
13/01/2022,,,0,10.0,9.4,8.5,-1.50 (-15.00 %),,58100000,8.54,8.5,6800,0,
12/01/2022,,,0,9.7,10.9,10.2,0.50 (5.15 %),,27130000,10.05,10.2,2700,0,
11/01/2022,,,0,8.7,9.9,9.7,1.00 (11.49 %),,205856000,9.74,9.7,21144,0,
10/01/2022,,,0,7.7,8.4,8.8,1.10 (14.29 %),,205707200,8.75,8.8,23514,0,
07/01/2022,,,0,7.4,7.6,7.7,0.30 (4.05 %),,5404000,7.68,7.7,700,0,
06/01/2022,,,0,7.3,7.3,7.7,0.40 (5.48 %),,195841000,7.37,7.7,26573,0,
05/01/2022,,,0,7.3,7.3,7.3,0.00 (0.00 %),,7300000,7.3,7.3,1000,0,
04/01/2022,,,0,7.3,7.7,7.3,0.00 (0.00 %),,439040000,7.32,7.3,60000,0,
31/12/2021,,,0,7.2,7.4,7.3,0.10 (1.39 %),,5850000,7.31,7.3,800,0,
30/12/2021,,,0,7.3,6.5,7.2,-0.10 (-1.37 %),,29450000,7.18,7.2,4100,0,3.0
29/12/2021,,,0,7.4,6.6,7.7,0.30 (4.05 %),,23330000,7.29,7.7,3200,0,4.0
28/12/2021,,,0,7.4,7.4,7.4,0.00 (0.00 %),,0,7.4,7.4,0,0,5.0
27/12/2021,,,0,7.4,7.4,7.4,0.00 (0.00 %),,1480000,7.4,7.4,200,0,6.0
24/12/2021,,,0,8.0,7.4,7.4,-0.60 (-7.50 %),,106560000,7.4,7.4,14400,0,7.0
23/12/2021,,,0,8.0,8.0,8.0,0.00 (0.00 %),,0,8.0,8.0,0,0,8.0
21/12/2021,,,0,8.0,8.0,8.0,0.00 (0.00 %),,0,8.0,8.0,0,0,9.0
20/12/2021,,,0,8.2,9.0,7.0,-1.20 (-14.63 %),,1600000,8.0,7.0,200,0,10.0
17/12/2021,,,0,8.2,8.2,8.2,0.00 (0.00 %),,0,8.2,8.2,0,0,11.0
16/12/2021,,,0,8.2,8.2,8.2,0.00 (0.00 %),,0,8.2,8.2,0,0,12.0
15/12/2021,,,0,8.2,8.2,8.2,0.00 (0.00 %),,0,8.2,8.2,0,0,13.0
14/12/2021,,,0,8.2,8.2,8.2,0.00 (0.00 %),,0,8.2,8.2,0,0,14.0
13/12/2021,,,0,7.5,8.2,8.2,0.70 (9.33 %),,820000,8.2,8.2,100,0,15.0
10/12/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,16.0
09/12/2021,,,0,7.5,7.5,7.5,0.00 (0.00 %),,0,7.5,7.5,0,0,17.0
08/12/2021,,,0,7.7,7.5,7.5,-0.20 (-2.60 %),,750000,7.5,7.5,100,0,18.0
07/12/2021,,,0,7.6,7.6,7.7,0.10 (1.32 %),,1530000,7.65,7.7,200,0,19.0
06/12/2021,,,0,8.5,7.6,7.6,-0.90 (-10.59 %),,1520000,7.6,7.6,200,0,20.0
03/12/2021,,,0,7.5,8.5,8.5,1.00 (13.33 %),,850000,8.5,8.5,100,0,21.0
02/12/2021,,,0,8.4,7.5,7.5,-0.90 (-10.71 %),,750000,7.5,7.5,100,0,2.0
01/12/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,3.0
30/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,4.0
29/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,5.0
26/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,6.0
25/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,7.0
24/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,8.0
23/11/2021,,,3247200000,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,360800,9.0
22/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,10.0
19/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,11.0
18/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,12.0
17/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,13.0
16/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,14.0
15/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,840000,8.4,8.4,100,0,15.0
12/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,16.0
11/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,17.0
10/11/2021,,,0,8.4,8.4,8.4,0.00 (0.00 %),,0,8.4,8.4,0,0,18.0
09/11/2021,,,0,7.7,7.9,8.5,0.80 (10.39 %),,6740000,8.43,8.5,800,0,19.0
08/11/2021,,,0,7.7,7.7,7.7,0.00 (0.00 %),,0,7.7,7.7,0,0,20.0
05/11/2021,,,0,7.7,7.7,7.7,0.00 (0.00 %),,0,7.7,7.7,0,0,21.0
04/11/2021,,,0,7.7,7.7,7.7,0.00 (0.00 %),,0,7.7,7.7,0,0,2.0
03/11/2021,,,0,7.7,7.7,7.7,0.00 (0.00 %),,0,7.7,7.7,0,0,3.0
02/11/2021,,,0,7.7,7.7,7.7,0.00 (0.00 %),,0,7.7,7.7,0,0,4.0
01/11/2021,,,0,7.7,7.7,7.7,0.00 (0.00 %),,0,7.7,7.7,0,0,5.0
29/10/2021,,,0,6.8,7.7,7.7,0.90 (13.24 %),,223300000,7.7,7.7,29000,0,6.0
28/10/2021,,,0,7.0,6.0,7.0,0.00 (0.00 %),,2916000,6.75,7.0,427,0,7.0
27/10/2021,,,0,7.0,7.0,7.0,0.00 (0.00 %),,0,7.0,7.0,0,0,8.0
