date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,14.10,14.10,14.10,13.50,,17500,0,13.50,-0.60 (-4.26 %),236550000,0,
31/03/2022,,,15.00,14.4,14.40,14.40,,100,0,14.40,-0.60 (-4.00 %),1440000,0,
30/03/2022,,,14.0,15.3,15.3,15.0,,200,0,15.0,1.00 (7.14 %),3030000,0,
29/03/2022,,,12.8,14.0,14.0,14.0,,400,0,14.0,1.20 (9.37 %),5600000,0,
28/03/2022,,,14.0,14.0,14.0,12.8,,1200,0,12.8,-1.20 (-8.57 %),15920000,0,
25/03/2022,,,14.0,14.0,14.0,14.0,,0,0,14.0,0.00 (0.00 %),0,0,
24/03/2022,,,14.1,13.0,14.0,14.0,,5400,0,14.0,-0.10 (-0.71 %),71160000,0,
23/03/2022,,,14.5,14.3,14.5,14.1,,17200,0,14.1,-0.40 (-2.76 %),248060000,0,
22/03/2022,,,14.3,14.5,14.5,14.5,,3200,0,14.5,0.20 (1.40 %),46180000,0,
21/03/2022,,,13.0,13.0,14.3,14.3,,40206,0,14.3,1.30 (10.00 %),571464000,0,
18/03/2022,,,12.6,13.0,13.0,13.0,,13500,0,13.0,0.40 (3.17 %),175320000,0,
17/03/2022,,,12.0,12.0,12.6,12.6,,8800,0,12.6,0.60 (5.00 %),107480000,0,
16/03/2022,,,11.2,11.3,12.0,12.0,,4400,0,12.0,0.80 (7.14 %),51000000,0,
15/03/2022,,,11.1,11.2,11.2,11.2,,1500,0,11.2,0.10 (0.90 %),16800000,0,
14/03/2022,,,11.0,11.1,11.1,11.1,,3200,0,11.1,0.10 (0.91 %),35520000,0,
11/03/2022,,,11.7,11.7,11.7,11.0,,2600,0,11.0,-0.70 (-5.98 %),29110000,0,
10/03/2022,,,11.8,11.8,11.8,11.7,,3100,0,11.7,-0.10 (-0.85 %),36210000,0,
09/03/2022,,,11.8,12.0,12.0,11.8,,3900,0,11.8,0.00 (0.00 %),46060000,0,
08/03/2022,,,11.9,12.0,12.0,11.8,,5100,0,11.8,-0.10 (-0.84 %),60390000,0,
07/03/2022,,,11.6,12.0,12.0,11.9,,7800,0,11.9,0.30 (2.59 %),92580000,0,
04/03/2022,,,11.7,11.7,11.7,11.6,,3700,0,11.6,-0.10 (-0.85 %),42970000,0,
03/03/2022,,,11.7,12.0,12.0,11.7,,2300,0,11.7,0.00 (0.00 %),27010000,0,
02/03/2022,,,11.7,11.9,11.9,11.7,,2200,0,11.7,0.00 (0.00 %),26080000,0,
01/03/2022,,,12.0,12.0,12.0,11.7,,700,0,11.7,-0.30 (-2.50 %),8350000,0,
28/02/2022,,,11.4,12.0,12.0,12.0,,200,0,12.0,0.60 (5.26 %),2400000,0,
25/02/2022,,,11.4,11.3,12.4,11.4,,3500,0,11.4,0.00 (0.00 %),39730000,0,3.0
24/02/2022,,,11.9,11.3,11.4,11.4,,900,0,11.4,-0.50 (-4.20 %),10180000,0,4.0
23/02/2022,,,12.2,12.1,12.1,11.9,,2500,0,11.9,-0.30 (-2.46 %),30190000,0,5.0
22/02/2022,,,12.3,12.2,12.2,12.2,,200,0,12.2,-0.10 (-0.81 %),2440000,0,6.0
21/02/2022,,,11.2,12.3,12.3,12.3,,4800,0,12.3,1.10 (9.82 %),59040000,0,7.0
18/02/2022,,,12.4,11.2,11.5,11.2,,3000,0,11.2,-1.20 (-9.68 %),33630000,0,8.0
17/02/2022,,,12.5,12.4,12.4,12.4,,300,0,12.4,-0.10 (-0.80 %),3720000,0,9.0
16/02/2022,,,12.8,12.6,12.6,12.5,,1800,0,12.5,-0.30 (-2.34 %),22550000,0,10.0
15/02/2022,,,12.8,12.8,12.8,12.8,,0,0,12.8,0.00 (0.00 %),0,0,11.0
14/02/2022,,,13.0,11.7,12.8,12.8,,1300,0,12.8,-0.20 (-1.54 %),15340000,0,12.0
11/02/2022,,,11.9,11.9,13.0,13.0,,5900,0,13.0,1.10 (9.24 %),74070000,0,13.0
10/02/2022,,,10.9,11.9,11.9,11.9,,6100,0,11.9,1.00 (9.17 %),67730000,0,14.0
09/02/2022,,,12.1,10.9,11.8,10.9,,5600,0,10.9,-1.20 (-9.92 %),61130000,0,15.0
08/02/2022,,,11.0,12.1,12.1,12.1,,100,0,12.1,1.10 (10.00 %),1210000,0,16.0
07/02/2022,,,11.5,11.4,11.4,11.0,,2800,0,11.0,-0.50 (-4.35 %),31680000,0,17.0
28/01/2022,,,11.5,11.5,11.5,11.5,,0,0,11.5,0.00 (0.00 %),0,0,18.0
27/01/2022,,,10.6,11.5,11.5,11.5,,100,0,11.5,0.90 (8.49 %),1150000,0,19.0
26/01/2022,,,11.7,10.6,10.6,10.6,,2700,0,10.6,-1.10 (-9.40 %),28620000,0,20.0
25/01/2022,,,11.7,11.7,11.7,11.7,,0,0,11.7,0.00 (0.00 %),0,0,21.0
24/01/2022,,,10.8,10.8,11.7,11.7,,500,0,11.7,0.90 (8.33 %),5580000,0,2.0
21/01/2022,,,10.0,10.7,10.8,10.8,,800,0,10.8,0.80 (8.00 %),8620000,0,3.0
20/01/2022,,,10.0,10.0,10.0,10.0,,1100,0,10.0,0.00 (0.00 %),11000000,0,4.0
19/01/2022,,,10.0,10.0,10.0,10.0,,0,0,10.0,0.00 (0.00 %),0,0,5.0
18/01/2022,,,11.0,10.0,10.0,10.0,,4400,0,10.0,-1.00 (-9.09 %),44000000,0,6.0
17/01/2022,,,11.0,11.1,11.1,11.0,,1100,0,11.0,0.00 (0.00 %),12140000,0,7.0
14/01/2022,,,11.0,11.0,11.0,11.0,,1400,0,11.0,0.00 (0.00 %),15400000,0,8.0
13/01/2022,,,12.0,11.5,11.5,11.0,,1000,0,11.0,-1.00 (-8.33 %),11250000,0,9.0
12/01/2022,,,12.0,12.0,12.0,12.0,,0,0,12.0,0.00 (0.00 %),0,0,10.0
11/01/2022,,,11.0,12.1,12.1,12.0,,4600,0,12.0,1.00 (9.09 %),54510000,0,11.0
10/01/2022,,,10.0,10.5,11.0,11.0,,4100,0,11.0,1.00 (10.00 %),44230000,0,12.0
07/01/2022,,,11.0,10.0,10.0,10.0,,300,0,10.0,-1.00 (-9.09 %),3000000,0,13.0
06/01/2022,,,11.0,11.0,11.0,11.0,,2100,0,11.0,0.00 (0.00 %),23100000,0,14.0
05/01/2022,,,10.8,11.0,11.0,11.0,,500,0,11.0,0.20 (1.85 %),5500000,0,15.0
04/01/2022,,,11.0,10.8,10.8,10.8,,100,0,10.8,-0.20 (-1.82 %),1080000,0,16.0
31/12/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,17.0
30/12/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,18.0
29/12/2021,,,11.0,11.0,11.0,11.0,,0,0,11.0,0.00 (0.00 %),0,0,19.0
28/12/2021,,,11.1,11.2,11.2,11.0,,5400,0,11.0,-0.10 (-0.90 %),59840000,0,20.0
27/12/2021,,,11.1,11.1,11.1,11.1,,0,0,11.1,0.00 (0.00 %),0,0,21.0
24/12/2021,,,11.1,11.1,11.1,11.1,,0,0,11.1,0.00 (0.00 %),0,0,2.0
23/12/2021,,,12.0,11.1,11.1,11.1,,300,0,11.1,-0.90 (-7.50 %),3330000,0,3.0
22/12/2021,,,12.4,12.0,12.0,12.0,,1300,0,12.0,-0.40 (-3.23 %),15600000,0,4.0
21/12/2021,,,12.9,12.4,12.4,12.4,,300,0,12.4,-0.50 (-3.88 %),3720000,0,5.0
20/12/2021,,,12.9,12.9,12.9,12.9,,0,0,12.9,0.00 (0.00 %),0,0,6.0
17/12/2021,,,12.5,12.9,12.9,12.9,,100,0,12.9,0.40 (3.20 %),1290000,0,7.0
16/12/2021,,,12.1,12.5,12.5,12.5,,100,0,12.5,0.40 (3.31 %),1250000,0,8.0
15/12/2021,,,12.0,12.1,12.1,12.1,,3000,0,12.1,0.10 (0.83 %),36050000,0,9.0
14/12/2021,,,12.6,12.1,12.5,12.0,,5100,0,12.0,-0.60 (-4.76 %),61820000,0,10.0
13/12/2021,,,12.6,12.6,12.6,12.6,,0,0,12.6,0.00 (0.00 %),0,0,11.0
10/12/2021,,,13.0,12.6,13.0,12.6,,4700,0,12.6,-0.40 (-3.08 %),59260000,0,12.0
09/12/2021,,,13.0,13.0,13.0,13.0,,400,33540,13.0,0.00 (0.00 %),5200000,436020000,13.0
08/12/2021,,,13.7,13.1,13.1,13.0,,6100,0,13.0,-0.70 (-5.11 %),79330000,0,14.0
07/12/2021,,,13.7,13.7,13.7,13.7,,0,0,13.7,0.00 (0.00 %),0,0,15.0
06/12/2021,,,13.0,13.9,13.9,13.7,,2100,32640,13.7,0.70 (5.38 %),28890000,466752000,16.0
03/12/2021,,,13.0,13.4,13.4,13.0,,4800,1444560,13.0,0.00 (0.00 %),63440000,18779280000,17.0
02/12/2021,,,13.0,13.0,13.0,13.0,,1200,0,13.0,0.00 (0.00 %),15600000,0,18.0
01/12/2021,,,13.6,13.0,13.0,13.0,,900,0,13.0,-0.60 (-4.41 %),11700000,0,19.0
30/11/2021,,,13.0,12.6,13.6,13.6,,4700,0,13.6,0.60 (4.62 %),61730000,0,20.0
29/11/2021,,,13.0,13.0,13.0,13.0,,0,0,13.0,0.00 (0.00 %),0,0,21.0
26/11/2021,,,13.0,13.1,13.1,13.0,,800,0,13.0,0.00 (0.00 %),10460000,0,2.0
25/11/2021,,,13.0,12.9,13.1,13.0,,1000,0,13.0,0.00 (0.00 %),12990000,0,3.0
24/11/2021,,,13.1,12.9,13.0,13.0,,300,0,13.0,-0.10 (-0.76 %),3880000,0,4.0
23/11/2021,,,12.4,12.4,13.1,13.1,,200,0,13.1,0.70 (5.65 %),2550000,0,5.0
22/11/2021,,,12.6,12.7,12.7,12.4,,2529,0,12.4,-0.20 (-1.59 %),31772800,0,6.0
19/11/2021,,,13.0,12.6,12.6,12.6,,100,0,12.6,-0.40 (-3.08 %),1260000,0,7.0
18/11/2021,,,12.8,12.8,13.0,13.0,,5400,0,13.0,0.20 (1.56 %),70040000,0,8.0
17/11/2021,,,13.7,12.8,12.9,12.8,,4200,0,12.8,-0.90 (-6.57 %),53850000,0,9.0
16/11/2021,,,13.5,14.3,14.3,13.7,,1700,0,13.7,0.20 (1.48 %),22700000,0,10.0
15/11/2021,,,13.3,13.1,13.5,13.5,,8900,0,13.5,0.20 (1.50 %),117330000,0,11.0
12/11/2021,,,13.5,13.5,13.5,13.3,,5329,0,13.3,-0.20 (-1.48 %),71144100,0,12.0
11/11/2021,,,13.5,12.8,13.5,13.5,,5900,0,13.5,0.00 (0.00 %),76930000,0,13.0
10/11/2021,,,12.8,13.9,13.9,13.5,,2100,0,13.5,0.70 (5.47 %),28830000,0,14.0
09/11/2021,,,13.0,13.0,13.0,12.8,,7500,0,12.8,-0.20 (-1.54 %),96510000,0,15.0
08/11/2021,,,13.0,13.0,13.0,13.0,,2180,0,13.0,0.00 (0.00 %),28247800,0,16.0
05/11/2021,,,13.0,13.0,13.0,13.0,,2800,0,13.0,0.00 (0.00 %),35920000,0,17.0
04/11/2021,,,13.0,13.0,13.0,13.0,,1700,0,13.0,0.00 (0.00 %),21720000,0,18.0
03/11/2021,,,14.1,13.1,13.3,13.0,,11120,0,13.0,-1.10 (-7.80 %),144630000,0,19.0
02/11/2021,,,13.3,13.3,14.2,14.1,,4300,0,14.1,0.80 (6.02 %),60690000,0,20.0
01/11/2021,,,13.3,12.9,13.3,13.3,,500,0,13.3,0.00 (0.00 %),6510000,0,21.0
29/10/2021,,,13.1,13.2,13.3,13.3,,1700,0,13.3,0.20 (1.53 %),21580000,0,2.0
28/10/2021,,,13.2,13.2,13.2,13.1,,2300,0,13.1,-0.10 (-0.76 %),29400000,0,3.0
27/10/2021,,,13.0,13.2,13.2,13.2,,2800,28000,13.2,0.20 (1.54 %),36960000,336000000,4.0
26/10/2021,,,13.0,13.0,13.3,13.0,,1600,271300,13.0,0.00 (0.00 %),20830000,3255600000,5.0
25/10/2021,,,13.3,12.7,13.2,13.0,,1300,0,13.0,-0.30 (-2.26 %),16560000,0,6.0
22/10/2021,,,13.0,13.3,13.3,13.3,,200,523000,13.3,0.30 (2.31 %),2660000,6815300000,7.0
21/10/2021,,,13.1,12.4,13.0,13.0,,900,271300,13.0,-0.10 (-0.76 %),11180000,3906720000,8.0
20/10/2021,,,13.2,13.1,13.1,13.1,,800,0,13.1,-0.10 (-0.76 %),10450000,0,9.0
19/10/2021,,,13.0,13.0,13.2,13.2,,2400,0,13.2,0.20 (1.54 %),31090000,0,10.0
18/10/2021,,,12.8,12.7,13.0,13.0,,2700,0,13.0,0.20 (1.56 %),34130000,0,11.0
15/10/2021,,,13.0,12.5,12.9,12.8,,1200,0,12.8,-0.20 (-1.54 %),15140000,0,12.0
14/10/2021,,,13.0,13.0,13.0,13.0,,900,0,13.0,0.00 (0.00 %),11370000,0,13.0
13/10/2021,,,13.0,13.0,13.0,13.0,,4900,0,13.0,0.00 (0.00 %),61320000,0,14.0
12/10/2021,,,13.0,13.0,13.0,13.0,,2200,0,13.0,0.00 (0.00 %),28020000,0,15.0
11/10/2021,,,13.3,13.3,13.3,13.0,,2900,0,13.0,-0.30 (-2.26 %),37230000,0,16.0
08/10/2021,,,13.7,13.2,13.3,13.3,,600,0,13.3,-0.40 (-2.92 %),7950000,0,17.0
