date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,48.00,51.00,48.00,51.00,,667300,0,51.00,3.30 (6.92 %),33417000000,0,
01/04/2022,,,44.30,47.70,44.00,47.70,,1350400,0,47.70,0.40 (0.85 %),60177000000,0,
31/03/2022,,,50.3,50.3,46.9,47.3,,1133800,0,47.3,-3.10 (-6.15 %),53787000000,0,
30/03/2022,,,50.8,53.0,50.2,50.4,,664000,0,50.4,-3.50 (-6.49 %),33671000000,0,
29/03/2022,,,53.8,56.5,50.7,53.9,,618400,181400,53.9,-0.60 (-1.10 %),33570000000,10575620000,
28/03/2022,,,53.8,55.9,53.8,54.5,,670400,0,54.5,-3.30 (-5.71 %),36196000000,0,
25/03/2022,,,58.2,60.0,57.8,57.8,,795300,0,57.8,0.00 (0.00 %),46664000000,0,
24/03/2022,,,54.3,57.8,54.1,57.8,,659000,0,57.8,3.70 (6.84 %),37364000000,0,
23/03/2022,,,52.5,54.1,51.0,54.1,,439000,0,54.1,1.60 (3.05 %),23246000000,0,
22/03/2022,,,51.5,53.8,50.5,52.5,,440800,0,52.5,0.40 (0.77 %),23054000000,0,
21/03/2022,,,52.0,56.4,52.0,52.1,,523200,0,52.1,-3.20 (-5.79 %),28212000000,0,
18/03/2022,,,54.5,55.8,54.5,55.3,,1152100,0,55.3,-3.30 (-5.63 %),62960000000,0,
17/03/2022,,,63.4,63.4,58.6,58.6,,654500,0,58.6,-4.40 (-6.98 %),38744000000,0,
16/03/2022,,,64.9,66.5,60.4,63.0,,766100,0,63.0,-1.60 (-2.48 %),48865000000,0,
15/03/2022,,,59.0,64.6,59.0,64.6,,1258200,0,64.6,1.20 (1.89 %),76026000000,0,
14/03/2022,,,65.0,65.0,63.4,63.4,,505900,0,63.4,-4.70 (-6.90 %),32260000000,0,
11/03/2022,,,73.3,73.3,68.1,68.1,,638100,0,68.1,-5.10 (-6.97 %),44373000000,0,
10/03/2022,,,66.2,73.3,66.2,73.2,,1711100,0,73.2,2.10 (2.95 %),117043000000,0,
09/03/2022,,,76.6,76.6,71.1,71.1,,317600,0,71.1,-5.30 (-6.94 %),22924000000,0,
08/03/2022,,,82.2,82.2,76.3,76.4,,1348100,0,76.4,-5.60 (-6.83 %),103964000000,0,
07/03/2022,,,83.8,83.8,77.2,82.0,,1656300,0,82.0,-1.00 (-1.20 %),132172000000,0,
