date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,4.50,4.50,4.50,0.00 (0.00 %),,0,4.50,4.50,0,0,
01/04/2022,,,0,4.90,4.7,4.60,-0.30 (-6.12 %),,1710675800,4.60,4.60,384446,0,
31/03/2022,,,0,4.90,4.90,4.90,0.00 (0.00 %),,0,4.90,4.90,0,0,
30/03/2022,,,0,4.9,4.9,4.9,0.00 (0.00 %),,0,4.9,4.9,0,0,
29/03/2022,,,0,4.9,4.9,4.9,0.00 (0.00 %),,0,4.9,4.9,0,0,
28/03/2022,,,0,4.9,4.9,4.9,0.00 (0.00 %),,0,4.9,4.9,0,0,
25/03/2022,,,0,4.6,4.8,4.8,0.20 (4.35 %),,3634757000,4.8,4.8,737421,0,
24/03/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
23/03/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
22/03/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
21/03/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
18/03/2022,,,0,4.8,4.5,4.6,-0.20 (-4.17 %),,3030689200,4.6,4.6,655105,0,
17/03/2022,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,
16/03/2022,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,
15/03/2022,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,
14/03/2022,,,0,4.8,4.8,4.8,0.00 (0.00 %),,0,4.8,4.8,0,0,
11/03/2022,,,0,5.2,5.2,4.6,-0.60 (-11.54 %),,2361594200,4.6,4.6,489962,0,
10/03/2022,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,
09/03/2022,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,
08/03/2022,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,
07/03/2022,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,
04/03/2022,,,0,5.0,5.5,5.1,0.10 (2.00 %),,4181006500,5.1,5.1,801494,0,
03/03/2022,,,0,5.0,5.0,5.0,0.00 (0.00 %),,0,5.0,5.0,0,0,
02/03/2022,,,0,5.0,5.0,5.0,0.00 (0.00 %),,0,5.0,5.0,0,0,
01/03/2022,,,0,5.0,5.0,5.0,0.00 (0.00 %),,0,5.0,5.0,0,0,
28/02/2022,,,0,5.0,5.0,5.0,0.00 (0.00 %),,0,5.0,5.0,0,0,
25/02/2022,,,0,4.6,5.2,4.9,0.30 (6.52 %),,4771232500,4.9,4.9,958853,0,
24/02/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
23/02/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
22/02/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
21/02/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
18/02/2022,,,0,4.2,4.3,4.8,0.60 (14.29 %),,6943895100,4.8,4.8,1512048,0,
17/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
16/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
15/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
14/02/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
11/02/2022,,,0,4.0,4.2,4.6,0.60 (15.00 %),,4757113600,4.6,4.6,1122716,0,
10/02/2022,,,0,4.0,4.0,4.0,0.00 (0.00 %),,0,4.0,4.0,0,0,
09/02/2022,,,0,4.0,4.0,4.0,0.00 (0.00 %),,0,4.0,4.0,0,0,
08/02/2022,,,0,4.0,4.0,4.0,0.00 (0.00 %),,0,4.0,4.0,0,0,
07/02/2022,,,0,4.0,4.0,4.0,0.00 (0.00 %),,0,4.0,4.0,0,0,
28/01/2022,,,0,4.7,4.7,4.0,-0.70 (-14.89 %),,2159330000,4.0,4.0,534300,0,
27/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
26/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
25/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
24/01/2022,,,0,4.7,4.7,4.7,0.00 (0.00 %),,0,4.7,4.7,0,0,
21/01/2022,,,0,5.3,5.3,4.6,-0.70 (-13.21 %),,6194505500,4.6,4.6,1324246,0,
20/01/2022,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,
19/01/2022,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,
18/01/2022,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,
17/01/2022,,,0,5.3,5.3,5.3,0.00 (0.00 %),,0,5.3,5.3,0,0,
14/01/2022,,,0,6.2,5.9,5.3,-0.90 (-14.52 %),,1713038100,5.3,5.3,322517,0,
13/01/2022,,,0,6.2,6.2,6.2,0.00 (0.00 %),,0,6.2,6.2,0,0,
12/01/2022,,,0,6.2,6.2,6.2,0.00 (0.00 %),,0,6.2,6.2,0,0,
11/01/2022,,,0,6.2,6.2,6.2,0.00 (0.00 %),,0,6.2,6.2,0,0,
10/01/2022,,,0,6.2,6.2,6.2,0.00 (0.00 %),,0,6.2,6.2,0,0,
07/01/2022,,,0,5.4,6.2,6.2,0.80 (14.81 %),,5965093300,6.2,6.2,963344,0,
06/01/2022,,,0,5.4,5.4,5.4,0.00 (0.00 %),,0,5.4,5.4,0,0,
05/01/2022,,,0,5.4,5.4,5.4,0.00 (0.00 %),,0,5.4,5.4,0,0,
