date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,3.50,3.50,3.50,0.00 (0.00 %),,0,3.50,3.50,0,0,
01/04/2022,,,0,3.70,3.5,3.70,0.00 (0.00 %),,385690300,3.70,3.70,109860,0,
31/03/2022,,,0,3.70,3.70,3.70,0.00 (0.00 %),,0,3.70,3.70,0,0,
30/03/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,0,3.7,3.7,0,0,
29/03/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,0,3.7,3.7,0,0,
28/03/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,0,3.7,3.7,0,0,
25/03/2022,,,0,3.6,3.6,3.7,0.10 (2.78 %),,281427200,3.7,3.7,76847,0,
24/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
23/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
22/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
21/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
18/03/2022,,,0,3.6,3.6,3.7,0.10 (2.78 %),,202800000,3.7,3.7,56260,0,
17/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
16/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
15/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
14/03/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
11/03/2022,,,0,3.8,3.8,3.6,-0.20 (-5.26 %),,235019900,3.6,3.6,65427,0,
10/03/2022,,,0,3.8,3.8,3.8,0.00 (0.00 %),,0,3.8,3.8,0,0,
09/03/2022,,,0,3.8,3.8,3.8,0.00 (0.00 %),,0,3.8,3.8,0,0,
08/03/2022,,,0,3.8,3.8,3.8,0.00 (0.00 %),,0,3.8,3.8,0,0,
07/03/2022,,,0,3.8,3.8,3.8,0.00 (0.00 %),,0,3.8,3.8,0,0,
04/03/2022,,,0,3.9,3.9,4.0,0.10 (2.56 %),,202472500,4.0,4.0,53438,0,
03/03/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
02/03/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
01/03/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
28/02/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
25/02/2022,,,0,3.6,3.7,4.0,0.40 (11.11 %),,340661400,4.0,4.0,86783,0,
24/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
23/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
22/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
21/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
18/02/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,57041500,3.7,3.7,15969,0,
17/02/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,0,3.7,3.7,0,0,
16/02/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,0,3.7,3.7,0,0,
15/02/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,0,3.7,3.7,0,0,
14/02/2022,,,0,3.7,3.7,3.7,0.00 (0.00 %),,0,3.7,3.7,0,0,
11/02/2022,,,0,3.6,3.6,3.7,0.10 (2.78 %),,77938800,3.7,3.7,21038,0,
10/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
09/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
08/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
07/02/2022,,,0,3.6,3.6,3.6,0.00 (0.00 %),,0,3.6,3.6,0,0,
28/01/2022,,,0,3.9,3.8,3.7,-0.20 (-5.13 %),,105650000,3.7,3.7,29400,0,
27/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
26/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
25/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
24/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
21/01/2022,,,0,3.9,3.7,4.0,0.10 (2.56 %),,68232000,4.0,4.0,17638,0,
20/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
19/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
18/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
17/01/2022,,,0,3.9,3.9,3.9,0.00 (0.00 %),,0,3.9,3.9,0,0,
14/01/2022,,,0,4.2,3.7,4.2,0.00 (0.00 %),,115218600,4.2,4.2,29247,0,
13/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
12/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
11/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
10/01/2022,,,0,4.2,4.2,4.2,0.00 (0.00 %),,0,4.2,4.2,0,0,
07/01/2022,,,0,4.6,4.7,4.5,-0.10 (-2.17 %),,512493300,4.5,4.5,120876,0,
06/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
05/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
04/01/2022,,,0,4.6,4.6,4.6,0.00 (0.00 %),,0,4.6,4.6,0,0,
31/12/2021,,,3638700,4.5,4.0,4.7,0.20 (4.44 %),,78428400,4.7,4.7,17033,933,
30/12/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,3.0
29/12/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,4.0
28/12/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,5.0
27/12/2021,,,0,4.5,4.5,4.5,0.00 (0.00 %),,0,4.5,4.5,0,0,6.0
24/12/2021,,,0,5.1,4.4,4.9,-0.20 (-3.92 %),,292657700,4.9,4.9,65414,0,7.0
23/12/2021,,,0,5.1,5.1,5.1,0.00 (0.00 %),,0,5.1,5.1,0,0,8.0
21/12/2021,,,0,5.1,5.1,5.1,0.00 (0.00 %),,0,5.1,5.1,0,0,9.0
20/12/2021,,,0,5.1,5.1,5.1,0.00 (0.00 %),,0,5.1,5.1,0,0,10.0
17/12/2021,,,0,5.8,5.5,5.0,-0.80 (-13.79 %),,358265900,5.0,5.0,70908,0,11.0
16/12/2021,,,0,5.8,5.8,5.8,0.00 (0.00 %),,0,5.8,5.8,0,0,12.0
15/12/2021,,,0,5.8,5.8,5.8,0.00 (0.00 %),,0,5.8,5.8,0,0,13.0
14/12/2021,,,0,5.8,5.8,5.8,0.00 (0.00 %),,0,5.8,5.8,0,0,14.0
13/12/2021,,,0,5.8,5.8,5.8,0.00 (0.00 %),,0,5.8,5.8,0,0,15.0
10/12/2021,,,7020000,5.2,5.9,5.6,0.40 (7.69 %),,357885100,5.6,5.6,62200,1560,16.0
09/12/2021,,,0,5.2,5.2,5.2,0.00 (0.00 %),,0,5.2,5.2,0,0,17.0
