date,change_perc1,change_perc2,open,high,low,close,avg,volume_match,volume_reconcile,adjust,change_perc,value_match,value_reconcile,Unnamed: 0
04/04/2022,,,0,8.20,8.40,8.60,0.40 (4.88 %),,1349445000,8.60,8.60,157210,0,
01/04/2022,,,0,8.90,8.3,8.30,-0.60 (-6.74 %),,3219455400,8.30,8.30,393471,0,
31/03/2022,,,0,9.50,9.40,8.70,-0.80 (-8.42 %),,3505674400,8.70,8.70,394526,0,
30/03/2022,,,0,9.7,9.7,9.3,-0.40 (-4.12 %),,3818861000,9.3,9.3,402011,0,
29/03/2022,,,0,9.7,9.7,9.8,0.10 (1.03 %),,4608434700,9.8,9.8,474019,0,
28/03/2022,,,0,9.6,9.7,9.7,0.10 (1.04 %),,3056150000,9.7,9.7,316500,0,
25/03/2022,,,0,9.9,9.7,9.8,-0.10 (-1.01 %),,2765685000,9.8,9.8,287100,0,
24/03/2022,,,0,9.4,9.4,9.8,0.40 (4.26 %),,4897954600,9.8,9.8,494616,0,
23/03/2022,,,0,9.5,9.5,9.4,-0.10 (-1.05 %),,2164908000,9.4,9.4,230020,0,
22/03/2022,,,0,9.4,9.6,9.5,0.10 (1.06 %),,5501310000,9.5,9.5,579300,0,
21/03/2022,,,0,9.5,9.5,9.4,-0.10 (-1.05 %),,2737015600,9.4,9.4,290844,0,
18/03/2022,,,0,9.1,9.2,9.5,0.40 (4.40 %),,3777754000,9.5,9.5,398910,0,
17/03/2022,,,0,9.2,9.0,9.2,0.00 (0.00 %),,2285150000,9.2,9.2,252300,0,
16/03/2022,,,0,8.8,9.6,9.2,0.40 (4.55 %),,1374289400,9.2,9.2,149001,0,
15/03/2022,,,0,9.3,8.5,9.4,0.10 (1.08 %),,4379807600,9.4,9.4,497968,0,
14/03/2022,,,0,10.6,10.5,9.1,-1.50 (-14.15 %),,7561058500,9.1,9.1,809503,0,
11/03/2022,,,0,11.1,11.3,10.4,-0.70 (-6.31 %),,7061370000,10.4,10.4,664810,0,
10/03/2022,,,0,11.5,10.5,11.3,-0.20 (-1.74 %),,5964946000,11.3,11.3,538380,0,
09/03/2022,,,0,11.2,11.4,12.0,0.80 (7.14 %),,10882148500,12.0,12.0,943621,0,
08/03/2022,,,0,12.1,12.0,10.9,-1.20 (-9.92 %),,11167136000,10.9,10.9,995257,0,
07/03/2022,,,0,11.3,11.3,12.0,0.70 (6.19 %),,9194371300,12.0,12.0,762212,0,
04/03/2022,,,0,10.4,10.6,10.7,0.30 (2.88 %),,14821827200,10.7,10.7,1313206,0,
03/03/2022,,,0,9.3,9.4,10.6,1.30 (13.98 %),,13733207000,10.6,10.6,1319536,0,
02/03/2022,,,0,8.8,8.9,9.1,0.30 (3.41 %),,5980675200,9.1,9.1,644938,0,
01/03/2022,,,0,8.9,9.0,8.8,-0.10 (-1.12 %),,4048395200,8.8,8.8,459365,0,
28/02/2022,,,0,8.8,8.8,9.0,0.20 (2.27 %),,5365317800,9.0,9.0,605223,0,
25/02/2022,,,0,9.0,9.1,8.8,-0.20 (-2.22 %),,3172017500,8.8,8.8,360818,0,
24/02/2022,,,0,8.5,9.0,9.2,0.70 (8.24 %),,10213115100,9.2,9.2,1128750,0,
23/02/2022,,,0,7.6,7.7,8.7,1.10 (14.47 %),,10194391700,8.7,8.7,1200341,0,
22/02/2022,,,0,7.3,7.4,7.7,0.40 (5.48 %),,3887210900,7.7,7.7,512094,0,
21/02/2022,,,0,7.1,7.1,7.4,0.30 (4.23 %),,3040140000,7.4,7.4,416330,0,
18/02/2022,,,0,7.1,7.2,7.3,0.20 (2.82 %),,1664290000,7.3,7.3,233200,0,
17/02/2022,,,0,6.8,6.9,7.2,0.40 (5.88 %),,2257798400,7.2,7.2,319457,0,
16/02/2022,,,0,6.9,6.8,6.9,0.00 (0.00 %),,1286440000,6.9,6.9,190100,0,
15/02/2022,,,0,6.9,6.9,6.8,-0.10 (-1.45 %),,423420000,6.8,6.8,61200,0,
14/02/2022,,,0,7.0,7.3,7.0,0.00 (0.00 %),,977100000,7.0,7.0,141100,0,
11/02/2022,,,0,7.1,7.3,7.1,0.00 (0.00 %),,987785000,7.1,7.1,141025,0,
10/02/2022,,,0,7.0,7.2,7.2,0.20 (2.86 %),,1143331000,7.2,7.2,161753,0,
09/02/2022,,,0,7.1,7.2,7.1,0.00 (0.00 %),,1129114000,7.1,7.1,162171,0,
08/02/2022,,,0,7.0,7.1,7.0,0.00 (0.00 %),,834270000,7.0,7.0,117690,0,
07/02/2022,,,0,6.2,6.4,7.1,0.90 (14.52 %),,1144604900,7.1,7.1,164019,0,
28/01/2022,,,0,7.0,7.0,6.4,-0.60 (-8.57 %),,2406390500,6.4,6.4,385471,0,
27/01/2022,,,0,7.1,7.2,7.0,-0.10 (-1.41 %),,556578500,7.0,7.0,79925,0,
26/01/2022,,,0,7.1,7.0,7.2,0.10 (1.41 %),,1130668000,7.2,7.2,159215,0,
25/01/2022,,,0,7.5,7.2,7.1,-0.40 (-5.33 %),,1622764700,7.1,7.1,226990,0,
24/01/2022,,,0,7.7,7.8,7.5,-0.20 (-2.60 %),,1480573900,7.5,7.5,196881,0,
21/01/2022,,,0,7.7,8.2,7.8,0.10 (1.30 %),,1968031700,7.8,7.8,254830,0,
20/01/2022,,,0,7.5,7.5,7.8,0.30 (4.00 %),,1248266200,7.8,7.8,162873,0,
19/01/2022,,,0,7.6,7.6,7.5,-0.10 (-1.32 %),,1501887600,7.5,7.5,201401,0,
18/01/2022,,,0,8.2,8.0,7.6,-0.60 (-7.32 %),,1947724600,7.6,7.6,255444,0,
17/01/2022,,,0,7.6,7.9,7.8,0.20 (2.63 %),,3718413200,7.8,7.8,453111,0,
14/01/2022,,,0,8.4,7.2,7.8,-0.60 (-7.14 %),,3206527400,7.8,7.8,424676,0,
13/01/2022,,,0,8.4,8.5,8.1,-0.30 (-3.57 %),,4878997100,8.1,8.1,579248,0,
12/01/2022,,,0,9.1,9.0,8.8,-0.30 (-3.30 %),,6152951000,8.8,8.8,730745,0,
11/01/2022,,,0,9.5,10.2,9.0,-0.50 (-5.26 %),,7853174500,9.0,9.0,862363,0,
10/01/2022,,,0,8.9,8.9,9.4,0.50 (5.62 %),,8925862200,9.4,9.4,942951,0,
07/01/2022,,,0,8.6,8.9,8.9,0.30 (3.49 %),,3689859700,8.9,8.9,414017,0,
06/01/2022,,,201000,7.8,8.0,8.9,1.10 (14.10 %),,10761505900,8.9,8.9,1254151,30,
05/01/2022,,,68000,7.9,7.9,8.0,0.10 (1.27 %),,5073282700,8.0,8.0,647039,10,
04/01/2022,,,0,7.8,7.8,7.9,0.10 (1.28 %),,3210140000,7.9,7.9,408325,0,
31/12/2021,,,0,8.3,8.1,7.9,-0.40 (-4.82 %),,5650829400,7.9,7.9,725223,0,
30/12/2021,,,0,8.2,8.3,8.1,-0.10 (-1.22 %),,3791913700,8.1,8.1,454466,0,3.0
29/12/2021,,,0,7.9,7.9,8.3,0.40 (5.06 %),,4045765000,8.3,8.3,494660,0,4.0
28/12/2021,,,0,7.6,7.5,8.1,0.50 (6.58 %),,7881501600,8.1,8.1,999171,0,5.0
27/12/2021,,,0,7.6,7.5,7.6,0.00 (0.00 %),,5193772000,7.6,7.6,681846,0,6.0
24/12/2021,,,0,7.2,7.3,7.5,0.30 (4.17 %),,6391014500,7.5,7.5,844813,0,7.0
23/12/2021,,,0,6.9,6.9,7.2,0.30 (4.35 %),,6260888500,7.2,7.2,875679,0,8.0
21/12/2021,,,0,7.2,7.3,7.1,-0.10 (-1.39 %),,3099500000,7.1,7.1,444500,0,9.0
20/12/2021,,,0,6.9,7.1,7.2,0.30 (4.35 %),,4537519600,7.2,7.2,629920,0,10.0
17/12/2021,,,0,6.4,6.4,7.1,0.70 (10.94 %),,12060459900,7.1,7.1,1736156,0,11.0
16/12/2021,,,0,6.5,6.4,6.5,0.00 (0.00 %),,3098880200,6.5,6.5,484201,0,12.0
15/12/2021,,,0,6.5,6.6,6.3,-0.20 (-3.08 %),,1698106800,6.3,6.3,263010,0,13.0
14/12/2021,,,0,6.4,6.7,6.5,0.10 (1.56 %),,3313914400,6.5,6.5,508484,0,14.0
13/12/2021,,,0,6.2,6.2,6.6,0.40 (6.45 %),,3820570400,6.6,6.6,600542,0,15.0
10/12/2021,,,0,6.3,6.3,6.2,-0.10 (-1.59 %),,1556781400,6.2,6.2,251352,0,16.0
09/12/2021,,,0,6.4,6.5,6.4,0.00 (0.00 %),,1693947600,6.4,6.4,268378,0,17.0
08/12/2021,,,0,6.2,6.5,6.4,0.20 (3.23 %),,1164860000,6.4,6.4,183150,0,18.0
07/12/2021,,,0,6.2,6.1,6.4,0.20 (3.23 %),,1963230000,6.4,6.4,318400,0,19.0
06/12/2021,,,0,6.6,6.5,6.1,-0.50 (-7.58 %),,2851990000,6.1,6.1,456800,0,20.0
03/12/2021,,,0,6.7,6.8,6.5,-0.20 (-2.99 %),,2367285600,6.5,6.5,360317,0,21.0
02/12/2021,,,0,6.3,6.5,6.8,0.50 (7.94 %),,4380210000,6.8,6.8,654700,0,2.0
01/12/2021,,,0,6.1,6.2,6.5,0.40 (6.56 %),,2535682500,6.5,6.5,405625,0,3.0
30/11/2021,,,0,5.9,6.1,6.2,0.30 (5.08 %),,1848338000,6.2,6.2,302833,0,4.0
29/11/2021,,,0,6.0,6.0,6.1,0.10 (1.67 %),,1951410000,6.1,6.1,331300,0,5.0
26/11/2021,,,0,6.2,6.2,6.1,-0.10 (-1.61 %),,2647268000,6.1,6.1,440140,0,6.0
25/11/2021,,,0,6.4,6.4,6.3,-0.10 (-1.56 %),,1547924400,6.3,6.3,248721,0,7.0
24/11/2021,,,0,5.9,6.0,6.5,0.60 (10.17 %),,1706546700,6.5,6.5,266101,0,8.0
23/11/2021,,,0,6.4,6.2,6.0,-0.40 (-6.25 %),,1976910000,6.0,6.0,334500,0,9.0
22/11/2021,,,0,7.2,6.8,6.2,-1.00 (-13.89 %),,4651686200,6.2,6.2,732288,0,10.0
19/11/2021,,,0,7.3,7.6,6.9,-0.40 (-5.48 %),,5951871900,6.9,6.9,830980,0,11.0
18/11/2021,,,0,6.8,6.8,7.6,0.80 (11.76 %),,7638949700,7.6,7.6,1051994,0,12.0
17/11/2021,,,0,7.0,6.9,6.9,-0.10 (-1.43 %),,3083271700,6.9,6.9,452441,0,13.0
16/11/2021,,,0,6.9,7.3,6.9,0.00 (0.00 %),,4945540000,6.9,6.9,709407,0,14.0
